Date,Open,High,Low,Close,Volume,Adj Close
2006-09-07,27.71,27.79,27.71,27.71,1300,27.71
2006-09-08,27.79,27.91,27.71,27.79,800,27.79
2006-09-11,27.33,27.4,27.3,27.33,2800,27.33
2006-09-12,27.22,27.25,27.16,27.22,3100,27.22
2006-09-13,27.4,27.48,27.4,27.4,500,27.4
2006-09-14,27.55,27.7,27.55,27.55,4600,27.55
2006-09-15,27.63,27.78,27.63,27.63,4500,27.63
2006-09-18,28.0,28.09,28.0,28.0,2000,28.0
2006-09-19,28.02,28.14,27.95,28.02,12400,28.02
2006-09-20,28.24,28.27,28.0,28.24,3500,28.24
2006-09-21,28.3,28.37,28.3,28.3,4000,28.3
2006-09-22,28.33,28.52,27.93,28.33,2200,28.33
2006-09-25,27.97,28.06,27.78,27.97,5000,27.97
2006-09-26,27.87,27.95,27.68,27.87,7600,27.87
2006-09-27,27.75,27.81,27.45,27.75,3300,27.75
2006-09-28,27.6,27.7,27.4,27.6,10500,27.6
2006-09-29,27.44,27.52,27.35,27.44,5200,27.44
2006-10-02,27.44,28.0,27.33,27.44,3900,27.44
2006-10-03,27.5,27.54,27.31,27.5,1700,27.5
2006-10-04,27.39,27.42,27.3,27.39,1100,27.39
2006-10-05,27.6,27.73,27.6,27.6,3700,27.6
2006-10-06,27.78,27.79,27.77,27.78,700,27.78
2006-10-09,27.64,27.66,27.6,27.64,2900,27.64
2006-10-10,27.84,27.84,27.75,27.84,2400,27.84
2006-10-11,27.84,27.9,27.7,27.84,1500,27.84
2006-10-12,27.9,28.01,27.9,27.9,16900,27.9
2006-10-13,28.27,28.4,28.25,28.27,5500,28.27
2006-10-16,28.35,28.54,28.28,28.35,5700,28.35
2006-10-17,28.16,28.43,28.15,28.16,1700,28.16
2006-10-18,28.4,28.47,28.16,28.4,2600,28.4
2006-10-19,28.44,28.45,28.11,28.44,3500,28.44
2006-10-20,28.68,28.69,28.39,28.68,5000,28.68
2006-10-23,28.68,28.7,28.45,28.68,3700,28.68
2006-10-24,28.78,28.79,28.78,28.78,3200,28.78
2006-10-25,28.78,28.87,28.78,28.78,4400,28.78
2006-10-26,28.81,28.87,28.68,28.81,1200,28.81
2006-10-27,28.77,28.89,28.67,28.77,5300,28.77
2006-10-30,28.71,28.79,28.7,28.71,1100,28.71
2006-10-31,28.79,28.84,28.66,28.79,1200,28.79
2006-11-01,28.9,28.99,28.9,28.9,1100,28.9
2006-11-02,29.05,29.08,28.96,29.05,8100,29.05
2006-11-03,29.2,29.2,29.19,29.2,3100,29.2
2006-11-06,29.2,29.28,29.15,29.2,4400,29.2
2006-11-07,29.32,29.46,29.32,29.32,5100,29.32
2006-11-08,29.3,29.31,29.11,29.3,6200,29.3
2006-11-09,29.3,29.4,29.18,29.3,9300,29.3
2006-11-10,29.26,29.29,29.19,29.26,17400,29.26
2006-11-13,29.22,29.37,28.99,29.22,6900,29.22
2006-11-14,29.36,29.48,29.35,29.36,7000,29.36
2006-11-15,29.47,29.53,29.45,29.47,5200,29.47
2006-11-16,29.52,29.56,29.45,29.52,4600,29.52
2006-11-17,29.53,29.64,29.5,29.53,2300,29.53
2006-11-20,29.41,29.41,29.17,29.41,6100,29.41
2006-11-21,29.56,29.59,29.5,29.56,3900,29.56
2006-11-22,29.76,29.88,29.75,29.76,8500,29.76
2006-11-23,29.76,30.0,29.76,29.76,10400,29.76
2006-11-24,29.4,29.77,29.3,29.4,6100,29.4
2006-11-27,29.39,29.52,29.29,29.39,7300,29.39
2006-11-28,28.9,29.0,28.78,28.9,6700,28.9
2006-11-29,29.32,29.32,29.06,29.32,3600,29.32
2006-11-30,29.32,29.56,29.22,29.32,5700,29.32
2006-12-01,29.2,29.4,29.2,29.2,3200,29.2
2006-12-04,29.26,29.29,29.2,29.26,5900,29.26
2006-12-05,29.26,29.55,29.2,29.26,4900,29.26
2006-12-06,29.6,29.6,29.42,29.6,4700,29.6
