Date,Open,High,Low,Close,Volume,Adj Close
2013-05-24,85.1,85.1,84.83,84.91,9600,84.91
2013-05-29,85.65,85.65,85.65,84.63,1600,84.63
2013-06-11,78.99,78.99,78.81,78.62,3200,78.62
2013-06-14,77.84,77.84,77.84,77.61,1600,77.61
2013-06-24,73.74,73.74,73.74,73.6,1600,73.6
2013-06-26,75.34,75.34,75.34,76.36,1600,76.36
2013-07-05,79.55,79.55,78.45,78.14,3200,78.14
2013-08-07,77.46,77.54,77.46,77.77,4800,77.77
2013-08-19,78.44,78.44,78.43,78.44,4800,78.44
2013-08-27,75.55,75.55,75.55,75.2,0,75.2
2013-08-28,74.8,74.8,74.8,75.48,1600,75.48
2013-09-02,78.91,78.91,78.91,79.22,1600,79.22
2013-09-09,81.12,81.12,81.12,81.02,1600,81.02
2013-09-10,81.75,82.64,81.75,82.34,1600,82.34
2013-09-19,83.29,83.29,83.29,83.39,1600,83.39
2013-09-20,83.4,83.4,83.11,82.87,3200,82.87
2013-10-16,84.21,85.33,84.21,84.8,4200,84.8
2013-10-18,83.63,83.63,83.63,84.14,1600,84.14
2013-11-06,83.93,83.93,83.93,83.5,200,83.5
2013-11-07,83.85,83.85,83.85,83.41,1500,83.41
2013-11-14,81.75,81.75,81.75,81.79,1500,81.79
2013-12-09,83.01,83.01,83.01,82.72,0,82.72
2014-01-09,80.4,80.53,80.4,80.51,4500,80.51
2014-02-05,76.4,76.4,76.4,76.36,1500,76.36
2014-02-18,79.14,79.14,79.14,79.5,200,79.5
2014-03-27,79.96,79.96,79.96,79.96,700,79.96
2014-03-28,80.76,80.76,80.76,81.03,1500,81.03
2014-04-04,82.51,82.51,82.51,82.89,1500,82.89
2014-04-07,81.53,81.53,81.53,81.53,100,81.53
2014-04-16,82.92,82.92,82.92,82.45,100,82.45
2014-06-06,85.85,85.85,85.85,85.85,600,85.85
2014-07-07,89.29,89.29,89.29,89.29,600,89.29
2014-07-10,88.45,88.45,88.45,88.21,100,88.21
2014-07-25,90.66,90.66,90.66,90.66,700,90.66
2014-08-05,91.41,91.41,91.41,91.27,0,91.27
2014-09-01,95.0,95.0,95.0,94.62,0,94.62
2014-09-05,96.57,96.57,96.57,96.29,0,96.29
2014-09-11,95.02,95.02,95.02,94.63,200,94.63
2014-10-02,91.09,91.09,91.09,90.45,1600,90.45
2014-10-08,91.0,91.0,91.0,90.63,10900,90.63
2014-10-10,91.0,91.0,91.0,90.3,0,90.3
2014-10-17,88.66,88.84,88.64,88.84,4300,88.84
2014-10-24,91.37,91.37,91.37,91.22,0,91.22
2014-10-28,91.0,91.0,91.0,91.3,100,91.3
2014-10-29,92.37,93.01,92.37,92.53,400,92.53
2014-11-20,92.17,92.17,92.17,92.77,100,92.77
2014-11-21,94.79,94.79,94.79,95.1,100,95.1
2014-11-25,94.76,94.76,94.76,94.51,0,94.51
2014-12-01,93.8,93.8,93.8,93.43,200,93.43
2014-12-11,92.67,92.67,92.67,92.67,800,92.67
2014-12-16,89.53,89.53,89.53,89.92,1100,89.92
2014-12-18,92.8,92.8,92.8,92.41,0,92.41
2014-12-22,93.93,93.93,93.93,94.19,0,94.19
2015-01-15,100.36,100.36,100.36,101.33,1100,101.33
2015-01-21,102.88,102.88,102.88,102.75,0,102.75
2015-02-05,105.62,105.62,105.62,105.4,0,105.4
2015-02-06,105.38,105.38,105.38,105.38,500,105.38
2015-02-17,105.09,105.09,105.09,105.09,400,105.09
2015-02-20,105.19,105.19,105.19,105.62,500,105.62
2015-02-24,107.03,107.03,107.03,106.71,0,106.71
2015-03-04,108.73,108.73,108.73,108.29,0,108.29
2015-03-11,110.51,110.51,110.51,110.57,0,110.57
2015-03-19,113.39,113.39,113.39,113.07,0,113.07
2015-03-24,111.42,111.42,111.42,110.93,0,110.93
2015-03-27,110.15,110.15,110.15,110.01,100,110.01
2015-03-30,112.18,112.18,112.18,112.46,0,112.46
2015-04-01,113.46,113.46,113.46,113.58,0,113.58
2015-04-07,114.74,114.74,114.74,114.74,0,114.74
2015-04-08,117.96,117.96,117.96,117.99,0,117.99
2015-04-09,120.1,120.1,120.1,120.52,0,120.52
2015-04-14,122.51,122.51,122.51,121.68,0,121.68
2015-04-17,119.02,119.02,119.02,119.3,0,119.3
2015-04-21,122.86,122.86,122.86,120.96,0,120.96
2015-04-27,122.75,122.75,122.75,121.82,0,121.82
2015-04-30,117.37,117.37,116.7,116.19,1600,116.19
2015-05-05,117.19,117.19,117.19,115.53,800,115.53
2015-05-06,112.88,112.88,112.88,113.3,0,113.3
2015-05-08,114.63,114.63,114.63,114.61,0,114.61
2015-05-21,115.14,115.14,115.14,115.59,2200,115.59
2015-05-22,116.73,116.73,116.73,117.84,0,117.84
2015-05-25,118.08,118.08,118.08,118.0,1600,118.0
2015-05-26,119.67,119.67,119.67,118.77,0,118.77
2015-05-28,116.46,116.46,116.46,116.32,0,116.32
2015-05-29,115.8,115.8,115.8,114.93,0,114.93
2015-06-04,110.0,110.0,110.0,110.84,0,110.84
2015-06-05,110.59,111.8,110.59,111.27,5100,111.27
2015-06-09,108.35,108.35,108.35,108.44,0,108.44
2015-06-12,109.16,109.16,109.16,109.24,0,109.24
2015-06-15,107.88,107.88,107.68,108.19,0,108.19
2015-06-16,106.8,106.8,106.8,107.86,0,107.86
2015-07-07,106.05,107.17,106.05,105.84,1600,105.84
2015-07-13,106.86,106.86,106.86,108.06,0,108.06
2015-07-15,107.73,107.73,107.73,107.77,0,107.77
2015-07-20,108.46,108.46,108.46,109.21,0,109.21
