Date,Open,High,Low,Close,Volume,Adj Close
2013-05-28,84.0,84.0,83.86,83.54,100,83.54
2013-05-29,84.0,84.0,83.5,83.02,100,83.02
2013-05-30,83.33,83.33,83.33,83.28,0,83.28
2013-05-31,83.35,83.35,83.35,83.16,0,83.16
2013-06-11,83.23,83.23,83.23,82.64,0,82.64
2013-06-12,83.15,83.15,82.57,82.96,600,82.96
2013-06-19,83.51,83.51,83.49,83.22,0,83.22
2013-06-20,83.51,83.51,83.51,81.38,0,81.38
2013-06-24,80.58,80.58,79.95,80.02,0,80.02
2013-07-01,80.02,80.02,80.02,80.72,0,80.72
2013-07-17,82.44,82.44,82.44,82.1,0,82.1
2013-07-19,82.49,82.49,82.09,82.43,100,82.43
2013-07-23,82.66,82.66,82.66,82.74,0,82.74
2013-07-24,83.0,83.0,82.47,82.19,100,82.19
2013-07-26,81.93,81.93,81.93,81.1,0,81.1
2013-08-26,84.63,84.63,84.63,84.37,0,84.37
2013-09-06,83.16,83.16,83.16,83.96,0,83.96
2013-09-20,82.59,82.59,82.59,82.59,100,82.59
2013-09-25,82.58,82.58,82.58,82.45,0,82.45
2013-10-09,82.69,82.69,82.69,82.23,0,82.23
2013-10-15,82.55,82.55,82.55,82.84,0,82.84
2013-10-16,82.76,82.76,82.76,83.18,0,83.18
2013-10-29,82.0,82.0,82.0,82.22,0,82.22
2013-10-31,82.12,82.12,82.12,81.9,0,81.9
2013-11-06,80.55,80.55,80.55,80.66,0,80.66
2013-11-12,80.53,80.53,80.53,80.71,0,80.71
2013-11-14,80.6,80.6,80.6,80.62,0,80.62
2013-11-20,79.73,79.73,79.73,80.12,1000,80.12
2013-11-29,80.51,80.51,80.51,81.15,0,81.15
2013-12-03,80.45,80.45,80.45,80.96,0,80.96
2014-01-27,79.81,79.81,79.81,79.77,0,79.77
2014-01-29,80.16,80.16,80.16,79.78,300,79.78
2014-03-31,84.0,84.0,84.0,83.45,600,83.45
2014-04-10,85.06,85.06,85.06,84.88,3000,84.88
