Date,Open,High,Low,Close,Volume,Adj Close
2009-10-16,68.73,68.73,68.73,68.73,0,68.73
2009-10-19,68.72,68.72,68.72,68.72,0,68.72
2009-10-20,69.13,69.13,69.13,69.13,0,69.13
2009-10-21,68.53,68.53,68.53,68.53,0,68.53
2009-10-22,68.49,68.49,68.49,68.49,0,68.49
2009-10-23,68.2,68.2,68.2,68.2,0,68.2
2009-10-26,68.39,68.39,68.39,68.39,0,68.39
2009-10-27,68.65,69.29,68.65,68.65,0,68.65
2009-10-28,69.43,70.08,69.43,69.43,0,69.43
2009-10-29,68.53,69.18,68.53,68.53,0,68.53
2009-10-30,69.18,69.85,69.18,69.18,0,69.18
2009-11-02,69.24,69.24,69.24,69.24,0,69.24
2009-11-03,69.85,69.85,69.85,69.85,0,69.85
2009-11-04,68.71,68.71,68.71,68.71,0,68.71
2009-11-05,68.48,68.48,68.48,68.48,0,68.48
2009-11-06,68.74,68.74,68.74,68.74,0,68.74
2009-11-09,68.22,68.22,68.22,68.22,0,68.22
2009-11-10,68.67,68.67,68.67,68.67,0,68.67
2009-11-11,68.41,68.41,68.41,68.41,0,68.41
2009-11-12,69.05,69.05,69.05,69.05,0,69.05
2009-11-13,69.02,69.02,69.02,69.02,0,69.02
2009-11-16,68.92,68.92,68.92,68.92,0,68.92
2009-11-17,69.79,69.79,69.79,69.79,0,69.79
2009-11-18,69.1,69.1,69.1,69.1,0,69.1
2009-11-19,69.86,69.86,69.86,69.86,1400,69.86
2009-11-20,69.82,69.95,69.82,69.95,200,69.95
2009-11-23,68.9,68.9,68.9,68.9,0,68.9
2009-11-24,69.35,69.35,69.35,69.35,0,69.35
2009-11-25,69.0,69.0,69.0,69.0,0,69.0
2009-11-26,69.45,69.45,69.45,69.45,0,69.45
2009-11-27,69.76,69.76,69.76,69.76,0,69.76
2009-11-30,69.72,69.72,69.72,69.72,0,69.72
2009-12-01,69.58,69.58,69.58,69.58,0,69.58
2009-12-02,69.53,69.53,69.53,69.53,0,69.53
2009-12-03,68.92,68.92,68.92,68.92,0,68.92
2009-12-04,69.21,69.21,69.21,69.21,0,69.21
2009-12-07,69.78,69.78,69.78,69.78,0,69.78
2009-12-08,70.55,70.55,70.55,70.55,0,70.55
2009-12-09,70.46,70.46,70.46,70.46,0,70.46
2009-12-10,70.01,70.01,70.01,70.01,0,70.01
2009-12-11,70.32,70.32,70.32,70.32,0,70.32
2009-12-14,70.12,70.12,70.12,70.12,0,70.12
2009-12-15,70.41,70.41,70.41,70.41,0,70.41
2009-12-16,70.45,70.45,70.45,70.45,0,70.45
2009-12-17,71.85,71.85,71.85,71.85,0,71.85
2009-12-18,72.27,72.27,72.27,72.27,0,72.27
2009-12-21,71.38,71.38,71.38,71.38,0,71.38
2009-12-22,71.34,71.34,71.34,71.34,0,71.34
2009-12-23,71.04,71.04,71.04,71.04,0,71.04
2009-12-28,70.39,70.39,70.39,70.39,0,70.39
2009-12-29,70.35,70.35,70.35,70.35,0,70.35
2009-12-30,70.47,71.14,70.47,70.47,0,70.47
2010-01-04,70.07,70.07,70.07,70.07,0,70.07
2010-01-05,70.26,70.26,70.26,70.26,0,70.26
2010-01-06,70.38,70.38,70.38,70.38,6000,70.38
2010-01-07,70.75,70.75,70.75,70.75,0,70.75
2010-01-08,70.57,70.57,70.57,70.57,0,70.57
2010-01-11,69.65,69.65,69.65,69.65,0,69.65
2010-01-12,70.09,70.09,70.09,70.09,0,70.09
2010-01-13,70.39,70.39,70.39,70.39,0,70.39
2010-01-14,70.36,70.36,70.36,70.36,0,70.36
2010-01-15,71.22,71.22,71.22,71.22,0,71.22
2010-01-18,71.19,71.19,71.19,71.19,0,71.19
2010-01-19,71.65,71.65,71.65,71.65,0,71.65
2010-01-20,72.73,72.73,72.73,72.73,0,72.73
2010-01-21,73.13,73.13,73.13,73.13,0,73.13
2010-01-22,72.61,72.61,72.61,72.61,0,72.61
2010-01-25,72.65,72.65,72.65,72.65,0,72.65
2010-01-26,73.12,73.12,73.12,73.12,0,73.12
2010-01-27,73.31,73.31,73.31,73.31,0,73.31
2010-01-28,73.35,73.35,73.35,73.35,0,73.35
2010-01-29,73.65,73.95,73.65,73.65,0,73.65
2010-02-01,73.7,73.7,73.7,73.7,0,73.7
2010-02-02,73.7,73.7,73.7,73.7,100,73.7
2010-02-03,73.33,73.33,73.33,73.33,0,73.33
2010-02-04,74.65,74.65,74.65,74.65,0,74.65
2010-02-05,75.38,75.59,75.38,75.38,0,75.38
2010-02-08,75.2,75.2,75.2,75.2,0,75.2
2010-02-09,75.11,75.11,75.11,75.11,0,75.11
2010-02-10,75.73,75.73,75.73,75.73,0,75.73
2010-02-11,75.59,75.59,75.59,75.59,0,75.59
2010-02-12,75.56,75.56,75.56,75.56,0,75.56
2010-02-15,75.19,75.19,75.19,75.19,1400,75.19
2010-02-16,74.75,74.75,74.75,74.75,0,74.75
2010-02-17,75.36,75.36,75.36,75.36,0,75.36
2010-02-18,75.03,75.03,75.03,75.03,0,75.03
2010-02-19,75.52,75.52,75.52,75.52,0,75.52
2010-02-22,75.07,75.07,75.07,75.07,0,75.07
2010-02-23,75.69,75.69,75.69,75.69,0,75.69
2010-02-24,75.81,75.81,75.81,75.81,0,75.81
2010-02-25,76.73,76.73,76.73,76.73,600,76.73
2010-02-26,76.17,76.17,76.17,76.17,0,76.17
2010-03-01,76.47,76.47,76.47,76.47,0,76.47
2010-03-02,76.18,76.18,76.18,76.18,0,76.18
2010-03-03,75.72,75.72,75.55,75.55,0,75.55
2010-03-04,75.76,75.76,75.76,75.76,0,75.76
2010-03-05,75.52,75.52,75.52,75.52,0,75.52
2010-03-08,75.57,75.57,75.57,75.57,0,75.57
2010-03-09,76.3,76.3,76.3,76.3,0,76.3
2010-03-10,76.06,76.06,76.06,76.06,0,76.06
2010-03-11,75.65,76.1,75.5,75.5,200,75.5
2010-03-12,74.72,74.72,74.72,74.72,0,74.72
2010-03-15,75.22,75.43,75.22,75.31,800,75.31
2010-03-16,75.47,75.47,75.47,75.47,0,75.47
2010-03-17,75.25,75.25,75.25,75.25,0,75.25
2010-03-18,75.47,75.47,75.47,75.47,700,75.47
2010-03-19,75.77,76.38,75.77,76.38,100,76.38
2010-03-22,76.16,76.54,76.16,76.16,0,76.16
2010-03-23,76.77,76.77,76.77,76.77,0,76.77
2010-03-24,76.63,77.01,76.63,76.63,0,76.63
2010-03-25,76.15,76.53,76.15,76.15,0,76.15
2010-03-26,76.48,76.48,76.25,76.25,0,76.25
2010-03-29,75.77,75.77,75.77,75.77,0,75.77
2010-03-30,76.08,76.08,76.08,76.08,0,76.08
2010-03-31,76.24,76.24,76.24,76.24,0,76.24
2010-04-01,76.07,76.12,76.07,76.08,100,76.08
2010-04-06,75.52,75.68,75.52,75.68,100,75.68
2010-04-07,76.15,76.15,76.15,76.15,0,76.15
2010-04-08,76.66,76.66,76.66,76.66,0,76.66
2010-04-09,75.75,75.75,75.75,75.75,0,75.75
2010-04-12,74.75,74.75,74.75,74.75,600,74.75
2010-04-13,75.7,75.7,75.7,75.7,0,75.7
2010-04-14,75.28,75.28,75.28,75.28,0,75.28
2010-04-15,75.66,75.66,75.66,75.66,0,75.66
2010-04-16,76.44,76.44,76.44,76.44,0,76.44
2010-04-19,76.64,76.64,76.64,76.64,0,76.64
2010-04-20,76.61,76.61,76.61,76.61,0,76.61
2010-04-21,77.22,77.22,77.22,77.22,0,77.22
2010-04-22,77.95,77.95,77.95,77.95,0,77.95
2010-04-23,77.0,77.0,77.0,77.0,0,77.0
2010-04-26,77.33,77.33,77.33,77.33,0,77.33
2010-04-27,77.33,77.33,77.33,77.33,0,77.33
2010-04-28,77.94,77.94,77.94,77.94,0,77.94
2010-04-29,78.32,78.32,77.8,77.8,300,77.8
2010-04-30,78.0,78.0,78.0,78.0,0,78.0
2010-05-03,78.78,78.78,78.78,78.78,1700,78.78
2010-05-04,78.84,78.84,78.84,78.84,0,78.84
2010-05-05,81.48,81.48,81.48,81.48,0,81.48
2010-05-06,82.8,82.8,82.8,82.8,0,82.8
2010-05-07,82.2,82.2,82.2,82.2,300,82.2
2010-05-10,81.48,81.48,81.48,81.48,0,81.48
2010-05-11,81.0,81.0,81.0,81.0,100,81.0
2010-05-12,82.85,82.85,82.24,82.63,300,82.63
2010-05-13,83.46,83.46,83.46,83.46,0,83.46
2010-05-14,85.43,85.43,85.43,85.43,0,85.43
2010-05-17,85.38,85.38,85.38,85.38,0,85.38
2010-05-18,85.53,85.53,85.53,85.53,0,85.53
2010-05-19,87.15,87.15,87.15,87.15,0,87.15
2010-05-20,86.73,86.73,86.73,86.73,0,86.73
2010-05-21,85.6,85.64,85.6,85.64,2100,85.64
2010-05-24,86.74,86.74,86.74,86.74,0,86.74
2010-05-25,88.23,88.23,88.23,88.23,2100,88.23
2010-05-26,87.75,87.75,87.75,87.75,0,87.75
2010-05-27,86.99,87.02,86.99,87.02,6300,87.02
2010-05-28,86.43,86.43,86.43,86.43,0,86.43
2010-05-31,86.74,86.74,86.74,86.74,0,86.74
2010-06-01,87.0,87.0,87.0,87.0,0,87.0
2010-06-02,87.55,87.55,87.55,87.55,0,87.55
2010-06-03,86.46,86.46,86.46,86.46,2100,86.46
2010-06-04,89.2,89.2,89.2,89.2,0,89.2
2010-06-07,90.46,90.46,90.46,90.46,200,90.46
2010-06-08,90.46,90.46,90.46,90.46,100,90.46
2010-06-09,89.05,89.05,89.05,89.05,0,89.05
2010-06-10,88.87,88.87,88.87,88.87,1200,88.87
2010-06-11,88.87,88.87,88.87,88.87,0,88.87
2010-06-14,87.3,87.3,87.3,87.3,0,87.3
2010-06-15,87.11,87.11,87.11,87.11,0,87.11
2010-06-16,86.87,86.87,86.87,86.87,0,86.87
2010-06-17,87.14,87.14,86.75,86.76,6300,86.76
2010-06-18,87.12,87.12,87.12,87.12,0,87.12
2010-06-21,86.54,86.54,86.54,86.54,0,86.54
2010-06-22,87.95,87.95,87.95,87.95,0,87.95
2010-06-23,88.62,88.62,88.62,88.62,0,88.62
2010-06-24,87.86,88.55,87.86,88.26,0,88.26
2010-06-25,88.38,88.38,88.38,88.38,0,88.38
2010-06-28,88.44,88.44,88.44,88.44,0,88.44
2010-06-29,89.91,89.91,89.91,89.91,0,89.91
2010-06-30,89.24,89.24,89.24,89.24,0,89.24
2010-07-01,88.42,88.42,88.42,88.42,0,88.42
2010-07-02,88.07,88.07,88.07,88.07,0,88.07
2010-07-05,87.51,87.51,87.51,87.51,0,87.51
2010-07-06,86.82,86.82,86.82,86.82,0,86.82
2010-07-07,87.79,87.79,87.79,87.79,100,87.79
2010-07-08,86.45,86.45,86.45,86.45,0,86.45
2010-07-09,86.45,86.45,86.45,86.45,0,86.45
2010-07-12,86.96,86.96,86.96,86.96,0,86.96
2010-07-13,87.08,87.08,87.08,87.08,0,87.08
2010-07-14,85.3,85.3,85.3,85.3,0,85.3
2010-07-15,85.31,85.31,85.31,85.31,0,85.31
2010-07-16,85.45,85.45,85.45,85.45,0,85.45
2010-07-19,85.11,85.11,85.11,85.11,0,85.11
2010-07-20,85.47,85.47,85.47,85.47,0,85.47
2010-07-21,86.33,86.33,86.33,86.33,0,86.33
2010-07-22,86.43,86.43,86.23,86.23,0,86.23
2010-07-23,85.98,85.98,85.98,85.98,0,85.98
2010-07-26,84.69,84.69,84.69,84.69,0,84.69
2010-07-27,84.72,84.72,84.72,84.72,0,84.72
2010-07-28,84.37,84.37,84.37,84.37,0,84.37
2010-07-29,84.42,84.42,84.42,84.42,0,84.42
2010-07-30,85.09,85.09,85.09,85.09,0,85.09
2010-08-02,83.83,84.17,83.83,83.83,0,83.83
2010-08-03,84.06,84.16,84.0,84.06,0,84.06
2010-08-04,83.92,83.92,83.92,83.92,0,83.92
2010-08-05,84.62,84.62,84.62,84.62,100,84.62
2010-08-06,84.29,84.29,84.29,84.29,0,84.29
2010-08-09,84.41,84.41,84.41,84.41,0,84.41
2010-08-10,85.33,85.33,85.33,85.33,0,85.33
2010-08-11,87.71,87.71,87.71,87.71,0,87.71
2010-08-12,88.0,88.0,87.9,87.9,0,87.9
2010-08-13,88.59,88.59,88.59,88.59,0,88.59
2010-08-16,88.51,88.51,88.51,88.51,0,88.51
2010-08-17,88.09,88.09,88.09,88.09,0,88.09
2010-08-18,88.41,88.41,88.41,88.41,0,88.41
2010-08-19,88.48,88.48,88.48,88.48,0,88.48
2010-08-20,89.79,89.79,89.79,89.79,0,89.79
2010-08-23,89.22,89.22,89.22,89.22,0,89.22
2010-08-24,90.06,90.06,90.06,90.06,0,90.06
2010-08-25,90.63,90.63,90.63,90.63,0,90.63
2010-08-26,90.13,90.13,90.13,90.13,0,90.13
2010-08-27,90.2,90.2,90.2,90.2,0,90.2
2010-08-30,88.78,88.78,88.78,88.78,0,88.78
2010-08-31,90.21,90.21,90.21,90.21,0,90.21
2010-09-01,88.82,89.29,88.51,89.29,12100,89.29
2010-09-02,88.17,88.6,88.17,88.6,100,88.6
2010-09-03,87.46,87.46,87.46,87.46,12400,87.46
2010-09-06,87.54,87.54,87.54,87.54,100,87.54
2010-09-07,89.05,89.3,89.05,89.21,21000,89.21
2010-09-08,89.21,89.21,89.21,89.21,0,89.21
2010-09-09,88.49,88.49,88.49,88.49,0,88.49
2010-09-10,88.11,88.11,88.11,88.11,500,88.11
2010-09-13,87.37,87.37,87.16,87.16,0,87.16
2010-09-14,87.01,87.01,87.01,87.01,100,87.01
2010-09-15,87.19,87.19,86.87,86.87,200,86.87
2010-09-16,87.06,87.06,85.93,85.93,200,85.93
2010-09-17,85.13,85.94,85.13,85.94,400,85.94
2010-09-20,86.07,86.07,86.07,86.07,0,86.07
2010-09-21,86.35,86.36,86.35,86.35,2400,86.35
2010-09-22,86.07,86.07,84.92,85.4,400,85.4
2010-09-23,85.88,85.88,85.88,85.88,0,85.88
2010-09-24,85.67,85.67,85.37,85.37,200,85.37
2010-09-27,84.84,84.84,84.84,84.84,0,84.84
2010-09-28,85.69,85.69,85.45,85.45,300,85.45
2010-09-29,84.37,84.37,84.37,84.37,0,84.37
2010-09-30,84.36,84.36,83.82,84.24,200,84.24
2010-10-01,83.42,83.42,83.06,83.36,100,83.36
2010-10-04,84.0,84.0,84.0,84.0,0,84.0
2010-10-05,83.22,83.22,83.22,83.22,0,83.22
2010-10-06,83.35,83.35,83.35,83.35,0,83.35
2010-10-07,83.07,83.07,83.07,83.07,0,83.07
2010-10-08,83.43,83.43,83.43,83.43,0,83.43
2010-10-11,83.56,83.56,83.56,83.56,0,83.56
2010-10-12,83.93,83.93,83.93,83.93,0,83.93
2010-10-13,82.66,82.66,82.66,82.66,0,82.66
2010-10-14,82.12,82.12,82.12,82.12,0,82.12
2010-10-15,81.94,81.94,81.94,81.94,0,81.94
2010-10-18,82.63,82.63,82.63,82.63,0,82.63
2010-10-19,83.53,83.53,83.53,83.53,0,83.53
2010-10-20,82.71,82.71,82.71,82.71,0,82.71
2010-10-21,82.4,82.46,82.4,82.46,0,82.46
2010-10-22,82.57,82.57,82.57,82.57,0,82.57
2010-10-25,82.23,82.23,82.23,82.23,0,82.23
2010-10-26,82.41,82.78,82.41,82.56,200,82.56
2010-10-27,82.69,82.69,82.69,82.69,0,82.69
2010-10-28,82.34,82.34,82.0,82.15,0,82.15
2010-10-29,82.25,82.25,82.25,82.25,0,82.25
2010-11-01,78.12,82.54,78.12,78.12,0,78.12
2010-11-02,78.12,82.13,78.12,78.12,0,78.12
2010-11-03,78.12,82.36,78.12,78.12,0,78.12
2010-11-04,78.12,81.9,78.12,78.12,0,78.12
2010-11-05,78.12,82.71,78.12,78.12,0,78.12
2010-11-08,83.47,83.47,83.47,83.47,0,83.47
2010-11-09,83.29,83.29,83.29,83.29,0,83.29
2010-11-10,83.39,83.39,83.39,83.39,0,83.39
