Date,Open,High,Low,Close,Volume,Adj Close
2010-03-09,74.02,74.02,74.02,74.02,0,74.02
2010-03-10,73.95,73.95,73.95,73.95,0,73.95
2010-03-11,73.95,73.95,73.95,73.95,0,73.95
2010-03-12,73.75,73.75,73.75,73.75,0,73.75
2010-03-15,73.86,73.86,73.86,73.86,0,73.86
2010-03-16,73.9,73.9,73.9,73.9,0,73.9
2010-03-17,73.9,73.9,73.9,73.9,0,73.9
2010-03-18,73.9,73.9,73.9,73.9,0,73.9
2010-03-19,73.9,73.9,73.9,73.9,0,73.9
2010-03-22,75.58,75.93,75.58,75.58,0,75.58
2010-03-23,75.83,76.09,75.83,75.83,0,75.83
2010-03-24,76.99,77.26,76.99,76.99,0,76.99
2010-03-25,77.62,78.13,77.62,77.62,0,77.62
2010-03-26,73.9,76.95,73.9,73.9,0,73.9
2010-03-29,76.93,76.93,76.93,76.93,0,76.93
2010-03-30,76.91,76.91,76.91,76.91,0,76.91
2010-03-31,77.17,77.17,77.17,77.17,0,77.17
2010-04-01,76.44,76.44,76.44,76.44,0,76.44
2010-04-06,77.82,77.82,77.82,77.82,0,77.82
2010-04-07,78.18,78.18,78.18,78.18,0,78.18
2010-04-08,77.74,77.74,77.74,77.74,0,77.74
2010-04-09,77.57,77.57,77.57,77.57,0,77.57
2010-04-12,77.29,77.29,77.29,77.29,0,77.29
2010-04-13,77.51,77.51,77.51,77.51,0,77.51
2010-04-14,77.9,77.9,77.9,77.9,0,77.9
2010-04-15,79.14,79.14,79.14,79.14,0,79.14
2010-04-16,78.87,78.87,78.87,78.87,0,78.87
2010-04-19,78.42,78.42,78.42,78.42,0,78.42
2010-04-20,79.11,79.11,79.11,79.11,0,79.11
2010-04-21,79.85,79.85,79.85,79.85,0,79.85
2010-04-22,79.95,79.95,79.95,79.95,0,79.95
2010-04-23,80.51,80.51,80.51,80.51,0,80.51
2010-04-26,81.09,81.09,81.09,81.09,0,81.09
2010-04-27,80.49,80.49,80.49,80.49,0,80.49
2010-04-28,80.04,80.04,80.04,80.04,0,80.04
2010-04-29,81.11,81.11,81.11,81.11,0,81.11
2010-04-30,80.59,80.59,80.59,80.59,0,80.59
2010-05-03,80.14,80.14,80.14,80.14,0,80.14
2010-05-04,80.03,80.03,80.03,80.03,900,80.03
2010-05-05,80.43,80.43,80.43,80.43,0,80.43
2010-05-06,80.57,80.57,80.57,80.57,0,80.57
2010-05-07,77.55,77.55,77.55,77.55,0,77.55
2010-05-10,79.43,79.43,79.43,79.43,0,79.43
2010-05-11,80.81,80.81,80.81,80.81,0,80.81
2010-05-12,81.83,81.83,81.83,81.83,0,81.83
2010-05-13,82.81,82.81,82.81,82.81,0,82.81
2010-05-14,80.66,80.66,80.66,80.66,0,80.66
2010-05-17,81.68,81.68,81.68,81.68,100,81.68
2010-05-18,81.33,81.33,81.33,81.33,0,81.33
2010-05-19,79.52,79.52,79.52,79.52,0,79.52
2010-05-20,77.61,77.61,77.61,77.61,0,77.61
2010-05-21,76.4,76.4,76.4,76.4,0,76.4
2010-05-24,77.83,77.83,77.83,77.83,0,77.83
2010-05-25,76.6,76.6,76.6,76.6,0,76.6
2010-05-26,79.29,79.29,79.29,79.29,0,79.29
2010-05-27,78.89,78.89,78.89,78.89,0,78.89
2010-05-28,79.03,79.03,79.03,79.03,0,79.03
2010-05-31,79.74,79.74,79.74,79.74,0,79.74
2010-06-01,79.95,79.95,79.95,79.95,0,79.95
2010-06-02,80.05,80.05,80.05,80.05,0,80.05
2010-06-03,81.57,81.57,81.57,81.57,0,81.57
2010-06-04,81.73,81.73,81.73,81.73,0,81.73
2010-06-07,80.08,80.08,80.08,80.08,0,80.08
2010-06-08,79.57,79.57,79.57,79.57,0,79.57
2010-06-09,79.33,79.33,79.33,79.33,0,79.33
2010-06-10,78.55,78.9,78.55,78.78,100,78.78
2010-06-11,79.49,79.49,79.49,79.49,0,79.49
2010-06-14,80.17,80.17,80.17,80.17,0,80.17
2010-06-15,80.06,80.06,80.06,80.06,0,80.06
2010-06-16,81.04,81.04,81.04,81.04,0,81.04
2010-06-17,81.03,81.03,81.03,81.03,100,81.03
2010-06-18,81.62,81.62,81.62,81.62,0,81.62
2010-06-21,82.5,82.5,82.25,82.25,0,82.25
2010-06-22,81.53,81.53,81.53,81.53,0,81.53
2010-06-23,80.36,80.36,80.36,80.36,0,80.36
2010-06-24,78.8,78.8,78.8,78.8,0,78.8
2010-06-25,78.29,78.29,78.29,78.29,0,78.29
2010-06-28,78.58,78.58,78.58,78.58,0,78.58
2010-06-29,76.89,76.89,76.89,76.89,0,76.89
2010-06-30,76.02,76.02,76.02,76.02,0,76.02
2010-07-01,72.43,72.43,72.43,72.43,0,72.43
2010-07-02,73.01,73.01,73.01,73.01,0,73.01
2010-07-05,72.15,72.15,72.15,72.15,0,72.15
2010-07-06,72.95,72.95,72.95,72.95,0,72.95
2010-07-07,73.18,73.18,73.18,73.18,0,73.18
