Date,Open,High,Low,Close,Volume,Adj Close
2010-03-09,70.71,70.71,70.71,70.71,0,70.71
2010-03-10,71.01,71.01,71.01,71.01,0,71.01
2010-03-11,71.62,71.62,71.62,71.62,0,71.62
2010-03-12,71.62,71.62,71.62,71.62,0,71.62
2010-03-15,71.62,71.62,71.62,71.62,0,71.62
2010-03-16,71.62,71.62,71.62,71.62,0,71.62
2010-03-17,71.62,71.62,71.62,71.62,0,71.62
2010-03-18,71.62,71.62,71.62,71.62,0,71.62
2010-03-19,71.62,71.62,71.62,71.62,0,71.62
2010-03-22,71.89,72.61,71.89,71.89,0,71.89
2010-03-23,72.47,73.19,72.47,72.47,0,72.47
2010-03-24,72.49,73.21,72.49,72.49,0,72.49
2010-03-25,73.1,73.82,73.1,73.1,0,73.1
2010-03-26,73.18,73.18,73.18,73.18,100,73.18
2010-03-29,73.07,73.07,73.07,73.07,0,73.07
2010-03-30,73.38,73.38,73.38,73.38,0,73.38
2010-03-31,73.15,73.15,73.15,73.15,0,73.15
2010-04-01,74.42,74.42,74.42,74.42,0,74.42
2010-04-06,75.53,75.53,75.53,75.53,0,75.53
2010-04-07,75.7,75.7,75.7,75.7,0,75.7
2010-04-08,75.13,75.13,75.13,75.13,0,75.13
2010-04-09,75.64,75.64,75.64,75.64,0,75.64
2010-04-12,75.26,75.26,75.26,75.26,0,75.26
2010-04-13,75.03,75.03,75.03,75.03,0,75.03
2010-04-14,75.71,75.71,75.71,75.71,0,75.71
2010-04-15,76.59,76.59,76.59,76.59,0,76.59
2010-04-16,75.52,75.52,75.52,75.52,0,75.52
2010-04-19,74.87,74.87,74.87,74.87,0,74.87
2010-04-20,75.97,75.97,75.97,75.97,0,75.97
2010-04-21,75.95,75.95,75.95,75.95,0,75.95
2010-04-22,75.46,75.46,75.46,75.46,0,75.46
2010-04-23,75.85,75.85,75.85,75.85,0,75.85
2010-04-26,76.93,76.93,76.93,76.93,0,76.93
2010-04-27,74.98,74.98,74.98,74.98,0,74.98
2010-04-28,74.6,74.6,74.6,74.6,0,74.6
2010-04-29,74.59,74.59,74.59,74.59,0,74.59
2010-04-30,73.8,73.8,73.8,73.8,0,73.8
2010-05-03,74.2,74.2,74.2,74.2,0,74.2
2010-05-04,72.36,72.36,72.36,72.36,0,72.36
2010-05-05,72.69,72.69,72.69,72.69,0,72.69
2010-05-06,71.76,71.76,71.76,71.76,0,71.76
2010-05-07,69.15,69.15,69.15,69.15,0,69.15
2010-05-10,72.55,72.55,72.55,72.55,0,72.55
2010-05-11,72.45,72.45,72.45,72.45,0,72.45
2010-05-12,73.42,73.42,73.42,73.42,400,73.42
2010-05-13,73.31,73.31,73.31,73.31,0,73.31
2010-05-14,71.34,71.34,71.34,71.34,0,71.34
2010-05-17,71.21,71.21,71.21,71.21,0,71.21
2010-05-18,71.61,71.61,71.61,71.61,0,71.61
2010-05-19,69.72,69.72,69.72,69.72,0,69.72
2010-05-20,67.96,67.96,67.96,67.96,0,67.96
2010-05-21,67.62,67.62,67.62,67.62,0,67.62
2010-05-24,68.28,68.28,68.28,68.28,0,68.28
2010-05-25,67.26,67.26,67.26,67.26,0,67.26
2010-05-26,69.14,69.14,69.14,69.14,0,69.14
2010-05-27,70.78,70.78,70.78,70.78,0,70.78
2010-05-28,70.5,70.5,70.5,70.5,0,70.5
2010-05-31,70.95,70.95,70.95,70.95,0,70.95
2010-06-01,71.2,71.2,71.2,71.2,0,71.2
2010-06-02,71.58,71.58,71.58,71.58,0,71.58
2010-06-03,72.57,72.57,72.57,72.57,0,72.57
2010-06-04,71.81,71.81,71.81,71.81,0,71.81
2010-06-07,71.38,71.38,71.38,71.38,0,71.38
2010-06-08,70.02,70.02,70.02,70.02,0,70.02
2010-06-09,71.38,71.38,71.38,71.38,0,71.38
2010-06-10,72.2,72.2,72.2,72.2,0,72.2
2010-06-11,72.22,72.22,72.22,72.22,0,72.22
2010-06-14,72.75,72.75,72.75,72.75,0,72.75
2010-06-15,73.03,73.03,73.03,73.03,0,73.03
2010-06-16,73.12,73.12,73.12,73.12,0,73.12
2010-06-17,73.1,73.1,73.1,73.1,0,73.1
2010-06-18,73.05,73.05,73.05,73.05,0,73.05
2010-06-21,73.35,73.35,73.35,73.35,0,73.35
2010-06-22,73.48,73.48,73.48,73.48,0,73.48
2010-06-23,73.28,73.28,73.28,73.28,0,73.28
2010-06-24,71.9,71.9,71.9,71.9,0,71.9
2010-06-25,71.24,71.24,71.24,71.24,0,71.24
2010-06-28,71.92,71.92,71.92,71.92,0,71.92
2010-06-29,70.78,70.78,70.78,70.78,0,70.78
2010-06-30,69.63,69.63,69.63,69.63,0,69.63
2010-07-01,68.11,68.11,68.11,68.11,0,68.11
2010-07-02,67.78,67.78,67.78,67.78,0,67.78
2010-07-05,67.73,67.73,67.73,67.73,0,67.73
2010-07-06,69.1,69.1,69.1,69.1,0,69.1
2010-07-07,69.92,69.92,69.92,69.92,0,69.92
2010-07-08,70.67,70.67,70.67,70.67,0,70.67
2010-07-09,71.2,71.2,71.2,71.2,0,71.2
2010-07-12,71.59,71.59,71.59,71.59,0,71.59
2010-07-13,72.94,72.94,72.94,72.94,0,72.94
2010-07-14,72.84,72.84,72.84,72.84,0,72.84
2010-07-15,71.96,71.96,71.96,71.96,0,71.96
2010-07-16,70.96,70.96,70.96,70.96,0,70.96
