Date,Open,High,Low,Close,Volume,Adj Close
2013-04-09,103.0,103.0,102.71,101.94,0,101.94
2013-04-24,99.92,101.55,99.92,100.96,0,100.96
2013-04-25,101.12,101.12,101.12,100.77,0,100.77
2013-04-26,101.22,101.22,101.22,100.77,0,100.77
2013-05-14,102.01,102.01,102.01,100.92,0,100.92
2013-05-22,101.08,101.08,101.08,101.15,0,101.15
2013-05-29,100.88,100.88,100.88,100.72,0,100.72
2013-05-30,101.36,101.37,100.44,100.11,200,100.11
2013-06-03,100.92,100.92,99.77,99.44,100,99.44
2013-06-04,100.51,100.51,100.51,99.55,0,99.55
2013-06-07,99.15,99.15,97.45,97.95,200,97.95
2013-06-10,97.79,97.79,97.79,97.31,100,97.31
2013-06-11,96.37,96.37,96.1,98.03,0,98.03
2013-06-20,99.99,103.31,99.99,103.33,400,103.33
2013-06-21,103.8,105.5,102.0,105.3,200,105.3
2013-06-24,104.87,107.92,104.87,108.21,0,108.21
2013-06-25,107.92,107.92,105.29,107.12,0,107.12
2013-06-26,106.98,106.98,106.98,107.96,0,107.96
2013-06-28,106.49,106.49,104.9,104.48,100,104.48
2013-07-05,103.45,103.45,103.45,103.9,0,103.9
2013-07-09,99.99,99.99,99.99,100.28,100,100.28
2013-07-10,101.23,101.23,101.23,99.85,100,99.85
2013-07-11,97.79,97.79,97.79,97.67,0,97.67
2013-07-17,97.04,97.04,97.04,97.08,0,97.08
2013-07-22,96.5,96.5,96.5,96.31,0,96.31
2013-07-26,95.74,96.09,95.74,95.86,200,95.86
2013-07-29,96.67,96.67,96.09,96.01,300,96.01
2013-07-30,95.8,95.8,95.8,95.92,100,95.92
2013-07-31,96.0,96.0,96.0,95.83,200,95.83
2013-08-01,96.78,96.78,96.78,96.02,100,96.02
2013-08-06,95.96,95.96,95.96,95.71,100,95.71
2013-08-07,95.59,95.78,95.59,95.39,0,95.39
2013-08-09,95.86,95.86,95.86,95.24,0,95.24
2013-08-13,96.41,96.41,96.41,95.99,0,95.99
2013-08-14,96.13,96.13,96.13,95.86,0,95.86
2013-08-16,94.86,94.86,94.86,95.35,0,95.35
2013-08-19,95.54,95.54,95.54,95.24,0,95.24
2013-08-20,94.94,94.94,94.94,94.63,100,94.63
2013-08-27,96.96,96.96,96.07,95.11,0,95.11
2013-08-29,95.25,95.25,95.25,96.25,0,96.25
2013-08-30,96.23,96.7,96.23,97.0,100,97.0
2013-09-05,96.29,96.29,96.29,95.88,0,95.88
2013-09-06,96.29,96.29,96.29,95.22,200,95.22
2013-09-10,93.93,93.93,91.91,91.5,300,91.5
2013-09-11,91.31,91.31,89.89,89.5,300,89.5
2013-09-12,88.88,89.26,88.0,88.01,100,88.01
2013-09-13,88.56,88.56,88.5,88.57,0,88.57
2013-09-16,87.23,87.23,87.23,86.92,300,86.92
2013-09-17,86.93,88.42,86.93,87.07,600,87.07
2013-09-18,88.08,88.08,87.86,87.73,900,87.73
2013-09-19,86.0,86.0,85.58,85.39,200,85.39
2013-09-24,86.5,86.5,86.5,86.22,0,86.22
2013-09-27,86.89,86.89,86.89,85.93,0,85.93
2013-09-30,86.0,86.27,86.0,85.87,200,85.87
2013-10-04,86.04,86.04,86.04,85.41,200,85.41
2013-10-07,86.36,86.36,86.36,85.87,0,85.87
2013-10-09,86.63,87.5,86.63,87.66,0,87.66
2013-10-10,86.27,86.8,86.27,85.04,6700,85.04
2013-10-11,83.83,83.83,83.83,83.06,100,83.06
2013-10-16,82.82,82.82,82.82,82.24,0,82.24
2013-10-17,80.7,80.7,79.79,79.89,200,79.89
2013-10-18,79.14,79.14,77.36,76.87,200,76.87
2013-10-21,77.0,77.72,76.61,77.28,200,77.28
2013-10-28,77.72,77.72,77.72,77.47,0,77.47
2013-10-29,78.34,78.34,78.34,77.7,0,77.7
2013-10-31,79.0,79.0,79.0,78.6,0,78.6
2013-11-05,79.79,80.01,79.79,79.27,100,79.27
2013-11-06,79.64,79.64,79.64,78.98,0,78.98
2013-11-07,79.14,80.24,79.14,79.73,200,79.73
2013-11-08,79.88,79.88,79.88,80.02,0,80.02
2013-11-12,79.77,79.77,79.77,79.54,100,79.54
2013-11-19,78.76,78.76,78.76,78.57,0,78.57
2013-11-22,78.77,78.77,78.77,78.44,0,78.44
2013-12-10,77.3,77.3,77.3,76.96,0,76.96
2013-12-16,77.09,77.09,77.09,76.9,0,76.9
2013-12-18,76.67,76.67,76.67,76.29,0,76.29
2013-12-19,75.13,75.13,75.13,76.19,0,76.19
2013-12-20,76.75,76.75,76.75,76.18,0,76.18
2013-12-27,75.34,75.34,75.0,74.88,100,74.88
2014-01-03,75.0,75.0,75.0,75.61,0,75.61
2014-01-09,76.33,76.33,76.33,75.71,0,75.71
2014-01-15,75.15,75.15,75.15,75.7,100,75.7
2014-01-17,76.0,76.0,76.0,75.83,0,75.83
2014-01-21,76.33,76.33,76.33,75.86,0,75.86
2014-01-22,76.69,76.69,76.69,76.09,0,76.09
2014-01-23,76.16,76.16,75.5,75.25,100,75.25
2014-01-27,75.25,75.25,75.0,75.24,100,75.24
2014-01-28,74.94,74.94,74.94,75.13,0,75.13
2014-01-30,75.0,75.0,75.0,75.71,0,75.71
2014-01-31,75.8,75.8,75.8,77.28,100,77.28
2014-02-03,79.79,79.79,79.79,79.52,100,79.52
2014-02-04,79.78,79.78,79.76,79.77,200,79.77
2014-02-05,80.8,81.81,80.8,82.16,200,82.16
2014-02-06,81.03,81.03,77.77,77.44,700,77.44
2014-02-07,76.76,76.76,71.71,71.01,700,71.01
2014-02-10,70.7,70.94,69.69,69.86,1600,69.86
2014-02-11,68.81,68.81,67.67,67.1,300,67.1
2014-02-12,67.77,67.77,67.77,67.5,0,67.5
2014-02-13,67.44,67.67,66.66,65.8,100,65.8
2014-02-14,65.65,65.65,65.56,65.05,100,65.05
2014-02-17,67.67,67.67,64.64,64.37,200,64.37
2014-02-19,64.59,64.59,64.59,64.08,0,64.08
2014-02-20,65.8,65.92,65.7,64.89,500,64.89
2014-02-21,64.35,64.35,64.0,64.14,0,64.14
2014-02-27,65.1,65.18,64.95,64.52,0,64.52
2014-03-03,63.63,64.57,62.62,64.25,400,64.25
2014-03-06,64.57,64.57,64.57,63.91,200,63.91
2014-03-07,64.04,64.04,64.04,63.98,0,63.98
2014-03-10,63.99,64.05,63.99,63.81,500,63.81
2014-03-12,64.0,64.0,64.0,63.63,0,63.63
2014-03-14,64.64,67.67,63.84,63.77,700,63.77
2014-03-17,63.36,63.36,63.36,63.57,0,63.57
2014-03-18,63.37,63.37,63.3,63.56,300,63.56
2014-03-19,63.3,63.3,63.3,63.39,100,63.39
2014-03-27,63.91,63.91,63.91,64.33,0,64.33
2014-03-28,64.67,64.67,64.67,64.24,0,64.24
2014-03-31,64.45,64.45,64.45,64.07,0,64.07
2014-04-07,64.55,64.55,64.55,64.22,0,64.22
2014-04-10,63.91,63.91,63.91,63.5,0,63.5
2014-04-11,63.85,63.86,63.85,63.5,200,63.5
2014-04-22,63.5,63.5,63.5,63.87,0,63.87
2014-04-24,63.94,63.94,63.94,63.9,200,63.9
2014-04-28,63.8,63.8,63.8,63.65,0,63.65
2014-04-30,63.5,63.5,63.5,63.53,100,63.53
2014-05-06,62.98,62.98,62.98,63.24,0,63.24
2014-05-08,62.88,62.88,62.88,63.55,0,63.55
2014-05-09,64.2,64.2,64.13,64.01,500,64.01
2014-05-12,64.1,64.26,64.1,64.03,800,64.03
2014-05-13,64.01,64.01,64.01,64.27,0,64.27
2014-05-14,64.45,64.49,64.45,64.23,1400,64.23
2014-05-15,64.64,64.71,64.17,64.21,100,64.21
2014-05-16,63.65,63.65,63.65,64.25,0,64.25
2014-05-19,65.5,65.65,64.48,64.21,100,64.21
2014-05-21,64.2,64.2,64.2,64.46,0,64.46
2014-05-23,64.93,64.93,64.93,64.6,100,64.6
2014-05-26,64.9,64.9,64.9,64.53,0,64.53
2014-05-27,64.27,64.9,64.27,64.7,1000,64.7
2014-05-28,64.38,64.95,64.38,64.75,200,64.75
2014-05-29,64.98,64.98,64.98,64.67,0,64.67
2014-06-03,64.82,64.82,64.82,64.69,0,64.69
2014-06-04,63.64,64.95,63.64,64.73,300,64.73
