Date,Open,High,Low,Close,Volume,Adj Close
2014-08-01,19.225,19.225,19.19,19.235,1000,19.235
2014-08-05,19.27,19.375,19.24,19.345,500,19.345
2014-08-07,19.22,19.22,19.22,19.145,100,19.145
2014-08-12,19.475,19.49,19.475,19.4,3500,19.4
2014-08-14,19.56,19.56,19.54,19.59,100,19.59
2014-08-18,19.675,19.69,19.67,19.685,100,19.685
2014-08-20,19.925,19.945,19.85,19.925,500,19.925
2014-08-21,19.84,19.9,19.84,19.86,200,19.86
2014-08-22,19.94,19.94,19.87,19.885,500,19.885
2014-08-25,20.065,20.09,20.065,20.045,500,20.045
2014-08-26,20.175,20.195,20.175,20.155,1000,20.155
2014-08-27,20.24,20.24,20.24,20.24,100,20.24
2014-08-29,20.23,20.23,20.23,20.16,0,20.16
2014-09-01,20.4,20.4,20.3,20.29,400,20.29
2014-09-02,20.205,20.205,20.205,20.165,200,20.165
2014-09-03,20.49,20.49,20.44,20.45,600,20.45
2014-09-04,20.68,20.68,20.68,20.75,0,20.75
2014-09-08,20.755,20.755,20.755,20.695,300,20.695
2014-09-09,20.685,20.685,20.6,20.53,1000,20.53
2014-09-10,20.26,20.26,20.16,20.265,300,20.265
2014-09-11,20.21,20.235,20.19,20.235,5300,20.235
2014-09-12,20.215,20.26,20.18,20.03,300,20.03
2014-09-15,19.895,19.935,19.895,19.91,100,19.91
2014-09-17,20.085,20.11,20.085,20.06,1000,20.06
2014-09-18,20.065,20.11,20.065,20.015,100,20.015
2014-09-19,20.135,20.165,20.09,20.075,9300,20.075
2014-09-22,19.915,19.915,19.81,19.785,1300,19.785
2014-09-23,19.635,19.64,19.62,19.66,700,19.66
2014-09-26,19.68,19.7,19.66,19.73,25100,19.73
2014-09-29,19.5,19.5,19.48,19.425,500,19.425
2014-09-30,19.61,19.61,19.61,19.52,100,19.52
2014-10-02,19.205,19.205,19.13,19.05,300,19.05
2014-10-03,19.365,19.365,19.365,19.43,0,19.43
2014-10-06,19.71,19.71,19.71,19.725,0,19.725
2014-10-07,19.63,19.63,19.63,19.58,0,19.58
2014-10-08,19.47,19.47,19.345,19.255,400,19.255
2014-10-10,19.14,19.14,19.14,19.06,0,19.06
2014-10-13,19.095,19.105,19.095,19.125,0,19.125
2014-10-15,19.2,19.2,18.65,18.655,100,18.655
2014-10-16,18.625,18.625,18.42,18.565,7800,18.565
2014-10-17,18.57,19.0,18.57,18.91,2300,18.91
2014-10-20,18.97,18.97,18.8,18.84,7500,18.84
2014-10-21,18.835,18.97,18.835,18.98,200,18.98
2014-10-22,19.05,19.05,19.005,19.085,4800,19.085
2014-10-23,19.04,19.06,18.97,19.075,0,19.075
2014-10-24,18.875,18.94,18.875,19.055,300,19.055
2014-10-27,18.73,18.835,18.73,18.77,7900,18.77
2014-10-28,18.98,19.055,18.98,19.105,100,19.105
2014-10-29,19.22,19.28,19.22,19.295,0,19.295
2014-10-30,19.35,19.35,19.35,19.485,0,19.485
2014-10-31,19.775,19.775,19.775,19.7,100,19.7
2014-11-03,19.785,19.79,19.665,19.645,10700,19.645
2014-11-04,19.745,19.745,19.625,19.495,600,19.495
2014-11-05,19.58,19.58,19.58,19.515,0,19.515
2014-11-07,19.475,19.475,19.465,19.48,200,19.48
2014-11-10,19.61,19.63,19.55,19.615,6900,19.615
2014-11-12,19.415,19.435,19.415,19.5,900,19.5
2014-11-14,19.365,19.475,19.365,19.41,1400,19.41
2014-11-17,19.32,19.33,19.27,19.355,6400,19.355
2014-11-20,19.32,19.32,19.32,19.36,2500,19.36
2014-11-21,19.515,19.9,19.515,19.92,200,19.92
2014-11-24,19.95,19.995,19.95,19.845,8100,19.845
2014-11-25,19.83,19.925,19.83,19.74,51300,19.74
2014-11-28,19.735,19.745,19.735,19.68,100,19.68
2014-12-01,19.305,19.31,19.305,19.25,31500,19.25
2014-12-02,19.365,19.42,19.365,19.435,41800,19.435
2014-12-03,19.5,19.57,19.5,19.635,13500,19.635
2014-12-04,19.755,19.76,19.42,19.415,1500,19.415
2014-12-05,19.55,19.63,19.55,19.59,20000,19.59
2014-12-08,19.59,19.59,19.59,19.455,500,19.455
2014-12-09,19.155,19.155,19.0,18.945,100,18.945
2014-12-10,18.88,18.88,18.88,18.835,100,18.835
2014-12-12,18.465,18.465,18.465,18.34,100,18.34
2014-12-15,18.42,19.34,18.08,19.34,11300,19.34
2014-12-16,17.835,17.835,17.835,18.0,0,18.0
2014-12-18,18.54,19.0,18.54,18.785,16900,18.785
2014-12-22,19.17,19.17,19.115,19.135,9900,19.135
2014-12-23,19.2,19.2,19.2,19.125,200,19.125
2014-12-29,19.305,19.32,19.22,19.365,700,19.365
2014-12-30,19.27,19.275,19.225,19.265,10400,19.265
2015-01-02,19.5,19.5,19.5,19.3,0,19.3
2015-01-05,19.465,19.465,19.295,19.22,700,19.22
2015-01-07,19.33,19.635,19.33,19.575,4500,19.575
2015-01-08,19.87,20.08,19.81,20.055,5000,20.055
2015-01-09,19.93,19.955,19.815,19.84,1000,19.84
2015-01-12,19.985,19.985,19.815,19.795,100,19.795
2015-01-13,20.03,20.07,20.03,20.075,900,20.075
2015-01-14,19.94,19.94,19.94,19.83,200,19.83
2015-01-15,20.165,20.325,20.165,20.315,700,20.315
2015-01-16,20.15,20.405,20.15,20.395,2300,20.395
2015-01-21,20.505,20.575,20.505,20.62,41500,20.62
2015-01-22,20.685,21.08,20.63,21.22,1500,21.22
2015-01-23,21.425,21.81,21.425,21.58,2600,21.58
2015-01-26,21.7,22.0,21.435,21.48,2200,21.48
2015-01-27,21.315,21.385,21.09,21.13,2800,21.13
2015-01-28,21.375,21.375,21.21,21.18,0,21.18
2015-01-30,20.82,20.86,20.77,20.73,5200,20.73
2015-02-02,20.76,20.89,20.76,20.88,10100,20.88
2015-02-03,20.995,21.08,20.995,20.96,200,20.96
2015-02-04,21.06,21.21,20.96,21.2,1000,21.2
2015-02-05,21.105,21.12,21.105,21.14,500,21.14
2015-02-06,21.085,21.085,21.085,21.11,400,21.11
2015-02-09,21.1,21.1,21.1,21.1,200,21.1
2015-02-10,21.095,21.12,21.005,20.97,11700,20.97
2015-02-11,20.95,20.95,20.8,20.775,500,20.775
2015-02-12,20.94,20.95,20.94,20.985,100,20.985
2015-02-13,21.165,21.165,21.165,21.235,100,21.235
2015-02-16,21.18,21.25,21.18,21.225,1600,21.225
2015-02-17,21.21,21.28,21.195,21.175,10900,21.175
2015-02-19,21.15,21.18,21.15,21.23,800,21.23
2015-02-20,21.3,21.3,21.3,21.25,600,21.25
2015-02-23,21.455,21.455,21.27,21.265,11600,21.265
2015-02-24,21.29,21.38,21.29,21.535,100,21.535
2015-02-25,21.48,21.48,21.42,21.425,1000,21.425
2015-02-26,21.565,21.61,21.565,21.7,1500,21.7
2015-02-27,21.65,21.65,21.6,21.695,900,21.695
2015-03-02,21.6,21.6,21.55,21.63,2200,21.63
2015-03-03,21.69,21.69,21.56,21.535,800,21.535
2015-03-04,21.565,21.565,21.5,21.515,9500,21.515
2015-03-05,21.75,21.75,21.75,21.685,0,21.685
2015-03-06,21.75,21.8,21.71,21.66,1400,21.66
2015-03-09,21.665,21.67,21.665,21.63,12600,21.63
2015-03-10,21.585,21.585,21.495,21.46,1600,21.46
