Date,Open,High,Low,Close,Volume,Adj Close
2015-01-02,31.4,31.4,31.4,31.115,0,31.115
2015-01-27,34.535,34.535,34.535,33.955,1700,33.955
2015-02-04,34.06,34.08,34.06,34.26,11600,34.26
2015-02-11,33.82,33.82,33.63,33.525,2900,33.525
2015-03-02,34.57,34.57,34.57,34.585,100,34.585
2015-03-20,35.555,35.555,35.555,35.515,100,35.515
2015-04-09,36.725,36.965,36.69,36.79,1100,36.79
2015-04-10,37.355,37.355,37.355,37.055,500,37.055
2015-04-13,36.89,37.22,36.875,36.985,2700,36.985
2015-04-20,36.84,36.85,36.84,36.7,400,36.7
2015-04-27,37.315,37.345,37.315,37.155,2000,37.155
2015-04-28,37.175,37.175,37.175,36.935,1000,36.935
2015-04-30,35.8,35.8,35.8,35.37,500,35.37
2015-05-22,35.385,35.385,35.385,35.545,1000,35.545
2015-05-26,35.535,35.74,35.535,35.27,1000,35.27
2015-06-04,33.275,33.275,33.275,32.915,700,32.915
2015-06-12,33.21,33.21,33.21,32.84,100,32.84
2015-07-02,33.7,33.7,33.7,33.59,300,33.59
2015-07-10,32.565,32.565,32.565,32.495,100,32.495
2015-07-14,32.96,32.96,32.9,33.205,300,33.205
2015-07-15,33.27,33.27,33.27,33.23,100,33.23
2015-07-17,33.765,33.765,33.765,33.635,100,33.635
2015-07-20,33.56,33.56,33.56,33.385,700,33.385
2015-07-22,33.03,33.03,33.03,32.9,700,32.9
2015-07-27,31.655,31.655,31.655,31.29,100,31.29
2015-08-13,29.805,30.235,29.805,30.19,4000,30.19
2015-08-18,29.855,29.855,29.855,29.73,300,29.73
