Date,Open,High,Low,Close,Volume,Adj Close
2011-02-16,72.53,73.0,72.44,72.56,4800,72.56
2011-02-17,72.44,72.49,72.05,72.42,14400,72.42
2011-02-18,72.15,73.58,71.83,72.01,2100,72.01
2011-02-21,71.93,71.96,70.5,71.28,2300,71.28
2011-02-22,71.85,71.85,71.77,71.77,100,71.77
2011-02-23,71.64,71.69,71.37,71.45,3500,71.45
2011-02-24,71.6,71.6,71.3,71.49,500,71.49
2011-02-25,71.5,71.9,71.5,71.69,900,71.69
2011-02-28,71.69,71.69,70.52,71.59,2600,71.59
2011-03-01,71.59,71.88,71.55,71.78,700,71.78
2011-03-02,72.0,72.0,70.66,71.18,1100,71.18
2011-03-03,71.62,71.64,71.0,71.23,200,71.23
2011-03-04,71.0,71.05,70.67,70.93,1300,70.93
2011-03-07,70.84,71.21,70.7,70.94,1300,70.94
2011-03-08,71.25,71.51,71.25,71.49,1600,71.49
2011-03-09,71.5,71.53,70.72,71.27,300,71.27
2011-03-10,71.72,71.72,71.25,71.31,700,71.31
2011-03-11,71.51,72.0,70.78,71.29,400,71.29
2011-03-14,70.78,71.32,70.61,70.73,400,70.73
2011-03-15,70.51,71.74,70.39,70.42,200,70.42
2011-03-16,70.6,70.6,70.5,70.5,400,70.5
2011-03-17,70.52,70.85,70.08,70.26,0,70.26
2011-03-18,70.16,70.48,69.32,70.22,600,70.22
2011-03-21,69.55,69.56,69.55,69.55,100,69.55
2011-03-22,69.55,69.55,69.18,69.51,500,69.51
2011-03-23,69.54,69.99,69.18,69.67,300,69.67
2011-03-24,70.0,70.0,69.31,69.59,200,69.59
2011-03-25,69.64,69.73,69.64,69.73,0,69.73
2011-03-28,70.44,70.44,70.44,70.44,0,70.44
2011-03-29,70.02,70.15,69.6,70.04,1600,70.04
2011-03-30,70.03,70.22,69.92,70.13,300,70.13
2011-03-31,70.13,70.13,69.15,69.54,1400,69.54
2011-04-01,69.6,70.37,69.33,69.92,700,69.92
2011-04-04,69.89,69.96,69.5,69.65,400,69.65
2011-04-05,69.9,70.06,69.7,69.7,1700,69.7
2011-04-06,69.29,69.43,69.05,69.21,800,69.21
2011-04-07,69.25,69.54,69.2,69.27,1500,69.27
2011-04-08,69.0,69.0,68.5,68.59,1400,68.59
2011-04-11,68.94,68.94,68.08,68.39,400,68.39
2011-04-12,68.4,68.51,68.2,68.22,500,68.22
2011-04-13,68.0,68.15,68.0,68.15,200,68.15
2011-04-14,68.5,68.5,68.33,68.48,0,68.48
2011-04-15,68.1,68.83,68.1,68.62,100,68.62
2011-04-18,68.93,69.5,68.93,69.47,500,69.47
2011-04-19,69.51,69.51,69.2,69.22,400,69.22
2011-04-20,68.68,68.86,67.88,68.17,600,68.17
2011-04-21,67.87,68.29,67.75,68.03,200,68.03
2011-04-26,67.0,68.14,67.0,67.75,100,67.75
2011-04-27,67.65,67.75,67.43,67.75,400,67.75
2011-04-28,67.12,67.33,66.95,67.22,500,67.22
2011-04-29,66.91,67.2,66.82,67.16,200,67.16
2011-05-02,67.43,67.46,67.27,67.42,600,67.42
2011-05-03,67.65,67.82,67.5,67.62,2300,67.62
2011-05-04,67.71,67.71,66.96,67.51,1900,67.51
2011-05-05,67.51,68.47,67.51,68.72,500,68.72
2011-05-06,69.5,69.5,68.74,69.14,1400,69.14
2011-05-09,69.5,70.22,69.5,70.26,300,70.26
2011-05-10,70.26,70.4,70.18,70.08,400,70.08
2011-05-11,70.11,70.35,69.8,70.43,9000,70.43
2011-05-12,70.6,71.54,70.6,71.04,500,71.04
2011-05-13,72.15,72.15,70.55,71.02,300,71.02
2011-05-16,71.1,71.78,70.73,70.91,4100,70.91
2011-05-17,70.91,71.55,70.91,71.42,2200,71.42
2011-05-18,71.22,71.22,71.2,71.21,100,71.21
2011-05-19,71.19,71.2,70.89,70.99,1200,70.99
2011-05-20,70.89,71.2,70.5,71.33,9200,71.33
2011-05-23,72.14,72.5,71.65,71.88,2600,71.88
2011-05-24,72.9,73.13,71.88,71.57,300,71.57
2011-05-25,72.19,72.19,71.99,72.05,200,72.05
2011-05-26,71.57,71.57,71.57,71.5,0,71.5
2011-05-27,71.1,71.1,70.92,70.83,0,70.83
2011-05-30,70.9,70.9,70.89,70.91,100,70.91
2011-05-31,70.69,70.69,70.46,70.44,100,70.44
2011-06-01,70.5,70.77,70.03,70.42,600,70.42
2011-06-02,71.07,71.07,71.07,70.6,100,70.6
2011-06-03,70.52,70.52,69.83,70.06,200,70.06
2011-06-06,69.83,69.83,69.14,69.62,0,69.62
2011-06-07,69.16,69.61,69.16,69.94,100,69.94
2011-06-08,69.73,69.88,69.35,69.87,700,69.87
2011-06-09,69.84,69.85,69.84,70.24,0,70.24
2011-06-10,70.6,70.6,70.6,70.85,100,70.85
2011-06-13,70.85,70.85,70.6,70.77,300,70.77
2011-06-14,70.3,70.3,70.3,70.33,300,70.33
2011-06-15,71.49,71.49,70.94,71.26,400,71.26
2011-06-16,71.71,71.96,71.71,71.78,700,71.78
2011-06-17,71.97,71.97,70.87,71.28,300,71.28
2011-06-20,71.37,71.92,70.87,71.17,1300,71.17
2011-06-22,70.99,70.99,70.75,70.71,200,70.71
2011-06-23,71.71,72.0,71.71,71.95,200,71.95
2011-06-24,71.6,71.6,71.55,71.81,100,71.81
2011-06-27,71.57,71.75,71.55,71.65,2500,71.65
2011-06-28,70.96,71.55,70.96,71.07,500,71.07
2011-06-30,70.33,71.0,70.33,70.58,0,70.58
2011-07-01,70.93,70.93,70.41,70.77,0,70.77
2011-07-04,70.98,70.98,70.5,70.7,100,70.7
2011-07-05,70.96,71.14,70.96,70.98,5000,70.98
2011-07-06,71.53,71.53,71.53,71.53,0,71.53
2011-07-07,72.0,72.0,71.95,71.52,700,71.52
2011-07-08,71.52,72.3,71.52,72.26,1100,72.26
2011-07-11,72.5,73.29,72.42,73.46,2000,73.46
2011-07-12,73.6,73.76,73.15,73.27,2600,73.27
2011-07-13,73.35,73.43,72.63,72.42,1900,72.42
2011-07-14,72.2,72.52,72.2,72.68,100,72.68
2011-07-15,72.93,72.93,72.93,72.7,0,72.7
2011-07-18,73.0,73.0,72.84,73.2,100,73.2
2011-07-19,72.78,72.78,72.78,72.72,200,72.72
2011-07-20,72.47,72.47,72.47,72.67,0,72.67
2011-07-21,72.47,72.92,71.82,71.9,400,71.9
