Date,Open,High,Low,Close,Volume,Adj Close
2012-05-17,47.38,47.38,47.24,46.725,100,46.725
2012-05-18,46.51,46.51,46.51,46.115,0,46.115
2012-05-21,46.39,46.39,46.39,46.165,0,46.165
2012-05-23,46.61,46.61,45.79,46.075,1000,46.075
2012-06-01,47.37,47.37,47.37,46.57,0,46.57
2012-06-11,46.87,46.87,46.87,46.755,5000,46.755
2012-06-12,47.08,47.5,47.08,47.225,0,47.225
2012-06-19,47.98,48.0,47.98,47.765,100,47.765
2012-06-28,47.89,47.89,47.89,47.765,100,47.765
2012-06-29,48.24,48.24,48.24,47.765,100,47.765
2012-07-02,48.83,49.58,48.83,47.765,0,47.765
2012-07-03,49.24,49.57,49.24,47.765,100,47.765
2012-07-04,49.76,49.76,49.76,47.765,300,47.765
2012-07-11,50.22,50.22,50.22,47.765,0,47.765
2012-07-12,49.74,49.74,49.74,47.765,100,47.765
2012-07-13,49.95,49.95,49.95,49.8695,100,49.8695
2012-07-16,49.8,49.8,49.66,47.765,200,47.765
2012-07-17,49.7,49.7,49.7,47.765,0,47.765
2012-07-18,48.81,49.31,48.81,49.4525,0,49.4525
2012-07-30,49.16,49.16,49.16,48.75,6000,48.75
2012-08-01,50.05,50.05,50.05,49.0625,0,49.0625
2012-08-09,50.18,50.18,50.18,50.524,500,50.524
2012-08-13,50.2,50.2,50.01,49.8665,300,49.8665
2012-08-21,50.97,50.97,50.97,50.262,0,50.262
2012-09-03,49.38,49.38,49.38,49.1315,0,49.1315
2012-09-04,49.31,49.31,49.31,48.8125,0,48.8125
2012-09-05,49.01,49.01,49.01,48.6055,0,48.6055
2012-09-20,49.38,49.38,49.38,49.839,200,49.839
2012-09-21,50.42,50.42,50.42,49.839,0,49.839
2012-09-24,50.36,50.36,50.36,50.1785,0,50.1785
2012-09-27,49.69,49.69,49.69,49.9325,100,49.9325
2012-09-28,50.2,50.2,50.2,49.9325,0,49.9325
2012-10-01,50.78,50.78,50.78,50.609,0,50.609
2012-10-05,50.43,50.43,50.42,50.011,100,50.011
2012-10-12,49.94,49.94,49.94,49.6995,100,49.6995
2012-10-16,50.09,50.18,50.09,50.0895,100,50.0895
2012-11-01,49.94,49.94,49.94,50.09,0,50.09
2012-11-05,50.2,50.2,50.2,50.44,4000,50.44
2012-11-06,50.96,50.96,50.96,50.76,0,50.76
2012-11-07,51.22,51.22,51.22,50.15,100,50.15
2012-11-08,50.93,50.93,50.93,50.51,500,50.51
2012-11-13,50.55,50.55,50.55,50.43,100,50.43
2012-12-03,50.33,50.48,50.33,50.08,0,50.08
2012-12-17,51.03,51.03,51.03,50.97,100,50.97
2012-12-18,51.06,51.06,51.06,50.9,100,50.9
2013-01-03,53.3,53.55,53.3,53.49,300,53.49
2013-01-07,53.98,54.42,53.98,53.96,0,53.96
2013-01-09,53.85,53.85,53.85,54.42,200,54.42
2013-01-10,54.51,54.51,54.51,53.73,0,53.73
2013-01-16,53.22,53.22,53.22,53.28,0,53.28
2013-01-17,53.19,53.19,52.9,52.88,100,52.88
2013-01-18,53.3,53.3,53.3,52.88,0,52.88
2013-01-22,53.3,53.3,53.3,53.18,100,53.18
2013-01-23,53.45,53.45,53.33,53.05,0,53.05
2013-01-25,52.0,52.0,51.8,52.81,100,52.81
2013-01-28,51.96,51.98,51.39,51.64,100,51.64
2013-01-30,52.02,52.02,51.81,51.59,400,51.59
2013-01-31,51.5,51.5,51.5,51.28,0,51.28
2013-02-06,51.51,51.65,51.51,51.49,1200,51.49
2013-02-08,51.8,51.8,51.64,51.69,0,51.69
2013-02-11,52.37,52.37,52.37,52.0,0,52.0
2013-02-14,52.75,52.75,52.75,52.77,0,52.77
2013-02-15,52.91,52.91,52.91,52.77,4200,52.77
2013-02-18,52.72,52.72,52.72,52.64,5000,52.64
2013-02-19,53.18,53.18,53.17,53.09,0,53.09
2013-02-20,53.21,53.21,53.21,53.1,5000,53.1
2013-02-22,53.83,53.83,53.4,52.95,0,52.95
2013-02-25,52.89,52.89,52.89,53.36,0,53.36
2013-02-27,53.84,53.84,53.62,53.84,10100,53.84
2013-02-28,54.78,54.78,54.1,54.1,100,54.1
2013-03-04,54.1,54.23,54.1,54.04,300,54.04
2013-03-05,54.33,54.34,54.31,54.82,18300,54.82
2013-03-06,55.19,55.28,55.19,55.14,0,55.14
2013-03-07,54.98,54.99,54.98,55.01,1000,55.01
2013-03-08,55.63,55.63,55.53,55.01,2000,55.01
2013-03-11,55.55,55.84,55.55,55.89,9300,55.89
2013-03-12,55.51,55.51,55.25,54.84,2400,54.84
2013-03-14,55.4,55.45,54.85,54.72,400,54.72
2013-03-15,54.35,54.35,54.34,54.72,300,54.72
2013-03-18,54.48,54.48,54.48,54.2,0,54.2
2013-03-19,54.56,54.6,54.3,54.13,900,54.13
2013-03-20,54.71,54.71,54.43,54.27,1600,54.27
2013-03-21,54.1,54.1,54.0,54.23,0,54.23
2013-03-22,54.0,54.0,54.0,54.23,0,54.23
2013-03-25,54.46,54.46,53.78,54.2,0,54.2
