Date,Open,High,Low,Close,Volume,Adj Close
2014-08-29,28.265,28.265,28.265,28.19,1500,28.19
2014-09-02,28.45,28.45,28.45,28.31,0,28.31
2014-10-13,26.625,26.625,26.625,26.69,1000,26.69
2014-10-21,26.29,26.725,26.29,26.695,5600,26.695
2014-10-22,26.645,26.8,26.625,26.9,4800,26.9
2014-10-23,26.63,27.2,26.63,27.19,140800,27.19
2014-10-24,26.8,27.13,26.8,27.115,4700,27.115
2014-10-27,27.22,27.22,26.665,26.85,1600,26.85
2014-10-28,27.135,27.225,27.05,27.2,19000,27.2
2014-10-29,27.23,27.27,27.145,27.09,1700,27.09
2014-10-30,26.855,26.855,26.855,27.2,5000,27.2
2014-10-31,27.5,27.84,27.5,27.79,3100,27.79
2014-11-03,27.745,27.745,27.7,27.59,0,27.59
2014-11-04,27.56,27.56,27.475,27.25,1900,27.25
2014-11-05,27.47,27.715,27.47,27.675,2600,27.675
2014-11-06,27.55,27.55,27.55,27.8,0,27.8
2014-11-07,27.77,27.78,27.77,27.495,2100,27.495
2014-11-10,27.565,27.62,27.565,27.67,3600,27.67
2014-11-11,27.775,27.775,27.775,27.8,1000,27.8
2014-11-12,27.57,27.57,27.37,27.37,900,27.37
2014-11-14,27.485,27.485,27.485,27.505,400,27.505
2014-11-17,27.635,27.635,27.635,27.725,600,27.725
2014-11-20,27.87,27.87,27.69,27.865,1500,27.865
2014-11-21,29.0,29.0,28.5,28.615,16500,28.615
2014-11-24,28.955,28.955,28.885,28.805,2900,28.805
2014-11-25,28.83,29.045,28.83,28.91,9000,28.91
2014-11-26,28.91,28.91,28.91,28.895,600,28.895
2014-11-27,29.085,29.085,29.085,29.08,1200,29.08
2014-11-28,28.98,29.11,28.98,29.16,5800,29.16
2014-12-01,29.03,29.06,29.01,29.01,1300,29.01
2014-12-02,29.21,29.21,29.21,29.1,0,29.1
2014-12-03,29.11,29.2,29.11,29.185,2100,29.185
2014-12-04,29.2,29.35,28.81,28.775,5900,28.775
2014-12-05,28.17,29.33,28.17,29.405,3700,29.405
2014-12-09,28.805,28.805,28.805,28.5,600,28.5
2014-12-10,28.65,28.65,28.535,28.405,4400,28.405
2014-12-12,28.0,28.035,27.99,27.7,1500,27.7
2014-12-16,26.8,27.02,26.75,27.42,500,27.42
2014-12-18,28.09,28.23,28.09,28.235,2300,28.235
2014-12-19,28.135,28.135,28.135,28.315,100,28.315
2014-12-22,28.51,28.51,28.395,28.41,3200,28.41
2014-12-23,28.49,28.615,28.49,28.69,400,28.69
2014-12-29,28.5,28.5,28.5,28.675,200,28.675
2014-12-30,28.52,28.52,28.52,28.305,100,28.305
2015-01-02,28.21,28.38,28.21,28.28,0,28.28
2015-01-06,27.355,27.355,27.355,27.33,200,27.33
2015-01-07,27.47,27.47,27.47,27.37,100,27.37
2015-01-08,27.815,28.1,27.775,28.34,800,28.34
2015-01-09,28.0,28.0,28.0,27.545,200,27.545
2015-01-13,28.265,28.415,28.265,28.32,37600,28.32
2015-01-14,28.33,28.33,27.94,28.1,28100,28.1
2015-01-15,27.78,27.78,27.78,28.555,6800,28.555
2015-01-21,29.29,29.5,29.11,29.515,5500,29.515
2015-01-22,29.8,29.8,29.8,30.065,0,30.065
2015-01-23,30.455,30.505,30.455,30.595,35400,30.595
2015-01-26,30.71,30.905,30.71,30.865,700,30.865
2015-01-27,30.865,30.865,30.69,30.46,1100,30.46
2015-01-28,30.45,30.475,30.325,30.38,2800,30.38
2015-01-30,30.575,30.575,30.505,30.3,2400,30.3
2015-02-02,30.34,30.34,30.34,30.465,300,30.465
2015-02-03,31.0,31.015,30.945,30.92,1300,30.92
2015-02-04,30.915,30.915,30.835,30.87,500,30.87
2015-02-05,30.785,30.87,30.75,30.905,3200,30.905
2015-02-06,30.76,30.795,30.76,30.8,400,30.8
2015-02-09,30.32,30.32,30.32,30.38,0,30.38
2015-02-10,30.5,30.5,30.39,30.665,2700,30.665
2015-02-11,30.66,31.4,30.645,30.63,38200,30.63
2015-02-12,30.86,31.115,30.86,31.015,22300,31.015
2015-02-13,31.215,31.405,31.215,31.29,2900,31.29
2015-02-16,31.21,31.3,31.21,31.185,5200,31.185
2015-02-17,31.205,31.205,31.205,31.14,100,31.14
2015-02-18,31.47,31.5,31.425,31.46,18500,31.46
2015-02-19,31.39,31.51,31.39,31.64,1300,31.64
2015-02-20,31.53,31.665,31.505,31.6,1000,31.6
2015-02-23,31.1,31.935,31.1,31.915,1000,31.915
2015-02-24,31.93,32.135,31.93,32.19,700,32.19
2015-02-25,32.135,32.15,32.135,32.105,1000,32.105
2015-02-27,32.38,32.38,32.38,32.56,0,32.56
2015-03-02,32.25,32.685,32.25,32.59,900,32.59
2015-03-03,32.73,32.73,32.525,32.265,1200,32.265
2015-03-04,32.325,32.385,32.325,32.45,26600,32.45
2015-03-05,32.675,32.82,32.675,32.815,3900,32.815
2015-03-06,32.84,32.85,32.84,32.86,200,32.86
2015-03-09,32.645,32.795,32.645,32.81,6900,32.81
2015-03-10,32.535,32.535,32.535,32.525,0,32.525
2015-03-11,32.915,33.235,32.895,33.225,16000,33.225
2015-03-13,33.225,33.225,33.16,33.33,5500,33.33
2015-03-16,33.645,33.645,33.58,33.755,1800,33.755
2015-03-17,33.735,33.735,33.34,33.41,1600,33.41
2015-03-18,33.285,33.295,33.285,33.305,400,33.305
2015-03-19,33.47,33.47,33.47,33.38,400,33.38
2015-03-20,33.44,33.58,33.44,33.905,1100,33.905
2015-03-24,33.69,33.69,33.69,33.905,300,33.905
2015-03-31,33.59,33.69,33.545,33.67,2700,33.67
2015-04-01,33.86,33.95,33.85,33.715,2400,33.715
2015-04-07,34.145,34.21,34.145,34.185,17000,34.185
2015-04-08,34.17,34.2,34.09,34.07,1800,34.07
2015-04-09,34.2,34.28,34.18,34.38,300,34.38
2015-04-10,34.52,34.65,34.52,34.7,200,34.7
2015-04-14,34.585,34.7,34.375,34.48,1300,34.48
2015-04-17,34.1,34.1,33.6,33.535,4500,33.535
2015-04-20,33.745,33.745,33.745,33.865,1000,33.865
2015-04-22,34.245,34.245,33.93,33.965,1000,33.965
2015-04-23,33.69,33.69,33.69,33.675,200,33.675
2015-04-24,33.95,33.95,33.87,33.91,100,33.91
2015-04-27,33.995,34.25,33.66,34.415,300,34.415
2015-04-28,34.365,34.365,33.995,33.9,600,33.9
2015-04-29,33.97,33.97,33.48,33.135,0,33.135
2015-04-30,32.79,32.79,32.79,33.115,0,33.115
2015-05-04,33.13,33.265,33.13,33.37,200,33.37
2015-05-05,33.32,33.45,32.65,32.575,9500,32.575
2015-05-06,32.595,32.78,32.505,32.555,6200,32.555
2015-05-07,32.3,32.38,31.975,32.71,4900,32.71
2015-05-08,32.755,32.755,32.75,33.42,14000,33.42
2015-05-11,33.36,33.44,33.26,33.38,14100,33.38
2015-05-12,32.91,32.91,32.91,33.005,0,33.005
2015-05-14,32.875,32.89,32.875,33.27,0,33.27
2015-05-15,33.345,33.525,32.975,33.03,600,33.03
2015-05-18,32.93,32.93,32.93,33.17,0,33.17
2015-05-19,33.85,33.9,33.85,33.945,17400,33.945
2015-05-20,33.955,33.955,33.875,34.11,0,34.11
2015-05-21,33.98,34.09,33.93,34.13,5400,34.13
2015-05-22,34.045,34.1,34.03,34.055,1700,34.055
2015-05-25,33.885,33.885,33.87,33.85,600,33.85
2015-05-26,33.78,33.78,33.78,33.505,800,33.505
2015-05-27,33.7,33.7,33.7,34.055,400,34.055
2015-05-28,33.885,33.995,33.885,33.845,1600,33.845
2015-05-29,33.7,33.7,33.7,33.28,0,33.28
2015-06-01,33.2,33.2,33.2,33.3,0,33.3
2015-06-03,33.14,33.14,33.14,33.295,0,33.295
2015-06-04,32.595,33.195,32.595,33.05,55600,33.05
2015-06-05,32.49,32.59,32.49,32.635,0,32.635
2015-06-08,32.39,32.39,32.34,32.31,100,32.31
2015-06-09,32.15,32.15,32.025,32.07,800,32.07
2015-06-10,32.095,32.38,32.045,32.735,900,32.735
2015-06-11,32.885,33.04,32.845,32.855,33000,32.855
2015-06-12,32.62,32.62,32.62,32.55,10100,32.55
2015-06-15,32.355,32.355,32.045,32.095,4000,32.095
2015-06-17,32.045,32.045,31.92,31.935,1800,31.935
2015-06-18,31.775,31.775,31.595,32.01,11400,32.01
2015-06-22,33.03,33.03,33.03,33.305,0,33.305
2015-06-24,33.655,33.655,33.225,33.46,1200,33.46
2015-06-25,33.485,33.61,33.21,33.455,9300,33.455
2015-06-26,33.325,33.51,33.325,33.645,300,33.645
2015-06-29,32.46,32.67,32.37,32.39,5700,32.39
2015-06-30,31.985,32.34,31.985,32.215,400,32.215
2015-07-02,32.505,32.505,32.505,32.275,300,32.275
2015-07-03,32.09,32.225,32.09,32.145,9700,32.145
2015-07-06,31.535,31.535,31.515,31.49,1700,31.49
2015-07-07,31.365,31.4,31.365,30.825,200,30.825
2015-07-08,30.85,30.85,30.81,31.06,2100,31.06
2015-07-09,31.42,31.92,31.42,31.885,6600,31.885
2015-07-10,32.505,32.54,32.505,32.79,1600,32.79
2015-07-13,33.31,33.33,33.31,33.345,700,33.345
2015-07-15,33.56,33.57,33.49,33.645,1000,33.645
2015-07-16,34.1,34.21,34.1,34.125,1400,34.125
2015-07-17,33.525,34.155,33.525,34.08,700,34.08
2015-07-20,34.23,34.23,34.14,34.255,200,34.255
2015-07-23,33.87,33.87,33.18,33.77,1300,33.77
2015-07-24,33.83,33.855,33.83,33.445,800,33.445
2015-07-27,33.095,33.175,32.685,32.7,600,32.7
2015-07-28,32.795,33.12,32.795,32.97,300,32.97
2015-07-29,33.09,33.09,33.08,33.2,1500,33.2
2015-07-30,32.565,33.22,32.565,33.205,3000,33.205
2015-07-31,33.215,33.23,33.215,33.34,5100,33.34
2015-08-03,33.53,33.58,33.53,33.695,0,33.695
2015-08-04,33.53,33.66,33.53,33.62,2100,33.62
2015-08-05,33.9,33.99,33.9,34.145,500,34.145
2015-08-06,34.05,34.1,34.05,34.105,800,34.105
2015-08-07,34.0,34.0,34.0,33.79,300,33.79
2015-08-11,33.915,33.915,33.595,33.495,2800,33.495
2015-08-14,31.99,32.5,31.99,32.53,1300,32.53
2015-08-17,32.675,32.68,32.345,32.595,5900,32.595
2015-08-18,32.63,32.63,32.47,32.58,1100,32.58
2015-08-19,32.195,32.195,32.195,31.95,500,31.95
