Date,Open,High,Low,Close,Volume,Adj Close
2003-11-24,26.33,26.33,26.33,26.33,0,26.33
2003-11-25,26.87,26.87,26.87,26.87,0,26.87
2003-11-26,26.92,26.92,26.92,26.92,0,26.92
2003-11-27,27.01,27.01,27.01,27.01,0,27.01
2003-11-28,27.06,27.06,27.06,27.06,0,27.06
2003-12-01,27.473,27.499,27.3,27.473,95800,27.473
2003-12-02,27.47,27.521,27.366,27.47,58700,27.47
2003-12-03,27.611,27.7,27.434,27.611,101300,27.611
2003-12-04,27.64,27.835,27.55,27.64,70700,27.64
2003-12-05,27.79,27.844,27.505,27.79,78600,27.79
2003-12-08,27.59,27.9,27.16,27.59,17100,27.59
2003-12-09,27.52,27.8,27.49,27.52,60600,27.52
2003-12-10,27.53,27.75,27.26,27.53,58000,27.53
2003-12-11,27.466,27.65,27.343,27.466,79100,27.466
2003-12-12,27.46,27.665,27.26,27.46,93600,27.46
2003-12-15,27.539,27.87,27.5,27.539,37400,27.539
2003-12-16,27.45,27.525,27.305,27.45,44800,27.45
2003-12-17,27.45,27.54,27.396,27.45,51300,27.45
2003-12-18,27.45,27.645,27.45,27.45,12600,27.45
2003-12-19,27.62,27.699,27.265,27.62,34400,27.62
2003-12-22,27.4,27.75,26.895,27.4,23100,27.4
2003-12-23,26.92,26.963,26.75,26.92,30300,26.92
2003-12-24,26.86,26.963,26.75,26.86,30300,26.86
2003-12-29,26.83,27.13,26.801,26.83,37500,26.83
2003-12-30,26.97,27.176,26.962,26.97,30800,26.97
2004-01-02,27.01,27.366,26.99,27.01,16100,27.01
2004-01-05,27.34,27.55,27.16,27.34,36000,27.34
2004-01-06,27.53,27.648,27.416,27.53,49300,27.53
2004-01-07,27.6,27.682,27.175,27.6,195200,27.6
2004-01-08,27.44,27.5,27.225,27.44,45200,27.44
2004-01-09,27.4,27.63,27.25,27.4,26900,27.4
2004-01-12,27.4,27.52,27.18,27.4,68700,27.4
2004-01-13,27.43,27.66,27.369,27.43,26400,27.43
2004-01-14,27.4,27.677,27.364,27.4,50400,27.4
2004-01-15,27.59,27.75,27.48,27.59,43300,27.59
2004-01-16,27.885,27.95,27.75,27.885,66700,27.885
2004-01-19,28.15,28.156,27.95,28.15,71500,28.15
2004-01-20,28.12,28.246,28.008,28.12,49700,28.12
2004-01-21,28.07,28.143,27.98,28.07,55600,28.07
2004-01-22,28.07,28.22,27.98,28.07,51900,28.07
2004-01-23,28.09,28.243,28.075,28.09,45300,28.09
2004-01-26,28.17,28.18,28.0,28.17,46100,28.17
2004-01-27,28.24,28.38,28.21,28.24,62400,28.24
2004-01-28,28.29,28.39,28.1,28.29,87700,28.29
2004-01-29,28.063,28.14,28.047,28.063,47900,28.063
2004-01-30,28.08,28.2,27.721,28.08,46100,28.08
2004-02-02,27.8,28.4,27.735,27.8,28900,27.8
2004-02-03,27.77,27.785,27.55,27.77,22800,27.77
2004-02-04,27.61,27.758,27.547,27.61,53700,27.61
2004-02-05,27.73,27.785,27.49,27.73,18700,27.73
2004-02-06,27.51,27.66,27.411,27.51,64300,27.51
2004-02-09,27.874,28.1,27.7,27.874,39800,27.874
2004-02-10,27.87,27.9,27.784,27.87,30300,27.87
2004-02-11,27.86,28.0,27.82,27.86,30000,27.86
2004-02-12,27.87,28.18,27.761,27.87,35800,27.87
2004-02-13,27.82,27.94,27.517,27.82,48000,27.82
2004-02-16,27.62,27.68,27.5,27.62,16000,27.62
2004-02-17,27.821,27.9,27.7,27.821,14000,27.821
2004-02-18,27.81,27.94,27.777,27.81,12600,27.81
2004-02-19,28.0,28.08,27.85,28.0,21800,28.0
2004-02-20,28.0,28.0,27.76,28.0,20000,28.0
2004-02-23,27.948,28.05,27.83,27.948,138100,27.948
2004-02-24,27.94,27.999,27.615,27.94,65800,27.94
2004-02-25,27.74,27.84,27.727,27.74,37400,27.74
2004-02-26,27.82,27.965,27.73,27.82,16000,27.82
2004-02-27,28.0,28.121,27.97,28.0,47200,28.0
2004-03-01,28.02,28.164,28.0,28.02,23300,28.02
2004-03-02,28.15,28.29,28.14,28.15,34700,28.15
2004-03-03,28.22,28.287,28.159,28.22,43500,28.22
2004-03-04,28.32,28.32,28.224,28.32,47200,28.32
2004-03-05,28.26,28.367,28.17,28.26,31200,28.26
2004-03-08,28.429,28.45,28.365,28.429,32300,28.429
2004-03-09,28.41,28.43,28.245,28.41,95400,28.41
2004-03-10,28.31,28.37,28.17,28.31,21300,28.31
2004-03-11,27.671,28.25,27.629,27.671,106200,27.671
2004-03-12,27.73,28.3,27.159,27.73,57800,27.73
