Date,Open,High,Low,Close,Volume,Adj Close
2013-03-21,52.84,52.84,52.84,52.85,10000,52.85
2013-03-22,52.72,52.72,52.72,52.85,300,52.85
2013-04-04,53.08,53.08,53.08,52.87,10000,52.87
2013-08-07,53.8,53.8,53.8,54.14,10000,54.14
2013-08-26,54.01,54.01,54.01,54.04,200,54.04
2013-09-18,56.06,56.06,56.06,56.14,500,56.14
2013-10-09,53.82,53.82,53.82,53.42,10000,53.42
2013-10-10,53.97,53.97,53.97,54.25,800,54.25
2013-11-05,57.34,57.4,57.34,57.53,20000,57.53
2013-11-07,57.4,57.4,57.4,57.62,800,57.62
2013-11-12,57.1,57.1,57.1,57.18,10000,57.18
2013-12-09,56.53,56.55,56.53,56.36,300,56.36
2013-12-10,56.62,56.62,56.62,56.16,0,56.16
2014-01-03,58.46,58.46,58.46,58.56,300,58.56
2014-01-09,58.74,58.74,58.74,58.29,0,58.29
2014-01-27,57.62,57.62,57.62,57.28,10000,57.28
2014-01-30,57.12,57.12,57.12,57.22,10000,57.22
2014-02-03,56.25,56.25,56.25,56.18,5000,56.18
2014-02-13,58.59,58.59,58.59,58.43,0,58.43
2014-03-12,57.87,57.87,57.87,57.56,10000,57.56
2014-04-22,59.0,59.0,59.0,59.2,100,59.2
2014-06-17,62.05,62.05,62.05,62.01,300,62.01
2014-09-01,63.7,63.7,63.7,63.54,0,63.54
2014-09-05,63.63,63.63,63.63,63.63,0,63.63
2014-10-13,58.0,58.0,58.0,59.49,0,59.49
2015-03-20,72.33,72.33,72.33,72.58,5000,72.58
2015-03-25,71.6,71.6,71.6,70.96,0,70.96
2015-04-15,73.75,73.75,73.75,74.03,0,74.03
2015-04-22,73.56,73.56,73.56,73.75,0,73.75
2015-05-22,74.15,74.15,74.15,74.44,0,74.44
2015-06-01,73.29,73.29,73.29,72.94,0,72.94
2015-06-02,72.64,72.64,72.64,71.97,0,71.97
2015-06-03,72.64,72.64,71.98,71.43,0,71.43
2015-06-04,70.13,70.13,70.13,70.59,0,70.59
2015-06-05,70.11,70.11,69.75,70.41,0,70.41
