Date,Open,High,Low,Close,Volume,Adj Close
2006-11-22,45.26,46.17,45.2,45.26,700,45.26
2006-11-23,45.2,45.3,45.03,45.2,1700,45.2
2006-11-24,44.61,45.03,44.61,44.61,200,44.61
2006-11-27,44.01,44.58,44.01,44.01,100,44.01
2006-11-28,43.75,43.91,43.75,43.75,200,43.75
2006-11-29,43.75,43.75,43.75,43.75,0,43.75
2006-11-30,43.93,44.13,43.93,43.93,5000,43.93
2006-12-01,44.1,44.1,44.08,44.1,300,44.1
2006-12-04,43.89,43.89,43.77,43.89,10000,43.89
2006-12-05,44.18,44.18,44.18,44.18,0,44.18
2006-12-06,44.3,44.3,44.3,44.3,0,44.3
2006-12-07,44.53,44.53,44.39,44.53,500,44.53
2006-12-08,44.53,44.53,44.53,44.53,0,44.53
2006-12-11,45.14,45.23,45.14,45.14,200,45.14
2006-12-12,45.27,45.34,45.25,45.27,700,45.27
2006-12-13,45.27,45.67,45.27,45.27,600,45.27
2006-12-14,46.04,46.04,45.78,46.04,23300,46.04
2006-12-15,46.62,46.62,46.31,46.62,5400,46.62
2006-12-18,46.59,46.67,46.56,46.59,1700,46.59
2006-12-19,46.37,46.59,46.35,46.37,1700,46.37
2006-12-20,46.5,46.64,46.5,46.5,700,46.5
2006-12-21,46.77,46.78,46.74,46.77,1000,46.77
2006-12-22,46.77,46.85,46.75,46.77,1100,46.77
2006-12-27,46.8,47.04,46.74,46.8,1100,46.8
2006-12-28,47.39,47.39,47.19,47.39,12300,47.39
2006-12-29,47.52,47.52,47.4,47.52,1700,47.52
2007-01-02,47.95,47.95,47.77,47.95,1900,47.95
2007-01-03,47.93,48.12,47.75,47.93,3200,47.93
2007-01-04,47.47,47.56,47.31,47.47,22700,47.47
2007-01-05,47.3,47.4,47.24,47.3,22100,47.3
2007-01-08,47.3,47.3,47.14,47.3,1400,47.3
2007-01-09,47.45,47.47,47.38,47.45,400,47.45
2007-01-10,46.89,47.21,46.87,46.89,1700,46.89
2007-01-11,47.76,47.76,47.16,47.76,1100,47.76
2007-01-12,47.94,47.94,47.81,47.94,1200,47.94
2007-01-15,48.58,48.66,48.41,48.58,1800,48.58
2007-01-16,48.57,48.63,48.47,48.57,1000,48.57
2007-01-17,48.52,48.65,48.26,48.52,1900,48.52
2007-01-18,48.45,48.83,48.45,48.45,200,48.45
2007-01-19,48.45,48.77,48.44,48.45,800,48.45
2007-01-22,49.22,49.42,49.19,49.22,2500,49.22
2007-01-23,49.22,49.22,48.78,49.22,2500,49.22
2007-01-24,49.43,49.43,49.21,49.43,500,49.43
2007-01-25,49.5,49.8,49.5,49.5,2400,49.5
2007-01-26,48.98,49.27,48.88,48.98,1900,48.98
2007-01-29,49.05,49.05,48.96,49.05,1900,49.05
2007-01-30,48.74,48.86,48.65,48.74,2700,48.74
2007-01-31,48.74,48.86,48.38,48.74,600,48.74
2007-02-01,49.14,49.14,48.9,49.14,1200,49.14
2007-02-02,49.77,49.78,49.38,49.77,13800,49.77
2007-02-05,50.1,50.1,49.89,50.1,2600,50.1
2007-02-06,50.49,50.59,50.27,50.49,22700,50.49
2007-02-07,50.54,50.73,50.46,50.54,3400,50.54
2007-02-08,50.69,50.83,49.99,50.69,5400,50.69
2007-02-09,50.32,50.46,50.26,50.32,1400,50.32
2007-02-12,50.28,50.38,50.0,50.28,5000,50.28
2007-02-13,49.56,49.88,49.54,49.56,800,49.56
2007-02-14,49.89,49.89,49.7,49.89,600,49.89
2007-02-15,50.18,50.26,50.09,50.18,900,50.18
2007-02-16,50.18,50.37,50.1,50.18,4100,50.18
2007-02-19,50.79,50.79,50.55,50.79,1700,50.79
2007-02-20,50.5,50.76,50.46,50.5,1500,50.5
2007-02-21,50.75,51.12,50.52,50.75,2300,50.75
2007-02-22,50.64,50.97,50.56,50.64,700,50.64
2007-02-23,50.73,50.94,50.6,50.73,800,50.73
2007-02-26,50.6,50.71,50.32,50.6,1000,50.6
2007-02-27,48.05,49.15,48.04,48.05,4400,48.05
2007-02-28,47.54,48.0,46.43,47.54,17400,47.54
2007-03-01,47.06,48.25,46.7,47.06,6700,47.06
2007-03-02,46.72,47.75,46.65,46.72,800,46.72
2007-03-05,47.0,47.0,45.27,47.0,2200,47.0
2007-03-06,46.75,46.75,46.75,46.75,0,46.75
2007-03-07,47.44,47.87,47.37,47.44,100,47.44
2007-03-08,48.02,48.13,47.73,48.02,700,48.02
2007-03-09,48.01,48.21,47.69,48.01,800,48.01
2007-03-12,48.06,48.06,48.06,48.06,100,48.06
2007-03-13,47.75,47.93,47.75,47.75,500,47.75
2007-03-14,45.81,47.0,45.68,45.81,11900,45.81
2007-03-15,46.55,46.79,46.55,46.55,200,46.55
2007-03-16,46.89,46.89,46.89,46.89,100,46.89
2007-03-19,47.54,47.54,47.3,47.54,600,47.54
2007-03-20,48.08,48.08,48.0,48.08,300,48.08
2007-03-21,48.75,48.98,48.7,48.75,800,48.75
2007-03-22,49.34,49.84,49.34,49.34,600,49.34
2007-03-23,49.34,49.72,49.33,49.34,2100,49.34
2007-03-26,49.68,50.0,49.55,49.68,1800,49.68
2007-03-27,49.33,49.33,49.04,49.33,1900,49.33
2007-03-28,48.75,49.03,48.69,48.75,13400,48.75
2007-03-29,49.25,49.26,48.95,49.25,700,49.25
2007-03-30,49.26,49.29,49.08,49.26,1600,49.26
2007-04-02,49.85,49.85,49.37,49.85,2700,49.85
2007-04-03,50.14,50.16,49.87,50.14,45800,50.14
2007-04-04,50.15,51.0,50.15,50.15,600,50.15
2007-04-05,50.15,50.41,50.14,50.15,2100,50.15
2007-04-10,50.82,52.19,50.6,50.82,2100,50.82
2007-04-11,50.78,50.87,50.55,50.78,4100,50.78
2007-04-12,49.83,50.0,49.77,49.83,100,49.83
2007-04-13,50.0,50.25,49.9,50.0,130500,50.0
2007-04-16,50.65,50.66,50.2,50.65,2400,50.65
2007-04-17,50.4,50.46,50.34,50.4,200,50.4
2007-04-18,50.4,50.4,49.97,50.4,2000,50.4
2007-04-19,49.67,50.0,49.25,49.67,1000,49.67
2007-04-20,50.17,50.17,50.01,50.17,500,50.17
2007-04-23,50.0,50.1,49.92,50.0,600,50.0
2007-04-24,50.0,50.15,49.2,50.0,800,50.0
2007-04-25,49.4,49.65,49.4,49.4,500,49.4
2007-04-26,49.4,49.95,49.35,49.4,2400,49.4
2007-04-27,48.99,49.24,48.99,48.99,500,48.99
2007-04-30,49.25,49.32,49.17,49.25,1100,49.25
2007-05-02,49.46,49.76,49.42,49.46,300,49.46
2007-05-03,49.46,49.8,49.41,49.46,1000,49.46
2007-05-04,49.7,50.05,49.66,49.7,1000,49.7
2007-05-07,50.05,50.21,50.05,50.05,400,50.05
2007-05-08,49.7,49.78,49.7,49.7,5400,49.7
2007-05-09,49.24,49.28,49.08,49.24,300,49.24
2007-05-10,49.7,49.7,49.7,49.7,0,49.7
2007-05-11,49.39,49.4,48.95,49.39,300,49.39
2007-05-14,49.4,49.49,49.4,49.4,100,49.4
2007-05-15,49.34,49.34,49.19,49.34,1400,49.34
2007-05-16,49.0,49.1,49.0,49.0,200,49.0
2007-05-17,49.0,49.09,49.0,49.0,500,49.0
2007-05-18,49.36,49.36,49.14,49.36,900,49.36
2007-05-21,49.36,49.49,49.26,49.36,800,49.36
2007-05-22,49.45,49.46,49.29,49.45,500,49.45
2007-05-23,49.9,50.05,49.65,49.9,1800,49.9
2007-05-24,49.9,50.0,49.7,49.9,700,49.9
2007-05-25,49.44,49.52,49.44,49.44,100,49.44
