Date,Open,High,Low,Close,Volume,Adj Close
2013-03-11,79.35,79.35,79.35,79.31,300,79.31
2013-03-18,79.41,79.41,79.41,79.38,0,79.38
2013-04-05,79.32,79.32,79.32,79.41,10000,79.41
2013-04-25,79.37,79.37,79.37,79.39,10000,79.39
2013-04-29,79.41,79.41,79.41,79.43,0,79.43
2013-05-02,79.4,79.4,79.4,79.55,0,79.55
2013-05-09,79.41,79.41,79.41,79.39,100,79.39
2013-07-29,79.15,79.15,79.15,79.19,0,79.19
2013-08-08,79.14,79.14,79.14,79.17,0,79.17
2013-11-07,79.28,79.28,79.28,79.3,5000,79.3
2013-12-30,79.15,79.15,79.15,79.1,0,79.1
2014-01-28,79.21,79.21,79.21,79.25,0,79.25
2014-02-18,79.26,79.26,79.26,79.29,2900,79.29
2014-03-14,79.28,79.28,79.28,79.24,0,79.24
2014-03-28,79.3,79.3,79.3,79.23,0,79.23
2014-04-04,79.67,79.67,79.21,79.2,0,79.2
2014-04-22,79.24,79.24,79.24,79.21,300,79.21
2014-05-02,79.73,79.73,79.26,79.23,100,79.23
2014-05-26,79.32,79.32,79.32,79.37,0,79.37
2014-06-24,79.41,79.41,79.41,79.48,1000,79.48
2014-07-01,79.04,79.04,79.04,79.33,13300,79.33
2014-08-25,79.38,79.38,79.38,79.48,300,79.48
2014-08-26,79.38,79.38,79.38,79.47,0,79.47
2014-09-01,79.24,79.58,79.24,79.48,26700,79.48
2014-09-23,78.98,80.11,78.98,79.47,19300,79.47
2014-10-23,79.6,79.6,79.6,79.48,0,79.48
2014-11-03,80.02,80.02,80.02,79.49,0,79.49
2014-11-11,79.55,79.55,79.55,79.46,0,79.46
2014-12-02,79.53,79.53,79.53,79.44,0,79.44
2014-12-12,78.99,79.48,78.99,79.44,13300,79.44
2014-12-15,79.53,79.54,79.53,79.46,1200,79.46
2015-01-07,79.43,79.43,79.43,79.61,0,79.61
2015-02-13,79.72,79.72,79.72,79.65,0,79.65
2015-02-20,79.72,79.72,79.72,79.61,200,79.61
2015-03-19,79.55,79.55,79.55,79.65,13300,79.65
2015-05-27,79.69,79.69,79.69,79.58,100,79.58
2015-06-29,79.65,79.65,79.65,79.55,0,79.55
2015-07-07,79.75,79.75,79.75,79.67,0,79.67
2015-07-13,79.58,79.58,79.58,79.56,1800,79.56
2015-07-24,79.67,79.67,79.67,79.56,200,79.56
2015-07-31,79.59,79.59,79.59,79.48,200,79.48
