Date,Open,High,Low,Close,Volume,Adj Close
2009-09-28,100.46,100.46,100.46,100.46,0,100.46
2009-09-29,100.47,100.47,100.47,100.47,0,100.47
2009-09-30,100.51,100.51,100.5,100.5,500,100.5
2009-10-01,100.5,100.5,100.5,100.5,100,100.5
2009-10-02,100.53,100.53,100.53,100.53,3100,100.53
2009-10-05,100.54,100.54,100.53,100.53,1100,100.53
2009-10-06,100.41,100.41,100.4,100.4,0,100.4
2009-10-07,100.57,100.57,100.56,100.56,1500,100.56
2009-10-08,100.5,100.5,100.5,100.5,500,100.5
2009-10-09,100.43,100.43,100.43,100.43,0,100.43
2009-10-12,100.42,100.42,100.42,100.42,0,100.42
2009-10-13,100.5,100.5,100.5,100.5,0,100.5
2009-10-14,100.44,100.44,100.44,100.44,0,100.44
2009-10-15,100.46,100.46,100.46,100.46,0,100.46
2009-10-16,100.43,100.43,100.43,100.43,0,100.43
2009-10-19,100.44,100.44,100.44,100.44,0,100.44
2009-10-20,100.38,100.5,100.38,100.5,0,100.5
2009-10-21,100.47,100.47,100.47,100.47,1000,100.47
2009-10-22,100.45,100.45,100.45,100.45,0,100.45
2009-10-23,100.5,100.5,100.5,100.5,100,100.5
2009-10-26,100.37,100.49,100.37,100.37,0,100.37
2009-10-27,100.44,100.5,100.44,100.44,0,100.44
2009-10-28,100.44,100.44,100.44,100.44,0,100.44
2009-10-29,100.38,100.5,100.38,100.38,0,100.38
2009-10-30,100.39,100.39,100.39,100.39,0,100.39
2009-11-02,100.49,100.49,100.45,100.45,100,100.45
2009-11-03,100.4,100.4,100.4,100.4,13200,100.4
2009-11-04,100.44,100.44,100.44,100.44,100,100.44
2009-11-05,100.4,100.4,100.4,100.4,0,100.4
2009-11-06,100.44,100.44,100.44,100.44,0,100.44
2009-11-09,100.44,100.44,100.44,100.44,100,100.44
2009-11-13,100.52,100.52,100.52,100.52,1200,100.52
2009-11-16,100.5,100.5,100.5,100.5,0,100.5
2009-11-17,100.63,100.63,100.63,100.63,0,100.63
2009-11-18,100.52,100.52,100.52,100.52,300,100.52
2009-11-19,100.4,100.51,100.4,100.45,400,100.45
2009-11-20,100.44,100.44,100.44,100.44,0,100.44
2009-11-23,100.49,100.49,100.49,100.49,100,100.49
2009-11-24,100.44,100.44,100.38,100.38,100,100.38
2009-11-25,100.44,100.44,100.44,100.44,0,100.44
2009-11-26,100.51,100.51,100.51,100.51,100,100.51
2009-11-27,100.51,100.51,100.51,100.51,300,100.51
2009-11-30,100.44,100.44,100.44,100.44,0,100.44
2009-12-01,100.44,100.44,100.44,100.44,0,100.44
2009-12-02,100.45,100.45,100.45,100.45,0,100.45
2009-12-03,100.45,100.45,100.45,100.45,0,100.45
2009-12-04,100.45,100.5,100.45,100.46,400,100.46
2009-12-07,100.49,100.49,100.49,100.49,0,100.49
2009-12-08,100.55,100.55,100.51,100.52,5000,100.52
2009-12-09,100.52,100.52,100.52,100.52,0,100.52
2009-12-10,100.47,100.47,100.47,100.47,0,100.47
2009-12-11,100.52,100.52,100.52,100.52,0,100.52
2009-12-14,100.49,100.49,100.49,100.49,0,100.49
2009-12-15,100.51,100.59,100.51,100.51,300,100.51
2009-12-16,100.53,100.53,100.53,100.53,0,100.53
2009-12-17,100.55,100.55,100.55,100.55,0,100.55
2009-12-18,100.62,100.62,100.62,100.62,400,100.62
2009-12-21,100.55,100.55,100.54,100.54,1600,100.54
2009-12-22,100.51,100.51,100.51,100.51,500,100.51
2009-12-23,100.57,100.57,100.57,100.57,0,100.57
2009-12-28,100.69,100.69,100.69,100.69,300,100.69
2009-12-29,100.59,100.59,100.59,100.59,0,100.59
2009-12-30,100.24,100.24,100.24,100.24,1500,100.24
2010-01-04,100.18,100.18,100.18,100.18,0,100.18
2010-01-05,100.14,100.14,100.12,100.13,200,100.13
2010-01-06,100.19,100.19,100.19,100.19,0,100.19
2010-01-07,100.21,100.21,100.21,100.21,0,100.21
2010-01-08,100.14,100.26,100.14,100.22,9900,100.22
2010-01-11,100.28,100.33,100.28,100.28,35500,100.28
2010-01-12,100.3,100.3,100.3,100.3,0,100.3
2010-01-13,100.32,100.32,100.32,100.32,0,100.32
2010-01-14,100.33,100.33,100.33,100.33,0,100.33
2010-01-15,100.37,100.37,100.37,100.37,100,100.37
2010-01-18,100.33,100.33,100.33,100.33,0,100.33
2010-01-19,100.33,100.33,100.33,100.33,100,100.33
2010-01-20,100.28,100.28,100.28,100.28,0,100.28
2010-01-21,100.32,100.32,100.32,100.32,0,100.32
2010-01-22,100.34,100.34,100.32,100.32,300,100.32
2010-01-25,100.26,100.26,100.26,100.26,0,100.26
2010-01-26,100.25,100.25,100.25,100.25,1100,100.25
2010-01-27,100.27,100.27,100.27,100.27,0,100.27
2010-01-28,100.22,100.22,100.22,100.22,500,100.22
2010-01-29,100.25,100.25,100.25,100.25,0,100.25
2010-02-01,100.31,100.31,100.31,100.31,0,100.31
2010-02-02,100.2,100.2,100.2,100.2,100,100.2
2010-02-03,100.27,100.27,100.27,100.27,0,100.27
2010-02-04,100.2,100.2,100.2,100.2,0,100.2
2010-02-05,100.25,100.25,100.25,100.25,500,100.25
2010-02-08,100.25,100.25,100.25,100.25,200,100.25
2010-02-09,100.28,100.28,100.28,100.28,0,100.28
2010-02-10,100.35,100.35,100.35,100.35,1200,100.35
2010-02-11,100.31,100.31,100.31,100.31,0,100.31
2010-02-12,100.32,100.32,100.32,100.32,0,100.32
2010-02-15,100.37,100.37,100.37,100.37,0,100.37
2010-02-16,100.32,100.32,100.32,100.32,0,100.32
2010-02-17,100.28,100.28,100.28,100.28,100,100.28
2010-02-18,100.38,100.38,100.38,100.38,0,100.38
2010-02-19,100.28,100.38,100.28,100.33,200,100.33
2010-02-22,100.33,100.33,100.33,100.33,0,100.33
2010-02-23,100.34,100.34,100.34,100.34,0,100.34
2010-02-24,100.31,100.31,100.31,100.31,0,100.31
2010-02-25,100.41,100.41,100.41,100.41,100,100.41
2010-02-26,100.36,100.36,100.36,100.36,0,100.36
2010-03-01,100.36,100.41,100.36,100.36,1200,100.36
2010-03-02,100.28,100.28,100.28,100.28,25000,100.28
2010-03-03,100.41,100.41,100.41,100.41,25500,100.41
2010-03-04,100.37,100.37,100.37,100.37,0,100.37
2010-03-05,100.42,100.42,100.42,100.42,1000,100.42
2010-03-08,100.42,100.42,100.33,100.38,1200,100.38
2010-03-09,100.41,100.42,100.41,100.42,400,100.42
2010-03-10,100.45,100.45,100.45,100.45,0,100.45
2010-03-11,100.46,100.46,100.46,100.46,0,100.46
2010-03-12,100.41,100.41,100.41,100.41,400,100.41
2010-03-15,100.37,100.37,100.35,100.35,11600,100.35
2010-03-16,100.29,100.41,100.29,100.29,0,100.29
2010-03-17,100.3,100.42,100.3,100.3,0,100.3
2010-03-18,100.42,100.42,100.42,100.42,0,100.42
2010-03-19,100.35,100.35,100.34,100.35,25000,100.35
2010-03-22,100.28,100.4,100.28,100.28,0,100.28
2010-03-23,100.34,100.34,100.34,100.34,4000,100.34
2010-03-24,100.4,100.5,100.4,100.4,0,100.4
2010-03-25,100.4,100.4,100.4,100.4,100,100.4
2010-03-26,100.38,100.5,100.38,100.38,0,100.38
2010-03-29,100.43,100.43,100.43,100.43,0,100.43
2010-03-30,100.39,100.39,100.39,100.39,0,100.39
2010-03-31,100.47,100.47,100.47,100.47,0,100.47
2010-04-01,100.48,100.48,100.48,100.48,0,100.48
2010-04-06,100.41,100.41,100.41,100.41,0,100.41
2010-04-07,100.41,100.41,100.41,100.41,0,100.41
2010-04-08,100.42,100.42,100.42,100.42,0,100.42
2010-04-09,100.44,100.44,100.44,100.44,0,100.44
2010-04-12,100.44,100.44,100.44,100.44,400,100.44
2010-04-13,100.4,100.4,100.4,100.4,0,100.4
2010-04-14,100.46,100.46,100.46,100.46,0,100.46
2010-04-15,100.47,100.47,100.47,100.47,0,100.47
2010-04-16,100.44,100.44,100.44,100.44,0,100.44
2010-04-19,100.45,100.45,100.45,100.45,0,100.45
2010-04-20,100.41,100.41,100.41,100.41,10500,100.41
2010-04-21,100.42,100.42,100.42,100.42,0,100.42
2010-04-22,100.42,100.42,100.42,100.42,0,100.42
2010-04-23,100.4,100.4,100.4,100.4,0,100.4
2010-04-26,100.34,100.34,100.34,100.34,1200,100.34
2010-04-27,100.11,100.11,100.11,100.11,0,100.11
2010-04-28,100.11,100.11,100.11,100.11,300,100.11
2010-04-29,100.22,100.22,100.2,100.2,400,100.2
2010-04-30,100.24,100.24,100.24,100.24,0,100.24
2010-05-03,100.27,100.27,100.27,100.27,12600,100.27
2010-05-04,100.25,100.25,100.25,100.25,0,100.25
2010-05-05,100.34,100.34,100.31,100.33,4700,100.33
2010-05-06,100.28,100.28,100.28,100.28,0,100.28
2010-05-07,100.02,100.02,100.02,100.02,0,100.02
