Date,Open,High,Low,Close,Volume,Adj Close
2006-04-21,120.06,120.16,119.96,120.06,300,120.06
2006-04-24,120.09,120.19,119.8,120.09,1800,120.09
2006-04-25,119.84,120.06,119.58,119.84,300,119.84
2006-04-26,119.94,119.94,119.75,119.94,1600,119.94
2006-04-27,118.6,119.78,118.6,118.6,1500,118.6
2006-04-28,118.79,118.79,118.69,118.79,100,118.79
2006-05-02,120.04,120.04,119.56,120.04,200,120.04
2006-05-03,119.92,120.62,119.29,119.92,11500,119.92
2006-05-04,119.4,119.76,119.4,119.4,1100,119.4
2006-05-05,120.27,120.29,120.0,120.27,700,120.27
2006-05-08,121.0,121.89,121.0,121.0,800,121.0
2006-05-09,121.0,121.4,120.92,121.0,800,121.0
2006-05-10,121.37,121.68,121.35,121.37,2500,121.37
2006-05-11,121.37,121.74,121.0,121.37,900,121.37
2006-05-12,118.4,120.3,118.4,118.4,1200,118.4
2006-05-15,116.81,117.01,115.96,116.81,1600,116.81
2006-05-16,116.92,117.08,116.14,116.92,500,116.92
2006-05-17,117.05,117.29,114.55,117.05,400,117.05
2006-05-18,112.9,114.15,112.81,112.9,11600,112.9
2006-05-19,112.98,113.01,112.95,112.98,200,112.98
2006-05-22,109.02,111.11,108.84,109.02,2600,109.02
2006-05-23,112.53,113.0,110.71,112.53,800,112.53
2006-05-24,111.7,112.35,111.0,111.7,300,111.7
2006-05-25,112.55,112.55,112.3,112.55,500,112.55
2006-05-26,114.16,114.38,113.6,114.16,400,114.16
2006-05-29,114.86,114.99,114.8,114.86,2200,114.86
2006-05-30,112.9,113.32,112.9,112.9,200,112.9
2006-05-31,112.9,113.41,111.77,112.9,300,112.9
2006-06-01,113.41,113.67,112.59,113.41,100,113.41
2006-06-02,114.33,114.93,114.33,114.33,100,114.33
2006-06-05,113.86,113.86,113.55,113.86,500,113.86
2006-06-06,111.39,113.4,111.39,111.39,0,111.39
2006-06-07,111.0,111.47,111.0,111.0,100,111.0
2006-06-08,109.5,110.0,109.18,109.5,400,109.5
2006-06-09,110.5,110.75,110.28,110.5,300,110.5
2006-06-12,110.21,110.21,110.18,110.21,500,110.21
2006-06-13,107.36,109.0,106.92,107.36,3500,107.36
2006-06-14,107.73,108.04,107.6,107.73,600,107.73
2006-06-15,109.56,109.68,108.72,109.56,0,109.56
2006-06-16,110.08,111.0,110.08,110.08,100,110.08
2006-06-19,110.08,111.02,110.05,110.08,100,110.08
2006-06-20,111.01,111.01,111.01,111.01,0,111.01
2006-06-21,110.5,110.5,110.5,110.5,0,110.5
2006-06-22,110.5,110.5,110.5,110.5,0,110.5
2006-06-23,111.5,111.6,111.5,111.5,100,111.5
2006-06-26,111.47,111.47,111.47,111.47,3600,111.47
2006-06-27,111.42,111.46,111.19,111.42,200,111.42
2006-06-28,111.13,111.13,110.55,111.13,0,111.13
2006-06-29,112.26,112.48,112.0,112.26,0,112.26
2006-06-30,114.25,114.25,112.5,114.25,100,114.25
2006-07-03,114.6,114.7,114.24,114.6,600,114.6
2006-07-04,115.01,115.01,114.55,115.01,900,115.01
2006-07-05,114.2,114.73,114.2,114.2,500,114.2
2006-07-06,114.5,114.5,114.5,114.5,200,114.5
2006-07-07,114.5,114.62,113.91,114.5,1000,114.5
2006-07-10,114.4,115.04,114.25,114.4,600,114.4
