Date,Open,High,Low,Close,Volume,Adj Close
2014-09-17,102.04,102.04,102.04,102.02,100,102.02
2014-09-18,102.04,102.04,101.95,102.0,0,102.0
2014-09-22,102.07,102.08,102.07,102.05,100,102.05
2014-09-23,102.01,102.01,102.01,102.0,400,102.0
2014-09-24,102.04,102.04,102.04,102.0,200,102.0
2014-09-25,102.04,102.04,102.02,101.98,200,101.98
2014-09-29,102.02,102.02,101.91,101.96,0,101.96
2014-09-30,101.86,101.86,101.86,101.91,0,101.91
2014-10-01,101.86,101.86,101.86,101.91,700,101.91
2014-10-08,101.96,101.96,101.96,102.01,0,102.01
2014-10-14,102.0,102.0,102.0,101.96,0,101.96
2014-10-17,101.78,101.78,101.78,101.83,0,101.83
2014-11-05,101.93,101.93,101.93,102.05,0,102.05
2014-11-06,101.92,101.92,101.89,102.05,0,102.05
2014-11-10,101.89,101.92,101.89,101.91,400,101.91
2014-11-14,101.92,101.92,101.92,102.05,0,102.05
2014-11-17,101.88,101.88,101.88,101.97,0,101.97
2014-11-19,101.92,101.92,101.92,102.03,0,102.03
2014-11-21,101.86,101.86,101.86,101.98,0,101.98
2014-11-26,101.89,101.89,101.89,102.04,0,102.04
2014-11-27,101.88,101.88,101.88,101.93,0,101.93
2014-12-02,101.85,101.85,101.85,101.85,0,101.85
2014-12-04,101.84,101.84,101.84,102.09,500,102.09
2014-12-05,101.82,101.84,101.82,101.92,600,101.92
2014-12-09,101.81,101.81,101.81,101.94,100,101.94
2014-12-10,101.79,101.79,101.79,101.9,100,101.9
2014-12-15,101.65,101.7,101.65,101.69,300,101.69
2014-12-16,101.69,101.77,101.69,101.74,700,101.74
2014-12-18,101.6,101.6,101.6,101.59,400,101.59
2014-12-22,101.67,101.67,101.62,101.72,600,101.72
2014-12-23,101.72,101.72,101.72,101.83,100,101.83
2014-12-29,101.72,101.72,101.72,101.77,100,101.77
2014-12-30,101.71,101.78,101.71,101.82,500,101.82
2015-01-02,101.72,101.72,101.72,101.86,100,101.86
2015-01-06,101.74,101.74,101.74,101.86,500,101.86
2015-01-07,101.7,101.7,101.7,101.79,0,101.79
2015-01-09,101.72,101.72,101.72,101.7,500,101.7
2015-01-14,101.73,101.73,101.73,101.6,0,101.6
2015-01-15,101.66,101.66,101.66,101.87,0,101.87
2015-01-21,101.71,101.71,101.67,101.99,600,101.99
2015-01-23,101.74,101.74,101.74,102.02,0,102.02
2015-01-26,101.83,101.83,101.78,101.87,100,101.87
2015-01-27,101.8,101.8,101.8,101.9,200,101.9
2015-01-30,101.74,101.74,101.74,101.96,0,101.96
2015-02-04,101.76,101.81,101.76,101.85,900,101.85
2015-02-11,101.82,101.82,101.82,102.15,500,102.15
2015-02-12,101.83,101.88,101.83,101.92,400,101.92
2015-02-13,101.89,101.89,101.89,102.12,300,102.12
2015-02-16,101.96,101.96,101.96,101.96,300,101.96
