Date,Open,High,Low,Close,Volume,Adj Close
2012-03-16,44.72,44.72,44.72,44.41,100,44.41
2012-03-22,45.03,45.03,45.03,44.915,0,44.915
2012-03-26,44.5,44.5,44.5,43.64,0,43.64
2012-04-23,44.25,44.25,44.25,45.25,0,45.25
2012-05-02,45.5,45.5,45.5,45.635,0,45.635
2012-05-16,46.84,46.84,46.84,46.105,0,46.105
2012-05-28,47.3,47.3,47.3,46.02,0,46.02
2012-06-05,44.27,44.27,44.27,44.455,0,44.455
2012-06-06,44.07,44.07,44.07,44.375,0,44.375
2012-06-07,43.6,43.6,43.6,43.425,0,43.425
2012-06-08,44.25,44.25,44.25,44.385,0,44.385
2012-06-12,43.79,43.79,43.79,44.155,0,44.155
2012-06-13,43.7,43.7,43.7,44.19,0,44.19
2012-06-29,45.36,45.36,45.36,44.19,0,44.19
2012-07-03,47.0,47.0,47.0,44.19,400,44.19
2012-07-13,47.6385,47.6385,47.6385,47.6385,0,47.6385
2012-07-23,50.24,50.24,50.24,49.5215,100,49.5215
2012-07-25,50.08,50.08,50.08,49.357,0,49.357
2012-08-01,49.94,49.94,49.94,49.2225,0,49.2225
2012-08-06,49.84,49.84,49.84,49.111,0,49.111
2012-08-13,50.5,50.5,50.5,49.759,0,49.759
2012-09-04,51.89,51.89,51.89,51.406,0,51.406
2012-09-06,52.73,52.73,52.33,52.947,300,52.947
2012-09-07,52.41,54.04,52.14,52.947,4000,52.947
2012-09-10,52.91,52.91,52.03,51.7635,9000,51.7635
2012-09-13,51.49,53.0,51.49,52.481,400,52.481
2012-09-17,53.8,53.8,53.8,53.56,0,53.56
2012-09-18,52.41,52.41,52.41,53.382,0,53.382
2012-09-24,53.75,53.75,53.75,52.7395,0,52.7395
2012-09-25,53.09,53.09,53.09,52.7675,0,52.7675
2012-09-26,51.6,51.6,51.6,52.6325,100,52.6325
2012-09-28,52.94,52.94,52.94,52.916,100,52.916
2012-10-01,53.33,53.33,52.91,53.267,0,53.267
2012-10-02,52.19,52.19,52.19,51.7055,0,51.7055
2012-10-03,52.8,52.8,52.8,52.2705,0,52.2705
2012-10-04,52.3,53.33,52.3,53.1465,100,53.1465
2012-10-09,51.91,51.91,51.91,52.638,200,52.638
2012-10-11,53.29,54.18,53.29,54.015,200,54.015
2012-10-12,53.32,53.32,53.32,54.015,0,54.015
2012-10-16,53.4,53.5,53.4,53.512,200,53.512
2012-10-18,53.64,53.64,53.64,53.284,100,53.284
2012-10-19,53.42,53.42,53.42,53.284,0,53.284
2012-10-24,54.1,54.1,54.1,53.7385,1700,53.7385
2012-10-25,54.21,54.21,54.21,53.6555,0,53.6555
2012-10-26,53.4,53.83,52.69,53.6555,400,53.6555
2012-10-30,53.96,53.96,53.37,52.83,300,52.83
2012-10-31,53.35,53.35,52.49,52.46,2200,52.46
2012-11-05,53.26,53.26,53.26,53.46,100,53.46
2012-11-07,53.03,53.03,53.03,53.42,0,53.42
2012-11-09,54.22,54.22,54.22,53.83,0,53.83
2012-11-14,53.75,53.75,53.75,52.93,0,52.93
2012-11-19,52.51,52.51,52.51,52.3,4500,52.3
2012-11-20,52.51,52.51,52.51,52.9,0,52.9
2012-11-23,51.41,51.41,51.41,52.16,0,52.16
2012-11-27,50.76,50.76,50.76,50.83,0,50.83
2012-11-30,49.64,49.64,49.64,49.64,300,49.64
2012-12-03,49.94,49.94,49.94,49.525,400,49.525
2012-12-04,50.0,50.36,50.0,50.23,100,50.23
2012-12-06,50.92,50.92,50.43,50.93,100,50.93
2012-12-07,51.87,51.87,51.87,50.93,0,50.93
2012-12-10,51.48,51.48,51.48,51.33,0,51.33
2012-12-18,52.3,52.3,52.12,51.73,0,51.73
2012-12-19,52.3,52.3,52.02,51.85,0,51.85
2012-12-20,50.92,50.92,50.92,52.45,0,52.45
2012-12-27,52.68,52.68,52.68,52.32,0,52.32
2013-01-02,53.78,53.78,53.11,53.74,4600,53.74
2013-01-03,53.96,54.49,53.96,54.43,300,54.43
2013-01-04,54.9,54.99,54.9,54.43,0,54.43
2013-01-07,54.77,55.65,54.77,55.34,3000,55.34
2013-01-08,55.31,55.44,55.31,55.27,100,55.27
2013-01-09,55.5,55.98,55.5,55.65,600,55.65
2013-01-10,55.93,55.93,54.5,54.46,300,54.46
2013-01-14,54.36,54.44,54.36,54.11,400,54.11
2013-01-15,54.52,54.7,54.47,54.34,100,54.34
2013-01-16,54.83,55.03,54.83,54.86,200,54.86
2013-01-17,55.0,55.0,54.49,54.5,600,54.5
2013-01-18,54.76,54.79,54.75,54.5,100,54.5
2013-01-21,54.97,54.97,54.76,54.48,100,54.48
2013-01-22,54.0,54.65,53.99,54.44,500,54.44
2013-01-23,54.6,54.62,54.6,54.48,100,54.48
2013-01-24,54.68,54.68,54.65,54.44,100,54.44
2013-01-25,54.71,54.77,54.71,54.44,0,54.44
2013-01-28,54.65,54.65,54.25,54.27,100,54.27
2013-01-29,54.23,54.23,54.23,53.78,0,53.78
2013-01-31,53.95,53.95,53.95,53.9,0,53.9
2013-02-01,54.21,54.47,54.18,53.9,100,53.9
2013-02-04,55.19,55.19,54.63,55.15,100,55.15
2013-02-05,55.97,55.97,55.17,55.42,300,55.42
2013-02-06,55.17,55.76,55.17,55.4,0,55.4
2013-02-07,55.9,56.06,55.55,55.71,200,55.71
2013-02-08,55.99,55.99,55.5,55.71,300,55.71
2013-02-11,56.33,56.33,56.33,55.87,0,55.87
2013-02-12,56.19,56.19,56.16,55.86,0,55.86
2013-02-13,55.89,55.89,55.89,55.86,0,55.86
2013-02-15,55.95,55.95,55.95,55.74,0,55.74
2013-02-18,55.0,55.05,55.0,55.46,0,55.46
2013-02-21,56.47,56.47,56.47,56.15,0,56.15
