Date,Open,High,Low,Close,Volume,Adj Close
2008-06-25,113.5,114.06,113.5,113.5,0,113.5
2008-06-26,116.55,117.14,116.55,116.55,0,116.55
2008-06-27,117.21,117.32,117.21,117.32,400,117.32
2008-06-30,113.0,113.56,113.0,113.0,0,113.0
2008-07-01,113.38,113.38,113.38,113.38,0,113.38
2008-07-02,113.43,113.99,113.43,113.43,0,113.43
2008-07-03,114.3,114.3,114.3,114.3,0,114.3
2008-07-04,115.4,115.98,115.4,115.4,0,115.4
2008-07-07,115.24,115.24,115.24,115.24,0,115.24
2008-07-08,108.38,108.92,108.38,108.38,0,108.38
2008-07-09,109.7,110.25,109.7,109.7,0,109.7
2008-07-10,109.18,109.73,109.18,109.18,0,109.18
2008-07-11,108.69,109.23,108.69,108.69,0,108.69
2008-07-14,108.0,108.35,108.0,108.0,0,108.0
2008-07-15,107.93,107.93,107.93,107.93,0,107.93
2008-07-16,106.47,106.47,106.47,106.47,0,106.47
2008-07-17,107.05,107.59,107.05,107.05,0,107.05
2008-07-18,105.04,105.57,105.04,105.04,0,105.04
2008-07-21,106.47,106.47,106.47,106.47,0,106.47
2008-07-22,102.1,102.62,102.1,102.1,0,102.1
2008-07-23,100.97,101.47,100.97,100.97,0,100.97
2008-07-24,102.08,102.6,102.08,102.08,0,102.08
2008-07-25,102.56,103.07,102.56,102.56,0,102.56
2008-07-28,102.91,103.42,102.91,102.91,0,102.91
2008-07-29,102.32,102.83,102.32,102.32,0,102.32
2008-07-30,104.2,104.2,104.13,104.13,100,104.13
2008-07-31,104.19,104.72,104.19,104.19,0,104.19
2008-08-01,104.8,105.32,104.8,104.8,0,104.8
2008-08-04,102.2,102.2,102.2,102.2,0,102.2
2008-08-05,100.04,100.55,100.04,100.04,0,100.04
2008-08-06,100.88,100.88,100.88,100.88,0,100.88
2008-08-07,101.66,102.17,101.66,101.66,0,101.66
2008-08-08,101.11,101.62,101.11,101.11,0,101.11
2008-08-11,101.46,101.97,101.46,101.46,0,101.46
2008-08-12,101.87,102.37,101.87,101.87,0,101.87
2008-08-13,100.88,100.88,100.88,100.88,0,100.88
2008-08-14,106.09,106.63,106.09,106.09,0,106.09
2008-08-18,106.89,107.43,106.89,106.89,0,106.89
2008-08-19,108.5,109.04,108.5,108.5,0,108.5
2008-08-20,100.88,100.88,100.88,100.88,0,100.88
2008-08-21,109.47,109.47,109.47,109.47,1400,109.47
2008-08-22,109.61,110.15,109.61,109.61,0,109.61
2008-08-25,110.39,110.39,110.39,110.39,0,110.39
2008-08-26,109.22,109.22,109.22,109.22,1300,109.22
2008-08-27,110.46,110.46,110.46,110.46,300,110.46
2008-08-28,107.23,107.76,107.23,107.23,0,107.23
2008-08-29,106.97,107.5,106.97,106.97,0,106.97
2008-09-01,106.92,107.45,106.92,106.92,0,106.92
2008-09-02,104.14,104.52,104.14,104.52,0,104.52
2008-09-03,105.0,105.0,104.7,104.7,100,104.7
2008-09-04,105.53,106.06,105.53,105.53,0,105.53
2008-09-05,105.06,105.06,105.06,105.06,0,105.06
2008-09-08,104.62,104.62,104.62,104.62,200,104.62
2008-09-09,101.88,102.4,101.88,101.88,0,101.88
2008-09-10,102.86,102.86,102.86,102.86,0,102.86
2008-09-11,103.36,103.36,103.36,103.36,0,103.36
2008-09-12,102.3,102.3,102.3,102.3,0,102.3
2008-09-15,102.21,102.73,102.21,102.21,0,102.21
2008-09-16,99.49,99.99,99.49,99.49,0,99.49
2008-09-17,97.64,98.13,97.64,97.64,0,97.64
2008-09-18,98.18,98.67,98.18,98.18,0,98.18
2008-09-19,97.48,97.97,97.48,97.48,0,97.48
2008-09-22,99.54,100.04,99.54,99.54,0,99.54
2008-09-23,98.13,102.3,98.13,98.13,0,98.13
2008-09-24,98.71,99.21,98.71,98.71,0,98.71
2008-09-25,98.61,99.11,98.61,98.61,0,98.61
2008-09-26,97.49,97.97,97.49,97.49,0,97.49
2008-09-29,96.67,96.67,96.67,96.67,1100,96.67
2008-09-30,95.62,96.1,95.62,95.62,0,95.62
2008-10-01,94.88,95.67,94.88,95.67,0,95.67
2008-10-02,94.95,94.95,94.95,94.95,0,94.95
2008-10-03,93.37,93.83,93.37,93.37,0,93.37
2008-10-06,88.7,89.15,88.7,88.7,0,88.7
2008-10-07,88.5,88.95,88.5,88.5,0,88.5
2008-10-08,86.69,86.69,86.69,86.69,0,86.69
2008-10-09,89.14,89.14,89.14,89.14,0,89.14
2008-10-10,83.67,84.09,83.67,83.67,0,83.67
2008-10-13,86.1,86.54,86.1,86.1,0,86.1
2008-10-14,85.38,85.81,85.38,85.38,0,85.38
2008-10-15,83.25,83.67,83.25,83.25,0,83.25
2008-10-16,80.75,81.15,80.75,80.75,0,80.75
2008-10-17,83.53,83.53,83.53,83.53,0,83.53
2008-10-20,85.6,86.02,85.6,85.6,0,85.6
2008-10-21,85.47,85.9,85.47,85.47,0,85.47
2008-10-22,85.48,85.9,85.48,85.48,0,85.48
2008-10-23,86.11,86.55,86.11,86.11,0,86.11
2008-10-24,85.0,85.42,85.0,85.0,0,85.0
2008-10-27,85.9,86.33,85.9,85.9,0,85.9
2008-10-28,85.94,86.38,85.94,85.94,0,85.94
2008-10-29,88.61,89.05,88.61,88.61,0,88.61
2008-10-30,86.34,86.77,86.34,86.34,0,86.34
2008-10-31,86.11,86.54,86.11,86.11,0,86.11
2008-11-03,88.36,88.81,88.36,88.36,0,88.36
2008-11-04,87.49,87.93,87.49,87.49,0,87.49
2008-11-05,85.21,85.63,85.21,85.21,0,85.21
2008-11-06,85.45,85.45,85.45,85.45,0,85.45
2008-11-07,84.99,84.99,84.33,84.33,0,84.33
2008-11-10,85.11,85.11,85.11,85.11,0,85.11
2008-11-11,84.13,84.55,84.13,84.13,0,84.13
2008-11-12,85.11,85.11,85.11,85.11,0,85.11
2008-11-13,84.81,85.23,84.81,84.81,0,84.81
2008-11-14,83.76,83.76,83.76,83.76,0,83.76
2008-11-17,84.23,84.23,84.23,84.23,0,84.23
2008-11-18,83.27,83.69,83.27,83.27,0,83.27
2008-11-19,82.66,83.12,82.66,82.66,0,82.66
2008-11-20,81.9,81.9,81.9,81.9,100,81.9
2008-11-21,80.38,80.78,80.38,80.38,0,80.38
2008-11-24,79.66,79.66,79.66,79.66,0,79.66
2008-11-25,81.23,81.23,79.86,80.39,100,80.39
2008-11-26,80.02,80.78,80.02,80.39,0,80.39
2008-11-27,81.1,81.1,81.1,81.1,0,81.1
2008-11-28,81.45,81.83,81.45,81.83,0,81.83
2008-12-01,79.7,80.09,79.7,79.7,0,79.7
2008-12-02,78.95,79.34,78.95,78.95,0,78.95
2008-12-03,79.43,79.83,79.43,79.43,0,79.43
2008-12-04,75.7,76.07,75.7,75.7,0,75.7
2008-12-05,73.24,73.61,73.24,73.24,0,73.24
2008-12-08,74.78,75.15,74.78,74.78,0,74.78
2008-12-09,74.78,75.15,74.7,74.7,0,74.7
2008-12-10,74.8,75.18,74.8,74.8,0,74.8
2008-12-11,74.93,75.3,74.93,74.93,0,74.93
2008-12-12,73.72,73.83,72.76,72.76,0,72.76
2008-12-15,75.46,75.5,75.46,75.5,100,75.5
2008-12-16,73.79,74.15,73.79,73.79,0,73.79
2008-12-17,74.17,74.71,74.17,74.39,0,74.39
2008-12-18,72.42,72.78,72.42,72.42,0,72.42
2008-12-19,74.17,74.17,74.17,74.17,0,74.17
2008-12-22,74.67,75.05,74.67,74.67,0,74.67
2008-12-23,74.69,75.06,74.69,74.69,0,74.69
2008-12-29,76.45,76.83,76.45,76.45,0,76.45
2008-12-30,75.71,75.71,75.71,75.71,0,75.71
2009-01-02,79.1,79.49,79.1,79.1,0,79.1
2009-01-05,80.23,80.63,80.23,80.23,0,80.23
2009-01-06,83.0,84.01,83.0,83.63,100,83.63
2009-01-07,83.63,83.63,83.63,83.63,0,83.63
2009-01-08,81.33,81.74,81.33,81.33,0,81.33
2009-01-09,83.78,84.19,83.78,83.78,0,83.78
2009-01-12,82.46,82.46,82.46,82.46,100,82.46
2009-01-13,81.65,81.98,81.65,81.65,0,81.65
2009-01-14,80.65,80.65,80.65,80.65,0,80.65
2009-01-15,80.77,81.17,80.77,80.77,0,80.77
2009-01-16,81.49,81.9,81.49,81.49,0,81.49
2009-01-19,81.6,83.43,81.6,82.34,0,82.34
2009-01-20,84.0,84.14,84.0,84.0,0,84.0
2009-01-21,82.35,82.35,82.15,82.15,0,82.15
2009-01-22,83.6,83.6,83.6,83.6,500,83.6
2009-01-23,84.0,84.0,84.0,84.0,0,84.0
2009-01-26,84.96,85.63,84.5,85.47,25200,85.47
2009-01-27,83.61,83.7,82.27,82.3,12600,82.3
2009-01-28,81.58,81.58,81.25,81.25,100,81.25
2009-01-29,82.05,82.46,82.05,82.05,0,82.05
2009-01-30,83.73,84.15,83.73,83.73,0,83.73
2009-02-02,82.77,82.77,82.77,82.77,0,82.77
2009-02-03,82.71,82.71,82.01,82.01,0,82.01
2009-02-04,81.77,81.77,81.68,81.68,0,81.68
2009-02-05,81.85,81.85,81.85,81.85,0,81.85
2009-02-06,83.79,84.26,83.79,84.26,0,84.26
2009-02-09,82.97,83.45,82.97,83.01,100,83.01
2009-02-10,83.64,83.64,81.7,81.7,300,81.7
2009-02-11,81.71,82.11,81.71,81.71,0,81.71
2009-02-12,81.4,81.64,81.31,81.64,0,81.64
2009-02-13,80.77,80.77,80.77,80.77,0,80.77
2009-02-16,80.84,80.84,80.84,80.84,0,80.84
2009-02-17,80.98,80.98,80.98,80.98,100,80.98
2009-02-18,79.35,79.75,79.35,79.35,0,79.35
2009-02-19,78.12,78.51,78.12,78.12,0,78.12
2009-02-20,78.2,78.2,77.8,77.8,100,77.8
2009-02-23,77.57,77.57,77.51,77.51,0,77.51
2009-02-24,75.82,75.89,75.82,75.89,0,75.89
2009-02-25,76.6,76.6,76.6,76.6,0,76.6
2009-02-26,77.83,77.83,77.83,77.83,0,77.83
2009-02-27,77.53,77.96,77.53,77.96,5200,77.96
2009-03-02,77.47,77.47,76.63,76.63,0,76.63
2009-03-03,75.9,75.9,75.9,75.9,0,75.9
2009-03-04,76.88,76.88,76.88,76.88,0,76.88
2009-03-05,76.93,76.93,76.83,76.83,0,76.83
2009-03-06,76.33,76.71,76.33,76.33,0,76.33
2009-03-09,77.05,77.05,76.71,76.71,0,76.71
2009-03-10,76.59,76.59,76.51,76.51,0,76.51
2009-03-11,77.28,77.28,77.28,77.28,0,77.28
2009-03-12,75.56,75.56,75.56,75.56,0,75.56
2009-03-13,76.76,76.76,76.75,76.75,0,76.75
2009-03-16,75.51,75.83,75.51,75.53,12500,75.53
2009-03-17,77.0,77.71,77.0,77.32,200,77.32
2009-03-18,77.09,77.09,76.95,76.95,100,76.95
2009-03-19,75.38,75.38,75.25,75.25,0,75.25
2009-03-20,76.0,76.0,76.0,76.0,100,76.0
2009-03-23,76.55,77.33,76.55,77.25,600,77.25
2009-03-24,76.45,76.45,76.45,76.45,0,76.45
2009-03-25,75.24,75.62,75.24,75.24,0,75.24
2009-03-26,75.42,75.42,75.26,75.26,200,75.26
2009-03-27,75.63,75.94,75.33,75.41,100,75.41
2009-03-30,75.4,75.4,75.4,75.4,0,75.4
2009-03-31,75.83,75.83,75.41,75.41,0,75.41
2009-04-01,77.41,77.87,77.41,77.87,200,77.87
2009-04-02,78.07,78.07,78.0,78.0,100,78.0
2009-04-03,78.0,78.23,78.0,78.23,200,78.23
2009-04-06,79.33,79.44,79.0,79.0,300,79.0
2009-04-07,79.62,79.62,79.62,79.62,100,79.62
2009-04-08,79.05,79.05,78.52,78.52,300,78.52
2009-04-09,79.7,80.0,79.41,80.0,200,80.0
2009-04-14,79.3,80.06,79.3,80.05,100,80.05
2009-04-15,79.64,80.04,79.64,79.64,0,79.64
2009-04-16,79.96,79.96,79.44,79.71,0,79.71
2009-04-17,80.82,81.02,80.51,80.51,200,80.51
2009-04-20,80.48,80.48,79.24,79.52,300,79.52
2009-04-21,79.7,79.7,79.22,79.52,300,79.52
2009-04-22,80.17,80.68,80.17,80.26,100,80.26
2009-04-23,79.97,80.27,79.97,80.26,100,80.26
2009-04-24,80.33,80.33,80.33,80.33,0,80.33
2009-04-27,79.01,79.01,78.46,78.46,200,78.46
2009-04-28,79.55,79.55,79.5,79.5,200,79.5
2009-04-29,79.0,79.0,79.0,79.0,0,79.0
2009-04-30,79.75,80.14,79.75,79.75,0,79.75
2009-05-04,83.06,83.06,83.06,83.06,0,83.06
2009-05-05,82.4,82.4,82.3,82.36,0,82.36
2009-05-06,83.45,83.45,83.45,83.45,0,83.45
2009-05-07,84.57,84.57,83.43,83.74,400,83.74
2009-05-08,83.84,83.84,83.82,83.82,200,83.82
2009-05-11,83.37,83.37,83.37,83.37,0,83.37
2009-05-12,84.43,84.43,84.43,84.43,400,84.43
2009-05-13,84.52,84.72,84.52,84.72,600,84.72
2009-05-14,82.96,83.36,82.77,82.77,600,82.77
2009-05-15,83.8,84.33,83.8,83.8,0,83.8
2009-05-18,82.53,82.53,82.53,82.53,0,82.53
2009-05-19,83.81,83.81,83.81,83.81,0,83.81
2009-05-20,83.54,83.62,83.54,83.62,100,83.62
2009-05-21,83.2,83.2,82.48,82.48,200,82.48
2009-05-22,82.13,82.54,82.13,82.13,0,82.13
2009-05-25,82.75,82.75,82.67,82.67,100,82.67
2009-05-26,82.32,82.73,82.32,82.32,0,82.32
2009-05-27,82.86,83.28,82.86,82.86,0,82.86
2009-05-28,83.73,84.14,83.73,83.73,0,83.73
2009-05-29,83.4,83.4,83.4,83.4,0,83.4
2009-06-01,83.59,83.59,83.59,83.59,0,83.59
2009-06-02,84.6,84.6,84.31,84.31,100,84.31
2009-06-03,84.5,84.5,84.5,84.5,0,84.5
2009-06-04,77.4,82.87,77.4,77.4,0,77.4
2009-06-05,84.18,84.18,84.18,84.18,0,84.18
2009-06-08,83.93,83.93,83.24,83.24,200,83.24
2009-06-09,83.23,83.23,83.0,83.16,0,83.16
2009-06-10,83.0,83.4,82.87,83.4,100,83.4
2009-06-11,82.95,82.95,82.95,82.95,0,82.95
2009-06-12,82.37,82.37,82.3,82.3,0,82.3
2009-06-15,81.33,81.49,80.88,80.88,100,80.88
2009-06-16,80.33,84.0,80.33,80.33,0,80.33
2009-06-17,79.71,79.71,79.53,79.54,0,79.54
2009-06-18,79.13,79.13,79.13,79.13,0,79.13
2009-06-19,78.89,84.0,78.89,78.89,0,78.89
2009-06-22,77.53,77.82,77.53,77.68,100,77.68
2009-06-23,76.82,76.82,76.82,76.82,0,76.82
2009-06-24,77.28,77.28,77.28,77.28,0,77.28
2009-06-25,77.52,77.52,77.52,77.52,0,77.52
2009-06-26,77.36,77.36,76.89,76.89,0,76.89
2009-06-29,76.86,76.86,76.86,76.86,0,76.86
