Date,Open,High,Low,Close,Volume,Adj Close
2014-05-22,108.6,109.25,108.6,109.29,2800,109.29
2014-05-27,111.58,111.69,111.58,112.22,3100,112.22
2014-05-28,111.6,111.6,111.57,111.92,300,111.92
2014-06-02,110.39,110.5,110.38,110.92,1500,110.92
2014-06-03,110.78,110.92,110.39,110.22,1900,110.22
2014-06-05,111.41,111.41,111.41,111.79,0,111.79
2014-06-06,113.58,113.58,113.58,114.61,100,114.61
2014-06-09,115.68,115.9,115.68,115.86,1900,115.86
2014-06-10,115.66,115.66,115.55,115.59,1500,115.59
2014-06-12,115.33,115.33,114.52,114.99,900,114.99
2014-06-13,114.61,115.03,114.61,115.01,900,115.01
2014-06-16,114.6,114.6,114.6,114.51,900,114.51
2014-06-17,116.15,116.38,116.15,116.34,1900,116.34
2014-06-18,115.84,115.85,115.84,115.75,1500,115.75
2014-06-19,116.06,116.06,116.03,116.14,600,116.14
2014-06-20,117.01,117.01,117.01,117.1,600,117.1
2014-06-23,117.28,117.3,117.06,116.89,7600,116.89
2014-06-24,116.61,116.61,116.61,117.64,0,117.64
2014-06-25,114.92,115.42,114.38,115.38,6300,115.38
2014-06-30,116.28,116.49,116.15,116.21,5300,116.21
2014-07-02,118.21,118.55,118.18,118.28,8200,118.28
2014-07-04,118.73,118.73,118.73,118.83,3100,118.83
2014-07-07,118.52,118.66,118.03,117.37,3800,117.37
2014-07-08,115.4,115.42,115.39,115.0,2200,115.0
2014-07-09,115.86,115.86,115.86,115.51,2500,115.51
2014-07-10,114.76,114.86,112.8,114.44,30200,114.44
2014-07-11,114.56,114.95,114.55,113.87,11500,113.87
2014-07-14,114.69,115.41,114.69,114.96,4400,114.96
2014-07-15,114.68,115.07,114.09,114.27,8200,114.27
2014-07-16,114.01,114.94,114.01,113.91,3100,113.91
2014-07-17,113.34,113.34,113.2,113.37,3800,113.37
2014-07-25,113.87,113.87,113.87,113.93,300,113.93
2014-07-29,113.37,114.15,113.37,114.25,6600,114.25
2014-07-30,114.33,115.51,114.31,114.99,7600,114.99
2014-08-04,110.76,110.76,110.76,111.12,300,111.12
2014-08-05,112.29,112.29,112.29,113.29,300,113.29
2014-08-06,112.06,112.16,111.78,113.25,2600,113.25
2014-08-11,113.6,113.6,113.6,115.1,0,115.1
2014-08-12,114.38,114.45,114.09,113.91,2600,113.91
2014-08-19,117.0,117.0,117.0,117.04,0,117.04
2014-08-22,116.72,116.79,116.72,117.2,2000,117.2
2014-08-28,118.74,118.74,118.74,118.81,600,118.81
2014-08-29,118.76,118.76,118.76,119.48,0,119.48
2014-09-03,120.67,120.67,120.67,120.4,300,120.4
2014-09-08,121.23,121.23,121.23,120.98,100,120.98
2014-09-17,119.14,119.15,119.14,119.84,3100,119.84
2014-09-19,121.61,121.63,121.04,120.97,3800,120.97
2014-09-26,117.17,117.3,117.05,117.89,4700,117.89
2014-09-29,117.0,117.0,117.0,118.26,0,118.26
2014-09-30,118.36,119.04,118.36,118.65,600,118.65
2014-10-15,112.48,112.48,111.39,111.2,900,111.2
2014-10-28,120.1,120.1,120.1,119.97,100,119.97
2014-11-05,125.82,125.86,125.82,125.83,600,125.83
2014-11-07,127.32,127.37,126.77,126.57,2100,126.57
2014-11-12,126.91,126.91,126.91,127.12,900,127.12
2014-11-20,123.8,123.8,123.8,124.89,0,124.89
2014-11-25,126.72,128.64,126.72,127.44,9200,127.44
2014-11-27,128.59,128.59,128.36,128.57,200,128.57
2014-11-28,128.62,128.62,128.62,128.45,300,128.45
2014-12-01,125.64,125.64,125.64,124.91,100,124.91
2014-12-04,128.92,129.06,128.92,126.57,100,126.57
2014-12-05,128.09,129.38,128.09,129.38,100,129.38
2014-12-09,126.0,126.0,125.47,126.2,100,126.2
2014-12-16,123.04,123.13,122.9,124.16,6900,124.16
2014-12-18,130.17,130.18,129.79,129.6,5000,129.6
2014-12-29,134.01,134.67,134.01,134.61,200,134.61
2014-12-30,134.56,134.62,134.56,134.56,1400,134.56
2015-01-02,135.5,135.5,135.5,133.2,2600,133.2
2015-01-06,133.4,133.48,133.38,131.72,7400,131.72
2015-01-07,132.15,133.23,132.05,132.85,10100,132.85
2015-01-08,135.07,136.32,135.07,136.24,500,136.24
2015-01-09,135.99,136.04,135.89,134.65,6700,134.65
2015-01-13,137.14,137.14,136.17,136.26,2300,136.26
2015-01-14,133.9,135.0,133.9,133.75,600,133.75
2015-01-16,136.42,136.42,136.42,136.1,0,136.1
2015-01-20,136.96,136.96,135.39,135.56,1200,135.56
2015-01-22,135.75,139.2,135.75,138.99,400,138.99
2015-01-23,143.21,143.21,142.35,142.7,100,142.7
2015-01-26,141.77,141.78,141.77,142.37,200,142.37
2015-01-27,142.44,142.44,140.41,140.87,200,140.87
2015-01-28,142.64,142.64,142.64,140.55,100,140.55
2015-02-02,138.67,138.67,137.28,138.34,300,138.34
2015-02-03,140.01,140.34,140.01,139.45,0,139.45
2015-02-04,140.24,141.13,140.24,141.08,100,141.08
2015-02-10,142.0,142.0,142.0,142.26,0,142.26
2015-02-11,142.88,142.96,142.67,143.31,400,143.31
2015-02-12,143.97,143.97,143.97,143.03,200,143.03
2015-02-16,144.27,144.27,144.26,144.87,100,144.87
2015-02-18,144.78,144.79,144.7,145.03,3600,145.03
2015-02-19,145.22,145.22,145.22,145.26,0,145.26
2015-02-23,145.73,145.73,145.72,145.66,5500,145.66
2015-02-25,146.59,146.59,146.59,146.46,0,146.46
2015-03-02,148.88,148.88,148.88,149.32,0,149.32
2015-03-03,149.0,149.0,149.0,148.44,0,148.44
2015-03-04,148.44,149.28,148.44,149.73,100,149.73
2015-03-05,150.86,150.86,150.86,150.65,0,150.65
2015-03-06,152.09,152.09,152.09,151.3,0,151.3
2015-03-09,150.63,150.63,150.63,151.32,0,151.32
2015-03-10,152.68,152.68,152.4,151.89,0,151.89
2015-03-11,154.69,154.69,154.17,153.99,0,153.99
2015-03-13,157.41,157.41,157.41,156.36,0,156.36
2015-03-16,157.78,158.11,157.58,157.52,2300,157.52
2015-03-17,157.04,157.04,156.42,157.09,1100,157.09
2015-03-18,157.79,157.79,157.12,157.22,700,157.22
2015-03-19,158.45,158.67,158.45,158.7,4800,158.7
2015-03-24,155.48,156.62,155.48,156.45,0,156.45
2015-03-25,152.91,152.91,152.91,152.62,0,152.62
2015-03-30,153.9,153.9,153.9,156.08,0,156.08
2015-03-31,157.25,157.25,157.25,157.6,300,157.6
2015-04-02,155.59,155.85,155.59,156.1,100,156.1
2015-04-09,158.25,158.4,158.21,157.71,100,157.71
2015-04-10,160.16,161.36,160.16,160.84,300,160.84
2015-04-13,162.3,162.3,162.3,162.0,0,162.0
2015-04-15,161.43,161.43,161.42,161.81,0,161.81
2015-04-22,157.66,157.66,157.66,158.84,300,158.84
2015-04-28,153.99,153.99,153.99,154.67,0,154.67
2015-04-30,150.0,150.0,148.97,148.55,700,148.55
2015-05-05,149.24,149.24,146.71,146.52,100,146.52
2015-05-07,143.62,143.62,143.62,146.19,0,146.19
2015-05-08,148.81,148.81,148.81,148.65,0,148.65
2015-05-12,146.0,147.56,146.0,147.72,0,147.72
2015-05-18,148.36,148.45,148.16,148.11,400,148.11
2015-06-01,154.86,154.86,154.85,154.84,300,154.84
2015-06-08,155.0,155.0,151.8,151.83,0,151.83
2015-06-10,151.38,151.38,151.38,151.22,0,151.22
2015-06-11,152.21,152.21,152.21,151.98,0,151.98
2015-06-12,152.97,152.97,152.97,151.51,0,151.51
2015-06-16,152.34,152.34,152.34,152.26,0,152.26
2015-06-17,152.68,152.68,152.68,152.67,200,152.67
2015-06-18,150.09,152.08,149.79,151.9,7300,151.9
2015-06-19,153.42,153.5,152.79,153.41,500,153.41
2015-06-22,153.81,154.03,153.03,153.13,1000,153.13
2015-06-25,154.55,154.55,154.55,155.24,0,155.24
