Date,Open,High,Low,Close,Volume,Adj Close
2009-01-29,13.51,13.51,13.51,13.51,100,13.51
2009-01-30,13.19,13.24,13.19,13.19,0,13.19
2009-02-02,13.02,13.13,13.02,13.02,0,13.02
2009-02-03,13.14,13.14,13.14,13.14,200,13.14
2009-02-04,13.54,13.59,13.54,13.54,0,13.54
2009-02-05,13.16,13.16,13.16,13.16,200,13.16
2009-02-06,13.47,13.68,13.47,13.68,0,13.68
2009-02-09,13.66,13.66,13.66,13.66,0,13.66
2009-02-10,13.66,13.66,13.66,13.66,0,13.66
2009-02-11,13.15,13.15,13.12,13.12,0,13.12
2009-02-12,13.1,13.1,13.1,13.1,0,13.1
2009-02-13,13.1,13.1,13.1,13.1,0,13.1
2009-02-16,12.95,13.0,12.95,12.95,0,12.95
2009-02-17,13.01,13.01,13.01,13.01,0,13.01
2009-02-18,12.87,12.87,12.87,12.87,0,12.87
2009-02-19,12.67,12.67,12.67,12.67,0,12.67
2009-02-20,12.3,12.34,12.3,12.3,0,12.3
2009-02-23,12.33,12.35,12.33,12.35,0,12.35
2009-02-24,11.97,11.97,11.91,11.91,8500,11.91
2009-02-25,11.92,11.95,11.92,11.92,0,11.92
2009-02-26,12.03,12.07,12.03,12.03,0,12.03
2009-02-27,11.8,11.8,11.67,11.67,8600,11.67
2009-03-02,11.5,11.5,11.38,11.38,0,11.38
2009-03-03,10.97,11.01,10.97,10.97,0,10.97
2009-03-04,11.08,11.13,11.08,11.08,0,11.08
2009-03-05,10.81,10.81,10.81,10.81,0,10.81
2009-03-06,10.64,10.64,10.41,10.41,8500,10.41
2009-03-09,10.62,10.62,10.5,10.52,25500,10.52
2009-03-10,10.57,10.57,10.57,10.57,0,10.57
2009-03-11,11.1,11.1,11.1,11.1,10000,11.1
2009-03-12,10.88,10.88,10.74,10.74,20000,10.74
2009-03-13,11.43,11.49,11.43,11.43,0,11.43
2009-03-16,11.61,11.67,11.61,11.61,0,11.61
2009-03-17,11.36,11.46,11.34,11.46,0,11.46
2009-03-18,11.7,11.7,11.6,11.6,100,11.6
2009-03-19,11.71,11.71,11.57,11.57,10000,11.57
2009-03-20,11.45,11.51,11.45,11.45,0,11.45
2009-03-23,11.75,11.85,11.75,11.75,0,11.75
2009-03-24,11.83,11.88,11.83,11.83,0,11.83
2009-03-25,11.98,12.04,11.98,11.98,0,11.98
2009-03-26,12.26,12.32,12.26,12.26,0,12.26
2009-03-27,12.4,12.4,12.4,12.4,100,12.4
2009-03-30,11.86,11.91,11.86,11.86,0,11.86
2009-03-31,11.97,12.03,11.97,11.97,0,11.97
2009-04-01,12.15,12.21,12.15,12.15,0,12.15
2009-04-02,12.4,12.4,12.4,12.4,200,12.4
2009-04-03,12.55,12.61,12.55,12.55,0,12.55
2009-04-06,12.57,12.63,12.57,12.57,0,12.57
2009-04-07,12.61,12.67,12.61,12.61,0,12.61
2009-04-08,12.5,12.55,12.5,12.5,0,12.5
2009-04-09,12.74,12.74,12.74,12.74,0,12.74
2009-04-14,13.11,13.17,13.11,13.11,0,13.11
2009-04-15,13.07,13.13,13.07,13.07,0,13.07
2009-04-16,13.16,13.16,13.16,13.16,100,13.16
2009-04-17,13.76,13.82,13.76,13.76,0,13.76
2009-04-20,13.43,13.47,13.43,13.43,0,13.43
2009-04-21,13.21,13.21,13.21,13.21,0,13.21
2009-04-22,13.67,13.67,13.67,13.67,0,13.67
2009-04-23,13.84,13.84,13.84,13.84,200,13.84
2009-04-24,13.44,13.51,13.44,13.44,200,13.44
2009-04-27,13.7,13.7,13.7,13.7,22000,13.7
2009-04-28,13.84,13.84,13.84,13.84,300,13.84
2009-04-29,14.0,14.04,14.0,14.0,0,14.0
2009-04-30,14.33,14.37,14.33,14.33,0,14.33
2009-05-04,14.16,14.2,14.16,14.16,0,14.16
2009-05-05,14.14,14.18,14.14,14.14,0,14.14
2009-05-06,14.35,14.35,14.35,14.35,100,14.35
2009-05-07,14.59,14.59,14.48,14.589,10000,14.589
2009-05-08,14.04,14.09,14.04,14.04,0,14.04
2009-05-11,14.05,14.09,14.05,14.05,0,14.05
2009-05-12,13.74,13.77,13.74,13.74,0,13.74
2009-05-13,13.42,13.46,13.42,13.42,0,13.42
2009-05-14,13.4,13.44,13.4,13.4,0,13.4
2009-05-15,13.46,13.5,13.46,13.46,0,13.46
2009-05-18,13.74,13.74,13.65,13.688,20100,13.688
