Date,Open,High,Low,Close,Volume,Adj Close
2007-09-04,45.27,45.27,45.27,45.27,0,45.27
2007-09-05,45.61,46.0,44.97,44.97,1100,44.97
2007-09-06,44.86,44.86,44.86,44.86,0,44.86
2007-09-07,44.8,44.8,44.66,44.79,100,44.79
2007-09-10,43.48,43.48,43.48,43.48,0,43.48
2007-09-11,43.52,43.63,43.47,43.51,300,43.51
2007-09-12,43.75,43.78,43.66,43.66,300,43.66
2007-09-13,43.65,43.65,43.62,43.62,0,43.62
2007-09-14,43.9,43.9,43.9,43.9,0,43.9
2007-09-17,43.99,44.05,43.93,43.93,0,43.93
2007-09-18,44.28,44.28,44.17,44.28,300,44.28
2007-09-19,45.16,45.31,45.15,45.2,100,45.2
2007-09-20,44.91,44.94,44.82,44.82,700,44.82
2007-09-21,44.7,44.88,44.7,44.71,0,44.71
2007-09-24,44.57,44.73,44.57,44.73,100,44.73
2007-09-25,44.32,44.32,44.08,44.11,100,44.11
2007-09-26,44.4,44.4,44.4,44.4,200,44.4
2007-09-27,44.65,44.65,44.52,44.52,500,44.52
2007-09-28,44.46,44.46,44.46,44.46,200,44.46
2007-10-01,44.14,44.54,44.14,44.47,200,44.47
2007-10-02,44.87,45.08,44.87,44.93,500,44.93
2007-10-03,44.85,44.85,44.57,44.57,0,44.57
2007-10-04,45.0,45.0,45.0,45.0,0,45.0
2007-10-05,45.15,45.46,45.15,45.3,800,45.3
2007-10-08,45.5,45.59,45.48,45.48,300,45.48
2007-10-09,45.63,45.75,45.48,45.48,600,45.48
2007-10-10,45.68,45.68,45.48,45.48,600,45.48
2007-10-11,45.47,45.66,45.43,45.62,14500,45.62
2007-10-12,44.5,45.48,43.56,45.48,300,45.48
2007-10-15,45.52,45.53,45.0,45.24,1200,45.24
2007-10-16,44.94,45.03,44.94,45.0,2000,45.0
2007-10-17,44.85,45.04,44.77,44.77,100,44.77
2007-10-18,44.77,44.77,44.15,44.2,1100,44.2
2007-10-19,44.0,44.18,44.0,44.05,400,44.05
