Date,Open,High,Low,Close,Volume,Adj Close
2014-12-22,155.76,155.76,155.76,155.44,2000,155.44
2015-01-02,157.37,157.37,157.37,156.81,0,156.81
2015-01-09,157.0,157.64,157.0,156.04,0,156.04
2015-01-12,156.85,156.85,156.85,156.88,0,156.88
2015-01-13,158.76,158.76,158.76,158.61,0,158.61
2015-01-14,158.2,158.2,158.2,157.16,0,157.16
2015-01-15,158.23,158.23,158.23,159.88,0,159.88
2015-01-16,159.09,159.09,159.09,160.9,0,160.9
2015-01-21,162.0,162.0,161.82,162.67,2000,162.67
2015-01-22,163.03,163.29,163.03,165.6,0,165.6
2015-01-23,167.2,167.2,166.79,167.04,0,167.04
2015-02-04,169.36,169.93,169.26,169.95,100,169.95
2015-02-06,171.67,171.67,171.67,172.05,0,172.05
2015-02-10,171.19,171.36,171.19,171.99,0,171.99
2015-02-11,172.2,172.2,172.2,171.36,0,171.36
2015-02-13,174.37,174.59,174.37,174.19,500,174.19
2015-02-16,174.64,174.64,174.64,174.43,0,174.43
2015-02-19,176.67,176.67,176.19,177.03,0,177.03
2015-02-20,177.19,177.19,176.92,177.46,0,177.46
2015-02-23,178.19,178.19,178.19,178.56,0,178.56
2015-02-24,178.42,178.42,178.42,179.43,0,179.43
2015-02-25,179.62,179.62,179.62,179.28,0,179.28
2015-02-27,181.15,181.74,181.15,181.8,0,181.8
2015-03-02,182.45,182.45,181.57,181.43,0,181.43
2015-03-03,181.5,181.5,181.5,180.08,0,180.08
2015-03-06,184.2,184.2,184.2,183.62,0,183.62
2015-03-09,184.17,184.17,184.17,183.31,0,183.31
2015-03-10,183.21,183.4,183.21,182.41,0,182.41
2015-03-11,183.78,183.78,183.74,184.25,0,184.25
2015-03-12,184.8,185.0,184.75,184.54,0,184.54
2015-03-13,185.1,185.18,184.65,185.26,0,185.26
2015-03-16,186.69,186.69,186.34,186.3,200,186.3
2015-03-17,185.02,185.02,184.0,184.26,0,184.26
2015-03-18,184.0,184.0,183.83,184.49,0,184.49
2015-03-24,186.5,187.09,185.78,187.5,0,187.5
2015-03-25,186.79,186.79,186.79,185.8,0,185.8
2015-03-26,182.83,182.83,182.83,183.44,0,183.44
2015-03-27,184.9,184.9,183.73,183.75,0,183.75
2015-03-31,186.8,186.8,186.8,185.8,100,185.8
2015-04-02,186.41,186.41,186.41,186.49,0,186.49
2015-04-07,186.41,189.13,186.41,188.55,0,188.55
2015-04-09,191.45,191.45,191.45,192.1,0,192.1
2015-04-10,193.56,193.64,193.56,193.76,200,193.76
2015-04-14,194.59,194.59,194.21,193.98,100,193.98
