Date,Open,High,Low,Close,Volume,Adj Close
2014-02-03,26.505,26.505,26.505,26.065,500,26.065
2014-03-17,27.25,27.25,27.25,27.165,1000,27.165
2014-03-21,27.815,27.815,27.815,27.805,200,27.805
2014-03-24,27.48,27.48,27.48,27.25,500,27.25
2014-03-27,27.085,27.085,27.075,27.095,500,27.095
2014-03-31,27.37,27.37,27.37,27.39,100,27.39
2014-04-08,27.0,27.0,26.895,26.995,1400,26.995
2014-04-09,27.08,27.08,27.08,26.99,200,26.99
2014-04-29,26.875,26.875,26.875,26.885,0,26.885
2014-05-14,27.53,27.53,27.53,27.41,0,27.41
2014-06-02,27.99,27.99,27.92,27.94,6000,27.94
2014-06-04,28.055,28.055,28.055,28.105,0,28.105
2014-06-05,28.12,28.12,28.12,28.255,700,28.255
2014-06-09,28.59,28.59,28.59,28.81,700,28.81
2014-06-19,28.89,28.89,28.89,28.77,25000,28.77
2014-06-20,28.8,28.98,28.8,28.995,156000,28.995
2014-06-25,28.555,28.67,28.555,28.705,90100,28.705
2014-07-02,29.21,29.21,29.21,29.15,30100,29.15
2014-07-08,28.93,28.93,28.93,28.745,100,28.745
2014-07-10,28.5,28.725,28.5,28.755,6000,28.755
2014-07-17,28.865,28.865,28.865,28.725,100,28.725
2014-07-21,28.87,28.87,28.745,28.74,1000,28.74
2014-07-22,28.89,29.0,28.89,29.13,100,29.13
2014-07-23,29.055,29.105,29.05,29.05,7800,29.05
2014-07-24,29.08,29.1,29.01,29.13,300,29.13
2014-07-25,29.0,29.07,28.95,28.92,36000,28.92
2014-07-28,28.99,28.99,28.76,28.79,400,28.79
2014-07-30,28.93,28.93,28.93,28.905,0,28.905
2014-07-31,28.6,28.6,28.55,28.465,12000,28.465
2014-08-04,28.16,28.16,28.16,28.09,100,28.09
2014-08-21,29.78,29.78,29.74,29.69,300,29.69
2014-08-25,30.085,30.09,30.085,30.03,100,30.03
2014-08-26,29.935,29.935,29.935,30.115,100,30.115
2014-09-03,30.4,30.4,30.4,30.415,900,30.415
2014-09-04,30.4,30.4,30.4,30.84,0,30.84
2014-09-09,30.93,30.93,30.93,30.755,0,30.755
2014-09-10,30.68,30.68,30.515,30.54,200,30.54
2014-09-11,30.55,30.55,30.55,30.66,0,30.66
2014-09-15,30.435,30.46,30.295,30.235,6000,30.235
2014-09-16,30.14,30.18,30.14,30.335,100,30.335
2014-09-23,30.1,30.1,30.1,30.105,100,30.105
2014-09-25,30.325,30.325,30.325,29.93,0,29.93
2014-09-26,29.85,30.06,29.85,30.095,400,30.095
2014-09-29,30.045,30.045,30.045,30.185,0,30.185
2014-09-30,30.405,30.41,30.305,30.315,10400,30.315
2014-10-01,29.955,29.955,29.955,30.06,0,30.06
2014-10-06,30.06,30.06,30.06,30.035,100,30.035
2014-10-08,29.475,29.48,29.17,29.13,1000,29.13
2014-10-09,29.54,29.54,29.32,29.415,700,29.415
2014-10-10,28.985,28.985,28.815,28.735,600,28.735
2014-10-14,28.17,28.285,28.17,28.54,400,28.54
2014-10-15,28.325,28.325,28.075,27.875,6300,27.875
2014-10-16,27.61,27.66,27.61,28.2,18000,28.2
2014-10-17,28.69,28.69,28.69,28.83,0,28.83
2014-10-20,28.75,28.75,28.725,28.83,20000,28.83
