Date,Open,High,Low,Close,Volume,Adj Close
2015-01-05,44.61,44.61,44.61,43.945,0,43.945
2015-01-27,46.61,46.61,46.61,46.665,2500,46.665
2015-02-02,46.56,46.6,46.56,46.495,0,46.495
2015-02-13,48.825,48.825,48.825,48.445,0,48.445
2015-02-19,48.865,48.865,48.865,49.085,0,49.085
2015-02-25,49.9,49.9,49.9,50.0,2300,50.0
2015-02-26,49.83,50.5,49.83,50.46,500,50.46
2015-02-27,50.62,50.62,50.62,50.54,0,50.54
2015-03-05,51.15,51.15,51.15,51.29,100,51.29
2015-03-06,51.53,51.53,51.53,51.34,500,51.34
2015-03-09,51.0,51.0,51.0,51.08,400,51.08
2015-03-10,51.06,51.06,51.06,51.0,100,51.0
2015-03-11,51.47,51.82,51.47,52.17,8100,52.17
2015-03-12,52.17,52.17,52.17,51.75,2500,51.75
2015-03-16,52.78,52.78,52.78,52.88,1000,52.88
2015-03-17,53.32,53.32,53.32,52.42,0,52.42
2015-03-24,53.16,53.16,52.95,53.02,500,53.02
2015-03-26,50.15,50.15,50.15,50.72,100,50.72
2015-03-30,51.78,51.78,51.78,51.92,100,51.92
2015-04-02,51.6,51.6,51.6,51.54,100,51.54
2015-04-08,52.06,52.06,52.06,52.01,300,52.01
2015-04-15,53.69,53.69,53.69,53.39,0,53.39
2015-04-27,54.06,54.06,54.06,53.94,0,53.94
2015-04-28,53.73,53.73,53.73,52.94,400,52.94
2015-04-30,50.9,50.9,50.48,50.58,6600,50.58
2015-05-07,49.965,49.965,49.965,50.16,0,50.16
2015-05-11,51.57,51.57,51.57,51.63,0,51.63
2015-05-19,52.37,52.37,52.37,52.53,200,52.53
2015-05-20,52.77,52.77,52.77,52.9,2000,52.9
2015-05-26,52.62,52.62,52.62,52.34,2500,52.34
2015-05-27,53.2,53.2,53.2,53.23,0,53.23
2015-06-01,53.11,53.11,52.86,53.01,7500,53.01
2015-06-03,52.22,52.22,52.22,52.13,0,52.13
2015-06-11,51.49,51.49,51.49,51.07,0,51.07
2015-06-18,49.42,49.42,49.42,49.88,200,49.88
2015-06-26,51.5,51.5,51.5,51.42,500,51.42
2015-07-06,48.23,48.23,48.23,48.465,0,48.465
2015-07-08,47.69,47.69,47.69,47.595,2500,47.595
2015-07-09,48.28,48.82,48.28,48.935,3900,48.935
2015-07-21,51.52,51.52,51.52,51.26,0,51.26
2015-07-27,49.85,49.85,49.85,49.475,400,49.475
2015-08-06,50.01,50.01,50.01,49.94,300,49.94
