Date,Open,High,Low,Close,Volume,Adj Close
2015-01-23,149.0,149.0,149.0,147.82,0,147.82
2015-01-29,148.78,148.78,148.78,148.25,2200,148.25
2015-02-03,152.8,152.8,152.8,152.74,2200,152.74
2015-03-09,163.02,163.02,163.02,163.77,0,163.77
2015-03-10,163.46,163.46,163.46,161.67,0,161.67
2015-03-18,163.15,163.15,163.15,163.51,2200,163.51
2015-04-13,167.94,167.94,167.94,167.61,0,167.61
2015-04-20,167.9,167.9,166.76,166.78,0,166.78
2015-04-21,167.5,167.5,167.5,167.63,0,167.63
2015-04-22,167.07,167.14,167.07,167.32,100,167.32
2015-04-23,167.8,167.8,165.13,166.93,6000,166.93
2015-05-07,162.38,162.38,162.38,162.94,0,162.94
2015-05-18,168.1,168.1,168.1,167.43,0,167.43
2015-05-22,168.0,170.07,168.0,169.54,0,169.54
2015-05-26,168.61,168.61,168.61,167.44,600,167.44
2015-06-01,166.12,166.12,166.1,165.64,0,165.64
2015-07-01,158.74,158.74,158.45,158.35,0,158.35
2015-07-10,156.72,156.72,156.72,157.37,0,157.37
2015-07-14,160.14,160.14,160.14,160.18,600,160.18
2015-07-22,159.36,159.36,159.36,159.45,0,159.45
