Date,Open,High,Low,Close,Volume,Adj Close
2014-12-22,120.0,120.0,120.0,119.84,0,119.84
2015-01-05,120.51,120.51,120.51,117.89,0,117.89
2015-01-13,120.29,120.29,120.29,121.38,200,121.38
2015-01-20,122.5,122.5,122.5,125.35,0,125.35
2015-01-23,130.68,130.68,130.68,130.85,0,130.85
2015-01-26,131.77,131.77,131.77,132.12,0,132.12
2015-01-27,132.57,132.57,129.72,129.51,2100,129.51
2015-01-30,129.81,129.81,129.81,129.12,0,129.12
2015-02-02,129.18,129.18,129.18,128.9,0,128.9
2015-02-04,130.6,132.5,130.6,131.32,0,131.32
2015-02-05,131.84,131.84,131.52,132.41,0,132.41
2015-02-06,132.28,132.28,132.28,132.39,0,132.39
2015-02-09,131.49,131.49,131.49,131.5,0,131.5
2015-02-18,135.83,135.83,135.83,135.69,0,135.69
2015-02-19,135.61,135.61,135.61,136.6,0,136.6
2015-02-23,137.96,137.96,137.96,137.88,300,137.88
2015-03-03,139.4,139.45,138.56,137.99,0,137.99
2015-03-11,142.02,142.02,141.74,142.36,0,142.36
2015-03-12,142.57,142.57,142.57,141.82,0,141.82
2015-03-16,143.69,143.69,143.66,143.89,0,143.89
2015-03-17,143.95,143.95,143.7,142.55,0,142.55
2015-03-19,143.84,143.84,142.9,143.2,200,143.2
2015-03-23,142.85,142.85,142.85,142.76,0,142.76
2015-03-25,142.78,142.78,142.78,142.03,300,142.03
2015-03-30,142.63,142.63,142.63,142.66,0,142.66
2015-03-31,143.3,143.3,143.3,142.43,0,142.43
2015-04-07,144.33,144.33,144.33,144.28,0,144.28
2015-04-15,146.61,146.61,146.61,147.17,0,147.17
2015-04-17,145.31,145.31,143.47,142.95,0,142.95
2015-04-20,143.4,143.4,143.4,144.29,0,144.29
2015-04-23,144.71,144.71,144.71,144.77,0,144.77
2015-04-30,141.91,141.91,141.91,141.75,100,141.75
2015-05-04,142.23,142.23,142.23,142.12,2200,142.12
2015-05-05,141.11,141.11,141.11,140.16,2200,140.16
2015-05-06,140.0,140.0,140.0,139.6,0,139.6
2015-05-11,142.8,142.8,142.8,143.27,0,143.27
2015-05-13,141.71,141.71,140.73,140.83,4400,140.83
2015-05-14,141.13,141.13,141.13,142.36,600,142.36
2015-05-20,147.55,147.55,144.75,144.78,0,144.78
2015-05-26,145.14,145.88,145.14,144.66,4400,144.66
2015-06-03,143.46,143.46,143.46,142.91,0,142.91
2015-06-05,142.0,142.0,142.0,140.37,0,140.37
2015-06-12,140.6,140.6,140.6,139.66,0,139.66
2015-06-29,136.28,136.28,136.28,137.2,0,137.2
2015-07-02,137.17,137.17,137.17,136.05,0,136.05
2015-07-06,133.8,133.8,133.8,133.81,0,133.81
2015-07-27,136.57,136.57,136.57,135.33,0,135.33
2015-08-05,143.0,143.0,143.0,143.36,300,143.36
