Date,Open,High,Low,Close,Volume,Adj Close
2014-12-18,47.5,47.73,47.41,47.715,5100,47.715
2014-12-19,47.87,47.87,47.87,47.985,100,47.985
2014-12-23,48.35,48.57,48.35,48.535,0,48.535
2014-12-29,48.09,48.09,48.09,48.485,0,48.485
2015-01-02,48.58,48.58,48.58,48.235,0,48.235
2015-01-05,47.715,47.715,47.08,46.995,2300,46.995
2015-01-07,46.97,46.97,46.97,46.485,100,46.485
2015-01-08,47.195,47.195,47.195,47.725,0,47.725
2015-01-09,47.04,47.04,47.04,46.39,0,46.39
2015-01-12,46.58,46.58,46.58,46.555,0,46.555
2015-01-13,47.195,47.195,47.195,47.245,400,47.245
2015-01-14,46.54,46.54,46.54,46.595,0,46.595
2015-01-15,47.66,47.66,47.66,47.68,0,47.68
2015-01-16,47.585,47.585,47.585,48.07,300,48.07
2015-01-21,48.71,48.71,48.56,49.145,100,49.145
2015-01-22,50.17,50.17,50.17,50.47,0,50.47
2015-01-23,51.14,51.14,50.56,50.78,1300,50.78
2015-01-26,50.89,50.91,50.73,50.94,300,50.94
2015-01-27,50.37,50.37,50.22,50.38,300,50.38
2015-01-28,50.26,50.26,50.1,50.07,1400,50.07
2015-01-29,50.15,50.15,50.15,50.28,0,50.28
2015-02-02,49.385,49.715,49.385,49.89,3900,49.89
2015-02-03,50.81,50.82,50.66,50.88,3500,50.88
2015-02-04,50.88,50.88,50.68,50.88,100,50.88
2015-02-05,50.88,50.88,50.75,50.78,500,50.78
2015-02-06,51.28,51.28,51.15,51.22,0,51.22
2015-02-09,50.5,50.5,50.3,50.48,900,50.48
2015-02-10,50.55,50.95,50.55,50.74,300,50.74
2015-02-11,50.64,50.64,50.64,50.47,300,50.47
2015-02-12,51.3,51.3,51.3,51.14,0,51.14
2015-02-13,51.81,51.96,51.81,51.85,11900,51.85
2015-02-16,51.98,51.98,51.98,51.91,300,51.91
2015-02-17,51.81,51.92,51.81,51.87,200,51.87
2015-02-18,52.66,52.66,52.66,52.62,2500,52.62
2015-02-19,52.66,52.66,52.66,52.81,2400,52.81
2015-02-20,52.73,52.73,52.59,52.87,1000,52.87
2015-02-23,52.87,53.05,52.87,53.03,800,53.03
2015-02-24,53.06,53.24,52.96,53.44,11100,53.44
2015-02-25,53.16,53.16,53.16,53.18,300,53.18
2015-02-26,53.46,53.8,53.4,53.69,2800,53.69
2015-02-27,53.8,53.86,53.73,53.89,5300,53.89
2015-03-02,53.92,53.92,53.79,54.01,200,54.01
2015-03-03,53.84,53.84,53.84,53.49,200,53.49
2015-03-04,53.72,53.72,53.63,53.81,700,53.81
2015-03-05,54.39,54.39,54.39,54.4,200,54.4
2015-03-06,54.81,54.81,54.81,54.59,1700,54.59
2015-03-09,54.61,54.61,54.61,54.51,600,54.51
2015-03-10,54.68,54.68,54.11,54.23,1600,54.23
2015-03-11,54.94,54.94,54.58,54.93,1500,54.93
2015-03-12,55.19,55.19,55.06,54.96,100,54.96
2015-03-13,54.78,55.02,54.78,55.02,1500,55.02
2015-03-16,55.63,55.67,55.63,55.65,200,55.65
2015-03-17,55.21,55.21,54.89,55.21,700,55.21
2015-03-18,55.31,55.31,55.18,55.27,600,55.27
2015-03-19,55.79,55.79,55.79,55.75,100,55.75
2015-03-20,56.26,56.73,56.12,56.65,1600,56.65
2015-03-24,56.98,56.98,56.98,57.03,400,57.03
2015-03-25,56.67,56.67,56.67,56.46,100,56.46
2015-03-26,55.65,55.65,55.62,55.87,4000,55.87
2015-03-27,56.24,56.25,56.18,56.02,1100,56.02
2015-03-30,56.65,56.75,56.59,56.82,3500,56.82
2015-03-31,56.28,56.28,56.28,56.54,200,56.54
2015-04-02,57.01,57.01,56.81,56.89,500,56.89
2015-04-07,57.04,57.49,57.04,57.3,20300,57.3
2015-04-08,57.66,57.66,57.66,57.4,100,57.4
2015-04-09,57.77,57.77,57.77,57.85,100,57.85
2015-04-10,58.29,58.29,58.05,58.11,300,58.11
2015-04-14,58.03,58.03,57.75,57.86,200,57.86
2015-04-15,58.23,58.36,58.23,58.31,1000,58.31
2015-04-16,57.5,57.7,57.5,57.65,1300,57.65
2015-04-17,56.69,56.69,56.55,56.33,400,56.33
2015-04-20,56.73,56.84,56.73,56.98,100,56.98
2015-04-21,57.35,57.35,57.35,57.1,0,57.1
2015-04-22,56.93,56.93,56.93,57.06,200,57.06
2015-04-23,56.76,56.76,56.64,56.85,500,56.85
2015-04-24,57.44,57.44,57.3,57.21,900,57.21
2015-04-27,57.75,57.75,57.75,57.85,700,57.85
2015-04-28,57.2,57.2,57.2,57.05,100,57.05
2015-04-29,56.54,56.67,56.54,56.36,400,56.36
2015-04-30,56.25,56.25,56.12,56.06,0,56.06
2015-05-04,56.25,56.25,56.11,56.16,200,56.16
2015-05-05,56.23,56.23,55.41,55.05,9600,55.05
2015-05-06,55.12,55.12,54.83,54.93,100,54.93
2015-05-07,55.15,55.15,55.04,55.4,0,55.4
2015-05-08,56.38,56.38,56.38,56.69,0,56.69
2015-05-11,56.81,57.04,56.81,57.11,0,57.11
2015-05-12,56.42,56.42,56.33,56.42,300,56.42
2015-05-13,56.59,56.59,56.32,56.35,2200,56.35
2015-05-14,56.84,56.84,56.45,56.96,0,56.96
2015-05-15,57.45,57.45,57.24,56.79,100,56.79
2015-05-18,56.66,56.69,56.38,56.64,8000,56.64
2015-05-19,57.34,57.66,57.34,57.67,7500,57.67
2015-05-20,57.94,57.94,57.81,58.24,400,58.24
2015-05-21,58.14,58.14,58.14,58.22,100,58.22
2015-05-22,58.35,58.35,58.35,58.27,100,58.27
2015-05-25,57.93,57.93,57.35,57.83,100,57.83
2015-05-26,57.69,57.93,57.69,57.39,4500,57.39
2015-05-27,57.91,57.91,57.79,58.32,100,58.32
