Date,Open,High,Low,Close,Volume,Adj Close
2007-11-07,142.06,142.11,142.06,142.06,0,142.06
2007-11-08,142.31,142.36,142.31,142.31,0,142.31
2007-11-09,142.55,142.6,142.55,142.55,0,142.55
2007-11-12,142.52,142.57,142.52,142.52,0,142.52
2007-11-13,142.4,142.45,142.4,142.4,0,142.4
2007-11-14,142.24,142.29,142.24,142.24,0,142.24
2007-11-15,142.48,142.53,142.48,142.48,0,142.48
2007-11-16,142.68,142.73,142.68,142.68,0,142.68
2007-11-19,143.02,143.07,143.02,143.02,0,143.02
2007-11-20,142.91,142.97,142.91,142.91,0,142.91
2007-11-21,143.42,143.42,143.42,143.42,1300,143.42
2007-11-22,143.42,143.42,143.42,143.42,0,143.42
2007-11-23,143.42,143.42,143.42,143.42,0,143.42
2007-11-26,143.42,143.42,143.42,143.42,0,143.42
2007-11-27,143.42,143.42,143.42,143.42,0,143.42
2007-11-28,143.42,143.42,143.42,143.42,0,143.42
2007-11-29,143.42,143.42,143.42,143.42,0,143.42
2007-11-30,143.42,143.42,143.42,143.42,0,143.42
2007-12-03,143.42,143.42,143.42,143.42,0,143.42
2007-12-04,143.32,143.32,143.32,143.32,100,143.32
2007-12-05,143.32,143.32,143.32,143.32,0,143.32
2007-12-06,143.03,143.08,143.03,143.03,0,143.03
2007-12-07,142.47,142.52,142.47,142.47,0,142.47
2007-12-10,142.37,142.37,142.37,142.37,0,142.37
2007-12-11,142.34,142.39,142.34,142.34,0,142.34
2007-12-12,141.96,142.01,141.96,141.96,0,141.96
2007-12-13,142.15,142.2,142.15,142.15,0,142.15
2007-12-14,142.06,142.12,142.06,142.12,0,142.12
2007-12-17,142.06,142.11,142.06,142.06,0,142.06
2007-12-18,142.08,142.13,142.08,142.08,0,142.08
2007-12-19,142.27,142.32,142.27,142.27,0,142.27
2007-12-20,142.45,142.45,142.45,142.45,0,142.45
2007-12-21,142.16,142.21,142.16,142.16,0,142.16
2007-12-27,142.05,142.1,142.05,142.05,0,142.05
2007-12-28,142.31,142.38,142.31,142.31,0,142.31
2008-01-02,143.08,143.13,143.08,143.08,0,143.08
2008-01-03,143.29,143.34,143.29,143.29,0,143.29
2008-01-04,143.57,143.62,143.57,143.57,0,143.57
2008-01-07,143.58,143.63,143.58,143.58,0,143.58
2008-01-08,143.37,143.42,143.37,143.37,0,143.37
2008-01-09,143.84,143.84,143.84,143.84,22500,143.84
2008-01-10,143.74,143.79,143.74,143.74,0,143.74
2008-01-11,143.8,143.85,143.8,143.8,0,143.8
2008-01-14,144.0,144.0,144.0,144.0,0,144.0
2008-01-15,144.3,144.35,144.3,144.3,0,144.3
2008-01-16,144.53,144.53,144.53,144.53,12000,144.53
2008-01-17,144.81,144.86,144.81,144.81,0,144.81
2008-01-18,145.06,145.11,145.06,145.06,0,145.06
2008-01-21,145.45,145.5,145.45,145.45,0,145.45
2008-01-22,145.22,145.27,145.22,145.22,0,145.22
2008-01-23,145.78,145.83,145.78,145.78,0,145.78
2008-01-24,145.45,145.45,145.45,145.45,0,145.45
2008-01-25,144.85,144.85,144.85,144.85,0,144.85
2008-01-28,145.34,145.34,145.34,145.34,0,145.34
2008-01-29,145.02,145.07,145.02,145.02,0,145.02
2008-01-30,145.28,145.28,145.05,145.05,100,145.05
2008-01-31,145.58,145.58,145.58,145.58,200,145.58
2008-02-01,145.58,145.59,145.58,145.58,0,145.58
2008-02-04,145.6,145.6,145.6,145.6,500,145.6
2008-02-05,146.22,146.28,146.22,146.22,0,146.22
2008-02-06,146.08,146.13,146.08,146.08,0,146.08
2008-02-07,146.74,146.79,146.74,146.74,0,146.74
2008-02-08,146.84,146.84,146.73,146.73,300,146.73
2008-02-11,146.84,146.84,146.73,146.73,200,146.73
2008-02-12,146.65,146.65,146.57,146.65,10100,146.65
2008-02-13,146.55,146.6,146.55,146.55,0,146.55
2008-02-14,146.42,146.42,146.29,146.4,0,146.4
2008-02-15,146.5,146.55,146.5,146.5,0,146.5
2008-02-18,146.19,146.19,146.11,146.11,0,146.11
2008-02-19,146.26,146.31,146.26,146.26,0,146.26
2008-02-20,146.02,146.07,146.02,146.02,0,146.02
2008-02-21,145.76,145.81,145.76,145.76,0,145.76
2008-02-22,145.85,145.9,145.85,145.85,0,145.85
2008-02-25,145.82,145.82,145.82,145.82,0,145.82
2008-02-26,145.54,145.59,145.54,145.54,0,145.54
2008-02-27,145.83,145.83,145.81,145.83,100,145.83
2008-02-28,146.24,146.29,146.24,146.24,0,146.24
2008-02-29,146.85,146.9,146.85,146.85,0,146.85
2008-03-03,147.05,147.05,146.94,146.94,100,146.94
2008-03-04,146.91,146.91,146.91,146.91,200,146.91
2008-03-05,146.66,146.66,146.66,146.66,300,146.66
2008-03-06,146.47,146.52,146.47,146.47,0,146.47
2008-03-07,146.42,146.47,146.42,146.42,0,146.42
2008-03-10,147.07,147.12,147.07,147.07,0,147.07
2008-03-11,146.47,146.52,146.47,146.47,0,146.47
2008-03-12,146.52,146.58,146.52,146.52,0,146.52
2008-03-13,146.78,146.78,146.78,146.78,0,146.78
2008-03-14,146.4,146.4,146.4,146.4,200,146.4
2008-03-17,147.08,147.08,147.08,147.08,0,147.08
2008-03-18,146.57,146.66,146.57,146.57,0,146.57
2008-03-19,146.2,146.29,146.2,146.2,0,146.2
2008-03-20,145.92,145.92,145.92,145.92,0,145.92
2008-03-25,145.13,145.22,145.13,145.13,0,145.13
2008-03-26,145.23,145.33,145.23,145.23,0,145.23
2008-03-27,145.39,145.48,145.39,145.39,0,145.39
2008-03-28,145.32,145.41,145.32,145.32,0,145.32
2008-03-31,145.61,145.7,145.61,145.61,0,145.61
2008-04-01,145.42,145.42,145.42,145.42,0,145.42
2008-04-02,145.04,145.13,145.04,145.04,0,145.04
2008-04-03,145.29,145.29,145.29,145.29,0,145.29
2008-04-04,145.38,145.47,145.38,145.38,0,145.38
2008-04-07,145.06,145.15,145.06,145.06,0,145.06
2008-04-08,145.16,145.25,145.16,145.16,0,145.16
2008-04-09,145.2,145.2,145.2,145.2,0,145.2
