Date,Open,High,Low,Close,Volume,Adj Close
2014-04-15,34.07,34.07,34.05,34.05,700,34.05
2014-04-17,33.97,33.97,33.97,33.96,0,33.96
2014-04-22,33.9,33.9,33.9,33.94,0,33.94
2014-04-24,33.93,33.93,33.93,33.935,1100,33.935
2014-04-25,34.04,34.04,34.04,33.995,100,33.995
2014-04-29,33.95,33.95,33.95,33.945,200,33.945
2014-05-05,34.03,34.03,34.03,33.985,400,33.985
2014-05-08,34.05,34.18,34.05,34.175,100,34.175
2014-05-09,34.2,34.2,34.2,34.3,100,34.3
2014-05-14,34.5,34.5,34.5,34.485,200,34.485
2014-05-15,34.59,34.59,34.59,34.555,1300,34.555
2014-05-19,34.57,34.57,34.57,34.535,0,34.535
2014-05-20,34.58,34.58,34.58,34.515,0,34.515
2014-05-22,34.55,34.59,34.55,34.535,4600,34.535
2014-05-27,34.68,34.69,34.68,34.655,1100,34.655
2014-06-09,34.57,34.57,34.57,34.655,400,34.655
2014-06-18,34.69,34.69,34.69,34.725,0,34.725
2014-06-25,34.88,34.88,34.88,34.835,200,34.835
2014-07-08,34.81,34.81,34.81,34.885,0,34.885
2014-07-18,35.16,35.16,35.16,35.25,95000,35.25
2014-07-24,35.35,35.35,35.35,35.275,200,35.275
2014-07-29,35.44,35.49,35.44,35.445,900,35.445
2014-07-30,35.51,35.51,35.48,35.375,0,35.375
2014-07-31,35.27,35.27,35.27,35.295,200,35.295
2014-08-04,35.0,35.25,34.65,35.325,28000,35.325
2014-08-07,35.5,35.5,35.5,35.505,1100,35.505
2014-08-13,35.85,35.85,35.705,35.7,1100,35.7
2014-08-19,35.8,35.8,35.8,35.675,1400,35.675
2014-08-21,35.69,35.72,35.69,35.665,6900,35.665
2014-08-26,35.94,35.94,35.94,35.905,2500,35.905
2014-08-27,36.05,36.05,36.0,35.99,2100,35.99
2014-09-01,36.1,36.1,36.09,36.125,2400,36.125
2014-09-02,36.06,36.06,36.06,36.025,200,36.025
2014-09-08,36.28,36.28,36.28,36.275,1500,36.275
2014-09-09,36.275,36.275,36.2,36.165,1500,36.165
2014-09-11,36.105,36.11,36.08,36.045,1300,36.045
2014-09-18,36.005,36.005,35.93,35.9,300,35.9
2014-09-22,36.08,36.08,36.08,36.155,1400,36.155
2014-09-29,36.465,36.52,36.465,36.485,1500,36.485
2014-09-30,36.695,36.695,36.66,36.625,0,36.625
2014-10-02,36.775,36.775,36.77,36.755,1200,36.755
2014-10-06,36.82,36.82,36.77,36.815,2900,36.815
2014-10-07,36.79,36.79,36.79,36.84,2500,36.84
2014-10-20,36.805,36.805,36.765,36.74,1500,36.74
2014-10-21,36.785,36.92,36.785,36.895,2700,36.895
2014-10-22,36.955,36.96,36.955,36.93,200,36.93
2014-10-23,36.925,36.93,36.89,36.855,2800,36.855
2014-10-29,36.735,36.74,36.65,36.615,11600,36.615
2014-10-30,36.935,36.935,36.92,36.885,1600,36.885
2014-10-31,36.885,36.885,36.885,36.865,8100,36.865
2014-11-04,36.795,36.795,36.795,36.76,100,36.76
2014-11-06,36.805,36.82,36.8,36.89,3500,36.89
2014-11-10,36.95,36.96,36.95,36.925,4000,36.925
2014-11-13,36.86,36.86,36.86,36.785,100,36.785
2014-11-21,36.815,36.96,36.815,36.925,0,36.925
2014-11-24,36.81,36.81,36.81,36.835,500,36.835
2014-11-26,36.86,36.96,36.86,36.895,500,36.895
2014-11-27,37.025,37.05,37.025,37.015,200,37.015
2014-11-28,37.1,37.1,37.01,37.045,1600,37.045
2014-12-03,37.21,37.21,37.21,37.18,100,37.18
2014-12-04,37.04,37.04,37.02,36.925,3300,36.925
2014-12-05,37.1,37.1,37.1,37.025,200,37.025
2014-12-17,37.125,37.125,37.125,37.25,0,37.25
2014-12-19,37.355,37.5,37.355,37.465,100,37.465
2014-12-22,37.49,37.49,37.43,37.395,900,37.395
2014-12-23,37.515,37.53,37.515,37.495,0,37.495
2014-12-29,37.53,37.58,37.45,37.58,1200,37.58
2014-12-30,37.67,37.73,37.645,37.695,500,37.695
2015-01-02,37.8,38.12,37.8,38.085,300,38.085
2015-01-05,38.25,38.37,38.25,38.335,400,38.335
2015-01-06,38.56,38.56,38.56,38.185,300,38.185
2015-01-09,38.835,38.88,38.835,38.845,600,38.845
2015-01-12,38.88,38.92,38.845,38.89,1100,38.89
2015-01-13,39.105,39.105,39.05,39.04,100,39.04
2015-01-14,39.315,39.32,39.275,39.265,2800,39.265
2015-01-15,39.2,39.62,39.2,39.86,200,39.86
2015-01-16,40.07,40.07,40.07,39.99,2000,39.99
2015-01-21,39.77,39.77,39.65,40.09,400,40.09
2015-01-22,39.7,40.17,39.7,40.145,1600,40.145
2015-01-23,41.0,41.0,40.64,40.625,2800,40.625
2015-01-26,40.7,40.7,40.69,40.515,600,40.515
2015-01-27,40.58,40.585,40.5,40.41,900,40.41
2015-01-28,40.4,40.41,40.4,40.46,200,40.46
2015-01-30,40.615,40.79,40.575,40.745,400,40.745
2015-02-02,40.7,40.7,40.61,40.625,3500,40.625
2015-02-03,40.545,40.545,40.545,40.175,100,40.175
2015-02-04,40.065,40.24,40.065,40.2,1500,40.2
2015-02-05,40.2,40.3,40.2,40.23,100,40.23
2015-02-06,40.235,40.235,40.235,40.15,200,40.15
2015-02-09,40.175,40.375,40.175,40.17,700,40.17
2015-02-10,40.155,40.155,40.155,40.12,0,40.12
2015-02-11,40.145,40.145,40.025,40.035,200,40.035
2015-02-12,40.025,40.05,39.975,40.015,1000,40.015
2015-02-13,40.03,40.03,40.03,39.93,200,39.93
2015-02-16,39.875,39.91,39.81,39.865,2200,39.865
2015-02-17,39.965,39.965,39.85,39.81,0,39.81
2015-02-18,39.785,39.88,39.765,39.845,1000,39.845
2015-02-19,39.885,39.91,39.885,39.9,100,39.9
2015-02-20,40.0,40.02,40.0,39.985,1000,39.985
2015-02-23,39.99,40.115,39.985,40.005,1500,40.005
2015-02-24,40.045,40.17,40.045,40.135,1700,40.135
2015-02-25,40.205,40.275,40.205,40.245,300,40.245
2015-02-26,40.365,40.61,40.365,40.575,1300,40.575
2015-02-27,40.605,40.61,40.58,40.545,2600,40.545
2015-03-02,41.0,41.0,40.45,40.44,2700,40.44
2015-03-03,40.495,40.495,40.385,40.405,1600,40.405
2015-03-04,40.53,41.0,40.53,40.67,200,40.67
2015-03-05,40.735,40.86,40.72,40.785,2000,40.785
2015-03-09,40.995,41.15,40.995,41.085,2800,41.085
2015-03-11,41.915,41.915,41.915,41.94,200,41.94
2015-03-12,42.05,42.05,42.0,41.965,1600,41.965
2015-03-13,41.985,42.2,41.985,42.17,800,42.17
2015-03-16,42.2,42.235,42.03,42.08,30600,42.08
2015-03-17,44.0,44.0,41.9,42.005,10000,42.005
2015-03-18,41.995,42.06,41.91,42.0,4100,42.0
2015-03-19,42.075,42.18,41.95,42.105,10100,42.105
2015-03-20,42.025,42.03,41.815,41.83,3900,41.83
2015-03-24,41.425,41.7,41.12,41.495,22100,41.495
2015-03-25,41.695,41.71,41.365,41.425,4700,41.425
2015-03-26,41.4,41.705,41.3,41.485,2500,41.485
2015-03-27,41.705,41.735,41.515,41.505,1000,41.505
2015-03-30,41.795,41.825,41.595,41.635,4300,41.635
2015-03-31,41.905,42.055,41.61,41.945,6600,41.945
2015-04-02,41.925,41.925,41.65,41.65,1600,41.65
2015-04-07,41.68,41.735,41.545,41.65,1500,41.65
2015-04-08,41.73,41.97,41.71,41.86,3000,41.86
2015-04-09,42.055,42.21,41.8,42.17,2900,42.17
2015-04-10,42.19,42.6,42.19,42.31,3400,42.31
2015-04-14,42.615,42.92,42.28,42.34,2900,42.34
2015-04-15,42.53,42.775,42.205,42.585,7100,42.585
2015-04-16,42.755,42.755,42.05,42.215,3500,42.215
2015-04-17,42.165,42.21,41.6,42.055,9800,42.055
2015-04-20,42.175,42.5,41.7,42.135,7000,42.135
2015-04-21,42.41,42.8,42.14,42.085,4700,42.085
2015-04-22,42.155,42.45,41.7,42.045,9100,42.045
2015-04-23,41.9,42.35,41.59,41.86,9300,41.86
2015-04-24,41.68,42.05,41.68,41.775,2500,41.775
2015-04-27,42.2,42.2,41.46,41.725,2600,41.725
2015-04-28,42.2,42.2,41.48,41.48,2500,41.48
2015-04-29,41.345,41.345,40.82,40.78,2500,40.78
2015-04-30,40.605,40.605,40.395,40.47,100,40.47
2015-05-04,40.395,40.495,40.385,40.38,1000,40.38
2015-05-05,40.625,40.625,40.18,40.155,1100,40.155
2015-05-06,40.015,40.32,39.7,39.755,6800,39.755
2015-05-07,39.525,39.93,39.1,39.86,8300,39.86
2015-05-08,40.035,40.45,40.035,40.19,900,40.19
2015-05-11,40.23,40.335,40.23,40.25,100,40.25
2015-05-12,40.33,40.33,39.595,39.905,2500,39.905
2015-05-13,39.5,40.3,39.5,39.655,4900,39.655
2015-05-14,39.535,39.535,39.355,39.635,700,39.635
2015-05-15,39.775,39.8,39.755,39.655,200,39.655
2015-05-18,39.635,39.835,39.2,39.695,6300,39.695
2015-05-19,40.185,40.2,39.72,40.155,5400,40.155
2015-05-20,40.36,40.36,40.225,40.225,900,40.225
2015-05-21,39.74,40.25,39.6,40.235,5100,40.235
2015-05-22,39.74,40.45,39.7,40.425,3900,40.425
2015-05-25,40.6,40.6,39.6,40.635,1100,40.635
2015-05-26,40.735,40.79,40.675,40.745,1300,40.745
2015-05-27,40.71,40.81,40.4,40.755,1900,40.755
2015-05-28,40.715,41.02,40.0,40.37,5700,40.37
2015-05-29,40.61,40.62,40.17,40.575,2700,40.575
2015-06-01,40.19,40.72,40.19,40.605,2900,40.605
2015-06-02,40.9,40.9,39.8,39.84,1300,39.84
2015-06-03,40.08,40.08,39.1,39.25,2900,39.25
2015-06-04,39.0,39.105,38.955,39.23,700,39.23
2015-06-05,39.215,39.215,39.215,39.485,100,39.485
2015-06-08,39.405,39.455,39.405,39.25,0,39.25
2015-06-09,39.105,39.105,39.075,39.035,17300,39.035
2015-06-10,38.735,39.005,38.735,38.95,200,38.95
2015-06-11,39.025,39.4,39.025,39.175,300,39.175
2015-06-12,39.32,39.5,39.32,39.345,300,39.345
2015-06-15,39.0,39.44,39.0,39.25,1700,39.25
2015-06-16,39.2,39.34,39.2,39.335,100,39.335
2015-06-17,39.0,39.33,39.0,39.245,3200,39.245
2015-06-18,39.125,39.19,39.0,38.97,18200,38.97
2015-06-19,39.0,39.32,39.0,39.285,3100,39.285
2015-06-22,39.55,39.55,39.0,38.955,3300,38.955
2015-06-23,39.295,39.48,39.145,39.435,3100,39.435
2015-06-24,39.395,39.43,39.0,39.4,2500,39.4
2015-06-25,39.405,40.0,39.405,39.375,3600,39.375
2015-06-26,39.455,39.73,39.1,39.405,1900,39.405
2015-06-29,40.0,40.0,39.65,39.53,600,39.53
2015-06-30,39.45,39.59,39.45,39.7,100,39.7
2015-07-02,39.61,39.68,39.505,39.63,500,39.63
2015-07-03,39.675,39.76,39.675,39.725,700,39.725
2015-07-06,39.865,39.97,39.865,39.805,0,39.805
2015-07-07,40.015,40.41,40.015,40.365,600,40.365
2015-07-08,40.0,40.495,40.0,39.995,1000,39.995
2015-07-09,40.155,40.16,39.53,40.045,2500,40.045
2015-07-10,39.535,39.535,39.405,39.45,400,39.45
2015-07-13,39.485,39.565,39.485,39.745,0,39.745
2015-07-14,39.775,39.775,39.725,39.805,2200,39.805
2015-07-15,39.735,39.875,39.735,39.96,200,39.96
2015-07-16,40.035,40.225,39.63,40.185,3300,40.185
2015-07-17,40.195,40.32,39.75,40.49,2500,40.49
2015-07-20,40.1,40.45,40.1,40.32,2000,40.32
