Date,Open,High,Low,Close,Volume,Adj Close
2014-10-16,191.85,191.85,191.85,191.64,0,191.64
2014-10-20,191.89,191.89,191.89,191.7,0,191.7
2014-11-07,192.33,192.33,192.33,192.28,0,192.28
2014-11-10,192.46,192.46,192.46,192.32,0,192.32
2014-11-14,194.93,194.93,194.93,192.45,0,192.45
2014-11-17,192.58,192.58,192.58,192.4,0,192.4
2014-11-28,192.73,192.73,192.73,192.66,0,192.66
2015-01-05,193.48,193.48,193.48,193.37,0,193.37
2015-01-06,193.65,193.65,193.61,193.56,0,193.56
2015-01-09,193.51,193.51,193.51,193.56,0,193.56
2015-02-26,194.43,194.43,194.43,194.49,100,194.49
2015-03-05,194.15,194.15,194.15,194.06,0,194.06
2015-03-12,194.56,194.56,194.56,194.39,0,194.39
2015-03-25,194.59,194.59,194.59,194.53,0,194.53
2015-03-26,191.56,191.56,191.56,194.54,0,194.54
2015-04-14,194.87,194.87,194.87,194.95,0,194.95
2015-04-24,194.92,197.48,194.89,194.88,200,194.88
2015-04-27,195.02,195.02,194.97,194.88,5000,194.88
2015-04-29,194.93,194.93,194.84,194.5,100,194.5
2015-05-04,194.14,194.14,193.93,193.84,0,193.84
2015-05-08,190.73,190.73,190.73,193.63,0,193.63
2015-05-13,193.32,193.32,193.17,193.09,2000,193.09
2015-05-18,193.26,193.26,193.26,193.22,100,193.22
2015-05-19,193.67,193.67,193.67,193.36,100,193.36
2015-05-20,193.58,193.58,193.58,193.33,0,193.33
2015-05-21,193.3,193.3,193.3,193.22,0,193.22
2015-05-26,193.41,193.41,193.41,193.47,0,193.47
2015-05-28,193.47,193.47,193.47,193.47,0,193.47
2015-05-29,193.5,193.55,190.36,193.62,1000,193.62
2015-06-11,191.82,191.82,191.82,191.96,4700,191.96
2015-06-29,192.1,192.1,192.1,192.18,600,192.18
2015-07-07,192.75,192.75,192.73,192.81,1400,192.81
2015-07-10,190.95,190.95,190.95,191.85,0,191.85
