Date,Open,High,Low,Close,Volume,Adj Close
2012-02-22,30.9,30.9,30.9,30.89,0,30.89
2012-02-24,30.91,30.91,30.91,30.9,300,30.9
2012-03-01,30.99,30.99,30.99,30.985,200,30.985
2012-03-02,31.01,31.01,31.01,31.0,100,31.0
2012-03-12,31.01,31.01,31.01,30.995,500,30.995
2012-03-15,30.97,30.97,30.97,30.99,0,30.99
2012-03-19,31.01,31.01,31.01,30.99,1900,30.99
2012-03-20,31.02,31.02,31.02,31.0,400,31.0
2012-03-21,30.98,31.02,30.98,31.0,700,31.0
2012-03-22,30.98,31.02,30.98,30.995,300,30.995
2012-03-23,30.97,30.97,30.97,30.99,600,30.99
2012-03-26,31.01,31.01,31.01,31.005,57500,31.005
2012-03-27,31.01,31.01,30.995,31.005,0,31.005
2012-03-28,30.995,31.2,30.995,30.97,0,30.97
2012-03-29,30.99,30.99,30.97,30.98,0,30.98
2012-03-30,30.96,30.96,30.92,30.94,100,30.94
2012-04-02,30.94,30.94,30.94,30.96,800,30.96
2012-04-03,30.94,30.94,30.94,30.965,0,30.965
2012-04-04,30.95,30.95,30.91,30.95,100,30.95
2012-04-05,30.91,30.91,30.91,30.92,1000,30.92
2012-04-10,30.9,30.94,30.9,30.915,1300,30.915
2012-04-11,30.84,30.84,30.84,30.865,0,30.865
2012-04-12,30.92,30.93,30.88,30.91,100,30.91
2012-04-13,30.92,30.93,30.92,30.91,17700,30.91
2012-04-16,30.9,30.92,30.88,30.9,11400,30.9
2012-04-17,30.89,30.89,30.89,30.91,100,30.91
2012-04-18,30.94,30.94,30.9,30.92,2400,30.92
2012-04-20,30.9,30.9,30.9,30.915,0,30.915
2012-04-23,30.93,30.93,30.89,30.9,300,30.9
2012-04-24,30.89,30.89,30.89,30.91,0,30.91
2012-04-25,30.89,30.89,30.89,30.915,100,30.915
2012-04-26,30.91,30.91,30.91,30.925,0,30.925
2012-04-30,30.94,30.98,30.94,30.955,300,30.955
2012-05-02,30.94,30.98,30.94,30.96,3500,30.96
2012-05-03,30.9,30.9,30.9,30.97,200,30.97
2012-05-04,30.98,30.98,30.98,30.995,0,30.995
2012-05-08,30.98,30.98,30.98,30.995,800,30.995
2012-05-09,30.98,30.99,30.98,30.99,4100,30.99
2012-05-10,30.99,30.99,30.99,30.975,0,30.975
2012-05-11,31.0,31.0,30.96,30.98,1500,30.98
2012-05-14,30.99,30.99,30.99,30.965,0,30.965
2012-05-15,30.95,30.99,30.95,30.97,300,30.97
2012-05-16,30.93,30.93,30.93,30.955,200,30.955
2012-05-17,30.94,30.98,30.9,30.945,400,30.945
2012-05-18,30.92,30.92,30.92,30.945,0,30.945
2012-05-21,30.97,30.97,30.93,30.95,5300,30.95
2012-05-22,30.93,30.93,30.93,30.965,100,30.965
2012-05-23,30.94,30.94,30.94,30.96,0,30.96
2012-05-24,30.93,30.97,30.93,30.95,400,30.95
2012-05-25,30.98,30.98,30.94,30.96,0,30.96
2012-05-28,30.97,30.97,30.97,30.945,0,30.945
2012-05-29,30.91,30.95,30.91,30.93,0,30.93
2012-06-01,30.87,30.91,30.87,30.89,600,30.89
