Date,Open,High,Low,Close,Volume,Adj Close
2012-08-22,8.77,8.77,8.77,8.755,12000,8.755
2012-09-04,8.71,8.71,8.71,8.725,12000,8.725
2012-11-30,8.2,8.2,8.2,8.185,21600,8.185
2012-12-10,8.2,8.2,8.2,8.205,21600,8.205
2012-12-12,8.175,8.175,8.175,8.145,0,8.145
2013-01-10,8.05,8.05,8.05,8.065,0,8.065
2013-01-18,8.12,8.12,8.12,8.095,200,8.095
2013-03-07,8.03,8.03,8.03,8.055,0,8.055
2013-06-03,7.8,7.8,7.79,7.765,1200,7.765
2013-06-04,7.78,7.78,7.78,7.765,500,7.765
2013-06-06,7.78,7.85,7.78,7.84,1000,7.84
2013-06-11,7.95,7.95,7.95,7.895,0,7.895
2013-06-12,7.91,7.91,7.91,7.895,500,7.895
2013-06-17,7.78,7.78,7.78,7.815,0,7.815
2013-06-21,7.985,8.04,7.985,8.025,8600,8.025
2013-06-24,8.11,8.11,8.11,8.15,3800,8.15
2013-06-25,8.15,8.16,8.15,8.15,800,8.15
2013-06-26,8.07,8.07,8.07,8.055,300,8.055
2013-06-27,7.98,7.98,7.98,7.975,25000,7.975
2013-07-05,7.89,7.89,7.86,7.905,800,7.905
2013-07-15,7.89,7.89,7.89,7.865,100,7.865
2013-07-17,7.83,7.83,7.83,7.855,3100,7.855
2013-07-25,7.88,7.88,7.88,7.865,600,7.865
2013-08-05,7.8,7.8,7.8,7.835,200,7.835
2013-08-07,7.83,7.83,7.83,7.815,200,7.815
2013-08-08,7.81,7.81,7.81,7.8,200,7.8
2013-08-13,7.85,7.85,7.85,7.85,200,7.85
2013-09-03,7.95,7.95,7.95,7.955,500,7.955
2013-09-09,8.01,8.01,8.01,7.995,2400,7.995
2013-09-20,7.88,7.88,7.88,7.885,2400,7.885
2013-09-25,7.82,7.82,7.82,7.785,200,7.785
2013-09-27,7.82,7.82,7.82,7.805,1100,7.805
2013-09-30,7.84,7.84,7.84,7.805,700,7.805
2013-10-03,7.81,7.81,7.81,7.775,400,7.775
2013-10-04,7.78,7.78,7.78,7.765,200,7.765
2013-10-07,7.72,7.72,7.72,7.745,700,7.745
2013-10-08,7.79,7.79,7.79,7.765,300,7.765
2013-10-23,7.66,7.66,7.66,7.645,200,7.645
2013-11-01,7.58,7.58,7.58,7.565,200,7.565
2013-11-13,7.6,7.6,7.6,7.585,200,7.585
2013-11-21,7.6,7.6,7.6,7.555,700,7.555
2013-11-22,7.57,7.57,7.57,7.55,300,7.55
2013-12-05,7.57,7.57,7.57,7.62,0,7.62
2014-01-28,7.35,7.35,7.35,7.365,200,7.365
2014-03-03,7.14,7.14,7.14,7.135,700,7.135
2014-03-06,7.12,7.12,7.12,7.155,300,7.155
2014-05-19,6.85,6.85,6.85,6.84,400,6.84
2014-05-20,6.88,6.88,6.88,6.885,700,6.885
2014-05-21,6.88,6.88,6.88,6.875,3900,6.875
2014-05-22,6.88,6.88,6.88,6.865,700,6.865
2014-05-27,6.79,6.79,6.79,6.785,98900,6.785
2014-05-29,6.75,6.75,6.75,6.74,1000,6.74
2014-05-30,6.76,6.76,6.76,6.775,1100,6.775
2014-06-06,6.7,6.7,6.7,6.685,4500,6.685
2014-06-09,6.67,6.67,6.67,6.665,2100,6.665
2014-06-10,6.68,7.0,6.68,6.7,2400,6.7
2014-06-17,6.73,6.73,6.73,6.72,15900,6.72
2014-06-18,6.73,6.74,6.73,6.725,15500,6.725
2014-06-19,6.69,6.7,6.69,6.685,6000,6.685
2014-06-20,6.7,6.7,6.7,6.705,4500,6.705
2014-06-24,6.68,6.68,6.68,6.665,700,6.665
2014-07-01,6.63,6.63,6.63,6.605,3000,6.605
2014-07-03,6.67,6.67,6.63,6.635,101900,6.635
2014-07-11,6.62,6.62,6.62,6.605,75100,6.605
2014-07-24,6.52,6.52,6.52,6.52,200,6.52
2014-07-29,6.47,6.47,6.47,6.455,100,6.455
2014-08-01,6.53,6.53,6.53,6.495,800,6.495
2014-08-06,6.49,6.49,6.49,6.485,300,6.485
2014-08-08,6.44,6.45,6.44,6.44,700,6.44
2014-08-19,6.35,6.35,6.35,6.335,75100,6.335
2014-09-08,6.24,6.24,6.24,6.235,300,6.235
2014-09-09,6.29,6.29,6.29,6.295,2000,6.295
2014-09-10,6.29,6.33,6.29,6.315,4100,6.315
2014-09-11,6.31,6.31,6.31,6.325,200,6.325
2014-09-12,6.37,6.37,6.37,6.355,2000,6.355
2014-09-15,6.34,6.34,6.34,6.335,100,6.335
2014-09-23,6.26,6.26,6.26,6.275,1000,6.275
2014-09-24,6.29,6.29,6.29,6.265,100,6.265
2014-09-25,6.25,6.25,6.25,6.25,1000,6.25
2014-10-02,6.22,6.22,6.22,6.215,105700,6.215
2014-10-08,6.21,6.21,6.2,6.205,53300,6.205
2014-10-15,6.18,6.18,6.15,6.145,24000,6.145
2014-10-16,6.24,6.25,6.24,6.245,9300,6.245
2014-10-20,6.24,6.24,6.24,6.265,25500,6.265
2014-10-22,6.24,6.24,6.24,6.235,400,6.235
2014-10-23,6.24,6.24,6.24,6.255,0,6.255
2014-10-28,6.23,6.23,6.23,6.235,200,6.235
2014-11-03,6.19,6.19,6.19,6.2,1300,6.2
2014-11-04,6.16,6.16,6.16,6.18,4500,6.18
2014-11-06,6.2,6.2,6.2,6.19,200,6.19
2014-11-07,6.21,6.21,6.21,6.19,200,6.19
2014-11-12,6.16,6.16,6.16,6.155,800,6.155
2014-11-13,6.15,6.15,6.15,6.15,10000,6.15
2014-11-17,6.15,6.15,6.13,6.135,700,6.135
2014-11-21,6.13,6.13,6.13,6.11,400,6.11
2014-11-28,6.02,6.02,6.02,6.015,300,6.015
2014-12-08,6.0,6.0,6.0,5.985,2000,5.985
2014-12-09,6.0,6.0,6.0,5.995,1600,5.995
2014-12-10,6.0,6.02,6.0,5.995,3600,5.995
2014-12-15,5.91,5.91,5.91,5.96,700,5.96
2014-12-18,5.91,5.92,5.91,5.945,77600,5.945
2014-12-23,5.91,5.91,5.91,5.92,2300,5.92
2015-01-07,5.85,5.85,5.85,5.84,100,5.84
2015-01-14,5.77,5.77,5.77,5.76,1000,5.76
2015-01-21,5.77,5.77,5.77,5.76,100,5.76
2015-01-22,5.67,5.67,5.67,5.685,100,5.685
2015-01-27,5.64,5.64,5.64,5.64,0,5.64
2015-01-30,5.62,5.62,5.62,5.615,1300,5.615
2015-02-06,5.61,5.61,5.61,5.62,1000,5.62
2015-02-10,5.63,5.65,5.63,5.645,122000,5.645
2015-02-17,5.64,5.64,5.64,5.63,800,5.63
2015-02-18,5.64,5.64,5.64,5.64,200,5.64
2015-03-02,5.53,5.53,5.53,5.54,1000,5.54
2015-03-18,5.42,5.43,5.42,5.42,3900,5.42
2015-03-19,5.4,5.4,5.4,5.385,300,5.385
2015-03-20,5.43,5.43,5.43,5.375,2100,5.375
2015-03-24,5.4,5.4,5.4,5.425,4400,5.425
2015-03-25,5.44,5.44,5.44,5.425,2100,5.425
2015-03-27,5.44,5.44,5.43,5.425,1400,5.425
2015-03-31,5.38,5.38,5.38,5.385,1000,5.385
2015-04-01,5.445,5.445,5.445,5.375,200,5.375
2015-04-07,5.39,5.39,5.39,5.385,100,5.385
2015-04-08,5.36,5.39,5.36,5.375,7700,5.375
2015-04-10,5.38,5.39,5.38,5.375,14000,5.375
2015-04-14,5.37,5.37,5.37,5.375,3500,5.375
2015-04-16,5.34,5.34,5.34,5.365,2500,5.365
2015-04-20,5.37,5.37,5.37,5.385,3000,5.385
2015-04-21,5.38,5.4,5.38,5.395,1600,5.395
2015-04-22,5.39,5.39,5.39,5.395,54200,5.395
2015-04-24,5.455,5.455,5.42,5.41,1100,5.41
2015-04-27,5.41,5.41,5.4,5.395,2000,5.395
2015-04-30,5.5,5.54,5.5,5.525,1200,5.525
2015-05-04,5.55,5.57,5.54,5.565,8400,5.565
2015-05-05,5.58,5.595,5.58,5.675,4800,5.675
2015-05-06,5.73,5.73,5.68,5.735,7800,5.735
2015-05-07,5.77,5.83,5.77,5.7,2900,5.7
2015-05-08,5.69,5.71,5.69,5.655,3800,5.655
2015-05-13,5.815,5.815,5.74,5.79,23900,5.79
2015-05-18,5.78,5.78,5.78,5.775,300,5.775
2015-05-19,5.7,5.73,5.7,5.72,1200,5.72
2015-05-22,5.69,5.69,5.69,5.725,300,5.725
2015-05-25,5.81,5.81,5.81,5.74,700,5.74
2015-05-26,5.71,5.74,5.71,5.72,1200,5.72
2015-05-28,5.75,5.75,5.71,5.7,4200,5.7
2015-05-29,5.71,5.71,5.66,5.68,2000,5.68
2015-06-03,5.81,5.81,5.79,5.905,68500,5.905
2015-06-04,5.94,5.97,5.91,5.89,13900,5.89
2015-06-05,5.945,5.99,5.9,5.94,13400,5.94
2015-06-09,5.99,5.99,5.99,6.01,100,6.01
2015-06-11,6.0,6.0,6.0,5.95,100,5.95
2015-06-16,6.01,6.01,6.01,6.0,100,6.0
2015-06-29,5.98,5.98,5.98,5.99,100,5.99
2015-06-30,5.98,5.98,5.98,5.97,0,5.97
2015-07-01,5.96,5.96,5.96,5.98,11500,5.98
2015-07-03,6.01,6.02,6.01,5.97,400,5.97
2015-07-06,5.99,5.99,5.96,5.99,60000,5.99
2015-07-07,5.91,5.93,5.91,5.92,5000,5.92
2015-07-08,5.91,5.91,5.87,5.89,38400,5.89
2015-07-10,5.89,5.89,5.89,5.95,200,5.95
2015-07-13,5.95,5.97,5.95,5.94,4000,5.94
2015-07-15,5.92,5.92,5.92,5.87,2100,5.87
2015-07-24,5.74,5.74,5.74,5.745,500,5.745
2015-07-27,5.72,5.72,5.72,5.74,2100,5.74
2015-07-28,5.74,5.74,5.74,5.745,200,5.745
2015-07-31,5.7,5.72,5.7,5.7,2900,5.7
2015-08-03,5.71,5.71,5.71,5.695,0,5.695
2015-08-06,5.77,5.77,5.77,5.755,100,5.755
2015-08-18,5.7,5.7,5.7,5.69,16500,5.69
