Date,Open,High,Low,Close,Volume,Adj Close
2011-04-15,13.15,13.15,13.15,13.15,0,13.15
2011-05-12,13.635,13.67,13.635,13.59,0,13.59
2011-05-23,14.2,14.28,14.2,14.255,1400,14.255
2011-05-24,13.99,13.99,13.99,13.965,700,13.965
2011-05-25,14.175,14.175,14.105,13.94,800,13.94
2011-05-26,13.8,13.8,13.8,13.93,300,13.93
2011-05-31,13.45,13.45,13.45,13.195,300,13.195
2011-06-01,13.13,13.13,13.13,13.165,0,13.165
2011-06-03,13.115,13.115,13.115,13.085,0,13.085
2011-06-07,13.07,13.07,13.07,13.015,400,13.015
2011-06-09,13.27,13.27,13.27,13.28,500,13.28
2011-06-13,13.63,13.63,13.63,13.615,400,13.615
2011-06-14,13.315,13.315,13.315,13.385,100,13.385
2011-06-15,13.62,13.62,13.62,13.745,0,13.745
2011-06-17,14.025,14.025,13.95,13.84,3900,13.84
2011-06-20,14.165,14.165,13.99,13.99,30000,13.99
2011-06-22,13.7,13.7,13.7,13.62,1200,13.62
2011-06-23,14.2,14.2,14.2,14.255,1200,14.255
2011-06-24,13.825,13.825,13.825,13.965,400,13.965
2011-06-28,13.72,13.72,13.72,13.585,1200,13.585
2011-06-30,13.22,13.24,13.105,13.11,10500,13.11
2011-07-01,13.115,13.16,13.095,12.99,4300,12.99
2011-07-11,13.755,13.755,13.755,13.795,10000,13.795
2011-07-12,14.08,14.08,13.98,13.915,1000,13.915
2011-07-13,13.735,13.735,13.585,13.47,70000,13.47
2011-07-14,13.495,13.545,13.495,13.62,22200,13.62
2011-07-15,13.65,13.65,13.63,13.685,1300,13.685
2011-07-19,13.63,13.63,13.63,13.68,0,13.68
2011-07-22,13.195,13.195,13.195,13.25,500,13.25
2011-07-29,13.48,13.48,13.48,13.3,300,13.3
2011-08-02,13.62,13.62,13.62,13.77,1000,13.77
2011-08-03,13.855,13.855,13.775,13.96,11500,13.96
2011-08-04,14.12,14.12,14.12,14.66,22000,14.66
2011-08-05,15.075,15.075,15.075,15.14,200,15.14
2011-08-08,14.97,15.68,14.955,15.64,4700,15.64
2011-08-09,16.0,16.685,15.65,15.9,13700,15.9
2011-08-10,15.47,15.49,15.365,16.275,129500,16.275
2011-08-11,15.525,16.55,15.5,15.595,2700,15.595
2011-08-12,14.5,15.72,14.5,15.425,1100,15.425
2011-08-17,15.125,15.125,14.92,14.755,10000,14.755
2011-08-18,15.22,15.94,15.22,15.625,37500,15.625
2011-08-19,15.99,16.0,15.375,15.625,4800,15.625
2011-08-22,15.625,15.625,15.625,15.855,0,15.855
2011-08-24,15.485,15.485,15.485,15.585,0,15.585
2011-08-25,15.655,15.655,15.655,15.67,0,15.67
2011-08-26,15.48,15.59,15.48,15.67,43100,15.67
2011-08-29,15.215,15.22,14.995,14.885,41400,14.885
2011-08-31,14.635,14.635,14.415,14.595,4200,14.595
2011-09-01,14.67,14.67,14.67,14.63,0,14.63
2011-09-02,14.905,14.905,14.905,15.045,0,15.045
2011-09-05,15.42,15.42,15.42,15.55,300,15.55
2011-09-06,15.465,15.465,15.33,15.69,500,15.69
2011-09-07,15.07,15.07,15.07,15.12,300,15.12
2011-09-09,15.56,16.055,15.56,16.235,500,16.235
2011-09-12,16.645,16.735,16.485,16.615,200,16.615
2011-09-13,16.45,16.605,16.45,16.525,0,16.525
2011-09-14,16.545,16.58,16.3,16.61,3900,16.61
2011-09-15,15.96,16.08,15.955,16.07,7500,16.07
2011-09-16,15.75,15.75,15.75,16.08,0,16.08
2011-09-21,16.91,17.105,16.91,16.98,1100,16.98
2011-09-22,18.3,18.3,18.13,18.335,1300,18.335
2011-09-23,18.17,19.08,18.17,18.26,5400,18.26
2011-09-26,18.19,19.2,18.19,18.46,500,18.46
2011-09-27,17.8,17.8,17.4,17.165,23100,17.165
2011-09-29,17.485,17.485,17.265,17.51,11300,17.51
2011-09-30,17.985,18.365,17.985,18.125,11200,18.125
2011-10-03,19.0,19.01,18.6,18.87,15100,18.87
2011-10-04,19.55,20.02,19.465,19.435,6000,19.435
2011-10-05,19.265,19.265,19.07,19.015,2100,19.015
2011-10-06,18.87,18.87,18.3,18.255,3100,18.255
2011-10-07,18.005,18.06,17.935,17.87,2100,17.87
2011-10-10,17.765,17.765,17.09,17.145,1200,17.145
2011-10-11,17.16,17.28,16.98,17.145,23500,17.145
2011-10-12,16.275,16.85,16.275,16.395,2000,16.395
2011-10-13,16.785,16.87,16.645,16.84,800,16.84
