Date,Open,High,Low,Close,Volume,Adj Close
2012-05-16,213.0,213.0,213.0,213.37,0,209.651
2012-06-12,214.46,214.46,214.46,213.79,0,210.063
2012-07-04,213.26,213.26,213.26,213.79,0,210.063
2012-07-10,216.19,216.19,216.19,213.79,0,210.063
2012-07-19,218.04,218.04,218.04,218.111,0,214.309
2012-07-23,219.19,219.19,219.19,218.67,200,214.858
2012-08-17,215.0,215.0,215.0,211.211,0,207.529
2012-09-12,210.1,210.1,210.1,210.388,0,206.721
2012-10-04,212.8,212.8,212.8,213.006,10000,209.293
2012-10-15,212.77,212.77,212.77,212.839,10000,209.129
2012-10-16,212.91,212.91,212.91,211.895,0,208.202
2012-10-17,210.45,210.45,210.45,210.462,0,206.794
2012-11-05,213.85,213.85,213.85,213.76,100,210.034
2012-11-12,215.43,215.43,215.43,215.3,0,211.547
2012-12-10,216.62,216.62,216.62,216.28,0,212.51
2012-12-21,215.11,215.11,215.11,214.48,100,210.741
2012-12-27,215.79,215.79,215.79,215.69,0,211.93
2013-01-02,214.67,214.67,214.67,214.71,100,210.967
2013-01-03,214.31,214.31,214.31,213.78,0,210.054
2013-01-11,212.52,212.52,212.52,212.72,0,209.012
2013-01-16,212.93,212.93,212.93,213.14,0,209.425
2013-01-28,211.48,211.48,211.48,211.01,0,207.332
2013-03-21,217.21,217.21,217.21,217.4,100,213.611
2013-04-02,218.51,218.51,218.51,218.45,200,214.642
2013-04-08,219.89,219.91,219.89,219.49,200,215.664
2013-05-02,221.1,221.19,221.1,221.18,500,217.325
2013-05-24,217.13,217.13,217.13,217.53,0,213.738
2013-05-30,216.15,216.15,216.15,216.31,0,212.54
2013-05-31,216.1,216.1,216.1,216.12,200,212.353
2013-06-12,215.16,215.16,215.16,214.93,500,211.184
2013-06-13,215.63,215.63,215.63,215.54,500,211.783
2013-06-14,216.37,216.37,216.37,216.45,200,212.677
2013-06-17,216.26,216.52,216.22,216.36,900,212.589
2013-06-19,215.93,215.93,215.93,215.79,0,212.029
2013-06-21,213.51,213.51,213.26,212.8,50000,209.091
2013-06-24,211.25,211.25,211.25,211.38,100,207.695
2013-06-26,212.09,212.09,212.09,212.43,0,208.727
2013-07-05,214.14,214.14,214.14,213.45,5000,209.729
2013-07-08,213.62,214.04,213.62,213.9,5000,210.172
2013-07-18,216.56,216.79,216.56,216.96,1000,213.178
2013-07-31,210.64,210.64,210.64,211.16,5000,207.479
