Date,Open,High,Low,Close,Volume,Adj Close
2012-03-13,42.9,42.9,42.9,42.95,0,41.1351
2012-03-16,43.13,43.13,43.08,42.975,0,41.1591
2012-03-19,43.12,43.12,43.11,43.03,100,41.2118
2012-03-20,43.03,43.03,43.03,42.96,200,41.1447
2012-03-21,42.96,42.99,42.9,42.78,400,40.9723
2012-03-22,42.7,42.7,42.7,42.625,0,40.8239
2012-03-23,42.49,42.49,42.49,42.57,200,40.7712
2012-04-05,41.88,41.88,41.88,41.805,0,40.0385
2012-04-10,41.64,41.64,41.64,41.32,0,39.574
2012-04-11,41.0,41.0,41.0,41.64,0,39.8805
2012-04-13,41.78,41.78,41.78,41.68,0,39.9188
2012-04-23,41.58,41.58,41.58,41.46,0,39.7081
2012-05-10,41.97,41.97,41.97,42.06,0,40.2828
2012-05-24,41.76,41.76,41.76,41.75,100,39.9858
2012-05-25,41.57,41.57,41.57,41.6,0,39.8422
2012-05-30,40.75,40.75,40.75,40.975,200,39.2436
2012-06-01,41.25,41.25,41.25,41.2,0,39.4591
2012-06-06,41.5,41.5,41.5,41.62,200,39.8613
2012-06-13,40.83,40.83,40.83,40.605,0,38.8892
2012-07-03,41.85,41.85,41.85,40.605,0,38.8892
2012-07-23,40.61,40.61,40.61,41.097,0,39.3604
2012-07-26,40.4,40.4,40.4,39.626,0,38.5548
2012-08-13,41.13,41.13,41.13,41.0405,0,39.9311
2012-09-06,42.46,42.48,42.46,42.4195,100,41.2728
2012-09-07,42.62,42.62,42.62,42.4195,0,41.2728
2012-09-10,42.61,42.61,42.61,42.535,100,41.3852
2012-09-12,42.83,42.83,42.83,42.7995,0,41.6425
2012-09-19,42.73,42.73,42.73,42.9505,1100,41.7894
2012-09-20,43.0,43.0,43.0,42.897,100,41.7374
2012-09-21,42.93,42.93,42.93,42.897,100,41.7374
2012-09-28,42.75,42.75,42.75,42.618,0,41.4659
2012-10-04,42.95,42.95,42.95,42.8285,0,41.6707
2012-10-11,42.9,42.9,42.9,42.988,100,41.8259
2012-10-15,43.24,43.24,43.24,43.127,100,41.9612
2012-10-16,43.13,43.13,43.13,43.2075,400,42.0395
2012-11-06,43.32,43.32,43.32,43.425,0,42.2511
2012-11-15,43.26,43.26,43.26,43.44,900,42.2657
2012-11-28,43.8,43.8,43.8,44.035,0,42.8446
2012-11-29,44.28,44.28,44.28,44.065,0,42.8738
2012-12-04,44.24,44.24,44.24,44.31,0,43.1122
2012-12-10,43.46,43.46,43.46,43.48,100,42.3046
2012-12-12,43.79,43.79,43.79,43.95,500,42.7619
2012-12-18,44.5,44.5,44.5,44.43,0,43.229
2012-12-19,44.37,44.37,44.37,44.58,200,43.3749
2013-01-16,45.0,45.0,45.0,45.015,0,43.7981
2013-01-22,45.15,45.15,45.15,45.025,0,43.8079
2013-01-29,45.16,45.16,45.16,45.08,100,43.8614
2013-02-07,44.53,44.53,44.53,44.58,0,43.3749
2013-02-15,44.94,44.94,44.94,44.83,0,43.6181
2013-02-18,44.77,44.77,44.77,44.83,0,43.6181
2013-02-21,44.64,44.64,44.64,44.635,200,43.4284
2013-02-26,44.28,44.28,44.05,43.98,7600,42.7911
2013-03-06,44.4,44.4,44.36,44.39,0,43.19
2013-03-07,44.53,44.57,44.53,44.57,2600,43.3652
2013-03-11,44.39,44.39,44.39,44.445,0,43.2435
2013-03-12,44.43,44.43,44.43,44.53,0,43.3262
2013-03-14,44.34,44.34,44.34,44.455,0,43.2533
2013-03-15,44.58,44.58,44.58,44.455,0,43.2533
2013-03-20,44.45,44.59,44.45,44.51,300,43.3068
2013-03-21,44.52,44.55,44.52,44.62,100,43.4138
2013-03-25,44.81,44.81,44.81,44.655,0,43.4479
2013-03-27,44.45,44.45,44.45,44.345,0,43.1463
2013-03-28,44.5,44.5,44.5,44.345,0,43.1463
2013-04-04,44.71,44.71,44.7,44.75,300,43.5403
2013-04-05,44.95,44.95,44.95,44.75,0,43.5403
2013-04-08,45.02,45.02,45.02,45.08,0,43.8614
2013-04-09,45.19,45.19,44.99,45.05,0,43.8322
2013-04-10,45.19,45.19,45.19,45.14,0,43.9198
2013-04-12,44.96,44.96,44.96,45.1,0,43.8808
2013-04-15,45.64,45.64,45.64,45.56,0,44.3284
2013-04-17,45.34,45.36,45.34,45.27,400,44.0462
2013-04-23,45.86,45.86,45.86,45.86,0,44.6203
2013-04-24,45.68,45.68,45.68,45.755,0,44.5181
2013-04-26,45.72,45.72,45.72,45.66,0,44.4257
2013-04-29,46.02,46.02,46.02,45.96,0,44.7176
2013-05-02,46.23,46.23,46.23,46.22,0,44.9706
2013-05-03,46.43,46.46,46.43,46.22,1100,44.9706
2013-05-06,46.14,46.14,46.14,46.165,300,44.9171
2013-05-07,46.185,46.185,46.185,46.25,0,44.9998
2013-05-10,46.05,46.05,46.05,46.18,0,44.9316
2013-05-14,45.94,45.94,45.94,45.89,0,44.6495
2013-05-16,46.05,46.05,46.05,45.96,0,44.7176
2013-05-20,46.14,46.14,46.14,46.15,0,44.9025
2013-05-22,46.05,46.05,46.05,46.06,0,44.8149
2013-05-23,46.0,46.0,46.0,45.92,300,44.6787
2013-05-24,45.78,45.78,45.78,45.665,0,44.4306
2013-05-29,45.8,45.8,45.8,45.71,0,44.4743
2013-05-31,45.7,45.7,45.7,45.74,0,44.5035
2013-06-03,45.75,45.75,45.65,45.755,600,44.5181
2013-06-04,45.76,45.76,45.76,45.78,0,44.5425
2013-06-05,45.75,45.75,45.75,45.8,0,44.5619
2013-06-06,45.48,45.48,45.48,45.43,0,44.2019
2013-06-07,45.61,45.61,45.61,45.68,0,44.4452
2013-06-10,45.68,45.68,45.68,45.59,100,44.3576
2013-06-11,45.37,45.37,45.37,45.46,0,44.2311
2013-06-12,45.55,45.55,45.55,45.375,100,44.1484
2013-06-13,45.44,45.44,45.44,45.375,0,44.1484
2013-06-14,45.6,45.6,45.57,45.51,0,44.2798
2013-06-17,45.46,45.46,45.46,45.53,0,44.2992
2013-06-18,45.4,45.4,45.4,45.48,0,44.2506
2013-06-19,45.45,45.45,45.45,45.58,0,44.3479
2013-06-20,45.27,45.28,45.27,45.11,0,43.8906
2013-06-25,44.66,44.66,44.55,44.53,100,43.3262
2013-06-26,44.68,44.68,44.68,44.81,0,43.5987
2013-06-27,45.05,45.05,45.05,45.05,0,43.8322
2013-07-01,45.49,45.49,45.33,45.35,160000,44.1241
2013-07-02,45.39,45.39,45.39,45.46,0,44.2311
2013-07-04,45.23,45.51,45.23,45.45,40200,44.2214
2013-07-05,45.47,45.47,45.39,45.47,40000,44.2408
2013-07-09,45.65,45.65,45.52,45.485,40100,44.2554
2013-07-10,45.31,45.31,45.29,45.41,40000,44.1825
2013-07-12,45.23,45.38,45.23,45.325,0,44.0998
2013-07-18,45.38,45.38,45.38,45.37,0,44.1435
2013-07-19,45.34,45.34,45.34,45.42,0,44.1922
2013-07-24,45.5,45.5,45.5,45.56,0,44.3284
2013-07-26,44.5,44.5,44.5,44.57,0,43.3652
2013-07-31,44.47,44.47,44.46,44.535,0,43.3311
2013-08-06,44.79,44.79,44.79,44.86,0,43.6473
2013-08-13,44.96,44.96,44.96,44.95,0,43.7349
2013-08-16,44.88,44.88,44.88,44.99,0,43.7738
2013-08-22,44.87,44.87,44.87,44.79,0,43.5792
2013-08-23,44.68,44.68,44.68,44.77,0,43.5598
2013-08-26,44.59,44.59,44.59,44.67,0,43.4625
2013-08-27,44.5,44.5,44.5,44.55,0,43.3457
2013-08-28,44.5,44.5,44.5,44.62,0,43.4138
2013-08-29,44.61,44.61,44.61,44.675,0,43.4673
2013-08-30,44.6,44.6,44.6,44.685,0,43.4771
2013-09-02,44.68,44.68,44.68,44.75,0,43.5403
2013-09-03,44.85,44.85,44.85,44.775,0,43.5646
2013-09-04,44.61,44.61,44.61,44.635,0,43.4284
2013-09-05,44.5,44.54,44.5,44.46,0,43.2581
2013-09-06,44.44,44.44,44.44,44.51,0,43.3068
2013-09-10,44.46,44.46,44.46,44.45,0,43.2484
2013-09-11,44.45,44.45,44.45,44.49,0,43.2873
2013-09-12,44.53,44.53,44.53,44.48,0,43.2776
2013-09-13,44.36,44.37,44.36,44.42,0,43.2192
2013-09-17,44.64,44.64,44.64,44.7,0,43.4917
2013-09-18,44.64,44.64,44.64,44.735,0,43.5257
2013-09-20,44.9,44.95,44.9,44.92,100,43.7057
2013-09-23,44.84,44.84,44.84,44.94,0,43.7252
2013-09-24,45.1,45.1,45.1,45.0,0,43.7835
2013-09-27,44.65,44.65,44.65,44.68,0,43.4722
2013-10-02,44.98,45.11,44.98,45.03,100,43.8127
2013-10-03,44.93,44.93,44.93,45.015,0,43.7981
2013-10-04,45.15,45.2,45.15,45.12,0,43.9003
2013-10-07,45.09,45.24,45.09,45.185,0,43.9635
2013-10-08,45.02,45.02,45.02,45.09,0,43.8711
2013-10-10,45.08,45.22,45.08,45.14,0,43.9198
2013-10-11,45.29,45.29,45.14,45.22,0,43.9976
2013-10-14,45.2,45.2,45.2,45.27,0,44.0462
2013-10-15,45.23,45.23,45.23,45.3,0,44.0754
2013-10-16,45.22,45.22,45.22,45.32,0,44.0949
2013-10-21,45.38,45.38,45.38,45.43,0,44.2019
2013-10-23,45.54,45.54,45.54,45.6,100,44.3673
2013-10-24,45.47,45.47,45.47,45.55,0,44.3187
2013-10-25,45.36,45.36,45.36,45.44,0,44.2116
2013-10-28,45.38,45.53,45.38,45.46,0,44.2311
2013-10-29,45.48,45.48,45.48,45.56,0,44.3284
2013-10-30,45.41,45.41,45.41,45.48,0,44.2506
2013-11-05,45.53,45.53,45.53,45.58,0,44.3479
2013-11-07,45.65,45.65,45.65,45.73,0,44.4938
2013-11-11,45.75,45.8,45.75,45.715,0,44.4792
2013-11-12,45.75,45.75,45.59,45.68,100,44.4452
2013-11-13,45.58,45.58,45.58,45.72,0,44.4841
2013-11-14,45.75,45.75,45.75,45.83,0,44.5911
2013-11-18,45.89,45.89,45.89,45.85,0,44.6106
2013-11-19,45.78,45.78,45.78,45.84,0,44.6008
2013-11-20,45.72,45.87,45.72,45.78,0,44.5425
2013-11-21,45.89,45.89,45.89,45.83,0,44.5911
2013-11-22,45.76,45.76,45.76,45.865,0,44.6252
2013-11-25,45.83,45.83,45.83,45.895,0,44.6543
2013-11-26,46.01,46.01,46.01,45.96,300,44.7176
2013-11-27,45.81,45.81,45.81,45.925,0,44.6835
2013-11-28,45.82,45.82,45.82,45.93,0,44.6884
2013-12-02,45.82,45.82,45.82,45.88,0,44.6398
2013-12-03,45.83,45.83,45.83,45.885,0,44.6446
2013-12-06,45.56,45.56,45.56,45.695,0,44.4598
2013-12-10,45.75,45.75,45.75,45.91,200,44.6689
2013-12-11,45.88,45.88,45.88,45.925,0,44.6835
