Date,Open,High,Low,Close,Volume,Adj Close
2014-10-02,339.0,339.0,339.0,331.93,0,331.93
2014-10-03,337.98,337.98,337.98,335.84,0,335.84
2014-10-07,338.5,338.5,338.5,336.35,0,336.35
2014-10-14,310.52,310.52,310.52,308.7,300,308.7
2014-10-20,310.47,310.83,310.47,311.79,200,311.79
2014-10-23,324.15,324.15,324.15,327.82,200,327.82
2014-10-24,325.4,325.4,324.48,322.48,0,322.48
2014-10-27,323.16,323.16,319.48,315.37,600,315.37
2014-10-28,318.68,318.68,318.68,319.88,0,319.88
2014-10-29,323.93,326.07,323.45,325.4,400,325.4
2014-10-30,325.21,325.9,324.34,323.31,200,323.31
2014-10-31,329.78,331.21,329.78,323.31,1000,323.31
2014-11-03,335.71,335.71,334.71,334.93,100,334.93
2014-11-04,329.08,329.12,325.48,319.67,400,319.67
2014-11-05,326.56,326.56,326.56,327.63,0,327.63
2014-11-06,330.18,330.18,329.41,329.58,400,329.58
2014-11-07,336.07,336.5,336.07,340.13,400,340.13
2014-11-10,337.74,338.63,337.62,337.12,1000,337.12
2014-11-11,336.35,336.88,336.18,334.77,400,334.77
2014-11-12,334.88,334.88,333.99,335.82,0,335.82
2014-11-14,327.84,333.72,327.84,328.45,700,328.45
2014-11-17,328.63,330.69,328.63,329.68,800,329.68
2014-11-20,328.88,328.88,328.88,333.22,0,333.22
2014-11-21,335.27,342.11,335.27,341.22,1200,341.22
2014-11-24,342.57,346.33,340.55,339.45,1200,339.45
2014-11-25,339.81,339.81,338.78,331.67,0,331.67
2014-11-26,331.98,333.34,330.0,328.43,600,328.43
2014-11-27,326.66,327.19,323.4,322.36,1200,322.36
2014-11-28,313.72,314.39,307.07,310.74,700,310.74
2014-12-01,305.05,306.15,303.43,305.01,1200,305.01
2014-12-02,310.08,310.08,309.15,314.43,200,314.43
2014-12-03,317.01,317.49,317.01,320.69,200,320.69
2014-12-04,321.0,321.0,316.06,312.39,600,312.39
2014-12-05,320.5,320.5,315.99,314.21,300,314.21
2014-12-08,310.0,310.0,310.0,305.71,0,305.71
2014-12-09,299.06,303.2,299.06,300.5,900,300.5
2014-12-10,302.52,302.52,297.56,292.72,300,292.72
2014-12-11,292.3,296.3,291.93,299.76,400,299.76
2014-12-12,290.93,290.93,288.75,287.98,400,287.98
2014-12-15,288.86,289.69,288.71,285.69,300,285.69
