Date,Open,High,Low,Close,Volume,Adj Close
2007-10-24,77.19,77.63,77.19,77.19,0,77.19
2007-10-25,77.67,78.0,77.67,77.67,0,77.67
2007-10-26,78.22,78.55,78.22,78.22,0,78.22
2007-10-29,79.17,79.17,79.17,79.17,0,79.17
2007-10-30,79.26,79.68,79.26,79.26,0,79.26
2007-10-31,80.49,80.84,80.49,80.49,0,80.49
2007-11-01,79.52,79.52,79.52,79.52,0,79.52
2007-11-02,76.52,77.17,76.52,76.52,0,76.52
2007-11-05,75.31,75.56,75.31,75.31,0,75.31
2007-11-06,75.17,75.41,75.17,75.17,0,75.17
2007-11-07,74.06,74.4,74.06,74.06,0,74.06
2007-11-08,72.78,73.02,72.78,72.78,0,72.78
2007-11-09,70.86,71.1,70.86,70.98,0,70.98
2007-11-12,71.55,71.55,71.55,71.55,0,71.55
2007-11-13,73.86,74.1,73.86,73.86,0,73.86
2007-11-14,74.09,74.33,74.09,74.09,0,74.09
2007-11-15,73.05,73.05,73.05,73.05,100,73.05
2007-11-16,72.0,72.0,72.0,72.0,0,72.0
2007-11-19,72.1,72.1,72.1,72.1,0,72.1
2007-11-20,70.79,71.02,70.79,70.79,0,70.79
2007-11-21,72.1,72.1,72.1,72.1,0,72.1
2007-11-22,72.1,72.1,72.1,72.1,0,72.1
2007-11-23,72.1,72.1,72.1,72.1,0,72.1
2007-11-26,72.1,72.1,72.1,72.1,0,72.1
2007-11-27,72.1,72.1,72.1,72.1,0,72.1
2007-11-28,71.08,71.08,71.08,71.08,0,71.08
2007-11-29,73.57,73.57,73.57,73.57,500,73.57
2007-11-30,75.0,75.0,74.5,74.5,100,74.5
2007-12-03,74.82,74.82,74.82,74.82,0,74.82
2007-12-04,74.82,74.82,74.82,74.82,0,74.82
2007-12-05,74.21,74.21,74.21,74.21,100,74.21
2007-12-06,75.66,75.66,75.66,75.66,0,75.66
2007-12-07,75.72,75.72,75.72,75.72,0,75.72
2007-12-10,75.6,76.95,75.6,76.05,0,76.05
2007-12-11,75.46,75.92,75.46,75.46,0,75.46
2007-12-12,74.26,74.92,74.26,74.61,10200,74.61
2007-12-13,74.09,74.09,74.09,74.09,0,74.09
2007-12-14,73.56,73.56,73.56,73.56,0,73.56
2007-12-17,72.34,72.34,72.23,72.23,0,72.23
2007-12-18,72.15,72.5,72.15,72.15,0,72.15
2007-12-19,71.64,71.64,71.64,71.64,300,71.64
2007-12-20,71.5,71.5,71.5,71.5,0,71.5
2007-12-21,72.26,72.57,72.26,72.26,0,72.26
2007-12-27,72.13,72.57,72.13,72.13,0,72.13
2007-12-28,72.07,72.44,72.07,72.07,0,72.07
2008-01-02,72.51,72.51,72.51,72.51,0,72.51
2008-01-03,71.16,71.46,71.16,71.16,100,71.16
2008-01-04,71.25,71.25,71.25,71.25,5000,71.25
2008-01-07,69.18,69.6,69.18,69.18,0,69.18
2008-01-08,69.12,69.41,69.12,69.12,0,69.12
2008-01-09,68.19,68.47,68.19,68.19,0,68.19
2008-01-10,67.48,67.76,67.48,67.48,0,67.48
2008-01-11,71.25,71.25,71.25,71.25,0,71.25
2008-01-14,68.64,68.64,68.5,68.5,100,68.5
2008-01-15,67.78,67.78,67.0,67.0,0,67.0
2008-01-16,64.81,65.1,64.7,64.8,200,64.8
2008-01-17,65.0,65.0,65.0,65.0,200,65.0
2008-01-18,64.07,64.25,64.07,64.25,0,64.25
2008-01-21,58.77,59.18,58.77,58.77,0,58.77
2008-01-22,59.61,59.75,59.27,59.31,10100,59.31
2008-01-23,61.87,61.87,60.84,61.62,800,61.62
2008-01-24,62.94,64.86,62.94,62.94,0,62.94
2008-01-25,64.99,64.99,64.25,64.25,100,64.25
2008-01-28,62.05,62.43,62.05,62.05,0,62.05
2008-01-29,63.37,63.37,63.37,63.37,300,63.37
2008-01-30,63.15,63.15,63.15,63.15,0,63.15
2008-01-31,61.43,61.43,61.43,61.43,0,61.43
2008-02-01,63.41,63.8,63.41,63.41,0,63.41
2008-02-04,63.61,64.0,63.61,63.61,0,63.61
2008-02-05,60.98,61.35,60.98,60.98,0,60.98
2008-02-06,61.11,61.37,61.11,61.11,0,61.11
2008-02-07,60.2,60.2,60.2,60.2,0,60.2
2008-02-08,59.77,60.02,59.77,59.77,0,59.77
2008-02-11,59.03,59.03,59.03,59.03,0,59.03
2008-02-12,60.79,61.11,60.79,60.79,0,60.79
2008-02-13,60.98,61.24,60.98,60.98,0,60.98
2008-02-14,60.36,60.62,60.36,60.36,0,60.36
2008-02-15,59.97,59.97,59.97,59.97,0,59.97
2008-02-18,59.91,59.91,59.91,59.91,0,59.91
2008-02-19,60.71,60.71,60.71,60.71,300,60.71
2008-02-20,59.62,59.87,59.62,59.62,0,59.62
2008-02-21,60.01,60.27,60.01,60.01,0,60.01
2008-02-22,59.39,59.64,59.39,59.39,0,59.39
2008-02-25,61.2,61.46,61.2,61.2,0,61.2
2008-02-26,62.83,63.08,62.83,62.83,0,62.83
2008-02-27,62.48,62.74,62.48,62.48,0,62.48
2008-02-28,61.13,61.38,61.13,61.13,0,61.13
2008-02-29,59.84,59.88,59.82,59.82,4500,59.82
2008-03-03,59.2,59.2,59.2,59.2,1000,59.2
2008-03-04,58.02,58.02,58.02,58.02,0,58.02
