Date,Open,High,Low,Close,Volume,Adj Close
2007-02-15,57.0,57.22,57.0,57.22,0,57.22
2007-02-16,57.25,57.51,57.25,57.46,600,57.46
2007-02-19,57.63,57.81,57.62,57.64,3000,57.64
2007-02-20,57.5,57.5,57.1,57.29,28800,57.29
2007-02-21,57.52,57.52,56.6,56.6,17300,56.6
2007-02-22,56.89,56.97,56.73,56.9,2100,56.9
2007-02-23,56.95,56.96,56.79,56.93,800,56.93
2007-02-26,56.93,57.16,56.89,56.89,6400,56.89
2007-02-27,56.76,56.76,55.19,55.19,13100,55.19
2007-02-28,54.41,54.81,53.89,54.44,1600,54.44
2007-03-01,54.75,55.18,53.67,54.43,2600,54.43
2007-03-02,54.98,54.98,54.46,54.8,1500,54.8
2007-03-05,57.22,57.22,53.97,54.26,1800,54.26
2007-03-06,54.48,54.48,54.46,54.46,100,54.46
2007-03-07,54.87,55.24,54.87,55.24,400,55.24
2007-03-08,55.63,55.73,55.5,55.5,1000,55.5
2007-03-09,55.55,55.64,55.4,55.42,6800,55.42
2007-03-12,55.82,55.82,55.33,55.36,400,55.36
2007-03-13,57.49,57.49,55.25,55.25,200,55.25
2007-03-14,54.51,54.51,53.72,53.72,1000,53.72
2007-03-15,54.26,54.35,54.12,54.35,5800,54.35
2007-03-16,54.25,54.53,54.19,54.53,1000,54.53
2007-03-19,54.46,55.13,54.46,55.13,225400,55.13
2007-03-20,55.2,55.2,54.81,54.81,200,54.81
2007-03-21,55.64,55.64,55.64,55.64,0,55.64
2007-03-22,55.99,56.48,55.99,56.25,26100,56.25
2007-03-23,56.14,56.5,56.11,56.32,1200,56.32
2007-03-26,53.7,56.34,53.7,55.84,300,55.84
2007-03-27,56.11,56.13,55.66,55.78,7400,55.78
2007-03-28,55.4,55.4,55.32,55.32,200,55.32
2007-03-29,55.19,55.39,55.19,55.39,100,55.39
2007-03-30,55.46,55.6,55.4,55.6,700,55.6
2007-04-02,55.39,55.39,55.25,55.25,100,55.25
2007-04-03,55.68,55.87,55.68,55.83,1200,55.83
2007-04-04,55.89,55.91,55.83,55.83,600,55.83
2007-04-05,55.74,56.01,55.74,55.86,500,55.86
2007-04-10,56.06,56.19,55.86,56.19,900,56.19
2007-04-11,56.29,56.29,56.23,56.23,200,56.23
2007-04-12,56.9,56.9,55.71,55.71,500,55.71
2007-04-13,56.9,56.9,56.15,56.15,8400,56.15
2007-04-16,56.47,56.72,56.45,56.72,700,56.72
2007-04-17,56.55,56.7,56.4,56.55,5700,56.55
2007-04-18,56.4,57.0,56.33,56.68,3600,56.68
2007-04-19,56.94,56.99,56.94,56.94,0,56.94
2007-04-20,57.2,57.8,57.2,57.8,2300,57.8
2007-04-23,58.08,58.09,57.81,57.89,1900,57.89
2007-04-24,58.06,58.06,57.72,57.72,700,57.72
2007-04-25,57.92,58.08,57.92,58.04,300,58.04
2007-04-26,59.34,59.34,58.31,58.32,500,58.32
2007-04-27,58.38,58.38,57.86,57.86,2300,57.86
2007-04-30,58.2,58.25,58.02,58.02,600,58.02
2007-05-02,59.5,59.5,57.6,57.83,1800,57.83
2007-05-03,57.98,58.01,57.68,57.72,800,57.72
2007-05-04,58.05,58.28,57.8,58.26,600,58.26
2007-05-07,59.69,59.69,58.11,58.17,100,58.17
2007-05-08,57.96,57.96,57.56,57.62,3500,57.62
2007-05-09,58.05,58.05,57.72,57.72,800,57.72
2007-05-10,57.86,58.09,57.74,58.09,700,58.09
2007-05-11,57.46,57.59,57.4,57.59,300,57.59
2007-05-14,59.0,59.0,57.7,57.7,1100,57.7
2007-05-15,57.68,57.73,57.56,57.65,200,57.65
2007-05-16,57.57,57.58,57.5,57.5,100,57.5
2007-05-17,57.63,57.63,57.55,57.55,100,57.55
2007-05-18,57.52,57.81,57.52,57.81,700,57.81
2007-05-21,57.8,58.1,57.78,57.91,900,57.91
2007-05-22,57.54,57.75,57.48,57.48,700,57.48
2007-05-23,57.7,58.08,57.7,57.98,600,57.98
2007-05-24,58.28,58.28,57.75,57.89,1200,57.89
2007-05-25,57.79,57.79,57.79,57.79,0,57.79
2007-05-28,57.55,57.8,57.55,57.78,100,57.78
