Date,Open,High,Low,Close,Volume,Adj Close
2012-03-21,11.665,11.665,11.665,11.65,700,11.65
2012-06-15,12.04,12.04,12.025,11.985,3000,11.985
2012-08-23,12.35,12.35,12.35,12.136,0,12.136
2012-08-30,12.165,12.165,12.165,12.121,0,12.121
2012-10-03,12.235,12.235,12.235,12.2147,400,12.2147
2012-10-22,12.245,12.245,12.245,12.151,0,12.151
2012-11-05,12.09,12.09,12.09,11.985,0,11.985
2012-11-21,11.63,11.635,11.63,11.6,7500,11.6
2012-11-22,11.615,11.615,11.6,11.57,9900,11.57
2012-11-27,11.645,11.645,11.645,11.615,800,11.615
2012-12-03,11.7,11.7,11.7,11.635,0,11.635
2012-12-19,11.855,11.855,11.855,11.77,0,11.77
2012-12-20,11.83,11.83,11.83,11.82,100,11.82
2013-01-02,11.9,11.9,11.9,11.89,0,11.89
2013-01-21,11.71,11.715,11.71,11.755,100,11.755
2013-01-23,11.795,11.795,11.795,11.745,900,11.745
2013-02-22,11.845,11.845,11.83,11.775,600,11.775
2013-02-28,12.02,12.02,12.02,12.005,0,12.005
2013-03-11,12.27,12.27,12.27,12.245,1600,12.245
2013-03-20,12.43,12.46,12.425,12.42,5200,12.42
2013-03-22,12.45,12.45,12.45,12.505,100,12.505
2013-03-26,12.585,12.585,12.585,12.58,0,12.58
2013-04-02,12.755,12.86,12.755,12.83,1300,12.83
2013-04-12,13.08,13.08,13.08,12.95,0,12.95
2013-04-16,13.005,13.005,12.995,12.97,2000,12.97
2013-04-22,13.16,13.16,13.16,13.07,0,13.07
2013-04-26,13.305,13.305,13.305,13.345,0,13.345
2013-04-30,13.41,13.41,13.41,13.35,0,13.35
2013-05-06,13.33,13.33,13.33,13.34,1200,13.34
2013-05-07,13.325,13.325,13.325,13.325,19900,13.325
2013-05-14,13.345,13.345,13.345,13.405,100,13.405
2013-05-20,13.675,13.675,13.675,13.625,0,13.625
2013-05-23,13.29,13.29,13.185,13.125,100,13.125
2013-05-24,13.17,13.17,13.17,13.14,0,13.14
2013-05-27,13.42,13.42,13.135,13.115,200,13.115
2013-05-31,12.715,12.715,12.715,12.85,200,12.85
2013-06-10,12.565,12.565,12.565,12.525,0,12.525
2013-06-19,12.65,12.65,12.65,12.555,800,12.555
2013-06-28,12.6,12.6,12.6,12.63,0,12.63
2013-07-25,12.725,12.725,12.725,12.83,1100,12.83
2013-08-05,12.98,12.98,12.98,12.995,200,12.995
2013-08-19,12.45,12.45,12.45,12.505,300,12.505
2013-08-27,12.25,12.26,12.25,12.285,9500,12.285
2013-08-28,12.25,12.25,12.25,12.345,21600,12.345
2013-09-13,12.6,12.6,12.6,12.625,200,12.625
2013-09-19,12.765,12.765,12.765,12.775,0,12.775
2013-09-30,12.62,12.62,12.62,12.58,0,12.58
2013-10-15,12.815,12.815,12.815,12.835,1900,12.835
2013-10-16,12.805,12.805,12.805,12.845,1500,12.845
2013-10-22,12.83,12.83,12.83,12.83,700,12.83
2013-10-23,12.795,12.795,12.795,12.82,4200,12.82
2013-10-29,12.855,12.855,12.855,12.87,200,12.87
2013-11-06,13.055,13.055,13.055,13.04,0,13.04
2013-11-15,13.02,13.02,13.02,13.02,300,13.02
2013-11-18,13.13,13.13,13.02,13.06,3900,13.06
2013-11-19,13.06,13.06,13.02,12.995,1500,12.995
2013-12-16,12.32,12.32,12.23,12.355,0,12.355
2013-12-18,12.33,12.33,12.33,12.35,1300,12.35
2014-01-02,12.545,12.545,12.545,12.58,1000,12.58
2014-01-03,12.6,12.6,12.6,12.555,200,12.555
2014-01-06,12.51,12.51,12.51,12.51,100,12.51
2014-01-08,12.62,12.62,12.62,12.56,10700,12.56
2014-01-09,12.545,12.555,12.545,12.56,200,12.56
2014-01-13,12.575,12.575,12.575,12.625,200,12.625
2014-01-15,12.71,12.71,12.71,12.685,2300,12.685
2014-01-22,12.86,12.86,12.86,12.9,800,12.9
2014-01-24,12.74,12.74,12.74,12.685,1300,12.685
2014-01-29,12.675,12.675,12.675,12.59,1000,12.59
2014-02-17,13.255,13.255,13.255,13.22,0,13.22
2014-02-20,13.245,13.295,13.245,13.265,300,13.265
2014-02-25,13.36,13.36,13.36,13.355,0,13.355
2014-02-27,13.3,13.3,13.3,13.34,100,13.34
2014-03-03,13.275,13.275,13.25,13.18,2200,13.18
2014-03-06,13.38,13.38,13.38,13.245,0,13.245
2014-03-17,13.365,13.365,13.365,13.335,800,13.335
2014-03-19,13.385,13.385,13.33,13.355,6100,13.355
2014-03-24,13.37,13.375,13.37,13.33,100,13.33
2014-04-07,13.68,13.68,13.68,13.67,1000,13.67
2014-04-11,13.53,13.53,13.53,13.505,0,13.505
2014-04-16,13.71,13.71,13.71,13.78,300,13.78
2014-04-22,13.715,13.715,13.715,13.78,100,13.78
2014-04-30,13.9,13.9,13.9,13.865,100,13.865
2014-05-12,13.96,13.96,13.94,13.89,3500,13.89
2014-05-23,14.07,14.07,14.07,14.07,200,14.07
2014-05-27,14.15,14.15,14.15,14.17,1400,14.17
2014-05-29,14.17,14.17,14.17,14.175,200,14.175
2014-06-05,14.425,14.425,14.425,14.415,100,14.415
2014-06-18,14.5,14.5,14.5,14.555,400,14.555
2014-06-19,14.665,14.665,14.665,14.7,400,14.7
2014-06-30,14.76,14.76,14.66,14.7,200,14.7
2014-07-08,14.575,14.58,14.575,14.53,300,14.53
2014-07-15,14.44,14.44,14.44,14.445,1400,14.445
2014-07-16,14.55,14.55,14.55,14.55,300,14.55
2014-07-17,14.43,14.43,14.43,14.505,200,14.505
2014-07-18,14.465,14.465,14.465,14.53,0,14.53
2014-08-05,14.18,14.18,14.18,14.205,100,14.205
