ticker,dateTime,open,high,low,close,volume
A500.MI,09/09/2010,13.645,13.645,13.645,13.645,4750
A500.MI,13/09/2010,13.71,13.725,13.71,13.725,4790
A500.MI,14/09/2010,13.67,13.68,13.595,13.595,60850
A500.MI,20/09/2010,13.63,13.645,13.63,13.645,5850
A500.MI,21/09/2010,13.645,13.65,13.64,13.65,69846
A500.MI,22/09/2010,13.465,13.465,13.34,13.34,185687
A500.MI,23/09/2010,13.325,13.34,13.21,13.21,112075
A500.MI,24/09/2010,13.28,13.28,13.28,13.28,28000
A500.MI,27/09/2010,13.4,13.4,13.355,13.355,29391
A500.MI,29/09/2010,13.195,13.25,13.195,13.21,28597
A500.MI,30/09/2010,13.2,13.315,13.14,13.195,167960
A500.MI,01/10/2010,13.13,13.3,13.105,13.105,273230
A500.MI,04/10/2010,13.06,13.13,13.06,13.13,1596
A500.MI,05/10/2010,13.045,13.11,13.015,13.11,51875
A500.MI,06/10/2010,13.175,13.2,13.1,13.1,29917
A500.MI,07/10/2010,13,13.095,13,13.065,207937
A500.MI,08/10/2010,13.065,13.12,13.06,13.12,56734
A500.MI,11/10/2010,13.145,13.16,13.135,13.145,51232
A500.MI,12/10/2010,13.175,13.185,13.135,13.17,15513
A500.MI,13/10/2010,13.19,13.265,13.19,13.255,1333
A500.MI,14/10/2010,13.175,13.18,13.13,13.13,4531
A500.MI,15/10/2010,13.12,13.15,13.095,13.125,15054
A500.MI,18/10/2010,13.245,13.285,13.245,13.275,16921
A500.MI,19/10/2010,13.3,13.325,13.28,13.31,4304
A500.MI,20/10/2010,13.3,13.325,13.225,13.23,14864
A500.MI,21/10/2010,13.225,13.31,13.215,13.3,1782
A500.MI,22/10/2010,13.225,13.355,13.22,13.3,6346
A500.MI,25/10/2010,13.315,13.35,13.315,13.33,12203
A500.MI,26/10/2010,13.345,13.43,13.345,13.43,1632
A500.MI,27/10/2010,13.405,13.415,13.385,13.39,471
A500.MI,28/10/2010,13.445,13.465,13.435,13.465,852
A500.MI,29/10/2010,13.34,13.39,13.335,13.385,7174
A500.MI,01/11/2010,13.415,13.415,13.415,13.415,81
A500.MI,02/11/2010,13.38,13.405,13.345,13.38,6162
A500.MI,03/11/2010,13.385,13.395,13.375,13.39,2848
A500.MI,04/11/2010,13.33,13.46,13.315,13.46,87101
A500.MI,05/11/2010,13.49,13.63,13.465,13.63,4203
A500.MI,08/11/2010,13.77,13.805,13.77,13.805,500
A500.MI,09/11/2010,13.83,13.835,13.79,13.835,1978
A500.MI,10/11/2010,13.83,13.87,13.82,13.87,2505
