ticker,dateTime,open,high,low,close,volume
B1PE.MI,14/09/2004,82.63,82.66,82.54,82.65,83080
B1PE.MI,15/09/2004,82.52,82.52,82.52,82.52,20
B1PE.MI,16/09/2004,82.52,82.52,82.52,82.52,0
B1PE.MI,17/09/2004,83.28,83.28,83.28,83.28,1
B1PE.MI,20/09/2004,82.91,82.92,82.7,82.89,65060
B1PE.MI,21/09/2004,83.36,83.42,83.1,83.29,106422
B1PE.MI,22/09/2004,83.46,83.7,83,83.08,631
B1PE.MI,23/09/2004,82.38,82.47,82.34,82.34,140
B1PE.MI,24/09/2004,82,82,82,82,50
B1PE.MI,27/09/2004,82.35,82.53,82.01,82.08,324
B1PE.MI,28/09/2004,82.6,82.64,82,82.61,7293
B1PE.MI,29/09/2004,82.94,82.96,82.94,82.95,890
B1PE.MI,30/09/2004,82.58,82.98,82.31,82.31,655
B1PE.MI,01/10/2004,82.67,82.67,82.17,82.66,5333
B1PE.MI,04/10/2004,84.12,84.39,83.99,84.02,2249
B1PE.MI,05/10/2004,84.82,84.85,84.33,84.74,6602
B1PE.MI,06/10/2004,84.34,84.46,84.16,84.42,607
B1PE.MI,07/10/2004,84.32,84.63,84.3,84.54,10579
B1PE.MI,08/10/2004,84.61,84.74,83.81,84.65,218289
B1PE.MI,11/10/2004,83.87,84.08,83.59,83.92,12169
B1PE.MI,12/10/2004,82.93,83.58,82.85,82.85,7825
B1PE.MI,13/10/2004,83.98,84.04,83.29,84.04,7862
B1PE.MI,14/10/2004,83.12,83.12,83.12,83.12,1011
B1PE.MI,15/10/2004,82.19,82.58,82.18,82.18,838
B1PE.MI,18/10/2004,82.42,82.43,82.32,82.43,1200
B1PE.MI,19/10/2004,83.18,83.29,83.18,83.18,1387
B1PE.MI,20/10/2004,82.5,82.5,82.5,82.5,672
B1PE.MI,21/10/2004,82.46,82.49,82.45,82.45,910
B1PE.MI,22/10/2004,83.31,83.35,82.96,83.29,792
B1PE.MI,25/10/2004,81.45,81.46,81.38,81.45,1293
B1PE.MI,26/10/2004,81.49,81.5,81.16,81.44,5335
B1PE.MI,27/10/2004,82.06,82.17,81.58,81.6,3332
B1PE.MI,28/10/2004,83.13,83.42,82.61,83.03,458148
B1PE.MI,29/10/2004,83.15,83.27,82.62,83.22,220
