ticker,dateTime,open,high,low,close,volume
BRA.MI,13/04/2007,17.35,17.35,17.34,17.34,776
BRA.MI,16/04/2007,17.65,17.83,17.65,17.74,32155
BRA.MI,17/04/2007,17.89,18,17.82,17.873,44786
BRA.MI,18/04/2007,17.81,17.81,17.58,17.618,22645
BRA.MI,19/04/2007,17.61,17.7,17.36,17.521,5746
BRA.MI,20/04/2007,17.79,18.13,17.79,18.017,10509
BRA.MI,23/04/2007,18.2,18.22,18,18.063,36858
BRA.MI,24/04/2007,18.08,18.08,17.58,17.662,18229
BRA.MI,25/04/2007,18.07,18.07,17.79,17.833,7019
BRA.MI,26/04/2007,18.13,18.28,17.95,18.023,25706
BRA.MI,27/04/2007,17.94,17.95,17.51,17.582,39110
BRA.MI,30/04/2007,17.91,17.91,17.75,17.865,9480
BRA.MI,02/05/2007,17.82,18.02,17.76,18.009,21533
BRA.MI,03/05/2007,18.1,18.29,18.1,18.251,8668
BRA.MI,04/05/2007,18.37,18.6,18.27,18.414,21420
BRA.MI,07/05/2007,18.39,18.55,18.3,18.362,11040
BRA.MI,08/05/2007,18.42,18.51,18.12,18.256,21895
BRA.MI,09/05/2007,18.48,18.6,18.36,18.443,16384
BRA.MI,10/05/2007,18.6,18.96,18.6,18.801,35403
BRA.MI,11/05/2007,19,19,18.44,18.74,23332
BRA.MI,14/05/2007,18.6,18.86,18.6,18.726,44572
BRA.MI,15/05/2007,19.19,19.19,18.64,18.81,21306
BRA.MI,16/05/2007,18.87,19.23,18.87,19.198,32317
BRA.MI,17/05/2007,19.69,19.83,19.45,19.588,59432
BRA.MI,18/05/2007,19.6,19.95,19.44,19.602,53057
BRA.MI,21/05/2007,19.8,20.15,19.75,20.14,42454
BRA.MI,22/05/2007,20.5,20.5,20.06,20.12,41247
BRA.MI,23/05/2007,20.19,20.23,19.99,20.13,108137
BRA.MI,24/05/2007,20.05,20.14,19.33,19.409,76474
BRA.MI,25/05/2007,19.25,19.6,19,19.557,93327
BRA.MI,28/05/2007,19.91,19.99,19.78,19.978,39926
BRA.MI,29/05/2007,20.1,20.18,19.99,20.05,30481
BRA.MI,30/05/2007,19.9,20.15,19.24,19.545,32009
BRA.MI,31/05/2007,19.73,20.39,19.6,20.25,56127
BRA.MI,01/06/2007,20.4,20.82,20.2,20.75,24521
BRA.MI,04/06/2007,21.07,21.07,20.48,20.66,57810
BRA.MI,05/06/2007,20.43,20.67,20.3,20.33,58783
BRA.MI,06/06/2007,20.34,20.39,19.72,19.808,39985
BRA.MI,07/06/2007,19.93,20.08,19.56,19.56,68972
BRA.MI,08/06/2007,19.5,19.72,19.16,19.683,16353
BRA.MI,11/06/2007,19.8,20.25,19.8,20.04,62611
BRA.MI,12/06/2007,20.5,20.54,20.06,20.17,23549
BRA.MI,13/06/2007,19.9,20.5,19.9,20.4,8551
