Date,Open,High,Low,Close,Volume,Adj Close
2013-02-08,8.51,8.51,8.51,8.485,20000,8.485
2013-02-14,8.54,8.54,8.54,8.5,20000,8.5
2013-02-22,8.45,8.45,8.45,8.365,20000,8.365
2013-03-12,8.93,8.94,8.93,8.875,0,8.875
2013-03-14,8.91,8.91,8.91,8.77,0,8.77
2013-04-11,8.6,8.6,8.6,8.585,20000,8.585
2013-04-15,8.42,8.42,8.42,8.36,20000,8.36
2013-04-22,8.37,8.37,8.37,8.225,0,8.225
2013-04-23,8.37,8.37,8.37,8.42,30000,8.42
2013-04-25,8.52,8.52,8.52,8.54,0,8.54
2013-04-29,8.4,8.4,8.4,8.375,10000,8.375
2013-04-30,8.42,8.42,8.42,8.375,10000,8.375
2013-05-03,8.6,8.6,8.6,8.605,0,8.605
2013-05-06,8.53,8.53,8.53,8.52,0,8.52
2013-05-14,8.56,8.56,8.56,8.605,0,8.605
2013-05-17,8.6,8.6,8.6,8.645,0,8.645
2013-09-17,7.11,7.11,7.11,7.245,0,7.245
2013-09-27,7.14,7.14,7.13,7.23,60000,7.23
2013-09-30,7.19,7.24,7.18,7.25,174000,7.25
2013-10-01,7.23,7.24,7.23,7.25,88000,7.25
2013-10-02,7.27,7.28,7.27,7.315,86000,7.315
2013-10-03,7.29,7.29,7.29,7.235,22000,7.235
2013-10-04,7.2,7.24,7.2,7.23,86000,7.23
2013-10-08,7.27,7.27,7.27,7.245,22000,7.245
2013-10-10,7.43,7.43,7.43,7.41,22000,7.41
2013-10-11,7.41,7.41,7.41,7.41,700,7.41
2013-10-23,7.58,7.58,7.58,7.535,22000,7.535
2013-10-25,7.43,7.43,7.41,7.405,44000,7.405
2013-11-01,7.53,7.53,7.53,7.505,17200,7.505
2013-11-07,7.47,7.47,7.44,7.32,34400,7.32
2013-11-19,7.52,7.52,7.48,7.38,400,7.38
2013-11-21,7.37,7.37,7.37,7.245,17500,7.245
2013-11-25,7.23,7.23,7.23,7.185,17500,7.185
2013-11-26,7.11,7.11,7.06,7.065,52500,7.065
2013-12-02,7.0,7.0,6.99,6.925,17500,6.925
2013-12-05,6.62,6.62,6.62,6.71,17500,6.71
2013-12-06,6.73,6.73,6.73,6.74,300,6.74
2013-12-16,6.64,6.64,6.64,6.66,300,6.66
2013-12-17,6.69,6.69,6.69,6.63,3700,6.63
2013-12-27,6.63,6.63,6.61,6.65,70000,6.65
2014-01-02,6.58,6.58,6.57,6.58,35000,6.58
2014-01-03,6.53,6.53,6.53,6.565,0,6.565
2014-01-06,6.55,6.55,6.55,6.52,17500,6.52
2014-01-14,6.35,6.35,6.35,6.41,17500,6.41
2014-01-17,6.5,6.5,6.5,6.42,1200,6.42
2014-01-20,6.47,6.47,6.47,6.42,700,6.42
2014-01-28,6.02,6.02,6.02,6.065,17500,6.065
2014-02-18,5.96,6.0,5.96,6.0,18300,6.0
2014-02-19,5.86,5.86,5.86,5.885,17500,5.885
2014-03-03,5.99,5.99,5.99,5.93,500,5.93
2014-03-07,6.05,6.05,6.03,6.025,51700,6.025
2014-03-10,5.9,5.9,5.9,5.845,0,5.845
2014-03-21,6.07,6.07,6.07,6.245,17200,6.245
2014-03-25,6.28,6.28,6.28,6.315,17200,6.315
2014-03-27,6.46,6.46,6.46,6.585,34500,6.585
2014-03-28,6.72,6.72,6.72,6.7,500,6.7
2014-04-04,6.95,7.05,6.95,7.02,51800,7.02
2014-04-07,6.94,7.06,6.94,7.06,103500,7.06
2014-04-08,7.11,7.32,7.11,7.185,69100,7.185
2014-04-10,7.05,7.05,7.05,6.945,1400,6.945
2014-04-17,6.94,6.94,6.94,6.88,17200,6.88
2014-04-22,7.0,7.0,7.0,7.025,600,7.025
2014-05-02,6.93,6.94,6.93,7.1,38000,7.1
2014-05-06,7.09,7.09,7.09,7.11,0,7.11
2014-05-29,7.19,7.19,7.19,7.19,700,7.19
2014-06-05,6.96,6.96,6.96,6.98,600,6.98
2014-06-06,7.11,7.18,7.11,7.195,19000,7.195
2014-06-12,7.6,7.6,7.6,7.48,100,7.48
2014-06-13,7.48,7.48,7.48,7.51,400,7.51
2014-06-17,7.42,7.42,7.32,7.33,5400,7.33
2014-06-18,7.4,7.4,7.4,7.335,300,7.335
2014-06-19,7.47,7.47,7.47,7.445,19000,7.445
