ticker,dateTime,open,high,low,close,volume
C2U.MI,22/03/2010,71.01,71.01,70.7,70.7,60
C2U.MI,25/03/2010,70.31,70.31,70.27,70.27,150
C2U.MI,26/03/2010,70.8,70.81,70.8,70.81,150
C2U.MI,14/04/2010,67.35,67.35,67.35,67.35,20
C2U.MI,15/04/2010,67.57,67.57,67.57,67.57,1000
C2U.MI,19/04/2010,68.83,68.83,68.83,68.83,20
C2U.MI,23/04/2010,68.22,68.22,68.22,68.22,1000
C2U.MI,27/04/2010,68.7,68.7,68.7,68.7,5800
C2U.MI,03/05/2010,70.05,70.05,70.05,70.05,20
C2U.MI,11/05/2010,75.32,75.61,75.24,75.61,240
C2U.MI,12/05/2010,74.16,74.16,74.16,74.16,40
C2U.MI,13/05/2010,74.27,74.57,74.27,74.57,110
C2U.MI,14/05/2010,76.62,77.59,76.49,77.59,104
C2U.MI,17/05/2010,78.25,78.25,78.25,78.25,40
C2U.MI,18/05/2010,78.25,78.25,78.25,77.95,40
C2U.MI,25/05/2010,85.35,85.89,85.35,85.46,149
C2U.MI,26/05/2010,85.35,85.89,82.23,82.23,1238
C2U.MI,27/05/2010,82.52,82.52,82.52,82.52,30
C2U.MI,28/05/2010,79.63,79.71,79.63,79.71,35
C2U.MI,07/06/2010,86.09,86.09,86.09,86.09,20
C2U.MI,09/06/2010,85.94,85.94,85.94,85.94,35
C2U.MI,11/06/2010,83.69,83.69,83.69,83.69,85
C2U.MI,21/06/2010,77.58,77.58,77.58,77.58,85
C2U.MI,23/06/2010,80.42,80.42,80.42,80.42,5
C2U.MI,24/06/2010,81.4,81.4,81.4,81.4,68
C2U.MI,25/06/2010,82.19,82.19,82.06,82.19,14700
C2U.MI,29/06/2010,84.45,84.45,84.45,84.45,5
C2U.MI,01/07/2010,84.96,84.96,84.96,84.96,4900
C2U.MI,05/07/2010,85.19,85.26,85.19,85.26,9800
C2U.MI,12/07/2010,80.25,80.63,80.25,80.63,9800
C2U.MI,19/07/2010,77.87,77.87,77.87,77.87,70
C2U.MI,20/07/2010,79.56,79.56,79.39,79.39,4925
C2U.MI,21/07/2010,77.11,77.11,77.11,77.11,25
C2U.MI,09/08/2010,71.91,71.91,71.91,71.91,18
C2U.MI,17/08/2010,77.06,77.06,76.87,76.87,5160
C2U.MI,18/08/2010,76.89,76.89,76.89,76.89,6
C2U.MI,27/08/2010,80.45,80.45,80.45,80.45,60
C2U.MI,01/09/2010,78.86,78.86,78.86,78.86,260
C2U.MI,02/09/2010,77.2,77.2,77.2,77.2,68
C2U.MI,14/09/2010,74.17,74.17,74.17,74.17,94
C2U.MI,21/09/2010,71.73,71.73,71.73,71.73,6
C2U.MI,27/09/2010,69.22,69.22,69.22,69.22,116
C2U.MI,29/09/2010,68.69,68.69,68.59,68.59,1500
C2U.MI,30/09/2010,68.68,68.68,68.07,68.12,2215
C2U.MI,01/10/2010,67.8,68.05,67.8,68.05,527
C2U.MI,04/10/2010,68.22,68.26,68.22,68.26,4600
C2U.MI,05/10/2010,67.18,67.18,67.18,67.18,150
C2U.MI,06/10/2010,66.26,66.26,66.14,66.14,579
C2U.MI,07/10/2010,66.3,66.3,66.3,66.3,500
C2U.MI,08/10/2010,66.28,66.34,66.25,66.34,7410
C2U.MI,12/10/2010,65.38,65.6,65.38,65.6,2011
