Date,Open,High,Low,Close,Volume,Adj Close
2010-03-09,45.87,45.92,45.44,45.76,4400,45.76
2010-03-10,46.06,46.27,46.06,46.25,30300,46.25
2010-03-11,46.03,46.25,45.87,46.03,5700,46.03
2010-03-12,46.36,46.39,46.09,46.1,5900,46.1
2010-03-15,46.02,46.05,45.83,45.83,10700,45.83
2010-03-16,45.9,46.33,45.84,46.2,6300,46.2
2010-03-17,46.41,46.68,46.39,46.6,3500,46.6
2010-03-18,46.45,46.45,46.45,46.45,100,46.45
2010-03-22,45.83,45.94,45.35,45.84,2900,45.84
2010-03-23,45.95,46.35,45.95,46.34,1300,46.34
2010-03-24,46.38,46.46,45.91,46.17,2400,46.17
2010-03-25,46.21,46.85,46.21,46.83,3200,46.83
2010-03-26,46.78,46.89,46.67,46.71,1000,46.71
2010-03-29,46.99,46.99,46.61,46.89,3300,46.89
2010-03-30,47.11,47.21,46.67,46.71,1200,46.71
2010-03-31,46.66,46.85,46.39,46.49,6700,46.49
2010-04-01,46.91,47.37,46.88,47.25,3800,47.25
2010-04-06,47.45,47.45,47.14,47.45,1600,47.45
2010-04-07,47.47,47.55,47.2,47.31,3800,47.31
2010-04-08,47.07,47.07,46.53,46.78,700,46.78
2010-04-09,47.17,47.53,47.17,47.44,900,47.44
2010-04-12,47.99,47.99,47.76,47.78,100,47.78
2010-04-13,47.72,47.75,47.37,47.55,1600,47.55
2010-04-14,47.85,47.88,47.83,47.88,700,47.88
2010-04-15,48.0,48.08,47.54,47.95,3700,47.95
2010-04-16,47.69,48.01,46.86,46.99,9300,46.99
2010-04-19,46.7,46.93,46.57,46.79,13500,46.79
2010-04-20,46.87,47.46,46.87,47.37,1400,47.37
2010-04-21,47.56,47.56,46.99,47.05,4200,47.05
2010-04-22,46.78,47.11,46.06,46.13,2900,46.13
2010-04-23,46.14,46.58,46.14,46.5,6800,46.5
2010-04-26,47.06,47.11,46.82,46.91,3600,46.91
2010-04-27,46.63,46.68,45.55,45.55,7400,45.55
2010-04-28,44.86,45.14,43.96,44.89,39500,44.89
2010-04-29,44.59,45.21,44.28,44.91,7500,44.91
2010-04-30,45.01,45.38,44.56,44.91,3000,44.91
2010-05-03,44.77,45.17,44.52,44.99,700,44.99
2010-05-04,44.95,44.95,43.43,43.47,3200,43.47
2010-05-05,43.42,43.45,42.68,43.02,50600,43.02
2010-05-06,42.32,43.32,42.29,42.43,7800,42.43
2010-05-07,40.87,41.91,40.82,40.83,10700,40.83
2010-05-10,43.31,44.28,43.16,44.14,11000,44.14
2010-05-11,43.51,43.98,43.27,43.97,13900,43.97
2010-05-12,43.84,44.99,43.66,44.66,38000,44.66
2010-05-13,45.04,45.04,44.46,44.63,4200,44.63
2010-05-14,44.3,44.3,42.44,42.44,42900,42.44
2010-05-17,42.13,43.2,42.13,42.58,38600,42.58
2010-05-18,43.28,43.75,42.98,43.56,5600,43.56
2010-05-19,42.84,43.0,41.95,42.28,71500,42.28
2010-05-20,42.63,42.96,40.99,41.43,93600,41.43
2010-05-21,41.48,41.82,40.48,41.81,34700,41.81
2010-05-24,41.43,42.18,41.24,41.54,5700,41.54
2010-05-25,40.21,40.31,39.8,40.3,67600,40.3
2010-05-26,41.07,41.62,41.02,41.32,38900,41.32
2010-05-27,41.46,42.65,41.28,42.55,66300,42.55
2010-05-28,42.89,42.89,42.38,42.4,63200,42.4
2010-05-31,42.28,42.67,42.28,42.4,5000,42.4
2010-06-01,41.65,42.41,41.36,42.26,90300,42.26
2010-06-02,41.97,42.34,41.53,42.29,9900,42.29
2010-06-03,43.24,43.33,42.86,42.94,8600,42.94
2010-06-04,43.08,43.21,41.51,41.51,48900,41.51
2010-06-07,40.87,41.61,40.69,40.99,16300,40.99
2010-06-08,41.34,41.34,40.33,40.99,18500,40.99
2010-06-09,41.13,41.39,40.62,41.31,6300,41.31
2010-06-10,41.29,42.65,41.1,42.51,4000,42.51
2010-06-11,42.69,43.13,42.51,42.87,2100,42.87
2010-06-14,43.58,43.76,43.5,43.52,1300,43.52
2010-06-15,43.36,44.25,43.31,44.19,1400,44.19
2010-06-16,44.57,44.57,43.93,44.28,5300,44.28
2010-06-17,44.23,44.76,44.23,44.4,3600,44.4
2010-06-18,44.64,44.76,44.27,44.66,2900,44.66
2010-06-21,45.43,45.48,45.24,45.34,1200,45.34
2010-06-22,44.87,44.99,44.71,44.76,1600,44.76
2010-06-23,44.23,44.59,43.94,43.94,900,43.94
2010-06-24,44.38,44.38,43.04,43.17,1200,43.17
2010-06-25,43.1,43.33,42.74,42.84,1600,42.84
2010-06-28,43.11,43.5,42.75,42.84,2200,42.84
2010-06-29,42.715,42.715,41.87,41.91,1700,41.91
2010-06-30,41.855,42.325,41.64,42.005,35000,42.005
2010-07-01,41.32,41.63,40.89,41.03,8300,41.03
2010-07-02,41.2,41.875,41.2,41.385,32100,41.385
2010-07-05,41.25,41.25,40.93,40.945,4900,40.945
2010-07-06,41.225,42.43,41.225,42.01,2400,42.01
2010-07-07,41.56,42.845,41.325,42.825,1200,42.825
2010-07-08,43.29,43.605,43.2,43.5,1200,43.5
2010-07-09,43.76,43.89,43.675,43.68,1000,43.68
2010-07-12,43.64,44.11,43.64,43.765,44200,43.765
2010-07-13,43.87,44.47,43.87,44.47,5200,44.47
2010-07-14,44.815,44.815,44.45,44.635,2600,44.635
2010-07-15,44.48,44.9,43.965,44.02,1400,44.02
2010-07-16,44.335,44.36,43.185,44.045,1700,44.045
2010-07-20,43.2,43.2,42.415,42.88,300,42.88
2010-07-21,43.445,43.445,43.1,43.15,300,43.15
2010-07-22,42.81,44.31,42.81,44.25,2300,44.25
2010-07-23,44.05,44.37,44.05,44.345,800,44.345
2010-07-26,44.59,44.6,44.335,44.7,1000,44.7
2010-07-27,45.11,45.315,45.11,45.145,7400,45.145
2010-07-28,45.42,45.465,44.98,45.14,800,45.14
2010-07-29,45.355,45.59,45.065,45.065,800,45.065
2010-07-30,44.88,44.88,44.24,44.63,39500,44.63
2010-08-02,45.08,46.07,45.07,46.015,38700,46.015
2010-08-03,45.98,46.035,45.745,46.005,9300,46.005
2010-08-04,45.865,46.23,45.58,46.005,7200,46.005
2010-08-05,46.08,46.24,46.08,46.08,1000,46.08
2010-08-06,46.275,46.275,45.195,45.385,800,45.385
2010-08-09,45.965,46.13,45.93,46.13,500,46.13
2010-08-10,45.83,45.98,45.605,45.605,900,45.605
2010-08-11,45.26,45.36,44.61,44.675,1300,44.675
2010-08-12,44.4,44.53,44.165,44.415,1100,44.415
2010-08-13,44.78,44.78,44.04,44.185,2100,44.185
2010-08-17,44.26,44.39,44.26,44.39,500,44.39
2010-08-18,44.26,44.26,44.26,44.26,100,44.26
2010-08-19,44.83,44.83,44.05,44.05,1500,44.05
2010-08-20,43.645,43.84,43.09,43.16,63400,43.16
2010-08-23,43.2,43.765,43.2,43.43,1200,43.43
2010-08-24,43.055,43.055,42.41,42.69,1500,42.69
2010-08-25,42.75,42.75,42.05,42.32,1100,42.32
2010-08-26,42.54,42.67,42.495,42.625,600,42.625
2010-08-27,42.41,42.97,42.305,42.93,3200,42.93
2010-08-30,42.8,42.8,42.8,42.8,100,42.8
2010-08-31,42.125,42.26,42.125,42.26,100,42.26
2010-09-02,44.185,44.48,44.185,44.395,900,44.395
2010-09-03,44.465,45.28,44.465,44.88,900,44.88
2010-09-06,44.935,45.0,44.92,44.98,200,44.98
2010-09-07,44.72,44.72,44.365,44.56,500,44.56
2010-09-08,44.33,44.855,44.265,44.855,700,44.855
2010-09-09,44.725,44.985,44.725,44.985,200,44.985
2010-09-10,45.3,45.445,45.3,45.365,400,45.365
2010-09-13,45.855,45.87,45.84,45.87,300,45.87
2010-09-14,45.695,45.695,45.645,45.66,500,45.66
2010-09-15,45.86,45.86,45.5,45.72,600,45.72
2010-09-16,45.725,45.76,45.5,45.55,800,45.55
2010-09-17,45.965,46.015,44.95,45.18,700,45.18
2010-09-20,45.965,45.45,45.32,45.845,3300,45.845
2010-09-21,45.85,46.195,45.85,46.045,900,46.045
2010-09-22,45.685,45.685,45.015,45.1,3700,45.1
2010-09-23,45.39,45.455,44.325,44.955,6900,44.955
2010-09-24,44.685,45.685,44.505,44.735,60100,44.735
2010-09-27,45.815,45.855,45.615,45.615,1500,45.615
2010-09-28,45.225,45.615,44.785,45.35,8200,45.35
2010-09-29,45.75,45.75,44.945,44.99,3600,44.99
2010-09-30,44.705,45.68,44.7,45.075,32900,45.075
2010-10-01,45.41,45.41,44.465,44.715,36200,44.715
2010-10-04,44.64,44.69,44.115,44.185,75300,44.185
2010-10-05,44.11,45.13,44.03,45.12,34200,45.12
2010-10-06,45.42,45.685,45.335,45.4,9900,45.4
2010-10-07,45.47,45.82,45.21,45.565,2700,45.565
2010-10-08,45.44,45.655,45.25,45.61,10900,45.61
2010-10-11,45.715,45.765,45.52,45.615,3700,45.615
2010-10-12,45.285,45.315,44.965,45.26,2100,45.26
2010-10-13,45.665,46.445,45.61,46.445,17100,46.445
2010-10-14,46.515,46.77,46.39,46.395,9600,46.395
2010-10-15,46.56,46.69,46.13,46.4,78900,46.4
2010-10-18,46.275,46.745,46.24,46.61,17100,46.61
2010-10-19,46.565,46.89,46.29,46.39,12800,46.39
2010-10-20,46.21,46.605,46.19,46.49,2600,46.49
2010-10-21,46.525,47.29,46.455,47.125,10900,47.125
2010-10-22,46.95,47.24,46.93,46.995,6300,46.995
2010-10-25,47.29,47.335,46.86,46.985,10300,46.985
2010-10-26,46.835,46.96,46.455,46.765,49100,46.765
2010-10-27,46.485,46.835,46.295,46.34,35400,46.34
