ticker,dateTime,open,high,low,close,volume
C73.MI,22/09/2010,178.47,178.47,178.47,178.47,42
C73.MI,29/09/2010,178.64,178.64,178.64,178.64,55
C73.MI,04/10/2010,179.54,179.54,179.54,179.54,55
C73.MI,14/10/2010,180.49,180.64,180.49,180.64,157
C73.MI,20/10/2010,180.01,180.01,180.01,180.01,35
C73.MI,25/10/2010,178.81,178.81,178.81,178.81,1000
C73.MI,28/10/2010,177.37,177.37,177.37,177.37,4808
C73.MI,10/12/2010,170.63,170.63,170.63,170.63,658
C73.MI,20/12/2010,170.57,170.57,170.57,170.57,100
C73.MI,23/12/2010,170.47,170.47,170.28,170.28,8156
C73.MI,29/12/2010,169.53,169.63,169.53,169.63,3726
C73.MI,30/12/2010,169.92,169.92,169.92,169.92,70
C73.MI,05/01/2011,171,171,171,171,70
C73.MI,10/01/2011,170.34,170.34,170.34,170.34,565
C73.MI,11/01/2011,170.07,171.2,170.07,171.2,76
C73.MI,17/01/2011,171.13,171.13,171.13,171.13,45
C73.MI,19/01/2011,170.32,170.32,170.32,170.32,217
C73.MI,20/01/2011,170.14,170.14,170.14,170.14,15
C73.MI,24/01/2011,170.21,170.71,170.21,170.71,1180
C73.MI,25/01/2011,170.28,170.84,170.28,170.72,265
C73.MI,26/01/2011,169.95,169.95,169.95,169.95,21
C73.MI,27/01/2011,169.48,169.48,169.48,169.48,77
C73.MI,31/01/2011,169.88,169.88,169.88,169.88,177
C73.MI,02/02/2011,171.3,171.3,171.3,171.3,29
C73.MI,03/02/2011,170.85,170.85,170.27,170.27,401
C73.MI,04/02/2011,170.97,170.97,170.97,170.97,202
C73.MI,11/02/2011,168.96,168.96,168.96,168.96,548
C73.MI,17/02/2011,169.07,169.07,169.07,169.07,533
C73.MI,18/02/2011,169.6,170.12,169.34,169.34,4786
C73.MI,21/02/2011,169.48,169.88,169.48,169.88,15
C73.MI,22/02/2011,170.08,170.08,170.08,170.08,0
C73.MI,23/02/2011,169.79,170.12,169.79,170.12,228
C73.MI,24/02/2011,169.99,169.99,169.99,169.99,0
C73.MI,25/02/2011,169.42,169.79,169.39,169.79,7192
C73.MI,28/02/2011,169.61,169.61,169.61,169.61,0
C73.MI,01/03/2011,169.73,169.73,169.73,169.73,0
C73.MI,02/03/2011,169.67,169.67,169.67,169.67,0
C73.MI,03/03/2011,169.22,169.22,168.39,168.39,218
C73.MI,04/03/2011,168.75,168.75,168.75,168.75,0
C73.MI,07/03/2011,168.57,168.57,168.57,168.57,0
C73.MI,08/03/2011,168.52,168.52,167.94,167.94,178
C73.MI,09/03/2011,168.21,168.21,167.92,167.92,10
C73.MI,10/03/2011,168.51,168.51,168.51,168.51,0
C73.MI,11/03/2011,169.11,169.11,169.11,169.11,0
C73.MI,14/03/2011,169.96,169.96,169.73,169.73,119
C73.MI,15/03/2011,170.8,170.8,170.72,170.72,7
C73.MI,16/03/2011,170.65,171.37,170.65,171.37,109
C73.MI,17/03/2011,170.26,170.26,170.26,170.26,0
C73.MI,18/03/2011,170.7,170.7,170.7,170.7,0
C73.MI,21/03/2011,170.14,170.14,170.14,170.14,0
C73.MI,22/03/2011,169.44,169.44,169.44,169.44,0
C73.MI,23/03/2011,169.5,169.5,169.5,169.5,0
C73.MI,24/03/2011,169.52,169.52,169.52,169.52,0
C73.MI,25/03/2011,169.53,169.53,169.53,169.53,0
C73.MI,28/03/2011,169.04,169.04,169.04,169.04,0
C73.MI,29/03/2011,168.67,168.67,168.67,168.67,0
C73.MI,30/03/2011,168.79,168.79,168.79,168.79,0
