ticker,dateTime,open,high,low,close,volume
CG1.MI,10/09/2010,115.94,115.94,115.94,115.94,200
CG1.MI,13/09/2010,117.17,117.17,117.17,117.17,75
CG1.MI,14/09/2010,116.81,116.81,116.81,116.81,25
CG1.MI,15/09/2010,117.3,117.3,117.3,117.3,42
CG1.MI,16/09/2010,117.1,117.1,116.93,116.93,46
CG1.MI,17/09/2010,117,117,117,117,26
CG1.MI,20/09/2010,116.33,116.93,116.33,116.93,100
CG1.MI,22/09/2010,116.75,116.75,116,116,456
CG1.MI,23/09/2010,114.95,114.95,114.95,114.95,30
CG1.MI,24/09/2010,115.49,117,115.49,117,620
CG1.MI,27/09/2010,118.13,118.13,118.13,118.13,20
CG1.MI,28/09/2010,116.35,116.35,116.35,116.35,86
CG1.MI,06/10/2010,117.04,117.04,117.04,117.04,26
CG1.MI,13/10/2010,119.64,120.57,119.64,120.57,629
CG1.MI,14/10/2010,120.99,121.02,120.91,120.91,866
CG1.MI,15/10/2010,121.58,121.58,121.58,121.58,25063
CG1.MI,18/10/2010,121,121.93,121,121.93,2564
CG1.MI,19/10/2010,122.18,122.18,121.31,121.31,889
CG1.MI,21/10/2010,123.12,123.66,123.1,123.6,1541
CG1.MI,22/10/2010,123.28,123.61,123.28,123.6,489
CG1.MI,26/10/2010,124.01,124.01,123.75,123.75,62
CG1.MI,27/10/2010,123.11,123.49,123.11,123.48,2740
CG1.MI,28/10/2010,123.24,124.01,123.24,124.01,1951
CG1.MI,29/10/2010,123.36,123.98,122.86,123.6,2307
CG1.MI,01/11/2010,123.89,123.89,123.69,123.69,177
CG1.MI,02/11/2010,124.24,124.24,124.24,124.24,7
CG1.MI,03/11/2010,124.65,124.74,124.25,124.25,2915
CG1.MI,04/11/2010,123.65,125.55,123.65,125.55,6841
CG1.MI,05/11/2010,125.59,126.26,125.59,126.22,1671
CG1.MI,08/11/2010,126.08,126.23,126.08,126.23,162
CG1.MI,09/11/2010,125.93,125.93,125.93,125.93,3000
CG1.MI,10/11/2010,126.35,126.35,125.48,125.48,3113
CG1.MI,11/11/2010,125.81,125.93,125.6,125.93,3061
CG1.MI,12/11/2010,125.69,125.72,123.77,125.56,9572
CG1.MI,15/11/2010,125.5,125.5,125.5,125.5,5
CG1.MI,16/11/2010,126.51,126.59,126.4,126.4,5025
CG1.MI,17/11/2010,125.01,125.29,125,125.29,3168
CG1.MI,18/11/2010,127.04,127.16,127.04,127.16,700
CG1.MI,19/11/2010,127.77,127.77,127.21,127.21,146
CG1.MI,22/11/2010,128.33,128.33,127.74,127.74,26076
CG1.MI,23/11/2010,127.28,127.28,126.32,126.32,3030
CG1.MI,24/11/2010,125.78,125.78,125.78,125.78,512
CG1.MI,26/11/2010,127.73,128.31,127.71,128.31,6871
CG1.MI,29/11/2010,128.33,128.33,125.47,125.47,6000
CG1.MI,30/11/2010,125.37,126.39,124.51,124.51,3531
CG1.MI,02/12/2010,128.82,128.91,128.41,128.91,1028
CG1.MI,03/12/2010,130.33,130.33,129.91,129.91,264
CG1.MI,06/12/2010,130.67,130.67,130.28,130.43,160
CG1.MI,07/12/2010,131.85,132.02,131.44,131.44,649
CG1.MI,09/12/2010,130.52,130.74,130.36,130.36,110
CG1.MI,10/12/2010,131.45,131.45,131.32,131.32,31
CG1.MI,13/12/2010,131.77,131.77,131.77,131.77,53
CG1.MI,14/12/2010,131.64,131.64,131.64,131.64,35
CG1.MI,15/12/2010,131.64,131.65,130.73,131.65,95
CG1.MI,17/12/2010,131.75,131.92,131.01,131.01,441
CG1.MI,20/12/2010,132.23,132.4,131.75,131.75,105
CG1.MI,21/12/2010,132.55,132.77,132.49,132.77,368
CG1.MI,22/12/2010,132.78,132.92,132.78,132.8,260
CG1.MI,23/12/2010,132.8,132.89,132.48,132.48,458
CG1.MI,27/12/2010,132,132,130.57,130.81,251
CG1.MI,28/12/2010,131.44,131.44,131.44,131.44,8
CG1.MI,29/12/2010,131.38,131.38,131.38,131.38,30
CG1.MI,30/12/2010,131.32,131.32,130.92,130.92,96
CG1.MI,03/01/2011,132,132,131.23,131.25,242
CG1.MI,04/01/2011,131.58,131.72,131.58,131.72,52
CG1.MI,05/01/2011,130.76,130.76,129.46,129.91,549
CG1.MI,06/01/2011,131.62,131.62,131.62,131.62,10
CG1.MI,07/01/2011,130.52,130.52,130.52,130.52,44
CG1.MI,10/01/2011,129.6,129.6,129,129.05,715
CG1.MI,11/01/2011,129.54,130,129.54,130,179
CG1.MI,12/01/2011,132.2,132.39,132.2,132.39,312
CG1.MI,13/01/2011,132.32,132.58,132.32,132.49,655
CG1.MI,14/01/2011,132.2,132.43,132.2,132.43,33
CG1.MI,17/01/2011,132.41,132.67,132.41,132.66,57
CG1.MI,19/01/2011,133.77,133.77,133.41,133.41,66
CG1.MI,20/01/2011,131.36,131.7,131.36,131.7,211
CG1.MI,21/01/2011,131.78,132.28,131.78,132,319
CG1.MI,24/01/2011,131.59,132.09,131.59,132.09,462
CG1.MI,25/01/2011,132.3,132.6,132.3,132.57,95
CG1.MI,26/01/2011,133.58,133.63,133.33,133.63,127
CG1.MI,27/01/2011,133.6,133.99,133.54,133.99,225
CG1.MI,28/01/2011,133.9,134.21,133.9,133.9,130
CG1.MI,31/01/2011,132.18,132.99,132.18,132.99,49
CG1.MI,01/02/2011,134.85,134.85,133.15,134.34,132
CG1.MI,02/02/2011,134.21,134.21,134.19,134.19,13
CG1.MI,03/02/2011,134,134.46,134,134.18,59
CG1.MI,04/02/2011,134.86,134.95,134.86,134.95,550
CG1.MI,07/02/2011,134,136.21,134,136.11,126
CG1.MI,08/02/2011,136.4,136.71,136.4,136.65,384
CG1.MI,09/02/2011,137.44,137.44,137.44,137.44,35
CG1.MI,10/02/2011,136.68,136.68,136.4,136.49,310
CG1.MI,11/02/2011,137.33,137.33,137.1,137.33,150
CG1.MI,14/02/2011,138.7,138.7,138.33,138.68,468
CG1.MI,15/02/2011,138.4,138.8,138.4,138.71,885
CG1.MI,16/02/2011,138.71,138.78,138.67,138.78,656
CG1.MI,17/02/2011,138.9,138.9,138.77,138.77,221
CG1.MI,18/02/2011,138.27,138.8,138.27,138.8,584
CG1.MI,21/02/2011,138.08,138.13,136.87,136.87,39
CG1.MI,22/02/2011,137,137.03,136.82,136.82,77
CG1.MI,23/02/2011,136.12,136.25,134.51,134.6,126
CG1.MI,24/02/2011,134.01,134.01,132.98,132.98,76
CG1.MI,25/02/2011,130.59,134.43,130.59,134.43,433
CG1.MI,28/02/2011,134.5,136.27,133.86,136.27,88
CG1.MI,01/03/2011,137.16,137.16,135.42,135.42,36
CG1.MI,02/03/2011,133.61,134.55,133.39,134.46,8265
CG1.MI,03/03/2011,135.15,135.15,135.15,135.15,0
CG1.MI,04/03/2011,136.28,136.28,133.89,134.02,319
CG1.MI,07/03/2011,134.29,134.29,134.29,134.29,0
CG1.MI,08/03/2011,134.64,134.64,133.67,134.07,400
CG1.MI,09/03/2011,134.99,134.99,133.46,133.53,38
CG1.MI,10/03/2011,131.74,131.86,131.63,131.86,49
CG1.MI,11/03/2011,130.49,130.59,130.49,130.59,39
CG1.MI,14/03/2011,128.69,128.69,128.19,128.42,27
CG1.MI,15/03/2011,122.65,124.47,122.1,124.47,1212
CG1.MI,16/03/2011,125.4,125.58,122.17,122.17,200
CG1.MI,17/03/2011,124.5,124.5,124.5,124.5,0
CG1.MI,18/03/2011,125.9,125.9,125.26,125.26,689
CG1.MI,21/03/2011,127.7,127.7,127.41,127.58,139
CG1.MI,22/03/2011,127.5,127.5,127,127,158
CG1.MI,23/03/2011,126.94,126.94,126.94,126.94,0
CG1.MI,24/03/2011,128.18,129.73,128.18,129.73,126
CG1.MI,25/03/2011,130.31,130.31,130.31,130.31,0
CG1.MI,28/03/2011,129.7,130.01,129.7,130.01,100
CG1.MI,29/03/2011,129.67,129.67,129.67,129.67,0
CG1.MI,30/03/2011,132.14,132.15,132.14,132.15,50
CG1.MI,31/03/2011,132.07,132.28,131.92,132.28,64
CG1.MI,01/04/2011,134.24,134.34,134.24,134.34,19
CG1.MI,04/04/2011,134.17,134.55,134.17,134.38,134
CG1.MI,05/04/2011,133.93,134.39,133.93,134.39,247
CG1.MI,06/04/2011,134.11,135.09,134.11,135.09,92
CG1.MI,07/04/2011,134.3,134.3,134.3,134.3,0
CG1.MI,08/04/2011,135,135,134.7,134.7,10
CG1.MI,11/04/2011,134.54,134.54,134.44,134.53,30
CG1.MI,12/04/2011,132.45,132.45,132.45,132.45,0
CG1.MI,13/04/2011,134.05,134.05,134.05,134.05,0
CG1.MI,14/04/2011,133.37,133.37,133.37,133.37,0
CG1.MI,15/04/2011,133.58,133.85,133.58,133.85,5
CG1.MI,18/04/2011,130.94,130.99,130.84,130.99,16
CG1.MI,19/04/2011,131.96,131.96,131.96,131.96,0
CG1.MI,20/04/2011,135,135,134.95,134.95,80
CG1.MI,21/04/2011,136.28,136.28,135.94,135.94,1
CG1.MI,26/04/2011,137.15,137.15,137.15,137.15,0
CG1.MI,27/04/2011,137.15,137.15,137.15,137.15,0
CG1.MI,28/04/2011,139.04,139.61,139.04,139.61,24
CG1.MI,29/04/2011,139.62,140.13,139.62,140.13,145
CG1.MI,02/05/2011,141.33,141.33,140.82,140.82,10
CG1.MI,03/05/2011,139.7,139.93,139.38,139.86,413
CG1.MI,04/05/2011,139.73,140.54,137.21,137.21,10384
CG1.MI,05/05/2011,136.61,137.11,136.61,137.11,5
CG1.MI,06/05/2011,138.21,139.09,138.08,138.81,178
CG1.MI,09/05/2011,137.79,137.79,137.79,137.79,0
CG1.MI,10/05/2011,140,140.16,139.26,139.26,453
CG1.MI,11/05/2011,140.62,140.62,139.26,139.26,160
CG1.MI,12/05/2011,137.66,138.12,137.66,137.79,59
CG1.MI,13/05/2011,139.22,139.22,137.41,137.41,6
CG1.MI,16/05/2011,136.45,137.29,136.03,137.29,16
CG1.MI,17/05/2011,136.82,136.9,135.49,135.49,3805
CG1.MI,18/05/2011,136.01,136.01,135.84,135.84,120
CG1.MI,19/05/2011,137.74,138.46,136.88,136.88,655
