Date,Open,High,Low,Close,Volume,Adj Close
2010-03-09,201.17,201.17,201.17,201.17,1900,201.17
2010-03-12,204.07,204.07,203.71,203.71,2000,203.71
2010-03-15,201.86,201.86,201.86,201.86,0,201.86
2010-03-16,204.72,204.72,203.48,203.76,6500,203.76
2010-03-17,205.34,207.88,205.34,207.54,200,207.54
2010-03-18,209.48,209.83,209.48,209.76,100,209.76
2010-03-19,211.77,213.05,211.75,211.75,0,211.75
2010-03-22,213.41,213.41,213.41,213.41,0,213.41
2010-03-23,215.48,215.78,214.29,214.69,100,214.69
2010-03-24,221.15,221.7,220.56,221.46,100,221.46
2010-03-25,222.58,224.5,222.42,224.5,100,224.5
2010-03-26,221.05,221.05,219.88,219.95,100,219.95
2010-03-29,218.67,219.04,218.15,218.9,100,218.9
2010-03-30,218.65,221.0,218.58,219.64,1000,219.64
2010-03-31,219.55,219.55,216.0,216.61,0,216.61
2010-04-01,218.68,219.27,218.47,219.27,0,219.27
2010-04-06,224.79,226.21,224.79,226.21,0,226.21
2010-04-07,226.78,228.29,226.32,227.45,100,227.45
2010-04-08,226.52,226.52,224.72,225.12,0,225.12
2010-04-09,227.51,228.4,225.8,225.8,700,225.8
2010-04-12,224.0,224.0,223.14,223.5,0,223.5
2010-04-13,222.47,222.61,222.47,222.61,700,222.61
2010-04-14,223.62,224.81,222.8,224.32,200,224.32
2010-04-15,227.86,229.38,227.86,229.38,700,229.38
2010-04-16,229.29,230.0,229.29,229.33,0,229.33
2010-04-19,224.82,226.47,224.82,224.87,0,224.87
2010-04-20,228.75,231.94,228.75,231.27,0,231.27
2010-04-21,233.82,234.33,233.82,233.9,600,233.9
2010-04-22,232.19,232.4,231.46,231.46,0,231.46
2010-04-23,234.5,238.83,234.5,235.71,0,235.71
2010-04-26,239.5,242.43,239.4,240.27,600,240.27
2010-04-27,243.0,243.0,237.0,238.15,100,238.15
2010-04-28,232.81,235.02,231.67,234.88,2400,234.88
2010-04-29,236.28,239.0,235.4,239.0,200,239.0
2010-04-30,238.63,239.35,235.74,239.0,200,239.0
2010-05-03,233.62,235.54,232.42,235.54,500,235.54
2010-05-04,239.37,239.37,235.99,235.99,200,235.99
2010-05-05,235.77,237.01,235.49,237.01,0,237.01
2010-05-06,238.47,239.82,237.5,237.5,500,237.5
2010-05-07,228.02,228.02,224.71,227.61,600,227.61
2010-05-10,225.39,232.3,224.61,232.3,1700,232.3
2010-05-11,233.0,233.58,232.92,233.4,200,233.4
2010-05-12,237.05,243.38,237.05,242.67,200,242.67
2010-05-13,244.7,249.56,244.7,246.95,300,246.95
2010-05-14,244.38,245.11,238.74,239.55,1000,239.55
2010-05-17,243.01,245.58,242.0,242.02,100,242.02
2010-05-18,243.11,244.32,241.99,243.49,700,243.49
2010-05-19,240.67,240.67,232.96,233.0,800,233.0
2010-05-20,230.73,230.73,220.88,221.35,400,221.35
2010-05-21,212.29,213.05,203.76,209.53,600,209.53
2010-05-24,221.35,216.76,215.35,219.39,0,219.39
2010-05-25,208.4,210.11,208.19,210.11,200,210.11
2010-05-26,223.63,226.45,222.84,226.21,300,226.21
2010-05-27,224.6,226.67,224.6,226.21,700,226.21
2010-05-28,227.92,227.92,226.45,226.98,200,226.98
2010-05-31,226.61,226.61,226.1,226.1,200,226.1
2010-06-01,224.2,224.2,224.2,224.2,0,224.2
2010-06-02,222.23,224.5,220.63,224.48,6000,224.48
2010-06-03,229.11,233.09,229.11,232.75,6100,232.75
2010-06-04,235.15,237.25,230.0,231.35,10800,231.35
2010-06-07,227.0,227.8,225.5,225.84,1900,225.84
2010-06-08,224.44,225.07,221.44,221.54,6400,221.54
2010-06-09,224.85,226.6,224.85,226.6,2100,226.6
2010-06-10,223.22,227.55,222.82,227.38,3600,227.38
2010-06-11,228.3,229.73,225.87,228.48,4800,228.48
2010-06-14,231.15,232.0,229.42,230.88,800,230.88
2010-06-15,228.83,228.83,228.83,228.83,0,228.83
2010-06-16,231.8,233.0,231.8,232.99,100,232.99
2010-06-17,232.96,232.96,232.96,232.96,0,232.96
2010-06-18,232.25,233.15,224.0,232.0,3400,232.0
2010-06-21,237.0,237.88,236.93,237.73,2100,237.73
2010-06-22,234.66,234.71,233.89,234.11,2200,234.11
2010-06-23,230.0,230.0,228.35,228.35,3900,228.35
2010-06-24,222.7,222.7,218.0,219.15,0,219.15
2010-06-25,217.93,219.0,216.45,216.62,100,216.62
2010-06-28,218.84,219.3,216.86,218.95,2400,218.95
2010-06-29,215.69,216.4,213.6,213.6,1700,213.6
2010-06-30,208.0,208.4,204.37,206.46,7300,206.46
2010-07-01,199.58,199.58,191.65,191.65,3900,191.65
2010-07-02,191.44,193.22,188.53,188.91,1700,188.91
2010-07-05,187.84,188.58,187.84,188.58,0,188.58
2010-07-06,187.84,193.03,187.84,191.89,4000,191.89
2010-07-07,188.31,190.6,188.31,190.6,0,190.6
2010-07-08,200.37,200.37,200.0,200.13,100,200.13
2010-07-09,202.5,203.9,202.5,203.9,1300,203.9
2010-07-12,206.91,209.96,206.59,207.21,3500,207.21
2010-07-13,210.75,213.0,210.75,210.98,5100,210.98
2010-07-14,210.5,210.5,210.5,210.5,0,210.5
2010-07-15,208.79,208.79,200.93,201.29,3400,201.29
2010-07-16,203.55,204.0,197.0,201.31,3600,201.31
2010-07-19,195.35,195.35,194.0,194.93,1900,194.93
2010-07-20,191.05,193.71,191.05,193.71,1700,193.71
2010-07-21,198.8,205.68,198.8,202.44,1100,202.44
2010-07-22,199.5,203.98,198.99,203.75,2600,203.75
2010-07-23,204.99,204.99,203.38,203.38,1900,203.38
2010-07-26,206.36,208.9,206.36,205.57,200,205.57
2010-07-27,208.58,211.17,208.58,210.0,1700,210.0
2010-07-28,208.71,209.7,208.22,208.22,100,208.22
2010-07-29,205.53,205.53,202.55,202.55,1700,202.55
2010-07-30,200.73,200.73,199.26,199.26,1700,199.26
2010-08-02,206.52,206.53,205.33,205.33,100,205.33
2010-08-03,205.4,205.4,203.94,204.56,0,204.56
2010-08-04,203.0,206.71,203.0,206.71,200,206.71
2010-08-05,207.65,207.65,206.85,207.22,1700,207.22
2010-08-06,202.41,202.41,200.19,200.19,6800,200.19
2010-08-10,205.3,206.6,205.3,205.62,200,205.62
2010-08-11,205.44,205.44,205.44,205.44,200,205.44
2010-08-12,202.13,203.58,201.69,202.11,200,202.11
2010-08-13,201.0,204.0,201.0,204.0,1700,204.0
2010-08-16,200.29,200.29,200.29,200.29,100,200.29
2010-08-17,201.35,203.85,201.35,203.78,2400,203.78
2010-08-19,207.27,207.27,199.0,199.07,2200,199.07
2010-08-20,200.36,201.11,200.36,201.11,3800,201.11
2010-08-24,199.75,199.75,196.45,196.68,1700,196.68
2010-08-25,196.41,196.41,193.5,195.8,4900,195.8
2010-08-26,197.0,199.0,195.5,195.95,500,195.95
2010-08-27,193.75,195.5,193.0,193.0,300,193.0
2010-08-30,199.79,199.85,198.5,199.5,800,199.5
2010-08-31,193.0,194.97,190.8,194.97,1600,194.97
2010-09-01,195.97,195.97,195.97,195.97,0,195.97
2010-09-03,205.0,209.29,205.0,206.91,100,206.91
2010-09-06,208.61,209.67,208.61,209.67,200,209.67
2010-09-07,209.67,210.92,209.17,210.0,600,210.0
2010-09-08,210.87,211.62,210.87,211.62,500,211.62
2010-09-09,215.0,215.57,215.0,215.57,1700,215.57
2010-09-10,215.5,215.5,215.5,215.5,0,215.5
2010-09-13,217.4,218.2,217.4,217.7,200,217.7
2010-09-14,216.42,216.42,212.24,212.24,2200,212.24
2010-09-15,212.43,212.43,210.42,210.87,0,210.87
2010-09-16,210.01,210.01,210.01,210.01,0,210.01
2010-09-17,213.0,213.2,213.0,213.2,0,213.2
2010-09-20,213.0,214.66,212.5,214.66,0,214.66
2010-09-21,215.15,216.0,215.15,215.19,0,215.19
