ticker,dateTime,open,high,low,close,volume
CLCV14.MI,06/08/2009,98,99.8,98,99.5,1
CLCV14.MI,07/08/2009,99,99,97.05,97.05,1
CLCV14.MI,10/08/2009,95,96.8,95,95,1
CLCV14.MI,11/08/2009,96.8,96.8,95,95,0
CLCV14.MI,12/08/2009,95,95.5,95,95.5,1
CLCV14.MI,13/08/2009,96,96,95.5,95.5,0
CLCV14.MI,14/08/2009,95.5,95.5,95.5,95.5,0
CLCV14.MI,17/08/2009,95,95,95,95,1
CLCV14.MI,18/08/2009,94.5,94.51,94.5,94.5,0
CLCV14.MI,19/08/2009,94.99,97,94.95,96.8,1
CLCV14.MI,20/08/2009,96,96,95.48,95.89,0
CLCV14.MI,21/08/2009,97,97,97,97,0
CLCV14.MI,24/08/2009,97,97,97,97,0
CLCV14.MI,25/08/2009,96,96,95.89,95.9,0
CLCV14.MI,26/08/2009,96,96,95.8,95.99,1
CLCV14.MI,27/08/2009,96,96,96,96,0
CLCV14.MI,28/08/2009,96.05,96.1,96.05,96.05,1
CLCV14.MI,31/08/2009,95.5,95.5,95.5,95.5,0
CLCV14.MI,01/09/2009,94.5,94.5,94.5,94.5,1
CLCV14.MI,02/09/2009,94.5,95.97,94.5,95.97,0
CLCV14.MI,03/09/2009,94.5,94.52,94.5,94.5,1
CLCV14.MI,04/09/2009,94.33,94.5,94.33,94.5,1
CLCV14.MI,07/09/2009,94.3,94.3,94.3,94.3,0
CLCV14.MI,08/09/2009,94,94.25,93.11,93.11,1
CLCV14.MI,09/09/2009,93.11,93.11,93.11,93.11,0
CLCV14.MI,10/09/2009,93,93.01,93,93.01,1
CLCV14.MI,11/09/2009,93,93.5,92.65,93,1
CLCV14.MI,14/09/2009,93,93,93,93,0
CLCV14.MI,15/09/2009,93,93,93,93,0
CLCV14.MI,16/09/2009,93.09,93.09,93.09,93.09,0
CLCV14.MI,17/09/2009,93.09,93.09,93.09,93.09,0
CLCV14.MI,18/09/2009,93.03,93.2,92.8,92.8,0
CLCV14.MI,21/09/2009,93.5,93.5,92.8,92.82,2
CLCV14.MI,22/09/2009,92.83,93.5,92.83,93.5,0
CLCV14.MI,23/09/2009,93.5,94.5,92.86,92.9,2
CLCV14.MI,24/09/2009,94.18,94.18,92.6,92.95,1
CLCV14.MI,25/09/2009,92.61,93.2,92.61,92.8,0
CLCV14.MI,28/09/2009,92.65,93.12,92.65,93.12,1
CLCV14.MI,29/09/2009,93.2,93.29,92.98,93,1
CLCV14.MI,30/09/2009,93,93,93,93,0
CLCV14.MI,01/10/2009,93.48,93.48,92.53,92.53,0
CLCV14.MI,02/10/2009,93.28,93.28,92.53,92.53,0
CLCV14.MI,05/10/2009,92.12,92.12,92.12,92.12,0
CLCV14.MI,06/10/2009,92.18,92.98,92.15,92.98,1
CLCV14.MI,07/10/2009,92.59,92.59,92.3,92.49,4
CLCV14.MI,08/10/2009,92.31,92.8,92.31,92.5,1
CLCV14.MI,09/10/2009,92.6,92.6,92,92,4
CLCV14.MI,12/10/2009,92.91,92.91,92.1,92.48,1
CLCV14.MI,13/10/2009,92.3,92.39,92.1,92.39,2
CLCV14.MI,14/10/2009,92.3,92.3,92.1,92.1,0
CLCV14.MI,15/10/2009,92.1,92.3,91.9,91.9,1
CLCV14.MI,16/10/2009,92,92.18,92,92.18,0
CLCV14.MI,19/10/2009,91.99,91.99,91.05,91.94,2
CLCV14.MI,20/10/2009,91.5,91.5,90,90.99,1
CLCV14.MI,21/10/2009,90,90.89,90,90.79,2
CLCV14.MI,22/10/2009,90.79,90.79,90.5,90.5,0
CLCV14.MI,23/10/2009,90.1,90.95,90.1,90.6,1
CLCV14.MI,26/10/2009,90.95,90.95,90,90.92,0
CLCV14.MI,27/10/2009,90.87,90.87,90.87,90.87,0
CLCV14.MI,28/10/2009,90.8,90.8,90,90,1
CLCV14.MI,29/10/2009,90,91,90,91,2
CLCV14.MI,30/10/2009,90.51,90.51,90.51,90.51,0
CLCV14.MI,02/11/2009,91,91.2,91,91,2
CLCV14.MI,03/11/2009,90.52,91,90.5,91,0
CLCV14.MI,04/11/2009,90.99,91.3,90.99,91.3,1
CLCV14.MI,05/11/2009,91.35,91.35,91.25,91.25,0
CLCV14.MI,06/11/2009,91,91,91,91,1
CLCV14.MI,09/11/2009,91,91,90.5,91,1
CLCV14.MI,10/11/2009,90.75,90.8,90.7,90.7,0
CLCV14.MI,11/11/2009,91,91,90.7,90.7,0
CLCV14.MI,12/11/2009,90.7,90.95,90.7,90.7,1
CLCV14.MI,13/11/2009,90.91,90.91,90.75,90.75,0
CLCV14.MI,16/11/2009,90.75,91,90.75,91,1
