ticker,dateTime,open,high,low,close,volume
CM9.MI,22/04/2010,111.75,111.75,111.75,111.75,5115
CM9.MI,23/04/2010,112.85,112.85,112.7,112.7,655
CM9.MI,30/04/2010,112.45,112.45,112.15,112.15,280
CM9.MI,04/05/2010,111.26,111.26,111.26,111.26,899
CM9.MI,06/05/2010,111.35,111.35,111.35,111.35,750
CM9.MI,07/05/2010,111.35,111.35,111.35,109.24,750
CM9.MI,10/05/2010,111.05,111.05,111.05,111.05,2369
CM9.MI,11/05/2010,110.95,110.95,110.95,110.95,1678
CM9.MI,12/05/2010,112.3,112.3,112.3,112.3,1100
CM9.MI,28/05/2010,109.45,109.45,109.45,109.45,3958
CM9.MI,31/05/2010,109.57,109.57,109.57,109.57,91
CM9.MI,07/06/2010,109.78,109.78,109.78,109.78,360
CM9.MI,14/06/2010,111.39,111.39,111.39,111.39,28
CM9.MI,21/06/2010,113.23,113.23,113.23,113.23,15
CM9.MI,23/06/2010,111.36,111.36,111.36,111.36,200
CM9.MI,25/06/2010,109.09,109.09,108.43,108.43,4800
CM9.MI,02/07/2010,102.46,102.46,102.46,102.46,15
CM9.MI,09/07/2010,106.19,106.19,106.19,106.19,285
CM9.MI,23/07/2010,106.6,106.6,106.6,106.6,19
CM9.MI,26/07/2010,106.82,106.82,106.82,106.82,1800
CM9.MI,02/08/2010,107.76,107.76,107.76,107.76,710
CM9.MI,17/08/2010,107.65,107.65,107.65,107.65,300
CM9.MI,13/09/2010,111.34,111.34,111.34,111.34,545
CM9.MI,01/10/2010,107.01,107.01,107.01,107.01,18
CM9.MI,06/10/2010,107.6,107.6,107.6,107.6,1818
CM9.MI,11/10/2010,107.49,107.49,107.49,107.49,18
CM9.MI,14/10/2010,107.6,107.6,107.6,107.6,1272
CM9.MI,18/10/2010,108.36,108.36,108.18,108.18,3433
CM9.MI,26/10/2010,108.24,108.37,108.24,108.37,569
CM9.MI,05/11/2010,110.15,110.15,110.15,110.15,91
CM9.MI,19/11/2010,111.96,111.96,111.96,111.96,10
CM9.MI,01/12/2010,115.71,115.71,115.71,115.71,24
CM9.MI,02/12/2010,116.5,116.5,116.5,116.5,86
CM9.MI,09/12/2010,118.15,118.15,118.15,118.15,86
CM9.MI,30/12/2010,121.75,121.75,121.75,121.75,9
CM9.MI,06/01/2011,123.21,123.21,123.21,123.21,10
CM9.MI,14/01/2011,122.05,122.05,122.05,122.05,24
CM9.MI,18/01/2011,122.3,122.3,122.3,122.3,40
CM9.MI,24/01/2011,119.66,119.66,119.66,119.66,5
CM9.MI,25/01/2011,119.4,119.4,119.4,119.4,1600
CM9.MI,31/01/2011,118.5,118.5,118.5,118.5,50
CM9.MI,03/02/2011,120.4,120.4,120.4,120.4,5
CM9.MI,17/02/2011,124.21,124.21,124.21,124.21,95
CM9.MI,18/02/2011,124.49,124.49,124.49,124.49,0
CM9.MI,21/02/2011,123.33,123.33,123.33,123.33,0
CM9.MI,22/02/2011,122.8,122.8,122.8,122.8,0
CM9.MI,23/02/2011,121.77,121.77,120.8,120.8,1100
CM9.MI,24/02/2011,120.03,120.03,120.03,120.03,0
CM9.MI,25/02/2011,121.71,121.71,121.71,121.71,0
CM9.MI,28/02/2011,121.8,122.26,121.8,122.26,41
CM9.MI,01/03/2011,121.76,121.76,121.76,121.76,0
CM9.MI,02/03/2011,120.58,120.58,120.58,120.58,0
CM9.MI,03/03/2011,121.02,121.02,121.02,121.02,0
CM9.MI,04/03/2011,120.33,120.33,120.33,120.33,0
CM9.MI,07/03/2011,119.6,119.6,119.6,119.6,0
CM9.MI,08/03/2011,120.41,120.41,120.41,120.41,0
