ticker,dateTime,open,high,low,close,volume
CSAU.MI,22/09/2010,87.61,87.61,87.61,87.61,10
CSAU.MI,23/09/2010,87.36,87.36,86.94,86.95,3258
CSAU.MI,24/09/2010,87.97,87.97,87.97,87.97,57
CSAU.MI,29/09/2010,88.61,88.61,88.61,88.61,6
CSAU.MI,30/09/2010,87.29,87.29,85.24,85.24,6010
CSAU.MI,01/10/2010,86.19,86.19,86.19,86.19,20
CSAU.MI,04/10/2010,86.12,86.12,86.12,86.12,3003
CSAU.MI,05/10/2010,85.37,85.37,85.37,85.37,70
CSAU.MI,06/10/2010,87.45,87.62,87.45,87.62,44
CSAU.MI,08/10/2010,87.45,87.62,86.7,86.7,6006
CSAU.MI,11/10/2010,87.45,88,87.45,88,12
CSAU.MI,12/10/2010,87.17,87.28,87.05,87.28,159
CSAU.MI,13/10/2010,86.95,87.6,86.95,87.6,1140
CSAU.MI,14/10/2010,88.48,88.48,88.48,88.48,60
CSAU.MI,15/10/2010,87.53,87.53,87.53,87.53,4
CSAU.MI,18/10/2010,87.38,87.38,87.38,87.38,60
CSAU.MI,19/10/2010,87.77,87.77,87.63,87.69,11125
CSAU.MI,20/10/2010,86.9,86.9,85.8,86.54,5604
CSAU.MI,21/10/2010,86.68,86.89,85.38,86.89,696
CSAU.MI,22/10/2010,86.34,86.81,86.26,86.37,4566
CSAU.MI,25/10/2010,87.48,88.85,87.48,88.85,860
CSAU.MI,26/10/2010,87.55,88.12,87.22,87.22,1259
CSAU.MI,27/10/2010,86.99,86.99,85.67,86.51,1226
CSAU.MI,28/10/2010,87.94,87.94,86.77,86.77,127
CSAU.MI,29/10/2010,86.46,86.83,86.05,86.83,4307
CSAU.MI,01/11/2010,88.03,88.3,87.95,87.95,93
CSAU.MI,02/11/2010,89.48,89.48,88.86,88.86,247
CSAU.MI,03/11/2010,89.07,89.11,88.76,88.97,4454
CSAU.MI,04/11/2010,89.78,90.97,89.78,90.97,15403
CSAU.MI,05/11/2010,90.9,92.1,90.75,91.96,5625
CSAU.MI,08/11/2010,92.02,92.57,91.78,92,4356
CSAU.MI,09/11/2010,92.01,92.34,91.98,92.26,4188
CSAU.MI,10/11/2010,91.28,91.28,90.9,91.27,535
CSAU.MI,11/11/2010,91.76,91.76,91.18,91.18,3471
CSAU.MI,12/11/2010,90.15,90.33,89.39,90.31,9159
CSAU.MI,15/11/2010,89.98,90.55,89.98,90.24,1711
CSAU.MI,16/11/2010,89.79,89.79,89.57,89.69,772
CSAU.MI,17/11/2010,89.19,89.19,88.94,88.94,546
CSAU.MI,18/11/2010,89.76,89.93,89.68,89.68,1425
CSAU.MI,19/11/2010,88.66,88.75,88.3,88.75,849
CSAU.MI,22/11/2010,89.08,89.08,88.57,88.57,319
CSAU.MI,23/11/2010,87.66,88.06,86.81,87.72,2791
CSAU.MI,24/11/2010,89.27,89.83,88.97,89.83,2157
CSAU.MI,25/11/2010,89.57,89.57,89.57,89.57,64
CSAU.MI,26/11/2010,88.7,88.7,88.05,88.48,5356
CSAU.MI,29/11/2010,89.19,89.4,88.91,89.4,188
CSAU.MI,30/11/2010,89.73,89.73,89.73,89.73,765
CSAU.MI,01/12/2010,89.95,90.26,89.95,90.22,897
