ticker,dateTime,open,high,low,close,volume
CSBGU7.MI,16/10/2009,68.2,68.2,68.2,68.2,0
CSBGU7.MI,20/11/2009,69.3,69.3,69.3,69.3,6000
CSBGU7.MI,23/11/2009,68.79,68.79,68.79,68.79,6000
CSBGU7.MI,24/11/2009,68.77,68.77,68.77,68.77,0
CSBGU7.MI,25/11/2009,68.53,68.53,68.53,68.53,0
CSBGU7.MI,26/11/2009,68.97,68.97,68.97,68.97,0
CSBGU7.MI,27/11/2009,69.15,69.15,69.15,69.15,0
CSBGU7.MI,30/11/2009,69.06,69.06,69.06,69.06,0
CSBGU7.MI,01/12/2009,68.71,68.71,68.71,68.71,0
CSBGU7.MI,02/12/2009,68.79,68.79,68.79,68.79,0
CSBGU7.MI,04/12/2009,68.58,68.58,68.58,68.58,3000
CSBGU7.MI,07/12/2009,69.4,69.4,69.4,69.4,0
CSBGU7.MI,08/12/2009,70.03,70.03,70.03,70.03,0
CSBGU7.MI,09/12/2009,70,70,70,70,4000
CSBGU7.MI,10/12/2009,69.86,69.86,69.86,69.86,0
CSBGU7.MI,11/12/2009,70.28,70.28,70.28,70.28,0
CSBGU7.MI,14/12/2009,70.08,70.08,70.08,70.08,0
CSBGU7.MI,15/12/2009,70.34,70.34,70.34,70.34,0
CSBGU7.MI,16/12/2009,70.24,70.24,70.24,70.24,0
CSBGU7.MI,17/12/2009,71.58,71.58,71.58,71.58,0
CSBGU7.MI,18/12/2009,71.97,71.97,71.97,71.97,0
CSBGU7.MI,21/12/2009,71.4,71.4,71.4,71.4,0
CSBGU7.MI,22/12/2009,71.59,71.59,71.59,71.59,0
CSBGU7.MI,23/12/2009,71.16,71.16,71.16,71.16,0
CSBGU7.MI,28/12/2009,70.5,70.5,70.5,70.5,0
CSBGU7.MI,30/12/2009,70.61,71.09,70.61,70.61,0
CSBGU7.MI,04/01/2010,70.24,70.24,70.24,70.24,0
CSBGU7.MI,05/01/2010,70.54,70.54,70.54,70.54,0
CSBGU7.MI,06/01/2010,70.39,70.39,70.39,70.39,0
CSBGU7.MI,07/01/2010,70.96,70.96,70.96,70.96,0
CSBGU7.MI,08/01/2010,70.82,70.82,70.82,70.82,0
CSBGU7.MI,11/01/2010,69.9,69.9,69.9,69.9,0
CSBGU7.MI,13/01/2010,70.45,70.45,70.45,70.45,40
CSBGU7.MI,25/01/2010,72.75,72.75,72.29,72.29,1233
CSBGU7.MI,26/01/2010,72.74,73.13,72.74,73.13,707
CSBGU7.MI,27/01/2010,72.84,73.25,72.84,73.25,12144
CSBGU7.MI,28/01/2010,72.94,72.94,72.93,72.93,485
CSBGU7.MI,29/01/2010,73.62,73.62,73.31,73.31,2418
CSBGU7.MI,01/02/2010,73.6,74.13,73.6,74.13,3729
CSBGU7.MI,02/02/2010,73.72,73.72,73.54,73.54,317
CSBGU7.MI,03/02/2010,73.41,73.41,73.27,73.27,734
