ticker,dateTime,open,high,low,close,volume
CSBILE.MI,12/05/2010,107.01,107.01,107.01,107.01,30
CSBILE.MI,13/05/2010,106.94,106.97,106.94,106.97,1717
CSBILE.MI,14/05/2010,107.21,107.43,107.21,107.43,1129
CSBILE.MI,17/05/2010,106.74,106.74,106.74,106.74,94
CSBILE.MI,18/05/2010,106.88,106.92,106.88,106.92,1750
CSBILE.MI,19/05/2010,107.21,107.21,107.21,107.21,250
CSBILE.MI,20/05/2010,107.06,107.06,107.06,107.06,90
CSBILE.MI,03/06/2010,105.12,105.12,105.12,105.12,1000
CSBILE.MI,07/06/2010,105.78,105.78,105.78,105.78,10
CSBILE.MI,14/06/2010,105.42,105.42,105.42,105.42,250
CSBILE.MI,30/06/2010,105.4,105.4,105.4,105.4,2000
CSBILE.MI,06/07/2010,105.43,105.43,105.43,105.43,50
CSBILE.MI,12/07/2010,106.33,106.33,106.33,106.33,94
CSBILE.MI,14/07/2010,105.95,105.95,105.95,105.95,160
CSBILE.MI,23/07/2010,104.44,104.49,104.44,104.49,900
CSBILE.MI,02/08/2010,105.74,105.74,105.74,105.74,300
CSBILE.MI,03/08/2010,106.94,106.94,106.94,106.94,10
CSBILE.MI,05/08/2010,107.01,107.01,107.01,107.01,30
CSBILE.MI,06/08/2010,107.14,107.14,107.14,107.14,20
CSBILE.MI,09/08/2010,106.58,106.58,106.58,106.58,7
CSBILE.MI,11/08/2010,107.57,107.57,107.57,107.57,20
CSBILE.MI,20/08/2010,107.24,107.24,107.24,107.24,100
CSBILE.MI,01/09/2010,108.25,108.25,108.25,108.25,4507
CSBILE.MI,08/09/2010,108.96,109.06,108.96,109.06,80
CSBILE.MI,16/09/2010,107.56,107.56,107.56,107.56,280
CSBILE.MI,20/09/2010,107.47,107.47,107.47,107.47,460
CSBILE.MI,23/09/2010,108.39,108.39,108.39,108.39,10
CSBILE.MI,24/09/2010,108.05,108.05,108.05,108.05,24
CSBILE.MI,27/09/2010,107.47,107.47,107.47,107.47,4
CSBILE.MI,29/09/2010,107.88,107.92,107.88,107.92,60
CSBILE.MI,01/10/2010,107.8,107.8,107.8,107.8,620
CSBILE.MI,04/10/2010,108.24,108.37,108.24,108.37,229
CSBILE.MI,05/10/2010,107.71,107.71,107.71,107.71,1000
CSBILE.MI,07/10/2010,108.01,108.01,108.01,108.01,160
CSBILE.MI,08/10/2010,107.88,107.88,107.88,107.88,2100
CSBILE.MI,12/10/2010,108.13,108.13,108.13,108.13,30
CSBILE.MI,13/10/2010,107.81,107.81,107.81,107.81,250
CSBILE.MI,20/10/2010,108.41,108.41,108.41,108.41,200
CSBILE.MI,21/10/2010,108.38,108.38,108.38,108.38,13
CSBILE.MI,26/10/2010,107.21,107.21,107.21,107.21,20
CSBILE.MI,27/10/2010,107.46,107.46,107.46,107.46,100
CSBILE.MI,28/10/2010,107.55,107.55,107.55,107.55,1480
CSBILE.MI,29/10/2010,107.57,107.57,107.57,107.57,20
CSBILE.MI,11/11/2010,106.69,106.69,106.69,106.69,500
CSBILE.MI,17/11/2010,106.14,106.14,106.14,106.14,190
