Date,Open,High,Low,Close,Volume,Adj Close
2010-03-09,63.59,63.59,63.59,63.59,0,63.59
2010-03-10,64.58,64.58,64.58,64.58,0,64.58
2010-03-11,64.65,64.65,64.65,64.65,100,64.65
2010-03-12,64.65,64.65,64.65,64.65,100,64.65
2010-03-15,64.65,64.65,64.65,64.65,100,64.65
2010-03-16,64.65,64.65,64.65,64.65,100,64.65
2010-03-17,64.65,64.65,64.65,64.65,100,64.65
2010-03-18,64.65,64.65,64.65,64.65,100,64.65
2010-03-19,64.65,64.65,64.65,64.65,100,64.65
2010-03-22,64.06,64.39,64.06,64.06,0,64.06
2010-03-23,64.72,65.05,64.72,64.72,0,64.72
2010-03-24,64.6,64.94,64.6,64.6,0,64.6
2010-03-25,65.43,65.79,65.43,65.43,0,65.43
2010-03-26,65.33,65.7,65.33,65.33,0,65.33
2010-03-29,65.71,65.71,65.71,65.71,0,65.71
2010-03-30,65.43,65.43,65.43,65.43,0,65.43
2010-03-31,65.12,65.12,65.12,65.12,0,65.12
2010-04-01,66.16,66.16,66.16,66.16,0,66.16
2010-04-06,66.6,66.6,66.6,66.6,0,66.6
2010-04-07,66.4,66.4,66.4,66.4,100,66.4
2010-04-08,65.62,65.62,65.62,65.62,0,65.62
2010-04-09,66.64,66.64,66.64,66.64,0,66.64
2010-04-12,66.9,66.9,66.9,66.9,0,66.9
2010-04-13,66.33,66.33,66.33,66.33,0,66.33
2010-04-14,67.11,67.11,67.11,67.11,0,67.11
2010-04-15,67.27,67.27,67.27,67.27,0,67.27
2010-04-16,66.06,66.06,66.06,66.06,0,66.06
2010-04-19,65.72,65.72,65.72,65.72,0,65.72
2010-04-20,66.56,66.56,66.56,66.56,0,66.56
2010-04-21,66.23,66.23,66.23,66.23,0,66.23
2010-04-22,65.11,65.11,65.11,65.11,0,65.11
2010-04-23,65.65,65.65,65.65,65.65,0,65.65
2010-04-26,66.13,66.13,66.13,66.13,0,66.13
2010-04-27,64.37,64.37,64.37,64.37,0,64.37
2010-04-28,63.4,63.4,63.4,63.4,0,63.4
2010-04-29,63.63,63.63,63.63,63.63,0,63.63
2010-04-30,63.66,63.66,63.66,63.66,0,63.66
2010-05-03,63.34,63.36,63.21,63.26,13600,63.26
2010-05-04,61.36,61.36,61.36,61.36,0,61.36
2010-05-05,60.54,60.54,60.54,60.54,0,60.54
2010-05-06,59.31,59.31,59.31,59.31,0,59.31
2010-05-07,57.73,57.73,57.73,57.73,0,57.73
2010-05-10,61.94,61.94,61.94,61.94,0,61.94
2010-05-11,61.69,61.69,61.69,61.69,0,61.69
2010-05-12,62.75,62.75,62.75,62.75,0,62.75
2010-05-13,62.81,62.81,62.81,62.81,0,62.81
2010-05-14,59.83,59.83,59.83,59.83,0,59.83
2010-05-17,60.04,60.04,60.04,60.04,0,60.04
2010-05-18,61.24,61.24,61.24,61.24,0,61.24
2010-05-19,59.58,59.58,59.58,59.58,0,59.58
2010-05-20,58.17,58.17,58.17,58.17,0,58.17
2010-05-21,58.64,58.64,58.64,58.64,0,58.64
2010-05-24,58.38,58.38,58.38,58.38,0,58.38
2010-05-25,56.67,56.67,56.67,56.67,0,56.67
2010-05-26,58.08,58.08,58.08,58.08,0,58.08
2010-05-27,59.61,59.61,59.61,59.61,0,59.61
2010-05-28,59.58,59.58,59.58,59.58,0,59.58
2010-05-31,59.68,59.68,59.68,59.68,0,59.68
2010-06-01,59.38,59.38,59.38,59.38,0,59.38
2010-06-02,59.63,59.63,59.63,59.63,0,59.63
2010-06-03,60.36,60.36,60.36,60.36,0,60.36
2010-06-04,60.64,60.65,60.64,60.65,2600,60.65
2010-06-07,58.14,58.15,58.14,58.14,3000,58.14
2010-06-08,57.53,57.53,57.53,57.53,0,57.53
2010-06-09,58.69,58.69,58.69,58.69,0,58.69
