Date,Open,High,Low,Close,Volume,Adj Close
2010-03-09,73.45,73.45,73.45,73.45,0,73.45
2010-03-10,72.49,72.49,72.49,72.49,0,72.49
2010-03-11,72.3,72.3,72.3,72.3,0,72.3
2010-03-12,72.23,72.23,72.23,72.23,0,72.23
2010-03-15,72.42,72.67,72.42,72.42,0,72.42
2010-03-16,72.46,72.7,72.46,72.46,0,72.46
2010-03-17,72.89,73.15,72.89,72.89,0,72.89
2010-03-18,73.72,73.96,73.72,73.72,0,73.72
2010-03-19,74.08,74.34,74.08,74.08,0,74.08
2010-03-22,74.38,74.64,74.38,74.38,0,74.38
2010-03-23,74.75,74.99,74.75,74.75,0,74.75
2010-03-24,76.03,76.28,76.03,76.03,0,76.03
2010-03-25,76.46,76.95,76.46,76.46,0,76.46
2010-03-26,75.78,75.87,75.78,75.78,0,75.78
2010-03-29,75.77,75.77,75.77,75.77,0,75.77
2010-03-30,75.92,75.92,75.92,75.92,0,75.92
2010-03-31,75.32,75.32,75.32,75.32,0,75.32
2010-04-01,75.43,75.43,75.43,75.43,0,75.43
2010-04-06,76.67,76.67,76.67,76.67,0,76.67
2010-04-07,76.55,76.55,76.55,76.55,0,76.55
2010-04-08,76.24,76.24,76.24,76.24,0,76.24
2010-04-09,76.13,76.13,76.13,76.13,0,76.13
2010-04-12,75.8,75.8,75.8,75.8,0,75.8
2010-04-13,75.81,75.81,75.81,75.81,0,75.81
2010-04-14,75.87,75.87,75.87,75.87,0,75.87
2010-04-15,76.74,76.74,76.74,76.74,0,76.74
2010-04-16,76.52,76.52,76.52,76.52,0,76.52
2010-04-19,76.55,76.55,76.55,76.55,0,76.55
2010-04-20,77.3,77.3,77.3,77.3,0,77.3
2010-04-21,77.8,77.8,77.8,77.8,0,77.8
2010-04-22,77.74,77.74,77.74,77.74,0,77.74
2010-04-23,78.34,78.34,78.34,78.34,0,78.34
2010-04-26,78.87,78.87,78.87,78.87,0,78.87
2010-04-27,78.26,78.26,78.26,78.26,0,78.26
2010-04-28,78.26,78.26,78.26,78.26,0,78.26
2010-04-29,78.97,78.97,78.97,78.97,0,78.97
2010-04-30,78.75,78.75,78.75,78.75,0,78.75
2010-05-03,78.72,78.72,78.72,78.72,0,78.72
2010-05-04,78.39,78.39,78.39,78.39,0,78.39
2010-05-05,79.33,79.33,79.33,79.33,0,79.33
2010-05-06,79.44,79.44,79.44,79.44,0,79.44
2010-05-07,77.32,77.32,77.32,77.32,0,77.32
2010-05-10,80.44,80.44,80.44,80.44,0,80.44
2010-05-11,79.47,79.47,79.47,79.47,0,79.47
2010-05-12,80.16,80.16,80.16,80.16,0,80.16
2010-05-13,81.13,81.13,81.13,81.13,0,81.13
2010-05-14,80.11,80.11,80.11,80.11,0,80.11
2010-05-17,80.25,80.25,80.25,80.25,0,80.25
2010-05-18,80.84,80.84,80.84,80.84,0,80.84
2010-05-19,78.81,78.81,78.81,78.81,0,78.81
2010-05-20,78.87,78.87,78.87,78.87,2900,78.87
2010-05-21,75.61,75.61,75.61,75.61,0,75.61
2010-05-24,76.65,76.65,76.65,76.65,0,76.65
2010-05-25,75.52,75.52,75.52,75.52,0,75.52
2010-05-26,77.6,77.6,77.6,77.6,0,77.6
2010-05-27,77.51,77.51,77.51,77.51,200,77.51
2010-05-28,77.39,77.39,77.39,77.39,0,77.39
2010-05-31,77.4,77.4,77.4,77.4,0,77.4
2010-06-01,77.31,77.31,77.31,77.31,3000,77.31
2010-06-02,77.55,77.55,77.55,77.55,0,77.55
2010-06-03,78.7,78.7,78.7,78.7,0,78.7
2010-06-04,78.17,78.17,78.17,78.17,0,78.17
2010-06-07,77.65,77.65,77.65,77.65,0,77.65
2010-06-08,77.2,77.2,77.2,77.2,0,77.2
2010-06-09,78.11,78.11,78.11,78.11,0,78.11
2010-06-10,78.5,78.5,78.5,78.5,0,78.5
2010-06-11,78.92,78.92,78.92,78.92,0,78.92
2010-06-14,78.92,78.92,78.92,78.92,0,78.92
2010-06-15,78.61,78.61,78.61,78.61,0,78.61
2010-06-16,79.13,79.13,79.13,79.13,0,79.13
2010-06-17,78.68,78.68,78.68,78.68,0,78.68
2010-06-18,79.54,79.54,79.54,79.54,0,79.54
2010-06-21,79.94,79.94,79.94,79.94,0,79.94
2010-06-22,79.83,79.83,79.83,79.83,0,79.83
2010-06-23,78.94,78.94,78.94,78.94,0,78.94
2010-06-24,77.68,77.68,77.68,77.68,0,77.68
2010-06-25,77.09,77.09,77.09,77.09,0,77.09
2010-06-28,77.51,77.51,77.51,77.51,0,77.51
2010-06-29,76.45,76.45,76.45,76.45,0,76.45
2010-06-30,75.63,75.63,75.63,75.63,0,75.63
2010-07-01,73.13,73.13,73.13,73.13,0,73.13
2010-07-02,73.13,73.13,73.13,73.13,0,73.13
2010-07-05,72.26,72.26,72.26,72.26,0,72.26
2010-07-06,72.92,72.92,72.92,72.92,0,72.92
2010-07-07,73.46,73.46,73.46,73.46,0,73.46
2010-07-08,74.77,74.77,74.77,74.77,0,74.77
2010-07-09,75.42,75.42,75.42,75.42,0,75.42
2010-07-12,76.09,76.09,76.09,76.09,0,76.09
2010-07-13,76.9,76.9,76.9,76.9,2400,76.9
2010-07-14,76.61,76.61,76.61,76.61,2400,76.61
2010-07-15,75.88,75.88,75.88,75.88,2400,75.88
2010-07-16,74.0,74.0,74.0,74.0,0,74.0
2010-07-19,73.46,73.46,73.46,73.46,0,73.46
