ticker,dateTime,open,high,low,close,volume
CSMXCP.MI,15/09/2010,83.94,83.94,82.39,83.94,10
CSMXCP.MI,16/09/2010,82.39,82.39,81.5,82.39,10
CSMXCP.MI,17/09/2010,83.65,83.65,82.35,83.65,50
CSMXCP.MI,20/09/2010,82.39,82.39,82.39,82.39,0
CSMXCP.MI,21/09/2010,82.6,82.6,82.6,82.6,0
CSMXCP.MI,22/09/2010,81.71,81.71,81.09,81.71,1000
CSMXCP.MI,23/09/2010,81.95,81.95,81.25,81.36,5295
CSMXCP.MI,24/09/2010,81.42,81.58,81.42,81.42,3000
CSMXCP.MI,27/09/2010,81.51,81.51,81.51,81.51,0
CSMXCP.MI,28/09/2010,81.54,81.54,80.98,81.35,63
CSMXCP.MI,29/09/2010,81.07,81.31,81.03,81.31,3062
CSMXCP.MI,30/09/2010,80.87,81.09,80.85,81.09,15
CSMXCP.MI,01/10/2010,80.69,80.69,80.45,80.69,3
CSMXCP.MI,04/10/2010,81.43,81.99,81.43,81.99,33
CSMXCP.MI,05/10/2010,82.18,82.18,82.18,82.18,0
CSMXCP.MI,06/10/2010,82.25,82.25,82.25,82.25,0
CSMXCP.MI,07/10/2010,82.25,82.25,81.68,82.25,15
CSMXCP.MI,08/10/2010,81.88,81.88,81.88,81.88,0
CSMXCP.MI,11/10/2010,82.99,82.99,82.99,82.99,6
CSMXCP.MI,12/10/2010,82.6,82.92,82.6,82.6,15
CSMXCP.MI,13/10/2010,83.01,83.36,83.01,83.01,182
CSMXCP.MI,14/10/2010,83.14,83.14,82.75,82.92,3175
CSMXCP.MI,15/10/2010,82.83,82.83,82.82,82.83,3000
CSMXCP.MI,18/10/2010,82.97,83.2,82.97,83.13,3060
CSMXCP.MI,19/10/2010,83.33,83.8,83.33,83.8,3050
CSMXCP.MI,20/10/2010,83.31,83.31,83.18,83.31,36
CSMXCP.MI,21/10/2010,83.96,83.96,83.96,83.96,0
CSMXCP.MI,22/10/2010,84.01,84.01,84.01,84.01,0
CSMXCP.MI,25/10/2010,84.8,84.8,84.8,84.8,0
CSMXCP.MI,26/10/2010,84.97,84.97,84.97,84.97,0
CSMXCP.MI,27/10/2010,84.42,84.42,84.42,84.42,0
CSMXCP.MI,28/10/2010,84.98,84.98,84.98,84.98,0
CSMXCP.MI,29/10/2010,85.15,85.97,85.15,85.15,70
CSMXCP.MI,01/11/2010,86.87,86.87,86.87,86.87,0
CSMXCP.MI,02/11/2010,86.55,87.06,86.55,87.06,56
CSMXCP.MI,03/11/2010,87.14,87.14,86.37,87.01,40
CSMXCP.MI,04/11/2010,86.45,86.69,86.45,86.45,6143
CSMXCP.MI,05/11/2010,86.93,88.1,86.6,88.1,164
CSMXCP.MI,08/11/2010,88.56,88.63,88.56,88.6,360
CSMXCP.MI,09/11/2010,89.34,90.11,89.34,89.34,6
CSMXCP.MI,10/11/2010,89.43,89.84,89.43,89.84,1330
CSMXCP.MI,11/11/2010,90.48,90.48,90.48,90.48,0
CSMXCP.MI,12/11/2010,89.52,89.52,89.52,89.52,0
CSMXCP.MI,15/11/2010,89.77,89.77,89.7,89.77,168
CSMXCP.MI,16/11/2010,89.05,89.05,88.05,89.05,22
CSMXCP.MI,17/11/2010,88.64,88.64,88.64,88.64,0
CSMXCP.MI,18/11/2010,90.23,90.23,90.23,90.23,0
CSMXCP.MI,19/11/2010,90.36,90.36,90.36,90.36,0
CSMXCP.MI,22/11/2010,90.94,90.94,90.94,90.94,0
CSMXCP.MI,23/11/2010,90.83,90.96,90.83,90.83,1150
CSMXCP.MI,24/11/2010,90.61,92.1,90.61,92.1,3057
CSMXCP.MI,25/11/2010,93.41,93.96,93.3,93.3,3121
CSMXCP.MI,26/11/2010,93,93.49,92.97,93.49,3065
CSMXCP.MI,29/11/2010,93.33,93.99,92.62,93.83,3148
CSMXCP.MI,30/11/2010,94.4,94.4,94.4,94.4,0
CSMXCP.MI,01/12/2010,94.79,95.75,94.79,95.75,1880
CSMXCP.MI,02/12/2010,95.77,95.95,95.43,95.43,69
CSMXCP.MI,03/12/2010,94.53,94.69,94.37,94.69,3105
CSMXCP.MI,06/12/2010,94.6,95.02,94.21,94.56,101
CSMXCP.MI,07/12/2010,96.27,96.3,95.91,96.3,595
CSMXCP.MI,08/12/2010,95.62,95.62,95.4,95.62,4
CSMXCP.MI,09/12/2010,95.37,95.37,95.37,95.37,0
CSMXCP.MI,10/12/2010,95.37,95.37,94.75,94.75,50
CSMXCP.MI,13/12/2010,95.81,95.81,95.6,95.81,62
CSMXCP.MI,14/12/2010,95.18,95.71,95.15,95.15,6000
CSMXCP.MI,15/12/2010,95.97,95.97,95.64,95.64,41
CSMXCP.MI,16/12/2010,96.22,96.28,96.22,96.22,6
CSMXCP.MI,17/12/2010,96.39,96.89,96.39,96.39,103
CSMXCP.MI,20/12/2010,97.76,98.23,97.49,97.74,616
CSMXCP.MI,21/12/2010,98.22,98.64,97.45,98.64,124
CSMXCP.MI,22/12/2010,98.67,99.09,98.67,98.98,152
CSMXCP.MI,23/12/2010,99.28,99.28,98.84,99.28,156
CSMXCP.MI,27/12/2010,98.12,98.12,97.66,98,101
CSMXCP.MI,28/12/2010,97.66,98.94,97.66,98.94,150
CSMXCP.MI,29/12/2010,99.16,99.16,98.57,99.16,45
CSMXCP.MI,30/12/2010,98.12,98.12,96.97,97.15,88
CSMXCP.MI,03/01/2011,98.92,99.53,98.81,99.53,216
CSMXCP.MI,04/01/2011,99.64,99.64,99.06,99.29,161
CSMXCP.MI,05/01/2011,100.4,100.4,100.32,100.32,15
CSMXCP.MI,06/01/2011,102.29,102.29,100.82,100.85,6160
CSMXCP.MI,07/01/2011,101.98,102.5,101.91,101.91,806
CSMXCP.MI,10/01/2011,102.59,102.99,101.53,101.69,1808
CSMXCP.MI,11/01/2011,102.56,102.56,101.83,102.49,239
CSMXCP.MI,12/01/2011,102.36,102.36,100.94,100.94,260
CSMXCP.MI,13/01/2011,100.1,100.1,98.35,98.61,196
CSMXCP.MI,14/01/2011,98.02,98.4,98,98,99
CSMXCP.MI,17/01/2011,99.07,99.7,99.07,99.07,1603
CSMXCP.MI,18/01/2011,100.26,100.26,98.69,98.69,2023
CSMXCP.MI,19/01/2011,98.91,98.91,97.76,98.1,510
