ticker,dateTime,open,high,low,close,volume
CSSX5E.MI,11/03/2010,66.97,66.97,66.97,66.97,1
CSSX5E.MI,21/04/2010,68.39,68.39,68.39,68.39,150
CSSX5E.MI,13/05/2010,68.5,68.5,68.5,68.5,2
CSSX5E.MI,19/05/2010,61.38,61.38,61.38,61.38,100
CSSX5E.MI,20/05/2010,62.32,62.32,62.32,62.32,45
CSSX5E.MI,28/05/2010,62.07,62.07,62.07,62.07,986
CSSX5E.MI,31/05/2010,61.6,61.6,61.42,61.42,1772
CSSX5E.MI,01/06/2010,60.08,60.08,59.81,59.81,3309
CSSX5E.MI,02/06/2010,60.34,60.34,60.34,60.34,181
CSSX5E.MI,03/06/2010,62.39,62.52,62.39,62.52,2405
CSSX5E.MI,04/06/2010,62.18,62.18,62.18,62.18,159
CSSX5E.MI,07/06/2010,59.54,60.2,59.52,59.52,2698
CSSX5E.MI,08/06/2010,59.18,59.18,59.18,59.18,750
CSSX5E.MI,09/06/2010,58.89,59.8,58.89,59.8,1137
CSSX5E.MI,10/06/2010,60.73,60.73,60.59,60.59,2110
CSSX5E.MI,11/06/2010,61.91,61.91,61.91,61.91,621
CSSX5E.MI,14/06/2010,62.96,62.96,62.88,62.88,646
CSSX5E.MI,16/06/2010,64.04,64.04,63.92,63.92,553
CSSX5E.MI,17/06/2010,64.74,64.74,64.74,64.74,55
CSSX5E.MI,18/06/2010,64.34,64.34,64.03,64.19,13352
CSSX5E.MI,21/06/2010,65.49,65.49,65.49,65.49,673
CSSX5E.MI,22/06/2010,64.33,64.57,64.33,64.47,3801
CSSX5E.MI,23/06/2010,64.43,64.43,64.43,64.43,569
CSSX5E.MI,24/06/2010,63.24,63.24,63.24,63.24,209
CSSX5E.MI,29/06/2010,61.22,61.22,61.22,61.22,2322
CSSX5E.MI,30/06/2010,61.01,61.01,61.01,61.01,1152
CSSX5E.MI,02/07/2010,59.75,59.75,59.56,59.56,911
CSSX5E.MI,05/07/2010,59.35,59.35,59.35,59.35,21
CSSX5E.MI,06/07/2010,61.13,61.16,61.13,61.16,295
CSSX5E.MI,07/07/2010,60.17,61.55,60.15,61.55,5077
CSSX5E.MI,08/07/2010,62.51,62.73,62.51,62.73,854
CSSX5E.MI,09/07/2010,63.18,63.18,63.09,63.09,637
CSSX5E.MI,12/07/2010,63.19,63.19,63.04,63.04,555
CSSX5E.MI,13/07/2010,64.14,64.14,64.14,64.14,10
CSSX5E.MI,14/07/2010,64.28,64.42,64.27,64.42,4243
CSSX5E.MI,15/07/2010,64.56,64.73,64.17,64.17,1067
CSSX5E.MI,16/07/2010,63.91,63.91,62.49,62.49,4455
CSSX5E.MI,19/07/2010,62.77,62.88,62.77,62.88,2636
CSSX5E.MI,20/07/2010,61.61,61.61,61.44,61.6,3076
CSSX5E.MI,21/07/2010,62.72,63.04,62.72,62.86,1044
CSSX5E.MI,23/07/2010,64.27,64.27,64.27,64.27,695
CSSX5E.MI,26/07/2010,64.18,64.26,64.18,64.26,4252
CSSX5E.MI,27/07/2010,65.27,65.59,65.08,65.32,48929
CSSX5E.MI,28/07/2010,65.21,65.24,64.92,64.92,5138
CSSX5E.MI,29/07/2010,65.57,65.57,65.57,65.57,4288
CSSX5E.MI,30/07/2010,64.58,65.07,64.47,65.06,14611
CSSX5E.MI,02/08/2010,65.89,65.9,65.77,65.77,2278
CSSX5E.MI,03/08/2010,66.55,66.55,66.18,66.18,6229
CSSX5E.MI,04/08/2010,66.08,66.25,66.08,66.12,16099
CSSX5E.MI,05/08/2010,67.1,67.15,66.65,66.65,3176
CSSX5E.MI,06/08/2010,66.69,66.84,65.93,65.93,2434
CSSX5E.MI,09/08/2010,66.48,66.62,66.48,66.62,5768
CSSX5E.MI,10/08/2010,66.32,66.32,66.15,66.15,2253
CSSX5E.MI,11/08/2010,64.89,64.89,64.71,64.71,2333
CSSX5E.MI,12/08/2010,64.16,64.16,64.16,64.16,138
CSSX5E.MI,16/08/2010,63.43,63.43,63.24,63.24,486
CSSX5E.MI,17/08/2010,64.18,64.18,64.18,64.18,196
CSSX5E.MI,18/08/2010,64.44,64.44,64.34,64.34,2457
CSSX5E.MI,19/08/2010,64.44,64.44,64.3,64.31,2832
CSSX5E.MI,20/08/2010,62.97,62.97,62.85,62.85,1288
CSSX5E.MI,23/08/2010,62.64,62.64,62.64,62.64,789
CSSX5E.MI,24/08/2010,61.95,61.95,61.86,61.86,321
CSSX5E.MI,25/08/2010,61.7,61.7,61.7,61.7,515
CSSX5E.MI,26/08/2010,61.7,61.7,61.45,61.45,806
CSSX5E.MI,27/08/2010,61.2,61.2,61.2,61.2,1537
CSSX5E.MI,30/08/2010,62.17,62.17,62.17,62.17,61
CSSX5E.MI,31/08/2010,61.32,61.32,61.19,61.19,1406
CSSX5E.MI,01/09/2010,62.72,62.72,62.6,62.6,302
CSSX5E.MI,02/09/2010,64.12,64.12,64.01,64.01,320
CSSX5E.MI,03/09/2010,64.49,64.64,64.38,64.64,463
CSSX5E.MI,06/09/2010,65.15,65.15,65.03,65.03,74
CSSX5E.MI,07/09/2010,64.29,64.29,64.16,64.16,71
CSSX5E.MI,08/09/2010,64,64,63.86,63.86,729
CSSX5E.MI,09/09/2010,65.34,65.34,65.23,65.23,218
CSSX5E.MI,13/09/2010,66.35,66.4,66.23,66.4,8482
CSSX5E.MI,14/09/2010,66.07,66.07,65.99,65.99,375
CSSX5E.MI,15/09/2010,65.68,65.68,65.68,65.68,206
CSSX5E.MI,16/09/2010,65.77,65.77,65.74,65.74,1364
CSSX5E.MI,17/09/2010,66.08,66.08,66.08,66.08,2
CSSX5E.MI,20/09/2010,65.44,65.44,65.44,65.44,2
CSSX5E.MI,21/09/2010,66.46,66.46,66.46,66.46,111
CSSX5E.MI,22/09/2010,65.35,65.35,65.35,65.35,52
CSSX5E.MI,23/09/2010,64.54,64.54,64.42,64.42,160
CSSX5E.MI,24/09/2010,64.28,64.28,64.28,64.28,240
CSSX5E.MI,27/09/2010,65.9,65.9,65.79,65.79,487
CSSX5E.MI,29/09/2010,65.34,65.34,65.31,65.31,190
CSSX5E.MI,30/09/2010,64.68,64.68,64.58,64.58,317
CSSX5E.MI,01/10/2010,65.26,65.26,64.85,64.85,3827
CSSX5E.MI,04/10/2010,64.01,64.01,64.01,64.01,195
CSSX5E.MI,05/10/2010,64.11,64.11,64,64,619
CSSX5E.MI,06/10/2010,65.79,65.79,65.79,65.79,245
CSSX5E.MI,07/10/2010,65.86,65.86,65.86,65.86,252
CSSX5E.MI,08/10/2010,65.53,65.53,65.42,65.42,117
CSSX5E.MI,11/10/2010,65.88,65.88,65.77,65.77,3431
CSSX5E.MI,12/10/2010,65.24,65.24,65.24,65.24,52
CSSX5E.MI,13/10/2010,66.61,66.61,66.44,66.44,3654
CSSX5E.MI,14/10/2010,67.15,67.15,67.09,67.09,356
CSSX5E.MI,15/10/2010,67.1,67.1,67.1,67.1,32
CSSX5E.MI,18/10/2010,67.31,67.46,67.29,67.29,1333
CSSX5E.MI,19/10/2010,67.56,67.56,67.54,67.54,315
CSSX5E.MI,20/10/2010,67.17,67.17,67.06,67.06,74
CSSX5E.MI,21/10/2010,67.82,67.82,67.73,67.73,175
CSSX5E.MI,22/10/2010,67.91,68.16,67.89,68.03,5498
CSSX5E.MI,25/10/2010,68.12,68.12,68.03,68.03,1227
CSSX5E.MI,26/10/2010,67.42,67.42,67.34,67.34,300
CSSX5E.MI,27/10/2010,67.6,67.6,67.6,67.6,202
CSSX5E.MI,29/10/2010,66.95,66.95,66.95,66.95,95
CSSX5E.MI,01/11/2010,67.19,67.19,67.08,67.08,1205
CSSX5E.MI,03/11/2010,67.71,67.76,67.44,67.44,18349
CSSX5E.MI,04/11/2010,68.19,68.19,68.1,68.1,643
CSSX5E.MI,05/11/2010,68.23,68.23,68,68,30
CSSX5E.MI,08/11/2010,67.68,67.78,67.68,67.7,4533
CSSX5E.MI,09/11/2010,68.44,68.55,68.29,68.4,5846
CSSX5E.MI,10/11/2010,68.1,68.1,67.96,67.96,5972
CSSX5E.MI,11/11/2010,67.11,67.29,66.97,67.25,1709
CSSX5E.MI,12/11/2010,65.83,66.81,65.83,66.81,4087
CSSX5E.MI,15/11/2010,66.89,66.89,66.81,66.81,285
CSSX5E.MI,16/11/2010,66.63,66.63,66.63,66.63,295
CSSX5E.MI,17/11/2010,66.23,66.23,66.17,66.17,174
CSSX5E.MI,18/11/2010,67.47,67.47,67.41,67.41,547
CSSX5E.MI,19/11/2010,67.46,67.46,67.13,67.13,233
CSSX5E.MI,22/11/2010,68,68,66.55,66.55,5978
CSSX5E.MI,23/11/2010,66.3,66.3,66.24,66.24,163
CSSX5E.MI,24/11/2010,65.33,65.33,65.25,65.25,885
CSSX5E.MI,25/11/2010,65,65.27,65,65.21,5143
CSSX5E.MI,26/11/2010,64.27,64.83,64.24,64.83,2161
CSSX5E.MI,29/11/2010,65.26,65.26,64.32,64.32,9474
CSSX5E.MI,30/11/2010,63.19,63.19,63.19,63.19,749
CSSX5E.MI,01/12/2010,63.92,63.92,63.92,63.92,47
CSSX5E.MI,02/12/2010,65.05,65.05,64.99,64.99,285
CSSX5E.MI,03/12/2010,66.11,66.11,66.11,66.11,5009
CSSX5E.MI,06/12/2010,65.55,65.55,65.55,65.55,215
CSSX5E.MI,07/12/2010,66.75,66.75,66.69,66.69,318
CSSX5E.MI,08/12/2010,66.49,66.49,66.43,66.43,134
CSSX5E.MI,09/12/2010,67.32,67.32,67.11,67.24,6074
CSSX5E.MI,10/12/2010,67.28,67.32,67.28,67.28,479
CSSX5E.MI,13/12/2010,67.74,67.77,67.74,67.75,6733
CSSX5E.MI,14/12/2010,67.78,67.78,67.55,67.55,5361
CSSX5E.MI,15/12/2010,67.23,67.23,67.01,67.01,5756
CSSX5E.MI,16/12/2010,67.29,67.29,67.19,67.19,1154
CSSX5E.MI,17/12/2010,67.42,67.42,67.42,67.42,51
CSSX5E.MI,20/12/2010,67.33,67.76,67.33,67.67,2501
CSSX5E.MI,21/12/2010,67.76,67.76,67.76,67.76,750
CSSX5E.MI,22/12/2010,68.18,68.21,68.09,68.09,5269
CSSX5E.MI,23/12/2010,67.97,67.97,67.97,67.97,450
CSSX5E.MI,27/12/2010,67.26,67.26,66.99,66.99,3728
CSSX5E.MI,28/12/2010,67.2,67.2,67.14,67.14,68
CSSX5E.MI,30/12/2010,66.71,66.71,66.56,66.56,8409
CSSX5E.MI,03/01/2011,67.25,67.31,66.78,67.31,5384
CSSX5E.MI,04/01/2011,67.98,67.98,67.92,67.92,863
CSSX5E.MI,05/01/2011,66.42,66.52,66.23,66.23,17337
CSSX5E.MI,06/01/2011,67.73,67.95,67.73,67.95,102
CSSX5E.MI,07/01/2011,66.83,66.88,66.83,66.88,13418
CSSX5E.MI,10/01/2011,66.11,66.11,65.56,65.7,20115
CSSX5E.MI,11/01/2011,66.01,66.01,66.01,66.01,91
CSSX5E.MI,12/01/2011,67.6,67.6,67.33,67.33,1116
CSSX5E.MI,13/01/2011,69.11,69.11,68.98,69.1,674
CSSX5E.MI,14/01/2011,68.83,68.83,68.7,68.72,842
CSSX5E.MI,18/01/2011,69.75,70.05,69.75,69.89,1883
CSSX5E.MI,19/01/2011,69.89,69.89,69.8,69.8,3363
CSSX5E.MI,20/01/2011,69.41,69.63,69.35,69.5,12333
CSSX5E.MI,21/01/2011,70.17,70.9,70.17,70.9,2798
CSSX5E.MI,24/01/2011,70.19,70.31,70.17,70.31,5694
CSSX5E.MI,25/01/2011,70.47,70.47,70.4,70.4,813
CSSX5E.MI,26/01/2011,70.67,71.02,70.58,70.63,37556
CSSX5E.MI,27/01/2011,70.83,70.83,70.79,70.79,874
CSSX5E.MI,28/01/2011,71.12,71.12,70.91,70.91,5432
CSSX5E.MI,31/01/2011,69.58,70.33,69.58,70.33,16230
CSSX5E.MI,01/02/2011,70.87,71.47,70.81,71.47,3942
CSSX5E.MI,02/02/2011,71.47,71.5,71.4,71.41,8382
CSSX5E.MI,03/02/2011,71.31,71.31,71.27,71.27,1449
CSSX5E.MI,04/02/2011,71.43,71.43,71.38,71.38,464
CSSX5E.MI,07/02/2011,72.07,72.09,71.93,71.93,10819
CSSX5E.MI,08/02/2011,71.9,71.9,71.9,71.9,273
CSSX5E.MI,10/02/2011,71.3,71.3,71.24,71.26,3878
CSSX5E.MI,11/02/2011,71.13,71.28,71.08,71.28,4328
CSSX5E.MI,14/02/2011,71.89,71.89,71.78,71.78,2576
CSSX5E.MI,15/02/2011,71.51,72.15,71.51,72.06,7115
CSSX5E.MI,16/02/2011,72.55,72.55,72.49,72.49,3075
CSSX5E.MI,17/02/2011,72.76,72.76,72.45,72.45,5961
CSSX5E.MI,18/02/2011,72.64,72.94,72.58,72.85,14112
CSSX5E.MI,14/01/2016,85.96,86.49,84.59,86.11,359425
