Date,Open,High,Low,Close,Volume,Adj Close
2009-10-16,77.0,77.0,77.0,77.0,0,77.0
2009-10-19,78.56,78.56,78.56,78.56,0,78.56
2009-10-20,78.6,78.6,78.6,78.6,0,78.6
2009-10-21,78.96,78.96,78.96,78.96,0,78.96
2009-10-22,78.32,78.32,78.32,78.32,0,78.32
2009-10-23,77.52,77.52,77.52,77.52,0,77.52
2009-10-26,76.98,77.67,76.98,76.98,0,76.98
2009-10-27,78.03,78.74,78.03,78.03,0,78.03
2009-10-28,76.58,77.49,76.58,76.58,0,76.58
2009-10-29,77.76,78.72,77.76,77.76,0,77.76
2009-10-30,76.63,77.56,76.63,76.63,0,76.63
2009-11-02,76.94,76.94,76.94,76.94,0,76.94
2009-11-03,76.81,76.81,76.81,76.81,0,76.81
2009-11-04,77.57,77.57,77.57,77.57,0,77.57
2009-11-05,77.76,77.76,77.76,77.76,0,77.76
2009-11-06,77.94,77.94,77.94,77.94,0,77.94
2009-11-09,79.28,79.28,79.28,79.28,0,79.28
2009-11-10,79.47,79.47,79.47,79.47,0,79.47
2009-11-11,79.15,79.15,79.15,79.15,0,79.15
2009-11-12,79.77,79.77,79.77,79.77,0,79.77
2009-11-13,80.68,80.68,80.68,80.68,0,80.68
2009-11-16,81.95,81.95,81.95,81.95,0,81.95
2009-11-17,82.13,82.13,82.13,82.13,0,82.13
2009-11-18,81.32,81.32,81.32,81.32,0,81.32
2009-11-19,80.25,80.25,80.25,80.25,0,80.25
2009-11-20,79.65,79.65,79.65,79.65,0,79.65
2009-11-23,81.1,81.1,81.1,81.1,0,81.1
2009-11-24,80.8,80.8,80.8,80.8,0,80.8
2009-11-25,81.06,81.06,81.06,81.06,0,81.06
2009-11-26,78.49,78.49,78.49,78.49,0,78.49
2009-11-27,78.92,78.92,78.92,78.92,0,78.92
2009-11-30,77.58,77.58,77.58,77.58,0,77.58
2009-12-01,79.56,79.56,79.56,79.56,0,79.56
2009-12-02,80.19,80.19,80.19,80.19,0,80.19
2009-12-03,79.79,79.79,79.79,79.79,0,79.79
2009-12-04,80.16,80.16,80.16,80.16,500,80.16
2009-12-07,80.38,80.38,80.38,80.38,0,80.38
2009-12-08,78.94,78.94,78.94,78.94,0,78.94
2009-12-09,78.41,78.41,78.41,78.41,0,78.41
2009-12-10,79.08,79.08,79.08,79.08,0,79.08
2009-12-11,80.02,80.02,80.02,80.02,0,80.02
2009-12-14,80.55,80.55,80.55,80.55,0,80.55
2009-12-15,80.55,80.55,80.55,80.55,0,80.55
2009-12-16,81.43,81.43,81.43,81.43,0,81.43
2009-12-17,80.86,80.86,80.86,80.86,500,80.86
2009-12-18,79.86,79.86,79.86,79.86,0,79.86
2009-12-21,81.51,81.51,81.51,81.51,500,81.51
2009-12-22,81.66,81.66,81.66,81.66,0,81.66
2009-12-23,81.48,81.48,81.48,81.48,0,81.48
2009-12-28,81.48,81.48,81.48,81.48,0,81.48
2009-12-29,81.99,81.99,81.99,81.99,0,81.99
2009-12-30,82.01,83.29,82.01,82.01,0,82.01
2010-01-04,83.52,83.52,83.52,83.52,0,83.52
2010-01-05,83.9,83.9,83.9,83.9,0,83.9
2010-01-06,83.98,83.98,83.98,83.98,0,83.98
2010-01-07,84.05,84.05,84.05,84.05,0,84.05
2010-01-08,84.06,84.06,84.06,84.06,0,84.06
2010-01-11,83.86,83.86,83.86,83.86,0,83.86
2010-01-12,83.48,83.48,83.48,83.48,0,83.48
2010-01-13,83.82,83.82,83.82,83.82,0,83.82
2010-01-14,84.45,84.45,84.45,84.45,0,84.45
2010-01-15,84.06,84.06,84.06,84.06,0,84.06
2010-01-18,85.2,85.2,85.2,85.2,0,85.2
2010-01-19,86.35,86.35,86.35,86.35,0,86.35
2010-01-20,85.18,85.18,85.18,85.18,0,85.18
2010-01-21,83.72,83.72,83.72,83.72,0,83.72
2010-01-22,82.49,82.49,82.49,82.49,0,82.49
2010-01-25,82.37,82.37,82.37,82.37,0,82.37
2010-01-26,82.35,82.35,82.35,82.35,0,82.35
2010-01-27,81.89,81.89,81.89,81.89,0,81.89
2010-01-28,81.36,81.36,81.36,81.36,0,81.36
2010-01-29,81.58,81.58,81.58,81.58,0,81.58
2010-02-01,81.67,81.67,81.67,81.67,0,81.67
2010-02-02,82.28,82.28,82.28,82.28,0,82.28
