Date,Open,High,Low,Close,Volume,Adj Close
2010-06-25,131.85,133.5,133.5,133.18,0,133.18
2010-07-12,134.63,134.63,134.63,134.63,2700,134.63
2010-08-16,137.64,137.64,137.64,137.64,700,137.64
2010-09-10,142.21,142.21,142.21,142.21,0,142.21
2010-11-01,143.06,143.06,143.06,143.06,0,143.06
2010-12-03,138.12,138.12,138.12,138.12,0,138.12
2010-12-09,140.58,140.58,140.58,140.58,0,140.58
2010-12-15,141.0,141.0,141.0,141.0,0,141.0
2011-01-28,148.86,148.86,148.86,148.86,2800,148.86
2011-02-01,148.43,148.43,148.43,148.43,0,148.43
2011-02-14,152.65,152.65,152.65,152.65,2800,152.65
2011-02-18,153.47,153.47,153.47,153.47,0,153.47
2011-02-24,146.75,146.75,146.7,146.7,5000,146.7
2011-02-25,149.34,149.34,149.34,149.34,0,149.34
2011-02-28,148.77,148.77,148.77,148.77,0,148.77
2011-03-01,148.66,148.66,148.66,148.66,0,148.66
2011-04-29,150.37,150.37,150.37,150.37,0,150.37
2011-05-17,146.85,146.85,146.85,146.41,0,146.41
2011-07-13,136.91,136.91,136.91,137.94,0,137.94
2011-07-28,138.2,138.2,138.2,138.19,2800,138.19
2011-08-11,112.88,112.99,112.88,117.37,2800,117.37
2011-09-29,124.7,124.7,124.7,125.62,0,125.62
2011-10-27,129.3,129.3,129.3,130.08,0,130.08
2011-12-06,125.19,125.19,125.1,123.99,5600,123.99
2011-12-19,119.51,119.51,119.51,118.69,0,118.69
2012-02-14,124.76,125.1,124.76,125.56,3300,125.56
2012-02-20,125.93,125.93,125.93,126.3,0,126.3
2012-03-14,128.65,129.06,128.65,129.85,8400,129.85
2012-04-18,123.29,123.29,123.29,122.69,2800,122.69
2012-04-20,122.06,122.06,121.93,123.23,5000,123.23
2012-04-25,122.4,122.4,122.4,122.91,2800,122.91
2012-05-07,120.59,120.59,120.59,123.31,200,123.31
2012-05-30,117.35,117.35,117.35,117.19,2800,117.19
2012-06-13,118.97,118.97,118.97,118.64,0,118.64
2012-06-14,119.1,119.1,119.1,119.53,2800,119.53
2012-08-07,129.0,129.0,129.0,129.385,200,129.385
2012-08-09,128.2,128.2,128.2,128.762,0,128.762
2012-09-18,135.88,135.88,135.88,136.398,200,136.398
2012-10-16,135.51,135.51,135.51,135.502,0,135.502
2012-11-13,126.65,126.65,126.65,125.61,2800,125.61
2012-11-19,124.3,124.3,124.3,125.92,0,125.92
2012-11-20,125.78,125.78,125.78,125.67,0,125.67
2012-12-06,129.01,129.01,128.89,127.32,5700,127.32
2013-01-21,128.33,129.12,128.33,129.27,2100,129.27
2013-01-22,128.47,129.16,128.47,128.82,1900,128.82
2013-01-24,127.74,127.99,127.72,127.94,700,127.94
2013-02-11,124.26,124.26,124.26,124.99,0,124.99
2013-03-05,126.91,126.91,126.91,127.26,0,127.26
2013-03-15,127.38,127.4,127.38,127.42,1000,127.42
2013-03-21,129.08,129.08,128.34,129.6,4000,129.6
2013-05-06,138.58,138.58,138.58,138.93,200,138.93
2013-05-09,138.34,138.34,138.21,138.48,600,138.48
2013-08-13,136.63,137.42,136.63,137.09,5700,137.09
2013-09-11,140.7,140.7,140.7,140.87,100,140.87
2013-09-12,140.63,140.63,140.63,141.73,500,141.73
2013-09-16,142.08,142.08,142.08,142.33,0,142.33
2013-11-07,149.19,149.19,149.19,146.23,0,146.23
2013-11-26,147.84,147.84,147.63,147.08,200,147.08
2013-12-10,142.3,142.3,142.3,141.97,100,141.97
2014-01-16,148.0,148.0,148.0,147.67,0,147.67
2014-01-21,149.44,149.44,149.44,149.02,0,149.02
2014-01-29,145.73,145.73,145.73,145.67,0,145.67
2014-02-17,153.99,153.99,153.99,153.69,0,153.69
2014-03-11,157.35,157.35,157.35,158.01,300,158.01
2014-03-12,157.46,157.46,157.46,158.53,0,158.53
2014-03-13,158.56,158.56,158.56,157.75,0,157.75
2014-03-17,158.34,158.34,158.34,158.89,0,158.89
2014-03-20,158.97,158.97,158.97,160.07,100,160.07
2014-03-25,159.95,159.95,159.95,159.89,0,159.89
2014-03-27,159.95,159.95,159.95,160.63,0,160.63
2014-03-28,161.87,161.87,161.87,163.23,0,163.23
2014-03-31,163.4,163.4,163.4,162.11,0,162.11
2014-04-02,162.4,162.4,162.4,162.19,0,162.19
2014-04-03,162.02,162.02,162.02,161.98,0,161.98
2014-04-07,161.24,161.24,161.24,162.12,0,162.12
2014-04-08,161.29,161.29,161.29,161.57,0,161.57
