Date,Open,High,Low,Close,Volume,Adj Close
2008-01-29,98.239998,98.239998,96.279999,97.900002,2100,61.35002
2008-01-30,97.239998,97.239998,95.790001,95.790001,3600,60.027767
2008-01-31,98.089996,98.089996,97.57,97.989998,500,61.406417
2008-02-01,98.019997,98.5,98.019997,98.400002,2600,61.66335
2008-02-04,97.110001,97.519997,97.110001,97.519997,200,61.111886
2008-02-05,98.790001,98.830002,97.830002,98.269997,7800,61.581881
2008-02-06,97.110001,97.110001,97.110001,97.110001,100,60.854958
2008-02-07,99.389999,99.389999,93.57,93.57,7700,58.636581
2008-02-08,94.580002,95.57,94.580002,95.57,1500,59.889901
2008-02-11,96.529999,96.529999,95.879997,95.959999,1400,60.134298
2008-02-12,95.0,95.0,94.0,94.669998,9900,59.325906
2008-02-13,93.75,94.110001,93.199997,94.110001,3200,58.974978
2008-02-14,92.480003,92.480003,90.800003,90.860001,9200,56.938332
2008-02-15,90.830002,91.900002,90.830002,91.480003,1300,57.326863
2008-02-19,90.699997,91.150002,90.019997,90.489998,9500,56.706466
2008-02-20,89.459999,90.959999,89.459999,90.959999,9400,57.000997
2008-02-21,93.599998,93.730003,93.150002,93.150002,2000,58.373385
2008-02-22,93.989998,94.599998,92.989998,92.989998,2800,58.273117
2008-02-25,93.599998,93.599998,89.279999,89.279999,11400,55.948208
2008-02-26,91.199997,91.550003,89.5,90.730003,3100,56.856868
2008-02-27,92.0,92.0,88.860001,90.330002,6100,56.606203
2008-02-28,93.660004,93.660004,93.660004,93.660004,100,58.692982
2008-02-29,95.400002,95.400002,94.410004,94.57,2100,59.263241
2008-03-03,96.400002,96.400002,94.25,96.370003,700,60.391231
2008-03-04,96.300003,96.300003,94.540001,94.559998,700,59.256973
2008-03-05,94.559998,94.559998,94.559998,94.559998,0,59.256973
2008-03-06,94.559998,94.559998,94.559998,94.559998,0,59.256973
2008-03-07,95.199997,95.220001,93.709999,93.900002,5700,58.84338
2008-03-10,93.730003,94.650002,92.5,94.650002,6900,59.313375
2008-03-11,94.449997,94.449997,93.809998,93.809998,1300,58.786978
2008-03-12,92.620003,94.699997,92.620003,94.260002,3200,59.068978
2008-03-13,96.260002,96.260002,95.910004,95.910004,2100,60.102968
2008-03-14,96.32,96.529999,95.75,95.75,3800,60.0027
2008-03-17,98.620003,99.760002,98.330002,99.489998,2700,62.346407
2008-03-18,101.610001,101.610001,96.660004,99.120003,1200,62.114546
2008-03-19,99.18,101.519997,96.790001,101.519997,2500,63.618526
2008-03-20,101.339996,102.669998,101.150002,102.669998,1400,64.339186
2008-03-24,102.709999,102.709999,99.5,99.5,4500,62.352675
2008-03-25,99.830002,99.870003,98.540001,98.959999,2500,62.443539
2008-03-26,100.650002,100.650002,99.610001,99.610001,800,62.853689
2008-03-27,98.879997,98.879997,97.93,97.93,600,61.793612
2008-03-28,97.93,97.93,97.93,97.93,0,61.793612
2008-03-31,100.129997,100.709999,99.93,99.93,1000,63.055608
2008-04-01,98.559998,98.559998,97.349998,97.349998,500,61.427633
2008-04-02,97.480003,98.449997,97.379997,98.18,2100,61.951362
2008-04-03,98.410004,98.879997,98.190002,98.190002,1300,61.957673
2008-04-04,99.769997,99.769997,99.739998,99.769997,300,62.954646
2008-04-07,99.769997,99.769997,99.769997,99.769997,0,62.954646
2008-04-08,98.980003,98.980003,98.980003,98.980003,100,62.456162
2008-04-09,99.739998,99.739998,99.639999,99.639999,300,62.872618
2008-04-10,99.419998,99.839996,99.089996,99.089996,700,62.525567
2008-04-11,100.25,100.32,100.25,100.32,1500,63.301697
2008-04-14,102.830002,102.830002,97.050003,99.68,2600,62.897859
2008-04-15,98.099998,98.099998,97.400002,97.400002,300,61.459184
2008-04-16,96.529999,96.620003,96.010002,96.010002,1000,60.582098
2008-04-17,95.419998,95.419998,94.169998,94.300003,2100,59.503092
2008-04-18,94.040001,94.110001,94.040001,94.110001,300,59.383201
2008-04-21,94.860001,96.160004,94.860001,95.879997,700,60.500065
2008-04-22,96.0,96.110001,95.889999,96.059998,1100,60.613645
2008-04-23,95.989998,95.989998,94.57,95.949997,500,60.544235
2008-04-24,95.949997,95.949997,95.949997,95.949997,0,60.544235
2008-04-25,95.949997,95.949997,95.949997,95.949997,0,60.544235
2008-04-28,94.07,94.07,92.970001,93.870003,1800,59.231763
2008-04-29,91.849998,95.18,91.849998,94.32,2100,59.51571
2008-04-30,95.18,95.18,94.720001,95.0,900,59.944789
2008-05-01,96.769997,96.769997,91.18,95.800003,1200,60.449589
2008-05-02,94.529999,94.529999,94.529999,94.529999,100,59.648219
2008-05-05,94.529999,94.529999,94.529999,94.529999,0,59.648219
2008-05-06,92.629997,92.629997,92.629997,92.629997,100,58.449322
2008-05-07,94.690002,94.690002,92.330002,93.199997,2500,58.808991
2008-05-08,93.620003,93.620003,93.400002,93.459999,400,58.973052
2008-05-09,95.129997,95.129997,95.129997,95.129997,300,60.026817
2008-05-12,95.919998,96.169998,95.470001,95.470001,400,60.241359
2008-05-13,92.720001,93.459999,92.720001,93.400002,300,58.935193
2008-05-14,91.190002,94.099998,91.190002,92.470001,2700,58.348365
2008-05-15,93.190002,93.699997,93.190002,93.699997,1400,59.12449
2008-05-16,94.699997,94.82,94.470001,94.82,8100,59.831209
