Date,Open,High,Low,Close,Volume,Adj Close
2015-01-30,13.345,13.365,13.29,13.275,1900,13.275
2015-02-02,13.315,13.315,13.25,13.295,6200,13.295
2015-02-03,13.515,13.52,13.46,13.485,2000,13.485
2015-02-04,13.48,13.48,13.44,13.475,4600,13.475
2015-02-05,13.475,13.49,13.435,13.505,1900,13.505
2015-02-06,13.5,13.55,13.5,13.535,2000,13.535
2015-02-09,13.43,13.43,13.39,13.45,7400,13.45
2015-02-10,13.49,13.545,13.49,13.5,300,13.5
2015-02-11,13.495,13.525,13.43,13.425,6200,13.425
2015-02-12,13.515,13.56,13.51,13.51,4800,13.51
2015-02-13,13.625,13.685,13.61,13.63,7100,13.63
2015-02-16,13.61,13.64,13.61,13.61,4400,13.61
2015-02-17,13.6,13.62,13.54,13.59,2300,13.59
2015-02-18,13.7,13.7,13.675,13.66,8900,13.66
2015-02-19,13.65,13.72,13.6,13.685,5000,13.685
2015-02-20,13.725,13.725,13.72,13.71,400,13.71
2015-02-23,13.81,13.81,13.7,13.75,4400,13.75
2015-02-24,13.81,13.85,13.8,13.905,2700,13.905
2015-02-25,13.905,13.905,13.87,13.91,2900,13.91
2015-02-26,13.94,13.955,13.94,13.985,4300,13.985
2015-02-27,13.97,14.0,13.97,14.07,3000,14.07
2015-03-02,14.105,14.105,14.01,14.005,4600,14.005
2015-03-03,14.07,14.07,13.975,13.935,4500,13.935
2015-03-04,13.915,13.94,13.915,13.965,1100,13.965
2015-03-05,14.05,14.095,14.05,14.08,600,14.08
2015-03-06,14.085,14.095,14.05,14.01,2800,14.01
2015-03-09,14.05,14.05,13.94,13.98,7200,13.98
2015-03-10,14.06,14.06,13.865,13.845,16600,13.845
2015-03-11,13.88,14.005,13.88,13.98,7700,13.98
2015-03-12,14.3,14.3,14.0,13.985,8800,13.985
2015-03-13,14.1,14.1,13.91,13.935,8800,13.935
2015-03-16,14.015,14.055,13.975,14.025,5700,14.025
2015-03-17,14.005,14.015,13.97,13.99,7600,13.99
2015-03-18,14.03,14.055,14.0,14.05,4100,14.05
2015-03-19,14.18,14.18,14.095,14.15,1800,14.15
2015-03-20,14.165,14.22,14.165,14.32,1800,14.32
2015-03-24,14.265,14.33,14.265,14.31,2700,14.31
2015-03-25,14.265,14.27,14.215,14.21,2900,14.21
2015-03-26,13.95,13.95,13.8,13.915,2300,13.915
2015-03-27,14.055,14.055,13.94,13.91,7500,13.91
2015-03-30,14.055,14.055,14.02,14.035,500,14.035
2015-03-31,14.06,14.09,13.92,13.96,4700,13.96
2015-04-02,13.97,13.98,13.97,13.965,600,13.965
2015-04-07,14.105,14.27,14.105,14.205,1500,14.205
2015-04-08,14.27,14.305,14.24,14.215,1200,14.215
2015-04-09,14.32,14.355,14.32,14.34,800,14.34
2015-04-10,14.39,14.45,14.385,14.44,4000,14.44
2015-04-14,14.54,14.54,14.44,14.475,1300,14.475
2015-04-15,14.61,14.635,14.59,14.635,4000,14.635
2015-04-16,14.575,14.615,14.52,14.515,10300,14.515
2015-04-17,14.515,14.52,14.31,14.275,2300,14.275
2015-04-20,14.37,14.375,14.325,14.38,1100,14.38
2015-04-21,14.43,14.43,14.4,14.425,100,14.425
2015-04-22,14.35,14.4,14.35,14.375,1000,14.375
2015-04-23,14.29,14.34,14.255,14.325,3700,14.325
2015-04-24,14.44,14.44,14.44,14.415,700,14.415
2015-04-27,15.0,15.0,14.35,14.525,2800,14.525
2015-04-28,14.525,14.525,14.43,14.38,3600,14.38
2015-04-29,14.635,14.635,14.2,14.175,1700,14.175
2015-04-30,14.26,14.26,14.09,14.105,2000,14.105
2015-05-04,14.16,14.16,14.11,14.11,1900,14.11
2015-05-05,14.125,14.125,13.91,13.895,600,13.895
2015-05-06,13.9,13.91,13.81,13.855,1900,13.855
2015-05-07,13.8,13.905,13.8,13.84,4400,13.84
2015-05-08,14.055,14.11,14.05,14.175,1000,14.175
2015-05-11,14.285,14.285,14.24,14.26,1300,14.26
2015-05-12,14.24,14.24,14.05,14.105,1500,14.105
2015-05-13,14.215,14.215,14.125,14.025,7600,14.025
2015-05-14,14.07,14.07,14.07,14.135,1800,14.135
2015-05-15,14.07,14.07,14.05,14.04,800,14.04
2015-05-18,14.06,14.06,14.06,14.055,1500,14.055
2015-05-19,14.255,14.255,14.225,14.23,200,14.23
2015-05-20,14.27,14.32,14.235,14.365,5100,14.365
2015-05-21,14.345,14.355,14.33,14.425,2500,14.425
2015-05-22,14.5,14.5,14.445,14.43,1800,14.43
2015-05-25,14.44,14.44,14.4,14.39,2500,14.39
2015-05-26,14.335,14.35,14.255,14.215,2200,14.215
2015-05-27,14.34,14.435,14.3,14.4,2600,14.4
2015-05-28,14.3,14.375,14.3,14.305,3600,14.305
2015-05-29,14.22,14.27,14.12,14.12,1800,14.12
2015-06-01,14.075,14.165,14.075,14.095,900,14.095
2015-06-02,14.015,14.015,14.015,14.02,200,14.02
2015-06-03,14.0,14.09,14.0,14.015,2500,14.015
2015-06-04,13.845,13.935,13.82,13.87,2200,13.87
2015-06-05,13.8,13.8,13.72,13.76,3700,13.76
2015-06-08,13.74,13.74,13.675,13.655,2600,13.655
2015-06-10,13.53,13.74,13.53,13.77,1200,13.77
2015-06-11,13.825,13.84,13.82,13.82,2800,13.82
2015-06-12,13.67,13.67,13.67,13.74,200,13.74
2015-06-15,13.505,13.565,13.505,13.55,1300,13.55
2015-06-16,13.555,13.555,13.555,13.605,0,13.605
2015-06-17,13.58,13.58,13.58,13.585,100,13.585
2015-06-18,13.53,13.53,13.5,13.58,800,13.58
2015-06-19,13.695,13.72,13.665,13.665,1000,13.665
2015-06-22,13.925,13.925,13.925,13.97,0,13.97
2015-06-23,14.11,14.11,14.11,14.105,0,14.105
2015-06-25,13.83,13.83,13.8,13.745,1800,13.745
2015-06-26,13.705,13.795,13.685,13.795,600,13.795
2015-06-29,13.765,13.765,13.405,13.385,900,13.385
2015-06-30,13.3,13.335,13.25,13.28,900,13.28
2015-07-02,13.365,13.385,13.36,13.51,5700,13.51
2015-07-03,13.34,13.34,13.015,13.245,300,13.245
2015-07-06,13.05,13.125,13.05,13.05,13500,13.05
